,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
339,syuzhetr_syuzhet,valley,209,"""Glaxo,"" said Mrs. Coates in a strained, awe-stricken voice, gazing straight up, and her baby, lying stiff and white in her arms, gazed straight up.",-0.911907528069615,20,25,"""Glaxo,"" said Mrs. Coates in a strained, awe-stricken voice, gazing straight up, and her baby, lying"
103,baseline_stanza,valley,212,All down the Mall people were standing and looking up into the sky.,0.1620895790425707,31,13,All down the Mall people were standing and looking up into the sky.
74,baseline_flair,valley,219,"The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to cross from West to East on a mission of the greatest importance which would never be revealed, and yet certainly so it was--a mission of the greatest importance. Then suddenly, as a train comes out of a tunnel, the aeroplane rushed out of the clouds again, the sound boring into the ears of all people in the Mall, in the Green Park, in Piccadilly, in Regent Street, in Regent's Park, and the bar of smoke curved behind and it dropped down, and it soared up and wrote one letter after another--but what word was it writing?",-0.17613808935753383,27,115,"The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to c"
30,baseline_textblob,peak,229,"A marvellous discovery indeed--that the human voice in certain atmospheric conditions (for one must be scientific, above all scientific) can quicken trees into life!",-0.05926728202021355,28,24,A marvellous discovery indeed--that the human voice in certain atmospheric conditions (for one must 
207,sentimentr_senticnet,peak,232,He would shut his eyes; he would see no more.,1.4863984175623668,44,10,He would shut his eyes; he would see no more.
282,sentimentr_nrc,valley,248,And he would not kill himself; and she could tell no one.,-0.06514171724018919,28,12,And he would not kill himself; and she could tell no one.
15,baseline_vader,valley,252,"""For you should see the Milan gardens,"" she said aloud.",-0.11072249910915535,28,10,"""For you should see the Milan gardens,"" she said aloud."
134,sentimentr_jockers,valley,253,But to whom?,-0.9724438958808838,19,3,But to whom?
45,baseline_textblob,valley,276,She was always interrupting.,-0.12371363886400168,28,4,She was always interrupting.
310,sentimentr_lmcd,valley,276,She was always interrupting.,-1.0295588861984701,19,4,She was always interrupting.
194,sentimentr_huliu,valley,315,"Roses, she thought sardonically.",-1.7371626229160566,12,4,"Roses, she thought sardonically."
355,transformer_roberta15lg,peak,320,"Pity she asked of Maisie Johnson, standing by the hyacinth beds.",0.836260482772427,37,11,"Pity she asked of Maisie Johnson, standing by the hyacinth beds."
238,sentimentr_sentiword,peak,333,It was strange; it was still.,0.2746454354354742,32,6,It was strange; it was still.
269,sentimentr_nrc,peak,342,"It was her life, and, bending her head over the hall table, she bowed beneath the influence, felt blessed and purified, saying to herself, as she took the pad with the telephone message on it, how moments like this are buds on the tree of life, flowers of darkness they are, she thought (as if some lovely rose had blossomed for her eyes only); not for a moment did she believe in God; but all the more, she thought, taking up the pad, must one repay in daily life to servants, yes, to dogs and canaries, above all to Richard her husband, who was the foundation of it--of the gay sounds, of the green lights, of the cook even whistling, for Mrs. Walker was Irish and whistled all day long--one must pay back from this secret deposit of exquisite moments, she thought, lifting the pad, while Lucy stood by her, trying to explain how",0.49883047169417527,34,154,"It was her life, and, bending her head over the hall table, she bowed beneath the influence, felt bl"
61,baseline_flair,peak,347,"""Fear no more,"" said Clarissa.",-0.08065705038415373,28,5,"""Fear no more,"" said Clarissa."
120,sentimentr_jockers,peak,350,No vulgar jealousy could separate her from Richard.,0.11470227646064712,30,8,No vulgar jealousy could separate her from Richard.
180,sentimentr_huliu,peak,372,"It was something central which permeated; something warm which broke up surfaces and rippled the cold contact of man and woman, or of women together.",-0.5198848230579804,24,25,It was something central which permeated; something warm which broke up surfaces and rippled the col
297,sentimentr_lmcd,peak,372,"It was something central which permeated; something warm which broke up surfaces and rippled the cold contact of man and woman, or of women together.",0.04210489722141715,29,25,It was something central which permeated; something warm which broke up surfaces and rippled the col
104,baseline_stanza,valley,390,She had rushed off in a passion.,0.030942107978354727,29,7,She had rushed off in a passion.
254,sentimentr_sentiword,valley,393,She knew nothing about sex--nothing about social problems. She had once seen an old man who had dropped dead in a field--she had seen cows just after their calves were born.,0.6475371630835034,35,31,She knew nothing about sex--nothing about social problems. She had once seen an old man who had drop
75,baseline_flair,valley,396,"They meant to found a society to abolish private property, and actually had a letter written, though not sent out.",-0.12316386445648152,28,20,"They meant to found a society to abolish private property, and actually had a letter written, though"
165,sentimentr_jockers,valley,399,"There was her way with flowers, for instance.",-1.5932720780367555,13,8,"There was her way with flowers, for instance."
340,syuzhetr_syuzhet,valley,399,"There was her way with flowers, for instance.",-1.4875163580759303,14,8,"There was her way with flowers, for instance."
223,sentimentr_senticnet,valley,404,"She was untidy, Papa said.",0.4129535149758226,33,5,"She was untidy, Papa said."
371,transformer_roberta15lg,valley,404,"She was untidy, Papa said.",-0.6285389684205702,23,5,"She was untidy, Papa said."
283,sentimentr_nrc,valley,409,For in those days she was completely reckless; did the most idiotic things out of bravado; bicycled round the parapet on the terrace; smoked cigars.,-1.106166765411903,18,25,For in those days she was completely reckless; did the most idiotic things out of bravado; bicycled 
135,sentimentr_jockers,valley,414,"But she could remember going cold with excitement, and doing her hair in a kind of ecstasy (now the old feeling began to come back to her, as she took out her hairpins, laid them on the dressing-table, began to do her hair), with the rooks flaunting up and down in the pink evening light, and dressing, and going downstairs, and feeling as she crossed the hall ""if it were now to die 'twere now to be most happy.""",-0.8054401255856453,21,79,"But she could remember going cold with excitement, and doing her hair in a kind of ecstasy (now the "
16,baseline_vader,valley,417,"She seemed, anyhow, all light, glowing, like some bird or air ball that has flown in, attached itself for a moment to a bramble.",-0.058322896392564494,28,24,"She seemed, anyhow, all light, glowing, like some bird or air ball that has flown in, attached itsel"
1,baseline_vader,peak,449,It was true.,0.022528053111550254,29,3,It was true.
150,sentimentr_jockers,peak,449,It was true.,-0.37693788549802715,25,3,It was true.
326,syuzhetr_syuzhet,peak,449,It was true.,-0.15113781568364532,28,3,It was true.
89,baseline_stanza,peak,454,Months and months of it were still untouched.,0.07951013391615698,30,8,Months and months of it were still untouched.
208,sentimentr_senticnet,peak,483,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried.",1.2274636744494314,41,16,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried."
356,transformer_roberta15lg,peak,483,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried.",1.2974104787592962,42,16,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried."
31,baseline_textblob,peak,486,"""But, thank you, Lucy, oh, thank you,"" said Mrs. Dalloway, and thank you, thank you, she went on saying (sitting down on the sofa with her dress over her knees, her scissors, her silks), thank you, thank you, she went on saying in gratitude to her servants generally for helping her to be like this, to be what she wanted, gentle, generous-hearted.",-0.01021362679162093,29,62,"""But, thank you, Lucy, oh, thank you,"" said Mrs. Dalloway, and thank you, thank you, she went on say"
239,sentimentr_sentiword,peak,495,"Quiet descended on her, calm, content, as her needle, drawing the silk smoothly to its gentle pause, collected the green folds together and attached them, very lightly, to the belt.",1.6959569140484345,46,30,"Quiet descended on her, calm, content, as her needle, drawing the silk smoothly to its gentle pause,"
311,sentimentr_lmcd,valley,500,"""Heavens, the front-door bell!"" exclaimed Clarissa, staying her needle.",-0.4905303136607739,24,9,"""Heavens, the front-door bell!"" exclaimed Clarissa, staying her needle."
195,sentimentr_huliu,valley,506,"""Who can--what can,"" asked Mrs. Dalloway (thinking it was outrageous to be interrupted at eleven o'clock on the morning of the day she was giving a party), hearing a step on the stairs. She heard a hand upon the door. She made to hide her dress, like a virgin protecting chastity, respecting privacy. Now the brass knob slipped. Now the door opened, and in came--for a single second she could not remember what he was called! so surprised she was to see him, so glad, so shy, so utterly taken aback to have Peter Walsh come to her unexpectedly in the morning!",-0.7975799396878545,21,102,"""Who can--what can,"" asked Mrs. Dalloway (thinking it was outrageous to be interrupted at eleven o'c"
341,syuzhetr_syuzhet,valley,559,"""Yes,"" said Peter.",-0.7891378125787576,21,3,"""Yes,"" said Peter."
46,baseline_textblob,valley,561,Stop!,-0.06560650500827817,28,1,Stop!
166,sentimentr_jockers,valley,562,Stop! he wanted to cry.,-0.3126709384097899,26,5,Stop! he wanted to cry.
284,sentimentr_nrc,valley,568,"And she would think me a failure, which I am in their sense, he thought; in the Dalloways' sense.",0.192152689380744,31,19,"And she would think me a failure, which I am in their sense, he thought; in the Dalloways' sense."
136,sentimentr_jockers,valley,575,"So Peter Walsh and Clarissa, sitting side by side on the blue sofa, challenged each other.",0.5103203506509364,34,16,"So Peter Walsh and Clarissa, sitting side by side on the blue sofa, challenged each other."
17,baseline_vader,valley,578,"""Millions of things!"" he exclaimed, and, urged by the assembly of powers which were now charging this way and that and giving him the feeling at once frightening and extremely exhilarating of being rushed through the air on the shoulders of people he could no longer see, he raised his hands to his forehead.",0.06763876704773084,30,54,"""Millions of things!"" he exclaimed, and, urged by the assembly of powers which were now charging thi"
105,baseline_stanza,valley,580,"""I am in love,"" he said, not to her however, but to some one raised up in the dark so that you could not touch her but must lay your garland down on the grass in the dark.",0.05444956148998584,30,38,"""I am in love,"" he said, not to her however, but to some one raised up in the dark so that you could"
62,baseline_flair,peak,587,"He has that, she felt; he is in love.",0.008463671391412493,29,9,"He has that, she felt; he is in love."
90,baseline_stanza,peak,615,She had gone up into the tower alone and left them blackberrying in the sun.,0.1346108513540034,30,15,She had gone up into the tower alone and left them blackberrying in the sun.
270,sentimentr_nrc,peak,621,"Take me with you, Clarissa thought impulsively, as if he were starting directly upon some great voyage; and then, next moment, it was as if the five acts of a play that had been very exciting and moving were now over and she had lived a lifetime in them and had run away, had lived with Peter, and it was now over.",1.2431331493023055,41,62,"Take me with you, Clarissa thought impulsively, as if he were starting directly upon some great voya"
327,syuzhetr_syuzhet,peak,629,"The sound of Big Ben striking the half-hour struck out between them with extraordinary vigour, as if a young man, strong, indifferent, inconsiderate, were swinging dumb-bells this way and that.",0.3600672291471372,33,30,"The sound of Big Ben striking the half-hour struck out between them with extraordinary vigour, as if"
2,baseline_vader,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",0.13292545617250848,30,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
121,sentimentr_jockers,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",1.4795660742926406,44,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
151,sentimentr_jockers,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",1.353069422152834,43,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
298,sentimentr_lmcd,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",0.6053947837641469,35,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
181,sentimentr_huliu,peak,636,"Why does she give these parties, he thought.",1.5099338612658768,44,8,"Why does she give these parties, he thought."
372,transformer_roberta15lg,valley,643,"The way she said ""Here is my Elizabeth!""--that annoyed him.",0.07002287174782985,30,10,"The way she said ""Here is my Elizabeth!""--that annoyed him."
209,sentimentr_senticnet,peak,644,"Why not ""Here's Elizabeth"" simply?",0.846742436759129,37,5,"Why not ""Here's Elizabeth"" simply?"
240,sentimentr_sentiword,peak,654,There we stop; there we stand.,1.0618395206479974,40,6,There we stop; there we stand.
76,baseline_flair,valley,665,"It is Clarissa herself, he thought, with a deep emotion, and an extraordinarily clear, yet puzzling, recollection of her, as if this bell had come into the room years ago, where they sat at some moment of great intimacy, and had gone from one to the other and had left, like a bee with honey, laden with the moment.",-0.09576207025774852,28,59,"It is Clarissa herself, he thought, with a deep emotion, and an extraordinarily clear, yet puzzling,"
255,sentimentr_sentiword,valley,666,But what room?,0.5841902186540444,35,3,But what room?
312,sentimentr_lmcd,valley,697,"And why, after all, does one do it?",-0.004215251265221835,29,8,"And why, after all, does one do it?"
32,baseline_textblob,peak,709,There was a dignity about her.,0.01634591581132693,29,6,There was a dignity about her.
224,sentimentr_senticnet,valley,715,"Still if she stopped he would say ""Come and have an ice,"" he would say, and she would answer, perfectly simply, ""Oh yes.""",-0.24598584508233112,27,23,"Still if she stopped he would say ""Come and have an ice,"" he would say, and she would answer, perfec"
357,transformer_roberta15lg,peak,729,Where should he go?,0.35856008828397296,33,4,Where should he go?
47,baseline_textblob,valley,734,"Like the pulse of a perfect heart, life struck straight through the streets.",-0.02030167062500962,29,13,"Like the pulse of a perfect heart, life struck straight through the streets."
342,syuzhetr_syuzhet,valley,766,"By conviction an atheist perhaps, he is taken by surprise with moments of extraordinary exaltation.",-0.6563050056542239,22,15,"By conviction an atheist perhaps, he is taken by surprise with moments of extraordinary exaltation."
18,baseline_vader,valley,769,"Such are the visions which proffer great cornucopias full of fruit to the solitary traveller, or murmur in his ear like sirens lolloping away on the green sea waves, or are dashed in his face like bunches of roses, or rise to the surface like pale faces which fishermen flounder through floods to embrace.",0.040657907757471475,29,54,"Such are the visions which proffer great cornucopias full of fruit to the solitary traveller, or mur"
106,baseline_stanza,valley,772,Such are the visions.,0.025453991310796436,29,4,Such are the visions.
91,baseline_stanza,peak,774,"So, as the solitary traveller advances down the village street where the women stand knitting and the men dig in the garden, the evening seems ominous; the figures still; as if some august fate, known to them, awaited without fear, were about to sweep them into complete annihilation.",0.032362407538562926,29,48,"So, as the solitary traveller advances down the village street where the women stand knitting and th"
137,sentimentr_jockers,valley,802,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wanting to talk, but afraid, and Clarissa did frighten people.",-0.25990217478039623,26,27,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wa"
167,sentimentr_jockers,valley,802,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wanting to talk, but afraid, and Clarissa did frighten people.",-0.678297035749585,22,27,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wa"
373,transformer_roberta15lg,valley,802,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wanting to talk, but afraid, and Clarissa did frighten people.",-1.404133194266511,15,27,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wa"
210,sentimentr_senticnet,peak,806,"She flung herself upon him, went into raptures.",-1.2804286717404703,16,8,"She flung herself upon him, went into raptures."
196,sentimentr_huliu,valley,808,They had always this queer power of communicating without words.,-0.2721951760124012,26,10,They had always this queer power of communicating without words.
285,sentimentr_nrc,valley,812,It was the way their quarrels often began.,-0.7835121398365898,21,8,It was the way their quarrels often began.
299,sentimentr_lmcd,peak,818,"He grew more and more gloomy, not about that only; about everything.",0.5109653789166043,34,12,"He grew more and more gloomy, not about that only; about everything."
3,baseline_vader,peak,821,Yet Heaven knows he loved her.,0.017876435626485238,29,6,Yet Heaven knows he loved her.
77,baseline_flair,valley,825,"There she sat in her white Cashmere shawl, with her head against the window--a formidable old lady, but kind to him, for he had found her some rare flower, and she was a great botanist, marching off in thick boots with a black collecting-box slung between her shoulders.",-0.216036507214315,27,48,"There she sat in her white Cashmere shawl, with her head against the window--a formidable old lady, "
271,sentimentr_nrc,peak,835,She introduced him to everybody as Wickham.,0.03838967101161549,29,7,She introduced him to everybody as Wickham.
256,sentimentr_sentiword,valley,836,"At last he said ""My name is Dalloway!""--that was his first view of Richard--a fair young man, rather awkward, sitting on a deck-chair, and blurting out ""My name is Dalloway!""",-0.6628642415246015,22,30,"At last he said ""My name is Dalloway!""--that was his first view of Richard--a fair young man, rather"
328,syuzhetr_syuzhet,peak,844,He could hear her describing the moon.,0.03201044840927236,29,7,He could hear her describing the moon.
122,sentimentr_jockers,peak,845,And they all went out.,0.6308245522177844,35,5,And they all went out.
152,sentimentr_jockers,peak,845,And they all went out.,0.2849970409611448,32,5,And they all went out.
313,sentimentr_lmcd,valley,887,"For example, the vivid green moss.",0.07489544741468171,30,6,"For example, the vivid green moss."
225,sentimentr_senticnet,valley,888,She did not move.,-1.6996118823607314,12,4,She did not move.
182,sentimentr_huliu,peak,891,"She seemed contracted, petrified.",0.5835183240226429,35,4,"She seemed contracted, petrified."
48,baseline_textblob,valley,899,"She turned, she left him, went away.",-0.14117067099345143,28,7,"She turned, she left him, went away."
63,baseline_flair,peak,920,Why not left in Milan?,-0.11302919068635026,28,5,Why not left in Milan?
343,syuzhetr_syuzhet,valley,926,"She was like a bird sheltering under the thin hollow of a leaf, who blinks at the sun when the leaf moves; starts at the crack of a dry twig.",-1.2721662013952455,16,30,"She was like a bird sheltering under the thin hollow of a leaf, who blinks at the sun when the leaf "
19,baseline_vader,valley,931,"She must go back and tell him, go back to him sitting there on the green chair under the tree, talking to himself, or to that dead man Evans, whom she had only seen once for a moment in the shop.",-0.09981428984552833,28,41,"She must go back and tell him, go back to him sitting there on the green chair under the tree, talki"
107,baseline_stanza,valley,936,She had given up her home.,-0.09545986348533449,28,6,She had given up her home.
241,sentimentr_sentiword,peak,950,"But he began to talk aloud, answering people, arguing, laughing, crying, getting very excited and making her write things down.",0.8090942936655279,37,20,"But he began to talk aloud, answering people, arguing, laughing, crying, getting very excited and ma"
33,baseline_textblob,peak,977,His body was macerated until only the nerve fibres were left.,-0.04538071171921129,29,11,His body was macerated until only the nerve fibres were left.
300,sentimentr_lmcd,peak,984,Music began clanging against the rocks up here.,1.3399257475022093,42,8,Music began clanging against the rocks up here.
358,transformer_roberta15lg,peak,986,"This boy's elegy is played among the traffic, thought Septimus.",0.05031619220407207,30,10,"This boy's elegy is played among the traffic, thought Septimus."
272,sentimentr_nrc,peak,994,He had only to open his eyes; but a weight was on them; a fear.,1.7708557696673002,47,15,He had only to open his eyes; but a weight was on them; a fear.
168,sentimentr_jockers,valley,1024,He was looking at them.,-0.018948203963777676,29,5,He was looking at them.
197,sentimentr_huliu,valley,1025,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously.",0.12349389003738348,30,14,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously."
138,sentimentr_jockers,valley,1025,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously.",0.4226609622989898,33,14,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously."
374,transformer_roberta15lg,valley,1025,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously.",-1.720827667441313,12,14,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously."
78,baseline_flair,valley,1028,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning.,-0.09144166593989798,28,16,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning
286,sentimentr_nrc,valley,1028,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning.,0.6076317762091037,35,16,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning
257,sentimentr_sentiword,valley,1048,As hard as nails she was--Betty What'shername--; but a thorough good sort.,-0.4271042777384553,25,12,As hard as nails she was--Betty What'shername--; but a thorough good sort.
226,sentimentr_senticnet,valley,1060,He would be certain to marry one of the Royal Princesses.,-0.554373458504775,23,11,He would be certain to marry one of the Royal Princesses.
49,baseline_textblob,valley,1063,"Oh, but he was such a dear, so unselfish, gave up shooting to please his old mother--remembered his aunts' birthdays, and so on.",0.0023537910511574407,29,23,"Oh, but he was such a dear, so unselfish, gave up shooting to please his old mother--remembered his "
92,baseline_stanza,peak,1068,"""He's read nothing, thought nothing, felt nothing,"" he could hear her saying in that very emphatic voice which carried so much farther than she knew.",0.22748137601681714,31,25,"""He's read nothing, thought nothing, felt nothing,"" he could hear her saying in that very emphatic v"
211,sentimentr_senticnet,peak,1100,How could she let him hold forth about Shakespeare?,0.5466876109409115,34,9,How could she let him hold forth about Shakespeare?
64,baseline_flair,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,0.019131621878894448,29,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
4,baseline_vader,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,0.040247796922807305,29,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
183,sentimentr_huliu,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,1.5781046207918727,45,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
123,sentimentr_jockers,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,1.785184757951911,47,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
153,sentimentr_jockers,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,1.6578110150951808,46,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
329,syuzhetr_syuzhet,peak,1104,The only thing to do was to pelt him with sugared almonds--it was at dinner.,1.295934732479084,42,15,The only thing to do was to pelt him with sugared almonds--it was at dinner.
20,baseline_vader,valley,1128,"Those ruffians, the Gods, shan't have it all their own way,--her notion being that the Gods, who never lost a chance of hurting, thwarting and spoiling human lives were seriously put out if, all the same, you behaved like a lady. That phase came directly after Sylvia's death--that horrible affair.",-0.015297466736424067,29,50,"Those ruffians, the Gods, shan't have it all their own way,--her notion being that the Gods, who nev"
314,sentimentr_lmcd,valley,1146,"A whole lifetime was too short to bring out, now that one had acquired the power, the full flavour; to extract every ounce of pleasure, every shade of meaning; which both were so much more solid than they used to be, so much less personal.",0.814269477232319,37,45,"A whole lifetime was too short to bring out, now that one had acquired the power, the full flavour; "
344,syuzhetr_syuzhet,valley,1149,"Could it be that he was in love with her then, remembering the misery, the torture, the extraordinary passion of those days?",0.6840987733115327,36,22,"Could it be that he was in love with her then, remembering the misery, the torture, the extraordinar"
359,transformer_roberta15lg,peak,1151,"And that perhaps was the reason why, when the ship actually sailed, he felt an extraordinary relief, wanted nothing so much as to be alone; was annoyed to find all her little attentions--cigars, notes, a rug for the voyage--in his cabin.",1.1709920238330376,41,41,"And that perhaps was the reason why, when the ship actually sailed, he felt an extraordinary relief,"
34,baseline_textblob,peak,1153,"But then these astonishing accesses of emotion--bursting into tears this morning, what was all that about? What could Clarissa have thought of him? thought him a fool presumably, not for the first time. It was jealousy that was at the bottom of it--jealousy which survives every other passion of mankind, Peter Walsh thought, holding his pocket-knife at arm's length.",0.09205266583031993,30,59,"But then these astonishing accesses of emotion--bursting into tears this morning, what was all that "
242,sentimentr_sentiword,peak,1154,"She had been meeting Major Orde, Daisy said in her last letter; said it on purpose he knew; said it to make him jealous; he could see her wrinkling her forehead as she wrote, wondering what she could say to hurt him; and yet it made no difference; he was furious!",0.33983937467803893,32,51,"She had been meeting Major Orde, Daisy said in her last letter; said it on purpose he knew; said it "
273,sentimentr_nrc,peak,1157,"But women, he thought, shutting his pocket-knife, don't know what passion is.",0.45429172550486574,34,12,"But women, he thought, shutting his pocket-knife, don't know what passion is."
108,baseline_stanza,valley,1195,He went to France to save an England which consisted almost entirely of Shakespeare's plays and Miss Isabel Pole in a green dress walking in a square.,0.17551719255509635,31,27,He went to France to save an England which consisted almost entirely of Shakespeare's plays and Miss
301,sentimentr_lmcd,peak,1218,"Every hat that passed, she would examine; and the cloak and the dress and the way the woman held herself.",1.2873200961093434,42,20,"Every hat that passed, she would examine; and the cloak and the dress and the way the woman held her"
93,baseline_stanza,peak,1229,"She respected these Englishmen, and wanted to see London, and the English horses, and the tailor-made suits, and could remember hearing how wonderful the shops were, from an Aunt who had married and lived in Soho.",0.17496913340150477,31,36,"She respected these Englishmen, and wanted to see London, and the English horses, and the tailor-mad"
79,baseline_flair,valley,1240,Dante the same.,-0.1032521057053291,28,3,Dante the same.
50,baseline_textblob,valley,1252,But she must have a boy.,-0.011196408089564906,29,6,But she must have a boy.
198,sentimentr_huliu,valley,1267,They never saw him drawing pictures of them naked at their antics in his notebook.,-2.111365435663693,8,15,They never saw him drawing pictures of them naked at their antics in his notebook.
139,sentimentr_jockers,valley,1267,They never saw him drawing pictures of them naked at their antics in his notebook.,-1.6506978255756835,13,15,They never saw him drawing pictures of them naked at their antics in his notebook.
