,sent_clean
24,and everywhere  though it was still so early  there was a beating  a stirring of galloping ponies  tapping of cricket bats  lords  ascot  ranelagh and all the rest of it  wrapped in the soft mesh of the grey blue morning air  which  as the day wore on  would unwind them  and set down on their lawns and pitches the bouncing ponies  whose forefeet just struck the ground and up they sprung  the whirling young men  and laughing girls in their transparent muslins who  even now  after dancing all night  were taking their absurd woolly dogs for a run  and even now  at this hour  discreet old dowagers were shooting out in their motor cars on errands of mystery  and the shopkeepers were fidgeting in their windows with their paste and diamonds  their lovely old sea green brooches in eighteenth century settings to tempt americans  but one must economise  not buy things rashly for elizabeth   and she  too  loving it as she did with an absurd and faithful passion  being part of it  since her people were courtiers once in the time of the georges  she  too  was going that very night to kindle and illuminate  to give her party 
25,but how strange  on entering the park  the silence  the mist  the hum  the slow swimming happy ducks  the pouched birds waddling  and who should be coming along with his back against the government buildings  most appropriately  carrying a despatch box stamped with the royal arms  who but hugh whitbread  her old friend hugh  the admirable hugh 
26, good morning to you  clarissa   said hugh  rather extravagantly  for they had known each other as children 
27, where are you off to  
28, i love walking in london   said mrs  dalloway 
29, really it is better than walking in the country  
30,they had just come up  unfortunately  to see doctors 
31,other people came to see pictures  go to the opera  take their daughters out  the whitbreads came  to see doctors  
32,times without number clarissa had visited evelyn whitbread in a nursing home 
33,was evelyn ill again 
34,evelyn was a good deal out of sorts  said hugh  intimating by a kind of pout or swell of his very well covered  manly  extremely handsome  perfectly upholstered body  he was almost too well dressed always  but presumably had to be  with his little job at court  that his wife had some internal ailment  nothing serious  which  as an old friend  clarissa dalloway would quite understand without requiring him to specify 
35,ah yes  she did of course  what a nuisance  and felt very sisterly and oddly conscious at the same time of her hat 
36,not the right hat for the early morning  was that it 
37,for hugh always made her feel  as he bustled on  raising his hat rather extravagantly and assuring her that she might be a girl of eighteen  and of course he was coming to her party to night  evelyn absolutely insisted  only a little late he might be after the party at the palace to which he had to take one of jim own boys   she always felt a little skimpy beside hugh  schoolgirlish  but attached to him  partly from having known him always  but she did think him a good sort in his own way  though richard was nearly driven mad by him  and as for peter walsh  he had never to this day forgiven her for liking him 
38,she could remember scene after scene at bourton  peter furious  hugh not  of course  his match in any way  but still not a positive imbecile as peter made out  not a mere barber own block 
39,when his old mother wanted him to give up shooting or to take her to bath he did it  without a word  he was really unselfish  and as for saying  as peter did  that he had no heart  no brain  nothing but the manners and breeding of an english gentleman  that was only her dear peter at his worst  and he could be intolerable  he could be impossible  but adorable to walk with on a morning like this 
40, june had drawn out every leaf on the trees  the mothers of pimlico gave suck to their young  messages were passing from the fleet to the admiralty  arlington street and piccadilly seemed to chafe the very air in the park and lift its leaves hotly  brilliantly  on waves of that divine vitality which clarissa loved  to dance  to ride  she had adored all that  
41,for they might be parted for hundreds of years  she and peter  she never wrote a letter and his were dry sticks  but suddenly it would come over her  if he were with me now what would he say   some days  some sights bringing him back to her calmly  without the old bitterness  which perhaps was the reward of having cared for people  they came back in the middle of st  james own park on a fine morning  indeed they did 
42,but peter  however beautiful the day might be  and the trees and the grass  and the little girl in pink  peter never saw a thing of all that 
43,he would put on his spectacles  if she told him to  he would look 
44,it was the state of the world that interested him  wagner  pope own poetry  people own characters eternally  and the defects of her own soul 
45,how he scolded her 
46,how they argued 
47,she would marry a prime minister and stand at the top of a staircase  the perfect hostess he called her  she had cried over it in her bedroom   she had the makings of the perfect hostess  he said 
48,so she would still find herself arguing in st  james own park  still making out that she had been right  and she had too  not to marry him 
49,for in marriage a little licence  a little independence there must be between people living together day in day out in the same house  which richard gave her  and she him 
50, where was he this morning for instance  some committee  she never asked what  
51,but with peter everything had to be shared  everything gone into 
52,and it was intolerable  and when it came to that scene in the little garden by the fountain  she had to break with him or they would have been destroyed  both of them ruined  she was convinced  though she had borne about with her for years like an arrow sticking in her heart the grief  the anguish  and then the horror of the moment when some one told her at a concert that he had married a woman met on the boat going to india 
53,never should she forget all that 
54,cold  heartless  a prude  he called her 
55,never could she understand how he cared 
56,but those indian women did presumably  silly  pretty  flimsy nincompoops  and she wasted her pity  for he was quite happy  he assured her  perfectly happy  though he had never done a thing that they talked of  his whole life had been a failure 
57,it made her angry still 
58,she had reached the park gates 
59,she stood for a moment  looking at the omnibuses in piccadilly 
60,she would not say of any one in the world now that they were this or were that 
61,she felt very young  at the same time unspeakably aged 
62,she sliced like a knife through everything  at the same time was outside  looking on 
63,she had a perpetual sense  as she watched the taxi cabs  of being out  out  far out to sea and alone  she always had the feeling that it was very  very dangerous to live even one day 
64,not that she thought herself clever  or much out of the ordinary 
65,how she had got through life on the few twigs of knowledge fr ulein daniels gave them she could not think 
66,she knew nothing  no language  no history  she scarcely read a book now  except memoirs in bed  and yet to her it was absolutely absorbing  all this  the cabs passing  and she would not say of peter  she would not say of herself  i am this  i am that 
67,her only gift was knowing people almost by instinct  she thought  walking on 
68,if you put her in a room with some one  up went her back like a cat own  or she purred 
69,devonshire house  bath house  the house with the china cockatoo  she had seen them all lit up once  and remembered sylvia  fred  sally seton  such hosts of people  and dancing all night  and the waggons plodding past to market  and driving home across the park 
70,she remembered once throwing a shilling into the serpentine 
71,but every one remembered  what she loved was this  here  now  in front of her  the fat lady in the cab 
72,did it matter then  she asked herself  walking towards bond street  did it matter that she must inevitably cease completely  all this must go on without her  did she resent it  or did it not become consoling to believe that death ended absolutely 
73,but that somehow in the streets of london  on the ebb and flow of things  here  there  she survived  peter survived  lived in each other  she being part  she was positive  of the trees at home  of the house there  ugly  rambling all to bits and pieces as it was  part of people she had never met  being laid out like a mist between the people she knew best  who lifted her on their branches as she had seen the trees lift the mist  but it spread ever so far  her life  herself 
74,but what was she dreaming as she looked into hatchards  shop window 
75,what was she trying to recover 
76,what image of white dawn in the country  as she read in the book spread open 
77,fear no more the heat of the sun nor the furious winter own rages 
78,this late age of the world own experience had bred in them all  all men and women  a well of tears 
79,tears and sorrows  courage and endurance  a perfectly upright and stoical bearing 
80,think  for example  of the woman she admired most  lady bexborough  opening the bazaar 
81,there were jorrocks  jaunts and jollities  there were soapy sponge and mrs  asquith own memoirs and big game shooting in nigeria  all spread open 
82,ever so many books there were  but none that seemed exactly right to take to evelyn whitbread in her nursing home 
83,nothing that would serve to amuse her and make that indescribably dried up little woman look  as clarissa came in  just for a moment cordial  before they settled down for the usual interminable talk of women own ailments 
84,how much she wanted it  that people should look pleased as she came in  clarissa thought and turned and walked back towards bond street  annoyed  because it was silly to have other reasons for doing things 
85,much rather would she have been one of those people like richard who did things for themselves  whereas  she thought  waiting to cross  half the time she did things not simply  not for themselves  but to make people think this or that  perfect idiocy she knew  and now the policeman held up his hand  for no one was ever for a second taken in 
86,oh if she could have had her life over again  she thought  stepping on to the pavement  could have looked even differently 
87,she would have been  in the first place  dark like lady bexborough  with a skin of crumpled leather and beautiful eyes 
88,she would have been  like lady bexborough  slow and stately  rather large  interested in politics like a man  with a country house  very dignified  very sincere 
89,instead of which she had a narrow pea stick figure  a ridiculous little face  beaked like a bird own 
90,that she held herself well was true  and had nice hands and feet  and dressed well  considering that she spent little 
91,but often now this body she wore  she stopped to look at a dutch picture   this body  with all its capacities  seemed nothing  nothing at all 
92,she had the oddest sense of being herself invisible  unseen  unknown  there being no more marrying  no more having of children now  but only this astonishing and rather solemn progress with the rest of them  up bond street  this being mrs  dalloway  not even clarissa any more  this being mrs  richard dalloway 
93,bond street fascinated her  bond street early in the morning in the season  its flags flying  its shops  no splash  no glitter  one roll of tweed in the shop where her father had bought his suits for fifty years  a few pearls  salmon on an iceblock 
94, that is all   she said  looking at the fishmonger own 
95, that is all   she repeated  pausing for a moment at the window of a glove shop where  before the war  you could buy almost perfect gloves 
96,and her old uncle william used to say a lady is known by her shoes and her gloves 
97,he had turned on his bed one morning in the middle of the war 
98,he had said   i have had enough  
99,gloves and shoes  she had a passion for gloves  but her own daughter  her elizabeth  cared not a straw for either of them 
100,not a straw  she thought  going on up bond street to a shop where they kept flowers for her when she gave a party 
101,elizabeth really cared for her dog most of all 
102,the whole house this morning smelt of tar 
103,still  better poor grizzle than miss kilman  better distemper and tar and all the rest of it than sitting mewed in a stuffy bedroom with a prayer book 
104,better anything  she was inclined to say 
105,but it might be only a phase  as richard said  such as all girls go through 
106,it might be falling in love 
107,but why with miss kilman 
108,who had been badly treated of course  one must make allowances for that  and richard said she was very able  had a really historical mind 
109,anyhow they were inseparable  and elizabeth  her own daughter  went to communion  and how she dressed  how she treated people who came to lunch she did not care a bit  it being her experience that the religious ecstasy made people callous  so did causes   dulled their feelings  for miss kilman would do anything for the russians  starved herself for the austrians  but in private inflicted positive torture  so insensitive was she  dressed in a green mackintosh coat 
110,year in year out she wore that coat  she perspired  she was never in the room five minutes without making you feel her superiority  your inferiority  how poor she was  how rich you were  how she lived in a slum without a cushion or a bed or a rug or whatever it might be  all her soul rusted with that grievance sticking in it  her dismissal from school during the war  poor embittered unfortunate creature 
111,for it was not her one hated but the idea of her  which undoubtedly had gathered in to itself a great deal that was not miss kilman  had become one of those spectres with which one battles in the night  one of those spectres who stand astride us and suck up half our life blood  dominators and tyrants  for no doubt with another throw of the dice  had the black been uppermost and not the white  she would have loved miss kilman 
112,but not in this world 
113,it rasped her  though  to have stirring about in her this brutal monster  to hear twigs cracking and feel hooves planted down in the depths of that leaf encumbered forest  the soul  never to be content quite  or quite secure  for at any moment the brute would be stirring  this hatred  which  especially since her illness  had power to make her feel scraped  hurt in her spine  gave her physical pain  and made all pleasure in beauty  in friendship  in being well  in being loved and making her home delightful rock  quiver  and bend as if indeed there were a monster grubbing at the roots  as if the whole panoply of content were nothing but self love  this hatred 
114,nonsense  nonsense  she cried to herself  pushing through the swing doors of mulberry own the florists 
115,she advanced  light  tall  very upright  to be greeted at once by button faced miss pym  whose hands were always bright red  as if they had been stood in cold water with the flowers 
116,there were flowers  delphiniums  sweet peas  bunches of lilac  and carnations  masses of carnations 
117,there were roses  there were irises 
118,ah yes  so she breathed in the earthy garden sweet smell as she stood talking to miss pym who owed her help  and thought her kind  for kind she had been years ago  very kind  but she looked older  this year  turning her head from side to side among the irises and roses and nodding tufts of lilac with her eyes half closed  snuffing in  after the street uproar  the delicious scent  the exquisite coolness  and then  opening her eyes  how fresh like frilled linen clean from a laundry laid in wicker trays the roses looked  and dark and prim the red carnations  holding their heads up  and all the sweet peas spreading in their bowls  tinged violet  snow white  pale  as if it were the evening and girls in muslin frocks came out to pick sweet peas and roses after the superb summer own day  with its almost blue black sky  its delphiniums  its carnations  its arum lilies was over  and it was the moment between six and seven when every flower  roses  carnations  irises  lilac  glows  white  violet  red  deep orange  every flower seems to burn by itself  softly  purely in the misty beds  and how she loved the grey white moths spinning in and out  over the cherry pie  over the evening primroses 
119,and as she began to go with miss pym from jar to jar  choosing  nonsense  nonsense  she said to herself  more and more gently  as if this beauty  this scent  this colour  and miss pym liking her  trusting her  were a wave which she let flow over her and surmount that hatred  that monster  surmount it all  and it lifted her up and up when  oh  a pistol shot in the street outside 
120, dear  those motor cars   said miss pym  going to the window to look  and coming back and smiling apologetically with her hands full of sweet peas  as if those motor cars  those tyres of motor cars  were all her fault 
121,the violent explosion which made mrs  dalloway jump and miss pym go to the window and apologise came from a motor car which had drawn to the side of the pavement precisely opposite mulberry own shop window 
122,passers by who  of course  stopped and stared  had just time to see a face of the very greatest importance against the dove grey upholstery  before a male hand drew the blind and there was nothing to be seen except a square of dove grey 
123,yet rumours were at once in circulation from the middle of bond street to oxford street on one side  to atkinson own scent shop on the other  passing invisibly  inaudibly  like a cloud  swift  veil like upon hills  falling indeed with something of a cloud own sudden sobriety and stillness upon faces which a second before had been utterly disorderly 
124,but now mystery had brushed them with her wing  they had heard the voice of authority  the spirit of religion was abroad with her eyes bandaged tight and her lips gaping wide 
125,but nobody knew whose face had been seen 
126,was it the prince of wales own  the queen own  the prime minister own 
127,whose face was it 
128,nobody knew 
129,edgar j  watkiss  with his roll of lead piping round his arm  said audibly  humorously of course   the proime minister own kyar  
130,septimus warren smith  who found himself unable to pass  heard him 
131,septimus warren smith  aged about thirty  pale faced  beak nosed  wearing brown shoes and a shabby overcoat  with hazel eyes which had that look of apprehension in them which makes complete strangers apprehensive too 
132,the world has raised its whip  where will it descend 
133,everything had come to a standstill 
134,the throb of the motor engines sounded like a pulse irregularly drumming through an entire body 
135,the sun became extraordinarily hot because the motor car had stopped outside mulberry own shop window  old ladies on the tops of omnibuses spread their black parasols  here a green  here a red parasol opened with a little pop 
136,mrs  dalloway  coming to the window with her arms full of sweet peas  looked out with her little pink face pursed in enquiry 
137,every one looked at the motor car 
138,septimus looked 
139,boys on bicycles sprang off 
140,traffic accumulated 
141,and there the motor car stood  with drawn blinds  and upon them a curious pattern like a tree  septimus thought  and this gradual drawing together of everything to one centre before his eyes  as if some horror had come almost to the surface and was about to burst into flames  terrified him 
142,the world wavered and quivered and threatened to burst into flames 
143,it is i who am blocking the way  he thought 
144,was he not being looked at and pointed at  was he not weighted there  rooted to the pavement  for a purpose 
145,but for what purpose 
146, let us go on  septimus   said his wife  a little woman  with large eyes in a sallow pointed face  an italian girl 
147,but lucrezia herself could not help looking at the motor car and the tree pattern on the blinds 
148,was it the queen in there  the queen going shopping 
149,the chauffeur  who had been opening something  turning something  shutting something  got on to the box 
150, come on   said lucrezia 
151,but her husband  for they had been married four  five years now  jumped  started  and said   all right   angrily  as if she had interrupted him 
152,people must notice  people must see 
153,people  she thought  looking at the crowd staring at the motor car  the english people  with their children and their horses and their clothes  which she admired in a way  but they were  people  now  because septimus had said   i will kill myself   an awful thing to say 
154,suppose they had heard him 
155,she looked at the crowd 
156,help  help  she wanted to cry out to butchers  boys and women 
157,help 
158,only last autumn she and septimus had stood on the embankment wrapped in the same cloak and  septimus reading a paper instead of talking  she had snatched it from him and laughed in the old man own face who saw them 
159,but failure one conceals 
160,she must take him away into some park 
161, now we will cross   she said 
162,she had a right to his arm  though it was without feeling 
163,he would give her  who was so simple  so impulsive  only twenty four  without friends in england  who had left italy for his sake  a piece of bone 
164,the motor car with its blinds drawn and an air of inscrutable reserve proceeded towards piccadilly  still gazed at  still ruffling the faces on both sides of the street with the same dark breath of veneration whether for queen  prince  or prime minister nobody knew 
165,the face itself had been seen only once by three people for a few seconds 
166,even the sex was now in dispute 
167,but there could be no doubt that greatness was seated within  greatness was passing  hidden  down bond street  removed only by a hand own breadth from ordinary people who might now  for the first and last time  be within speaking distance of the majesty of england  of the enduring symbol of the state which will be known to curious antiquaries  sifting the ruins of time  when london is a grass grown path and all those hurrying along the pavement this wednesday morning are but bones with a few wedding rings mixed up in their dust and the gold stoppings of innumerable decayed teeth 
168,the face in the motor car will then be known 
169,it is probably the queen  thought mrs  dalloway  coming out of mulberry own with her flowers  the queen 
170,and for a second she wore a look of extreme dignity standing by the flower shop in the sunlight while the car passed at a foot own pace  with its blinds drawn 
171,the queen going to some hospital  the queen opening some bazaar  thought clarissa 
172,the crush was terrific for the time of day 
173,lords  ascot  hurlingham  what was it 
174,she wondered  for the street was blocked 
175,the british middle classes sitting sideways on the tops of omnibuses with parcels and umbrellas  yes  even furs on a day like this  were  she thought  more ridiculous  more unlike anything there has ever been than one could conceive  and the queen herself held up  the queen herself unable to pass 
176,clarissa was suspended on one side of brook street  sir john buckhurst  the old judge on the other  with the car between them  sir john had laid down the law for years and liked a well dressed woman  when the chauffeur  leaning ever so slightly  said or showed something to the policeman  who saluted and raised his arm and jerked his head and moved the omnibus to the side and the car passed through 
177,slowly and very silently it took its way 
178,clarissa guessed  clarissa knew of course  she had seen something white  magical  circular  in the footman own hand  a disc inscribed with a name   the queen own  the prince of wales own  the prime minister own   which  by force of its own lustre  burnt its way through  clarissa saw the car diminishing  disappearing   to blaze among candelabras  glittering stars  breasts stiff with oak leaves  hugh whitbread and all his colleagues  the gentlemen of england  that night in buckingham palace 
179,and clarissa  too  gave a party 
180,she stiffened a little  so she would stand at the top of her stairs 
181,the car had gone  but it had left a slight ripple which flowed through glove shops and hat shops and tailors  shops on both sides of bond street 
182,for thirty seconds all heads were inclined the same way  to the window  choosing a pair of gloves  should they be to the elbow or above it  lemon or pale grey   ladies stopped  when the sentence was finished something had happened 
183,something so trifling in single instances that no mathematical instrument  though capable of transmitting shocks in china  could register the vibration  yet in its fulness rather formidable and in its common appeal emotional  for in all the hat shops and tailors  shops strangers looked at each other and thought of the dead  of the flag  of empire 
184,in a public house in a back street a colonial insulted the house of windsor which led to words  broken beer glasses  and a general shindy  which echoed strangely across the way in the ears of girls buying white underlinen threaded with pure white ribbon for their weddings 
185,for the surface agitation of the passing car as it sunk grazed something very profound 
186,gliding across piccadilly  the car turned down st  james own street 
187,tall men  men of robust physique  well dressed men with their tail coats and their white slips and their hair raked back who  for reasons difficult to discriminate  were standing in the bow window of brooks own with their hands behind the tails of their coats  looking out  perceived instinctively that greatness was passing  and the pale light of the immortal presence fell upon them as it had fallen upon clarissa dalloway 
188,at once they stood even straighter  and removed their hands  and seemed ready to attend their sovereign  if need be  to the cannon own mouth  as their ancestors had done before them 
189,the white busts and the little tables in the background covered with copies of the tatler and syphons of soda water seemed to approve  seemed to indicate the flowing corn and the manor houses of england  and to return the frail hum of the motor wheels as the walls of a whispering gallery return a single voice expanded and made sonorous by the might of a whole cathedral 
190,shawled moll pratt with her flowers on the pavement wished the dear boy well  it was the prince of wales for certain  and would have tossed the price of a pot of beer  a bunch of roses  into st  james own street out of sheer light heartedness and contempt of poverty had she not seen the constable own eye upon her  discouraging an old irishwoman own loyalty 
191,the sentries at st  james own saluted  queen alexandra own policeman approved 
192,a small crowd meanwhile had gathered at the gates of buckingham palace 
193,listlessly  yet confidently  poor people all of them  they waited  looked at the palace itself with the flag flying  at victoria  billowing on her mound  admired her shelves of running water  her geraniums  singled out from the motor cars in the mall first this one  then that  bestowed emotion  vainly  upon commoners out for a drive  recalled their tribute to keep it unspent while this car passed and that  and all the time let rumour accumulate in their veins and thrill the nerves in their thighs at the thought of royalty looking at them  the queen bowing  the prince saluting  at the thought of the heavenly life divinely bestowed upon kings  of the equerries and deep curtsies  of the queen own old doll own house  of princess mary married to an englishman  and the prince  ah  the prince  who took wonderfully  they said  after old king edward  but was ever so much slimmer 
194,the prince lived at st  james own  but he might come along in the morning to visit his mother 
195,so sarah bletchley said with her baby in her arms  tipping her foot up and down as though she were by her own fender in pimlico  but keeping her eyes on the mall  while emily coates ranged over the palace windows and thought of the housemaids  the innumerable housemaids  the bedrooms  the innumerable bedrooms 
196,joined by an elderly gentleman with an aberdeen terrier  by men without occupation  the crowd increased 
197,little mr  bowley  who had rooms in the albany and was sealed with wax over the deeper sources of life but could be unsealed suddenly  inappropriately  sentimentally  by this sort of thing  poor women waiting to see the queen go past  poor women  nice little children  orphans  widows  the war  tut tut  actually had tears in his eyes 
198,a breeze flaunting ever so warmly down the mall through the thin trees  past the bronze heroes  lifted some flag flying in the british breast of mr  bowley and he raised his hat as the car turned into the mall and held it high as the car approached  and let the poor mothers of pimlico press close to him  and stood very upright 
199,the car came on 
200,suddenly mrs  coates looked up into the sky 
201,the sound of an aeroplane bored ominously into the ears of the crowd 
202,there it was coming over the trees  letting out white smoke from behind  which curled and twisted  actually writing something  making letters in the sky 
203,every one looked up 
204,dropping dead down the aeroplane soared straight up  curved in a loop  raced  sank  rose  and whatever it did  wherever it went  out fluttered behind it a thick ruffled bar of white smoke which curled and wreathed upon the sky in letters 
205,but what letters 
206,a c was it 
207,an e  then an l 
208,only for a moment did they lie still  then they moved and melted and were rubbed out up in the sky  and the aeroplane shot further away and again  in a fresh space of sky  began writing a k  an e  a y perhaps 
209, glaxo   said mrs  coates in a strained  awe stricken voice  gazing straight up  and her baby  lying stiff and white in her arms  gazed straight up 
210, kreemo   murmured mrs  bletchley  like a sleep walker 
211,with his hat held out perfectly still in his hand  mr  bowley gazed straight up 
212,all down the mall people were standing and looking up into the sky 
213,as they looked the whole world became perfectly silent  and a flight of gulls crossed the sky  first one gull leading  then another  and in this extraordinary silence and peace  in this pallor  in this purity  bells struck eleven times  the sound fading up there among the gulls 
214,the aeroplane turned and raced and swooped exactly where it liked  swiftly  freely  like a skater  
215, that is an e   said mrs  bletchley  or a dancer  
216, it is toffee   murmured mr  bowley   and the car went in at the gates and nobody looked at it   and shutting off the smoke  away and away it rushed  and the smoke faded and assembled itself round the broad white shapes of the clouds 
217,it had gone  it was behind the clouds 
218,there was no sound 
219,the clouds to which the letters e  g  or l had attached themselves moved freely  as if destined to cross from west to east on a mission of the greatest importance which would never be revealed  and yet certainly so it was  a mission of the greatest importance  then suddenly  as a train comes out of a tunnel  the aeroplane rushed out of the clouds again  the sound boring into the ears of all people in the mall  in the green park  in piccadilly  in regent street  in regent own park  and the bar of smoke curved behind and it dropped down  and it soared up and wrote one letter after another  but what word was it writing 
220,lucrezia warren smith  sitting by her husband own side on a seat in regent own park in the broad walk  looked up 
221, look  look  septimus   she cried 
222,for dr  holmes had told her to make her husband  who had nothing whatever seriously the matter with him but was a little out of sorts  take an interest in things outside himself 
223,so  thought septimus  looking up  they are signalling to me 
224,not indeed in actual words  that is  he could not read the language yet  but it was plain enough  this beauty  this exquisite beauty  and tears filled his eyes as he looked at the smoke words languishing and melting in the sky and bestowing upon him in their inexhaustible charity and laughing goodness one shape after another of unimaginable beauty and signalling their intention to provide him  for nothing  for ever  for looking merely  with beauty  more beauty 
225,tears ran down his cheeks 
226,it was toffee  they were advertising toffee  a nursemaid told rezia 
227,together they began to spell t       o       f
228, k       are        said the nursemaid  and septimus heard her say  kay arr  close to his ear  deeply  softly  like a mellow organ  but with a roughness in her voice like a grasshopper own  which rasped his spine deliciously and sent running up into his brain waves of sound which  concussing  broke 
229,a marvellous discovery indeed  that the human voice in certain atmospheric conditions  for one must be scientific  above all scientific  can quicken trees into life 
230,happily rezia put her hand with a tremendous weight on his knee so that he was weighted down  transfixed  or the excitement of the elm trees rising and falling  rising and falling with all their leaves alight and the colour thinning and thickening from blue to the green of a hollow wave  like plumes on horses  heads  feathers on ladies   so proudly they rose and fell  so superbly  would have sent him mad 
231,but he would not go mad 
232,he would shut his eyes  he would see no more 
233,but they beckoned  leaves were alive  trees were alive 
234,and the leaves being connected by millions of fibres with his own body  there on the seat  fanned it up and down  when the branch stretched he  too  made that statement 
235,the sparrows fluttering  rising  and falling in jagged fountains were part of the pattern  the white and blue  barred with black branches 
236,sounds made harmonies with premeditation  the spaces between them were as significant as the sounds 
237,a child cried 
238,rightly far away a horn sounded 
239,all taken together meant the birth of a new religion  
240, septimus   said rezia 
241,he started violently 
242,people must notice 
243, i am going to walk to the fountain and back   she said 
244,for she could stand it no longer 
245,dr  holmes might say there was nothing the matter 
246,far rather would she that he were dead 
247,she could not sit beside him when he stared so and did not see her and made everything terrible  sky and tree  children playing  dragging carts  blowing whistles  falling down  all were terrible 
248,and he would not kill himself  and she could tell no one 
249, septimus has been working too hard   that was all she could say to her own mother  to love makes one solitary  she thought  she could tell nobody  not even septimus now  and looking back  she saw him sitting in his shabby overcoat alone  on the seat  hunched up  staring  and it was cowardly for a man to say he would kill himself  but septimus had fought  he was brave  he was not septimus now  she put on her lace collar  she put on her new hat and he never noticed  and he was happy without her  nothing could make her happy without him  nothing  he was selfish  so men are  for he was not ill  dr  holmes said there was nothing the matter with him  she spread her hand before her  look  her wedding ring slipped  she had grown so thin 
250,it was she who suffered  but she had nobody to tell 
251,far was italy and the white houses and the room where her sisters sat making hats  and the streets crowded every evening with people walking  laughing out loud  not half alive like people here  huddled up in bath chairs  looking at a few ugly flowers stuck in pots 
252, for you should see the milan gardens   she said aloud 
253,but to whom 
254,there was nobody 
255,her words faded 
256,so a rocket fades 
257,its sparks  having grazed their way into the night  surrender to it  dark descends  pours over the outlines of houses and towers  bleak hillsides soften and fall in 
258,but though they are gone  the night is full of them  robbed of colour  blank of windows  they exist more ponderously  give out what the frank daylight fails to transmit  the trouble and suspense of things conglomerated there in the darkness  huddled together in the darkness  reft of the relief which dawn brings when  washing the walls white and grey  spotting each window pane  lifting the mist from the fields  showing the red brown cows peacefully grazing  all is once more decked out to the eye  exists again 
259,i am alone  i am alone  she cried  by the fountain in regent own park  staring at the indian and his cross   as perhaps at midnight  when all boundaries are lost  the country reverts to its ancient shape  as the romans saw it  lying cloudy  when they landed  and the hills had no names and rivers wound they knew not where  such was her darkness  when suddenly  as if a shelf were shot forth and she stood on it  she said how she was his wife  married years ago in milan  his wife  and would never  never tell that he was mad  turning  the shelf fell  down  down she dropped  for he was gone  she thought  gone  as he threatened  to kill himself  to throw himself under a cart 
260,but no  there he was  still sitting alone on the seat  in his shabby overcoat  his legs crossed  staring  talking aloud 
261,men must not cut down trees 
262,there is a god 
263, he noted such revelations on the backs of envelopes  
264,change the world 
265,no one kills from hatred 
266,make it known  he wrote it down  
267,he waited 
268,he listened 
269,a sparrow perched on the railing opposite chirped septimus  septimus  four or five times over and went on  drawing its notes out  to sing freshly and piercingly in greek words how there is no crime and  joined by another sparrow  they sang in voices prolonged and piercing in greek words  from trees in the meadow of life beyond a river where the dead walk  how there is no death 
270,there was his hand  there the dead 
271,white things were assembling behind the railings opposite 
272,but he dared not look 
273,evans was behind the railings 
274, what are you saying   said rezia suddenly  sitting down by him 
275,interrupted again 
276,she was always interrupting 
