,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
30,baseline_textblob,peak,229,"A marvellous discovery indeed--that the human voice in certain atmospheric conditions (for one must be scientific, above all scientific) can quicken trees into life!",-0.05926728202021355,27,24,A marvellous discovery indeed--that the human voice in certain atmospheric conditions (for one must 
15,baseline_vader,valley,252,"""For you should see the Milan gardens,"" she said aloud.",-0.11072249910915535,27,10,"""For you should see the Milan gardens,"" she said aloud."
134,sentimentr_jockers,valley,253,But to whom?,-0.9724438958808838,18,3,But to whom?
45,baseline_textblob,valley,276,She was always interrupting.,-0.12371363886400168,27,4,She was always interrupting.
179,transformer_roberta15lg,peak,320,"Pity she asked of Maisie Johnson, standing by the hyacinth beds.",0.836260482772427,36,11,"Pity she asked of Maisie Johnson, standing by the hyacinth beds."
61,baseline_flair,peak,347,"""Fear no more,"" said Clarissa.",-0.08065705038415373,27,5,"""Fear no more,"" said Clarissa."
120,sentimentr_jockers,peak,350,No vulgar jealousy could separate her from Richard.,0.11470227646064712,29,8,No vulgar jealousy could separate her from Richard.
104,baseline_stanza,valley,390,She had rushed off in a passion.,0.030942107978354727,28,7,She had rushed off in a passion.
75,baseline_flair,valley,396,"They meant to found a society to abolish private property, and actually had a letter written, though not sent out.",-0.12316386445648152,27,20,"They meant to found a society to abolish private property, and actually had a letter written, though"
164,syuzhetr_syuzhet,valley,399,"There was her way with flowers, for instance.",-1.4875163580759303,13,8,"There was her way with flowers, for instance."
195,transformer_roberta15lg,valley,404,"She was untidy, Papa said.",-0.6285389684205702,22,5,"She was untidy, Papa said."
135,sentimentr_jockers,valley,414,"But she could remember going cold with excitement, and doing her hair in a kind of ecstasy (now the old feeling began to come back to her, as she took out her hairpins, laid them on the dressing-table, began to do her hair), with the rooks flaunting up and down in the pink evening light, and dressing, and going downstairs, and feeling as she crossed the hall ""if it were now to die 'twere now to be most happy.""",-0.8054401255856453,20,79,"But she could remember going cold with excitement, and doing her hair in a kind of ecstasy (now the "
16,baseline_vader,valley,417,"She seemed, anyhow, all light, glowing, like some bird or air ball that has flown in, attached itself for a moment to a bramble.",-0.058322896392564494,27,24,"She seemed, anyhow, all light, glowing, like some bird or air ball that has flown in, attached itsel"
1,baseline_vader,peak,449,It was true.,0.022528053111550254,28,3,It was true.
150,syuzhetr_syuzhet,peak,449,It was true.,-0.15113781568364532,26,3,It was true.
89,baseline_stanza,peak,454,Months and months of it were still untouched.,0.07951013391615698,29,8,Months and months of it were still untouched.
180,transformer_roberta15lg,peak,483,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried.",1.2974104787592962,41,16,"""Take it away! Give it to Mrs. Walker with my compliments! Take it away!"" she cried."
31,baseline_textblob,peak,486,"""But, thank you, Lucy, oh, thank you,"" said Mrs. Dalloway, and thank you, thank you, she went on saying (sitting down on the sofa with her dress over her knees, her scissors, her silks), thank you, thank you, she went on saying in gratitude to her servants generally for helping her to be like this, to be what she wanted, gentle, generous-hearted.",-0.01021362679162093,28,62,"""But, thank you, Lucy, oh, thank you,"" said Mrs. Dalloway, and thank you, thank you, she went on say"
165,syuzhetr_syuzhet,valley,559,"""Yes,"" said Peter.",-0.7891378125787576,20,3,"""Yes,"" said Peter."
46,baseline_textblob,valley,561,Stop!,-0.06560650500827817,27,1,Stop!
136,sentimentr_jockers,valley,575,"So Peter Walsh and Clarissa, sitting side by side on the blue sofa, challenged each other.",0.5103203506509364,33,16,"So Peter Walsh and Clarissa, sitting side by side on the blue sofa, challenged each other."
17,baseline_vader,valley,578,"""Millions of things!"" he exclaimed, and, urged by the assembly of powers which were now charging this way and that and giving him the feeling at once frightening and extremely exhilarating of being rushed through the air on the shoulders of people he could no longer see, he raised his hands to his forehead.",0.06763876704773084,29,54,"""Millions of things!"" he exclaimed, and, urged by the assembly of powers which were now charging thi"
105,baseline_stanza,valley,580,"""I am in love,"" he said, not to her however, but to some one raised up in the dark so that you could not touch her but must lay your garland down on the grass in the dark.",0.05444956148998584,28,38,"""I am in love,"" he said, not to her however, but to some one raised up in the dark so that you could"
62,baseline_flair,peak,587,"He has that, she felt; he is in love.",0.008463671391412493,28,9,"He has that, she felt; he is in love."
90,baseline_stanza,peak,615,She had gone up into the tower alone and left them blackberrying in the sun.,0.1346108513540034,29,15,She had gone up into the tower alone and left them blackberrying in the sun.
151,syuzhetr_syuzhet,peak,629,"The sound of Big Ben striking the half-hour struck out between them with extraordinary vigour, as if a young man, strong, indifferent, inconsiderate, were swinging dumb-bells this way and that.",0.3600672291471372,32,30,"The sound of Big Ben striking the half-hour struck out between them with extraordinary vigour, as if"
2,baseline_vader,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",0.13292545617250848,29,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
121,sentimentr_jockers,peak,633,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to himself rhythmically, in time with the flow of the sound, the direct downright sound of Big Ben striking the half-hour.",1.4795660742926406,43,37,"Remember my party, remember my party, said Peter Walsh as he stepped down the street, speaking to hi"
196,transformer_roberta15lg,valley,643,"The way she said ""Here is my Elizabeth!""--that annoyed him.",0.07002287174782985,29,10,"The way she said ""Here is my Elizabeth!""--that annoyed him."
76,baseline_flair,valley,665,"It is Clarissa herself, he thought, with a deep emotion, and an extraordinarily clear, yet puzzling, recollection of her, as if this bell had come into the room years ago, where they sat at some moment of great intimacy, and had gone from one to the other and had left, like a bee with honey, laden with the moment.",-0.09576207025774852,27,59,"It is Clarissa herself, he thought, with a deep emotion, and an extraordinarily clear, yet puzzling,"
32,baseline_textblob,peak,709,There was a dignity about her.,0.01634591581132693,28,6,There was a dignity about her.
181,transformer_roberta15lg,peak,729,Where should he go?,0.35856008828397296,32,4,Where should he go?
47,baseline_textblob,valley,734,"Like the pulse of a perfect heart, life struck straight through the streets.",-0.02030167062500962,28,13,"Like the pulse of a perfect heart, life struck straight through the streets."
166,syuzhetr_syuzhet,valley,766,"By conviction an atheist perhaps, he is taken by surprise with moments of extraordinary exaltation.",-0.6563050056542239,21,15,"By conviction an atheist perhaps, he is taken by surprise with moments of extraordinary exaltation."
18,baseline_vader,valley,769,"Such are the visions which proffer great cornucopias full of fruit to the solitary traveller, or murmur in his ear like sirens lolloping away on the green sea waves, or are dashed in his face like bunches of roses, or rise to the surface like pale faces which fishermen flounder through floods to embrace.",0.040657907757471475,28,54,"Such are the visions which proffer great cornucopias full of fruit to the solitary traveller, or mur"
106,baseline_stanza,valley,772,Such are the visions.,0.025453991310796436,28,4,Such are the visions.
91,baseline_stanza,peak,774,"So, as the solitary traveller advances down the village street where the women stand knitting and the men dig in the garden, the evening seems ominous; the figures still; as if some august fate, known to them, awaited without fear, were about to sweep them into complete annihilation.",0.032362407538562926,28,48,"So, as the solitary traveller advances down the village street where the women stand knitting and th"
137,sentimentr_jockers,valley,802,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wanting to talk, but afraid, and Clarissa did frighten people.",-0.25990217478039623,25,27,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wa"
197,transformer_roberta15lg,valley,802,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wanting to talk, but afraid, and Clarissa did frighten people.",-1.404133194266511,14,27,"He could see Sally Seton, like a child who has been in mischief, leaning forward, rather flushed, wa"
3,baseline_vader,peak,821,Yet Heaven knows he loved her.,0.017876435626485238,28,6,Yet Heaven knows he loved her.
77,baseline_flair,valley,825,"There she sat in her white Cashmere shawl, with her head against the window--a formidable old lady, but kind to him, for he had found her some rare flower, and she was a great botanist, marching off in thick boots with a black collecting-box slung between her shoulders.",-0.216036507214315,26,48,"There she sat in her white Cashmere shawl, with her head against the window--a formidable old lady, "
152,syuzhetr_syuzhet,peak,844,He could hear her describing the moon.,0.03201044840927236,28,7,He could hear her describing the moon.
122,sentimentr_jockers,peak,845,And they all went out.,0.6308245522177844,34,5,And they all went out.
48,baseline_textblob,valley,899,"She turned, she left him, went away.",-0.14117067099345143,27,7,"She turned, she left him, went away."
63,baseline_flair,peak,920,Why not left in Milan?,-0.11302919068635026,27,5,Why not left in Milan?
167,syuzhetr_syuzhet,valley,926,"She was like a bird sheltering under the thin hollow of a leaf, who blinks at the sun when the leaf moves; starts at the crack of a dry twig.",-1.2721662013952455,15,30,"She was like a bird sheltering under the thin hollow of a leaf, who blinks at the sun when the leaf "
19,baseline_vader,valley,931,"She must go back and tell him, go back to him sitting there on the green chair under the tree, talking to himself, or to that dead man Evans, whom she had only seen once for a moment in the shop.",-0.09981428984552833,27,41,"She must go back and tell him, go back to him sitting there on the green chair under the tree, talki"
107,baseline_stanza,valley,936,She had given up her home.,-0.09545986348533449,27,6,She had given up her home.
33,baseline_textblob,peak,977,His body was macerated until only the nerve fibres were left.,-0.04538071171921129,27,11,His body was macerated until only the nerve fibres were left.
182,transformer_roberta15lg,peak,986,"This boy's elegy is played among the traffic, thought Septimus.",0.05031619220407207,28,10,"This boy's elegy is played among the traffic, thought Septimus."
138,sentimentr_jockers,valley,1025,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously.",0.4226609622989898,32,14,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously."
198,transformer_roberta15lg,valley,1025,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously.",-1.720827667441313,11,14,"""I will tell you the time,"" said Septimus, very slowly, very drowsily, smiling mysteriously."
78,baseline_flair,valley,1028,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning.,-0.09144166593989798,27,16,To be having an awful scene--the poor girl looked absolutely desperate--in the middle of the morning
49,baseline_textblob,valley,1063,"Oh, but he was such a dear, so unselfish, gave up shooting to please his old mother--remembered his aunts' birthdays, and so on.",0.0023537910511574407,28,23,"Oh, but he was such a dear, so unselfish, gave up shooting to please his old mother--remembered his "
92,baseline_stanza,peak,1068,"""He's read nothing, thought nothing, felt nothing,"" he could hear her saying in that very emphatic voice which carried so much farther than she knew.",0.22748137601681714,30,25,"""He's read nothing, thought nothing, felt nothing,"" he could hear her saying in that very emphatic v"
64,baseline_flair,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,0.019131621878894448,28,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
4,baseline_vader,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,0.040247796922807305,28,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
123,sentimentr_jockers,peak,1101,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to read Shakespeare's sonnets because it was like listening at keyholes (besides the relationship was not one that he approved).,1.785184757951911,46,37,Seriously and solemnly Richard Dalloway got on his hind legs and said that no decent man ought to re
153,syuzhetr_syuzhet,peak,1104,The only thing to do was to pelt him with sugared almonds--it was at dinner.,1.295934732479084,41,15,The only thing to do was to pelt him with sugared almonds--it was at dinner.
20,baseline_vader,valley,1128,"Those ruffians, the Gods, shan't have it all their own way,--her notion being that the Gods, who never lost a chance of hurting, thwarting and spoiling human lives were seriously put out if, all the same, you behaved like a lady. That phase came directly after Sylvia's death--that horrible affair.",-0.015297466736424067,28,50,"Those ruffians, the Gods, shan't have it all their own way,--her notion being that the Gods, who nev"
168,syuzhetr_syuzhet,valley,1149,"Could it be that he was in love with her then, remembering the misery, the torture, the extraordinary passion of those days?",0.6840987733115327,35,22,"Could it be that he was in love with her then, remembering the misery, the torture, the extraordinar"
183,transformer_roberta15lg,peak,1151,"And that perhaps was the reason why, when the ship actually sailed, he felt an extraordinary relief, wanted nothing so much as to be alone; was annoyed to find all her little attentions--cigars, notes, a rug for the voyage--in his cabin.",1.1709920238330376,40,41,"And that perhaps was the reason why, when the ship actually sailed, he felt an extraordinary relief,"
34,baseline_textblob,peak,1153,"But then these astonishing accesses of emotion--bursting into tears this morning, what was all that about? What could Clarissa have thought of him? thought him a fool presumably, not for the first time. It was jealousy that was at the bottom of it--jealousy which survives every other passion of mankind, Peter Walsh thought, holding his pocket-knife at arm's length.",0.09205266583031993,29,59,"But then these astonishing accesses of emotion--bursting into tears this morning, what was all that "
108,baseline_stanza,valley,1195,He went to France to save an England which consisted almost entirely of Shakespeare's plays and Miss Isabel Pole in a green dress walking in a square.,0.17551719255509635,30,27,He went to France to save an England which consisted almost entirely of Shakespeare's plays and Miss
93,baseline_stanza,peak,1229,"She respected these Englishmen, and wanted to see London, and the English horses, and the tailor-made suits, and could remember hearing how wonderful the shops were, from an Aunt who had married and lived in Soho.",0.17496913340150477,30,36,"She respected these Englishmen, and wanted to see London, and the English horses, and the tailor-mad"
79,baseline_flair,valley,1240,Dante the same.,-0.1032521057053291,27,3,Dante the same.
50,baseline_textblob,valley,1252,But she must have a boy.,-0.011196408089564906,28,6,But she must have a boy.
139,sentimentr_jockers,valley,1267,They never saw him drawing pictures of them naked at their antics in his notebook.,-1.6506978255756835,11,15,They never saw him drawing pictures of them naked at their antics in his notebook.
5,baseline_vader,peak,1272,"She was very lonely, she was very unhappy!",-0.14345082159224012,26,8,"She was very lonely, she was very unhappy!"
65,baseline_flair,peak,1273,She cried for the first time since they were married.,-0.07092034946522342,27,10,She cried for the first time since they were married.
199,transformer_roberta15lg,valley,1294,"Some hobby, said Dr. Holmes, for did he not owe his own excellent health (and he worked as hard as any man in London) to the fact that he could always switch off from his patients on to old furniture?",-1.7329991169998722,11,40,"Some hobby, said Dr. Holmes, for did he not owe his own excellent health (and he worked as hard as a"
21,baseline_vader,valley,1297,Did he indeed?,-0.1755185331092174,26,3,Did he indeed?
124,sentimentr_jockers,peak,1309,Dr. Holmes came quite regularly every day.,-1.057972153322099,17,7,Dr. Holmes came quite regularly every day.
169,syuzhetr_syuzhet,valley,1313,But Rezia could not understand him.,-1.1815983784921533,16,6,But Rezia could not understand him.
154,syuzhetr_syuzhet,peak,1347,"""Talking nonsense to frighten your wife?""",-0.37252582722453514,24,6,"""Talking nonsense to frighten your wife?"""
109,baseline_stanza,valley,1358,"He had worked very hard; he had won his position by sheer ability (being the son of a shopkeeper); loved his profession; made a fine figurehead at ceremonies and spoke well--all of which had by the time he was knighted given him a heavy look, a weary look (the stream of patients being so incessant, the responsibilities and privileges of his profession so onerous), which weariness, together with his grey hairs, increased the extraordinary distinction of his presence and gave him the reputation (of the utmost importance in dealing with nerve cases) not merely of lightning skill, and almost infallible accuracy in diagnosis but of sympathy; tact; understanding of the human soul. He could see the first moment they came into the room (the Warren Smiths they were called); he was certain directly he saw the man; it was a case of extreme gravity. It was a case of complete breakdown--complete physical and nervous breakdown, with every symptom in an advanced stage, he ascertained in two or three minutes (writing answers to questions, murmured discreetly, on a pink card).",-0.1121786391794072,27,179,He had worked very hard; he had won his position by sheer ability (being the son of a shopkeeper); l
35,baseline_textblob,peak,1371,He really forgot.,0.029427247776902567,28,3,He really forgot.
184,transformer_roberta15lg,peak,1397,There was no alternative.,0.6526974367862455,34,4,There was no alternative.
51,baseline_textblob,valley,1414,But he had talked of killing himself.,-0.045021375618584616,27,7,But he had talked of killing himself.
80,baseline_flair,valley,1419,They fly screaming into the wilderness.,-0.012106313055525526,28,6,They fly screaming into the wilderness.
140,sentimentr_jockers,valley,1427,There was Mr. Brewer's letter on the table.,-0.18517283236477142,26,8,There was Mr. Brewer's letter on the table.
94,baseline_stanza,peak,1442,"Really, he was not fit to be about.",0.0026755534308729022,28,8,"Really, he was not fit to be about."
6,baseline_vader,peak,1448,He had failed them!,-0.04433922533817616,27,4,He had failed them!
66,baseline_flair,peak,1454,"To his patients he gave three-quarters of an hour; and if in this exacting science which has to do with what, after all, we know nothing about--the nervous system, the human brain--a doctor loses his sense of proportion, as a doctor he fails.",0.054079713081795426,28,43,To his patients he gave three-quarters of an hour; and if in this exacting science which has to do w
22,baseline_vader,valley,1460,"At Hyde Park Corner on a tub she stands preaching; shrouds herself in white and walks penitentially disguised as brotherly love through factories and parliaments; offers help, but desires power; smites out of her way roughly the dissentient, or dissatisfied; bestows her blessing on those who, looking upward, catch submissively from her eyes the light of their own.",-0.05766080754957477,27,58,At Hyde Park Corner on a tub she stands preaching; shrouds herself in white and walks penitentially 
125,sentimentr_jockers,peak,1483,"Sir William had a friend in Surrey where they taught, what Sir William frankly admitted was a difficult art--a sense of proportion.",0.45805907611228536,32,22,"Sir William had a friend in Surrey where they taught, what Sir William frankly admitted was a diffic"
155,syuzhetr_syuzhet,peak,1508,Lady Bruton preferred Richard Dalloway of course.,1.6139284217832717,44,7,Lady Bruton preferred Richard Dalloway of course.
110,baseline_stanza,valley,1518,"""Wouldn't they look charming against your lace?""",0.02611725222162657,28,7,"""Wouldn't they look charming against your lace?"""
170,syuzhetr_syuzhet,valley,1518,"""Wouldn't they look charming against your lace?""",0.6981871013186789,35,7,"""Wouldn't they look charming against your lace?"""
200,transformer_roberta15lg,valley,1519,Miss Brush resented this familiarity intensely.,-1.365440467690772,14,6,Miss Brush resented this familiarity intensely.
36,baseline_textblob,peak,1553,"Now, being forty, Lady Bruton had only to nod, or turn her head a little abruptly, and Milly Brush took the signal, however deeply she might be sunk in these reflections of a detached spirit, of an uncorrupted soul whom life could not bamboozle, because life had not offered her a trinket of the slightest value; not a curl, smile, lip, cheek, nose; nothing whatever; Lady Bruton had only to nod, and Perkins was instructed to quicken the coffee.",0.14078244227681888,29,79,"Now, being forty, Lady Bruton had only to nod, or turn her head a little abruptly, and Milly Brush t"
185,transformer_roberta15lg,peak,1610,"Ah dear, she remembered--it was Wednesday in Brook Street.",1.4839809934734718,43,9,"Ah dear, she remembered--it was Wednesday in Brook Street."
7,baseline_vader,peak,1612,"Power was hers, position, income.",0.15959004981009034,30,5,"Power was hers, position, income."
95,baseline_stanza,peak,1613,She had lived in the forefront of her time.,0.08168341286833064,29,9,She had lived in the forefront of her time.
67,baseline_flair,peak,1614,She had had good friends; known the ablest men of her day.,0.1535967421237725,29,12,She had had good friends; known the ablest men of her day.
23,baseline_vader,valley,1623,"The speed of the morning traffic slackened, and single carts rattled carelessly down half-empty streets.",0.11179107782614696,29,15,"The speed of the morning traffic slackened, and single carts rattled carelessly down half-empty stre"
126,sentimentr_jockers,peak,1643,All of which seemed to Richard Dalloway awfully odd.,1.2599553360108189,41,9,All of which seemed to Richard Dalloway awfully odd.
156,syuzhetr_syuzhet,peak,1670,But it did make his blood boil to see little creatures of five or six crossing Piccadilly alone.,0.5955435686951719,34,18,But it did make his blood boil to see little creatures of five or six crossing Piccadilly alone.
111,baseline_stanza,valley,1693,Why should Mrs. Marsham interfere?,-0.030510373867500072,28,5,Why should Mrs. Marsham interfere?
52,baseline_textblob,valley,1710,How lovely they looked! she said.,0.07574246246523614,29,6,How lovely they looked! she said.
81,baseline_flair,valley,1715,Must she ask Ellie Henderson?,0.04529255536638084,28,5,Must she ask Ellie Henderson?
171,syuzhetr_syuzhet,valley,1715,Must she ask Ellie Henderson?,-0.8917813452022636,19,5,Must she ask Ellie Henderson?
201,transformer_roberta15lg,valley,1715,Must she ask Ellie Henderson?,-1.2071776357336952,16,5,Must she ask Ellie Henderson?
141,sentimentr_jockers,valley,1740,"""Kilman arrives just as we've done lunch,"" she said.",-1.1979846302848243,16,9,"""Kilman arrives just as we've done lunch,"" she said."
37,baseline_textblob,peak,1748,"And if Mrs. Marsham gave a party, did she invite her guests?",0.1282941627242809,29,12,"And if Mrs. Marsham gave a party, did she invite her guests?"
186,transformer_roberta15lg,peak,1769,"And people would say, ""Clarissa Dalloway is spoilt.""",-0.17513710010065447,26,8,"And people would say, ""Clarissa Dalloway is spoilt."""
96,baseline_stanza,peak,1772,"But Richard was already at the House of Commons; at his Committee, having settled all her difficulties.",-0.10878269382577586,27,17,"But Richard was already at the House of Commons; at his Committee, having settled all her difficulti"
8,baseline_vader,peak,1778,"As a person who has dropped some grain of pearl or diamond into the grass and parts the tall blades very carefully, this way and that, and searches here and there vainly, and at last spies it there at the roots, so she went through one thing and another; no, it was not Sally Seton saying that Richard would never be in the Cabinet because he had a second-class brain (it came back to her); no, she did not mind that; nor was it to do with Elizabeth either and Doris Kilman; those were facts.",0.008469749274638004,28,95,As a person who has dropped some grain of pearl or diamond into the grass and parts the tall blades 
127,sentimentr_jockers,peak,1807,"Here was So-and-so in South Kensington; some one up in Bayswater; and somebody else, say, in Mayfair.",-1.0019881957338856,18,17,"Here was So-and-so in South Kensington; some one up in Bayswater; and somebody else, say, in Mayfair"
68,baseline_flair,peak,1837,"And then, just as she might have had a chance at Miss Dolby's school, the war came; and she had never been able to tell lies.",0.09863575943303053,29,26,"And then, just as she might have had a chance at Miss Dolby's school, the war came; and she had neve"
24,baseline_vader,valley,1844,Mr. Dalloway had come across her working for the Friends.,-0.0767365033997665,27,10,Mr. Dalloway had come across her working for the Friends.
112,baseline_stanza,valley,1853,"Bitter and burning, Miss Kilman had turned into a church two years three months ago.",-0.2225538396441381,26,15,"Bitter and burning, Miss Kilman had turned into a church two years three months ago."
53,baseline_textblob,valley,1873,"But this was God's will, not Miss Kilman's.",-0.08225996927681468,27,8,"But this was God's will, not Miss Kilman's."
172,syuzhetr_syuzhet,valley,1883,Miss Kilman said she was.,-1.7632450633586776,10,5,Miss Kilman said she was.
142,sentimentr_jockers,valley,1899,"There was something solemn in it--but love and religion would destroy that, whatever it was, the privacy of the soul.",-2.8418639472907423,0,20,"There was something solemn in it--but love and religion would destroy that, whatever it was, the pri"
202,transformer_roberta15lg,valley,1901,Yet it was a sight that made her want to cry.,-2.8407626206504935,0,11,Yet it was a sight that made her want to cry.
82,baseline_flair,valley,1902,Love destroyed too.,0.00977598082789623,28,3,Love destroyed too.
38,baseline_textblob,peak,1940,She was not good.,-0.027040033206761304,28,4,She was not good.
9,baseline_vader,peak,1940,She was not good.,-0.08794693848569567,27,4,She was not good.
187,transformer_roberta15lg,peak,1953,She might buy anything.,-1.3622625403319346,14,4,She might buy anything.
97,baseline_stanza,peak,1979,"When people are happy, they have a reserve, she had told Elizabeth, upon which to draw, whereas she was like a wheel without a tyre (she was fond of such metaphors), jolted by every pebble, so she would say staying on after the lesson standing by the fire-place with her bag of books, her ""satchel,"" she called it, on a Tuesday morning, after the lesson was over.",-0.07214565885330054,27,67,"When people are happy, they have a reserve, she had told Elizabeth, upon which to draw, whereas she "
157,syuzhetr_syuzhet,peak,1980,And she talked too about the war.,-0.30208418718880037,25,7,And she talked too about the war.
25,baseline_vader,valley,2011,Miss Kilman said.,-0.1550824515894459,26,3,Miss Kilman said.
128,sentimentr_jockers,peak,2032,Was Miss Kilman going to say anything more?,-1.5580699737304395,12,8,Was Miss Kilman going to say anything more?
173,syuzhetr_syuzhet,valley,2048,"In the midst of the traffic, there was the habitation of God.",-0.915932764643088,19,12,"In the midst of the traffic, there was the habitation of God."
54,baseline_textblob,valley,2052,"New worshippers came in from the street to replace the strollers, and still, as people gazed round and shuffled past the tomb of the Unknown Warrior, still she barred her eyes with her fingers and tried in this double darkness, for the light in the Abbey was bodiless, to aspire above the vanities, the desires, the commodities, to rid herself both of hatred and of love.",-0.08656253229025691,27,66,"New worshippers came in from the street to replace the strollers, and still, as people gazed round a"
143,sentimentr_jockers,valley,2058,"He had to pass her, and being himself neat as a new pin, could not help being a little distressed by the poor lady's disorder; her hair down; her parcel on the floor.",-1.6418152813424016,12,33,"He had to pass her, and being himself neat as a new pin, could not help being a little distressed by"
203,transformer_roberta15lg,valley,2063,She thought perhaps she need not go home just yet.,-1.7613757932234582,10,10,She thought perhaps she need not go home just yet.
69,baseline_flair,peak,2100,It was so serious; it was so busy.,0.0842048427497179,29,8,It was so serious; it was so busy.
39,baseline_textblob,peak,2106,It seemed so silly.,-0.00592810781878518,28,4,It seemed so silly.
188,transformer_roberta15lg,peak,2115,"There was no recognition in it of one fortune, or fate, and for that very reason even to those dazed with watching for the last shivers of consciousness on the faces of the dying, consoling.",-0.27328729266206525,25,35,"There was no recognition in it of one fortune, or fate, and for that very reason even to those dazed"
113,baseline_stanza,valley,2123,"Signs were interchanged, when, as if to fulfil some scheme arranged already, now a summit dwindled, now a whole block of pyramidal size which had kept its station inalterably advanced into the midst or gravely led the procession to fresh anchorage.",-0.15148526746303553,26,41,"Signs were interchanged, when, as if to fulfil some scheme arranged already, now a summit dwindled, "
83,baseline_flair,valley,2145,And once they found the girl who did the room reading one of these papers in fits of laughter.,0.02291874947939458,28,19,And once they found the girl who did the room reading one of these papers in fits of laughter.
98,baseline_stanza,peak,2169,Mrs. Peters was a big woman; but she did not like her.,-0.12218808382709358,27,12,Mrs. Peters was a big woman; but she did not like her.
10,baseline_vader,peak,2194,"He shaded his eyes so that he might see only a little of her face at a time, first the chin, then the nose, then the forehead, in case it were deformed, or had some terrible mark on it.",-0.04710581086066772,27,39,"He shaded his eyes so that he might see only a little of her face at a time, first the chin, then th"
