parag_no,parag_raw,char_len,token_len,parag_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob
10,"""We share it too."" She spoke as though she was referring only to herself and me, rather than all of electrochemically charged humanity.",135,23,we share it too she spoke as though she was referring only to herself and me rather than all of electrochemically charged humanity,1.2379218747655498,0.00044798851013183594,-0.06237590312957764,,
11,"She was twenty-two, mature for her years and ten years younger than me. From a long perspective, there was not much between us. We were gloriously young. But I considered myself at a different stage of life. My formal education was far behind me. I would suffered a series of professional and financial and personal failures. I regarded myself as too hard-bitten, too cynical for a lovely young woman like Miranda. And though she was beautiful, with pale brown hair and a long thin face, and eyes that often appeared narrowed by suppressed mirth, and though in certain moods I looked at her in wonder, I would decided early on to confine her in the role of kind, neighbourly friend. We shared an entrance hall and her tiny apartment was right over mine. We saw each other for a coffee now and then to talk about relationships and politics and all the rest. With pitch-perfect neutrality she gave the impression of being at ease with the possibilities. To her, it seemed, an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat. She was relaxed in my company and I preferred to think that sex would ruin everything. We remained good chums. But there was something alluringly secretive or restrained about her. Perhaps, without knowing it, I had been in love with her for months. Without knowing it? What a flimsy formulation that was!",1383,240,she was twentytwo mature for her years and ten years younger than me from a long perspective there was not much between us we were gloriously young but i considered myself at a different stage of life my formal education was far behind me i would suffered a series of professional and financial and personal failures i regarded myself as too hardbitten too cynical for a lovely young woman like miranda and though she was beautiful with pale brown hair and a long thin face and eyes that often appeared narrowed by suppressed mirth and though in certain moods i looked at her in wonder i would decided early on to confine her in the role of kind neighbourly friend we shared an entrance hall and her tiny apartment was right over mine we saw each other for a coffee now and then to talk about relationships and politics and all the rest with pitchperfect neutrality she gave the impression of being at ease with the possibilities to her it seemed an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat she was relaxed in my company and i preferred to think that sex would ruin everything we remained good chums but there was something alluringly secretive or restrained about her perhaps without knowing it i had been in love with her for months without knowing it what a flimsy formulation that was,2.2165107510177076,3.9980103373527527,-6.734512507915497,,
12,"Reluctantly, we agreed to turn our backs on Adam and on each other for a while. Miranda had a seminar to attend north of the river, I had emails to write. By the early seventies, digital communication had discarded its air of convenience and become a daily chore. Likewise the 250 mph trains--crowded and dirty. Speech-recognition software, a fifties miracle, had long turned to drudge, with entire populations sacrificing hours each day to lonely soliloquising. Brain--machine interfacing, wild fruit of sixties optimism, could barely arouse the interest of a child. What people queued the entire weekend for became, six months later, as interesting as the socks on their feet. What happened to the cognition-enhancing helmets, the speaking fridges with a sense of smell? Gone the way of the mouse pad, the Filofax, the electric carving knife, the fondue set. The future kept arriving. Our bright new toys began to rust before we could get them home, and life went on much as before.",984,163,reluctantly we agreed to turn our backs on adam and on each other for a while miranda had a seminar to attend north of the river i had emails to write by the early seventies digital communication had discarded its air of convenience and become a daily chore likewise the  mph trainscrowded and dirty speechrecognition software a fifties miracle had long turned to drudge with entire populations sacrificing hours each day to lonely soliloquising brainmachine interfacing wild fruit of sixties optimism could barely arouse the interest of a child what people queued the entire weekend for became six months later as interesting as the socks on their feet what happened to the cognitionenhancing helmets the speaking fridges with a sense of smell gone the way of the mouse pad the filofax the electric carving knife the fondue set the future kept arriving our bright new toys began to rust before we could get them home and life went on much as before,1.26665698422623,-6.994471728801727,0.9480407238006592,,
13,"Would Adam become a bore? it is not easy, to dictate while trying to ward off a bout of buyer's remorse. Surely other people, other minds, must continue to fascinate us. As artificial people became more like us, then became us, then became more than us, we could never tire of them. They were bound to surprise us. They might fail us in ways that were beyond our imagining. Tragedy was a possibility, but not boredom. What was tedious was the prospect of the user's guide. Instructions. My prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep. On an old-fashioned impulse, I was printing out the manual, then looking for a folder. All the while, I continued to dictate emails.",747,135,would adam become a bore it is not easy to dictate while trying to ward off a bout of buyers remorse surely other people other minds must continue to fascinate us as artificial people became more like us then became us then became more than us we could never tire of them they were bound to surprise us they might fail us in ways that were beyond our imagining tragedy was a possibility but not boredom what was tedious was the prospect of the users guide instructions my prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep on an oldfashioned impulse i was printing out the manual then looking for a folder all the while i continued to dictate emails,0.30607956800618363,-3.621755063533783,-1.987671673297882,,
14,"I could not think of myself as Adam's ""user."" I would assumed there was nothing to learn about him that he could not teach me himself. But the manual in my hands had fallen open at Chapter Fourteen. Here the English was plain: preferences; personality parameters. Then a set of headings--Agreeableness. Extraversion. Openness to experience. Conscientiousness. Emotional stability. The list was familiar to me. The Five Factor model. Educated as I was in the humanities, I was suspicious of such reductive categories, though I knew from a friend in psychology that each item had many subgroups. Glancing at the next page I saw that I was supposed to select various settings on a scale of one to ten.",698,118,i could not think of myself as adams user i would assumed there was nothing to learn about him that he could not teach me himself but the manual in my hands had fallen open at chapter fourteen here the english was plain preferences personality parameters then a set of headingsagreeableness extraversion openness to experience conscientiousness emotional stability the list was familiar to me the five factor model educated as i was in the humanities i was suspicious of such reductive categories though i knew from a friend in psychology that each item had many subgroups glancing at the next page i saw that i was supposed to select various settings on a scale of one to ten,0.2539420784171373,4.947974920272827,-2.97709983587265,,
15,"I would been expecting a friend. I was ready to treat Adam as a guest in my home, as an unknown I would come to know. I would thought he would arrive optimally adjusted. Factory settings--a contemporary synonym for fate. My friends, family and acquaintances all had appeared in my life with fixed settings, with unalterable histories of genes and environment. I wanted my expensive new friend to do the same. Why leave it to me? But of course I knew the answer. Not many of us are optimally adjusted. Gentle Jesus? Humble Darwin? One every 1,800 years. Even if it knew the best, the least harmful parameters of personality, which it could not, a worldwide corporation with a precious reputation could not risk a mishap. Caveat emptor.",734,128,i would been expecting a friend i was ready to treat adam as a guest in my home as an unknown i would come to know i would thought he would arrive optimally adjusted factory settingsa contemporary synonym for fate my friends family and acquaintances all had appeared in my life with fixed settings with unalterable histories of genes and environment i wanted my expensive new friend to do the same why leave it to me but of course i knew the answer not many of us are optimally adjusted gentle jesus humble darwin one every  years even if it knew the best the least harmful parameters of personality which it could not a worldwide corporation with a precious reputation could not risk a mishap caveat emptor,0.2849141236128618,3.9021560549736023,-0.1012716293334961,,
16,"God had once delivered a fully formed companion for the benefit of the original Adam. I had to devise one for myself. Here was Extraversion and a graded set of childish statements. He loves to be the life and soul of the party and He knows how to entertain people and lead them. And at the bottom, He feels uncomfortable around other people and He prefers his own company. Here in the middle was, He likes a good party but he is always happy to come home. This was me. But should I be replicating myself? If I was to choose from the middle of each scale I might devise the soul of blandness. Extraversion appeared to include its antonym. There was a long adjectival list with boxes to tick: outgoing, shy, excitable, talkative, withdrawn, boastful, modest, bold, energetic, moody. I wanted none of them, not for him, not for myself.",832,151,god had once delivered a fully formed companion for the benefit of the original adam i had to devise one for myself here was extraversion and a graded set of childish statements he loves to be the life and soul of the party and he knows how to entertain people and lead them and at the bottom he feels uncomfortable around other people and he prefers his own company here in the middle was he likes a good party but he is always happy to come home this was me but should i be replicating myself if i was to choose from the middle of each scale i might devise the soul of blandness extraversion appeared to include its antonym there was a long adjectival list with boxes to tick outgoing shy excitable talkative withdrawn boastful modest bold energetic moody i wanted none of them not for him not for myself,0.2581445816958787,0.04552197456359863,-2.0419477224349976,,
17,"Apart from my moments of crazed decisions, I passed most of my life, especially when alone, in a state of mood neutrality, with my personality, whatever that was, in suspension. Not bold, not withdrawn. Simply here, neither content nor morose, but carrying out tasks, thinking about dinner or sex, staring at the screen, taking a shower. Intermittent regrets about the past, occasional forebodings about the future, barely aware of the present, except in the obvious sensory realm. Psychology, once so interested in the trillion ways the mind goes awry, was now drawn to what it considered the common emotions, from grief to joy. But it had overlooked a vast domain of everyday existence: absent illness, famine, war or other stresses, a lot of life is lived in the neutral zone, a familiar garden, but a grey one, unremarkable, immediately forgotten, hard to describe. At the time, I was not to know that these graded options would have little effect on Adam. The real determinant was what was known as ""machine learning."" The user's handbook merely granted an illusion of influence and control, the kind of illusion parents have in relation to their children's personalities. It was a way of binding me to my purchase and providing legal protection for the manufacturer. ""Take your time,"" the manual advised. ""Choose carefully. Allow yourself several weeks, if necessary.""",1374,225,apart from my moments of crazed decisions i passed most of my life especially when alone in a state of mood neutrality with my personality whatever that was in suspension not bold not withdrawn simply here neither content nor morose but carrying out tasks thinking about dinner or sex staring at the screen taking a shower intermittent regrets about the past occasional forebodings about the future barely aware of the present except in the obvious sensory realm psychology once so interested in the trillion ways the mind goes awry was now drawn to what it considered the common emotions from grief to joy but it had overlooked a vast domain of everyday existence absent illness famine war or other stresses a lot of life is lived in the neutral zone a familiar garden but a grey one unremarkable immediately forgotten hard to describe at the time i was not to know that these graded options would have little effect on adam the real determinant was what was known as machine learning the users handbook merely granted an illusion of influence and control the kind of illusion parents have in relation to their childrens personalities it was a way of binding me to my purchase and providing legal protection for the manufacturer take your time the manual advised choose carefully allow yourself several weeks if necessary,1.2708500456148548,2.9427563548088074,-6.946214258670807,,
18,"I let half an hour pass before I checked on him again. No change. Still at the table, arms pushed out straight before him, eyes closed. But I thought his hair, deepest black, was bulked out a little and had acquired a certain shine, as though he would just had a shower. Stepping closer, I saw to my delight that though he was not breathing, there was, by his left breast, a regular pulse, steady and calm, about one a second by my inexperienced guess. How reassuring. He had no blood to pump around, but this simulation had an effect. My doubts faded just a little. I felt protective towards Adam, even as I knew how absurd it was. I stretched out my hand and laid it over his heart and felt against my palm its calm, iambic tread. I sensed I was violating his private space. These vital signs were easy to believe in. The warmth of his skin, the firmness and yield of the muscle below it--my reason said plastic or some such, but my touch responded to flesh.",960,181,i let half an hour pass before i checked on him again no change still at the table arms pushed out straight before him eyes closed but i thought his hair deepest black was bulked out a little and had acquired a certain shine as though he would just had a shower stepping closer i saw to my delight that though he was not breathing there was by his left breast a regular pulse steady and calm about one a second by my inexperienced guess how reassuring he had no blood to pump around but this simulation had an effect my doubts faded just a little i felt protective towards adam even as i knew how absurd it was i stretched out my hand and laid it over his heart and felt against my palm its calm iambic tread i sensed i was violating his private space these vital signs were easy to believe in the warmth of his skin the firmness and yield of the muscle below itmy reason said plastic or some such but my touch responded to flesh,1.3336211240393303,0.8200821876525879,0.9946702718734741,,
19,"It was eerie, to be standing by this naked man, struggling between what I knew and what I felt. I walked behind him, partly to be out of range of eyes that could open at any moment and find me looming over him. He was muscular around his neck and spine. Dark hair grew along the line of his shoulders. His buttocks displayed muscular concavities. Below them, an athlete's knotted calves. I had not wanted a superman. I regretted once more that I would been too late for an Eve.",477,90,it was eerie to be standing by this naked man struggling between what i knew and what i felt i walked behind him partly to be out of range of eyes that could open at any moment and find me looming over him he was muscular around his neck and spine dark hair grew along the line of his shoulders his buttocks displayed muscular concavities below them an athletes knotted calves i had not wanted a superman i regretted once more that i would been too late for an eve,1.3369295253558158,-2.0000423789024353,-0.0346757173538208,,
20,"On my way out of the room I paused to look back and experienced one of those moments that can derange the emotional life: a startling realisation of the obvious, an absurd leap of understanding into what one already knows. I stood with one hand resting on the doorknob. It must have been Adam's nakedness and physical presence that prompted the insight, but I was not looking at him. It was the butter dish. Also, two plates and cups, two knives and two spoons scattered across the table. The remains of my long afternoon with Miranda. Two wooden chairs were pushed back from the table, turned companionably towards each other.",627,110,on my way out of the room i paused to look back and experienced one of those moments that can derange the emotional life a startling realisation of the obvious an absurd leap of understanding into what one already knows i stood with one hand resting on the doorknob it must have been adams nakedness and physical presence that prompted the insight but i was not looking at him it was the butter dish also two plates and cups two knives and two spoons scattered across the table the remains of my long afternoon with miranda two wooden chairs were pushed back from the table turned companionably towards each other,0.29354359224419785,-0.9377573728561401,-1.0741678476333618,,
21,"We had become closer this past month. We talked easily. I saw how precious she was to me and how carelessly I could lose her. I should have said something by now. I would taken her for granted. Some unfortunate event, some person, a fellow student, could get between us. Her face, her voice, her manner, both reticent and clear-headed, were sharply present. The feel of her hand in mine, that lost, preoccupied manner she had. Yes, we had become very close and I would failed to notice it was happening. I was an idiot. I had to tell her.",538,100,we had become closer this past month we talked easily i saw how precious she was to me and how carelessly i could lose her i should have said something by now i would taken her for granted some unfortunate event some person a fellow student could get between us her face her voice her manner both reticent and clearheaded were sharply present the feel of her hand in mine that lost preoccupied manner she had yes we had become very close and i would failed to notice it was happening i was an idiot i had to tell her,1.33637506321882,3.0190104842185974,2.946889042854309,,
22,"I went back into my office, which doubled as my bedroom. Between the desk and the bed there was enough space in which to walk up and down. That she knew nothing about my feelings was now an anxious matter. Describing them would be embarrassing, perilous. She was a neighbour, a friend, a kind of sister. I would be addressing a person I did not yet know. She would be obliged to step out from behind a screen, or remove a mask and speak to me in terms I had never heard from her. I am so sorry... I like you very much but, you see ... Or she would be horrified. Or, just possibly, overjoyed to hear the one thing she had longed for, or to say herself but dreaded rejection. By chance, we were currently both free. She must have thought about it, about us. It was not an impossible fantasy. I would have to tell her face to face. Unbearable. Unavoidable. And so it went on, in tightening cycles. Restless, I went back next door. I saw no change in Adam as I brushed past to get to the fridge, where there was a half-full bottle of white Bordeaux. I sat facing him and raised my glass. To love. This time, I felt less tenderness. I saw Adam for what it was, an inanimate confection whose heartbeat was a regular electrical discharge, whose skin warmth was mere chemistry. When activated, some kind of microscopic balance-wheel device would prise open his eyes. He would seem to see me, but he would be blind. Not even blind. When it kicked in, another system would give a semblance of breath, but not of life. A man newly in love knows what life is.",1547,293,i went back into my office which doubled as my bedroom between the desk and the bed there was enough space in which to walk up and down that she knew nothing about my feelings was now an anxious matter describing them would be embarrassing perilous she was a neighbour a friend a kind of sister i would be addressing a person i did not yet know she would be obliged to step out from behind a screen or remove a mask and speak to me in terms i had never heard from her i am so sorry i like you very much but you see  or she would be horrified or just possibly overjoyed to hear the one thing she had longed for or to say herself but dreaded rejection by chance we were currently both free she must have thought about it about us it was not an impossible fantasy i would have to tell her face to face unbearable unavoidable and so it went on in tightening cycles restless i went back next door i saw no change in adam as i brushed past to get to the fridge where there was a halffull bottle of white bordeaux i sat facing him and raised my glass to love this time i felt less tenderness i saw adam for what it was an inanimate confection whose heartbeat was a regular electrical discharge whose skin warmth was mere chemistry when activated some kind of microscopic balancewheel device would prise open his eyes he would seem to see me but he would be blind not even blind when it kicked in another system would give a semblance of breath but not of life a man newly in love knows what life is,1.2703117248564841,-0.05196940898895264,-6.424360036849976,,
23,"With the inheritance, I could have bought a place somewhere north of the river, Notting Hill, or Chelsea. She might even have joined me. She would have had space for all the books that were boxed up in her father's garage in Salisbury. I saw a future without Adam, the future that was mine until yesterday: an urban garden, high ceilings with plaster mouldings, stainless-steel kitchen, old friends to dinner. Books everywhere. What to do? I could take him, or it, back, or sell it online and take a small loss. I gave it a hostile look. The hands were palms down on the table, the hawkish face remained angled towards the hands. My foolish infatuation with technology! Another fondue set. Best to get away from the table before I impoverished myself with a single swipe of my father's old claw hammer.",802,142,with the inheritance i could have bought a place somewhere north of the river notting hill or chelsea she might even have joined me she would have had space for all the books that were boxed up in her fathers garage in salisbury i saw a future without adam the future that was mine until yesterday an urban garden high ceilings with plaster mouldings stainlesssteel kitchen old friends to dinner books everywhere what to do i could take him or it back or sell it online and take a small loss i gave it a hostile look the hands were palms down on the table the hawkish face remained angled towards the hands my foolish infatuation with technology another fondue set best to get away from the table before i impoverished myself with a single swipe of my fathers old claw hammer,0.3599236956393857,-0.0020235776901245117,3.9697187542915344,,
24,"I drank no more than half a glass, then I returned to the bedroom to distract myself with the Asian currency markets. All the while I listened out for footsteps in the flat above me. Late into the evening, I watched TV to catch up on the Task Force that would soon set off across 8,000 miles of ocean to recapture what we then called the Falkland Islands.",355,68,i drank no more than half a glass then i returned to the bedroom to distract myself with the asian currency markets all the while i listened out for footsteps in the flat above me late into the evening i watched tv to catch up on the task force that would soon set off across  miles of ocean to recapture what we then called the falkland islands,0.3251542812052944,-0.9961218237876892,-2.992314100265503,,
25,"At thirty-two, I was completely broke. Wasting my mother's inheritance on a gimmick was only one part of my problem--but typical of it. Whenever money came my way, I caused it to disappear, made a magic bonfire of it, stuffed it into a top hat and pulled out a turkey. Often, though not in this recent case, my intention was to conjure a far larger sum with minimal effort. I was a mug for schemes, semilegal ruses, cunning shortcuts. I was for grand and brilliant gestures. Others made them and flourished. They borrowed money, put it to interesting use and remained enriched even as they settled their debts. Or they had jobs, professions, as I once had, and enriched themselves more modestly, at a steady rate. I meanwhile leveraged or, rather, shorted myself into genteel ruin, into two damp ground-floor rooms in the dull no-man'sland of Edwardian terraced streets between Stockwell and Clapham, south London.",914,155,at thirtytwo i was completely broke wasting my mothers inheritance on a gimmick was only one part of my problembut typical of it whenever money came my way i caused it to disappear made a magic bonfire of it stuffed it into a top hat and pulled out a turkey often though not in this recent case my intention was to conjure a far larger sum with minimal effort i was a mug for schemes semilegal ruses cunning shortcuts i was for grand and brilliant gestures others made them and flourished they borrowed money put it to interesting use and remained enriched even as they settled their debts or they had jobs professions as i once had and enriched themselves more modestly at a steady rate i meanwhile leveraged or rather shorted myself into genteel ruin into two damp groundfloor rooms in the dull nomansland of edwardian terraced streets between stockwell and clapham south london,0.2989850685070933,-1.9928241968154907,-5.862214148044586,,
26,"I grew up in a village near Stratford, Warwickshire, the only child of a musician father and community-nurse mother. Compared to Miranda's, my childhood was culturally undernourished. I here was no time or space for books, or even music. I took a precocious interest in electronics but ended up with an anthropology degree from an unregarded college in the south Midlands; I did a conversion course to law and, once qualified, specialised in tax. A week after my twenty-ninth birthday I was struck off, and came close to a short spell in prison. My hundred hours of community service convinced me that I should never have a regular job again. I made some money out of a book I wrote at high speed on artificial intelligence: lost to a life-extension-pill scheme. I made a reasonable sum on a property deal: lost to a car-rental scheme. I was left some funds by a favourite uncle who had prosWhispered by way of a heat-pump patent: lost to a medical-insurance scheme.",966,168,i grew up in a village near stratford warwickshire the only child of a musician father and communitynurse mother compared to mirandas my childhood was culturally undernourished i here was no time or space for books or even music i took a precocious interest in electronics but ended up with an anthropology degree from an unregarded college in the south midlands i did a conversion course to law and once qualified specialised in tax a week after my twentyninth birthday i was struck off and came close to a short spell in prison my hundred hours of community service convinced me that i should never have a regular job again i made some money out of a book i wrote at high speed on artificial intelligence lost to a lifeextensionpill scheme i made a reasonable sum on a property deal lost to a carrental scheme i was left some funds by a favourite uncle who had proswhispered by way of a heatpump patent lost to a medicalinsurance scheme,0.2929418689537147,-4.947874665260315,-0.8245202898979187,,
27,"At thirty-two, I was surviving by playing the stock and currency markets online. A scheme, just like the rest. For seven hours a day I bowed before my keyboard, buying, selling, hesitating, punching the air one moment, cursing the next, at least at the beginning. I read market reports, but I believed I was dealing in a random system and mostly relied on guesses. Sometimes I leaped ahead, sometimes I plunged, but on average through the year I made about as much as the postman. I paid my rent, which was low in those days, ate and dressed well enough and thought I was beginning to stabilise, learning to know myself. I was determined that my thirties would be a superior performance to my twenties.",702,125,at thirtytwo i was surviving by playing the stock and currency markets online a scheme just like the rest for seven hours a day i bowed before my keyboard buying selling hesitating punching the air one moment cursing the next at least at the beginning i read market reports but i believed i was dealing in a random system and mostly relied on guesses sometimes i leaped ahead sometimes i plunged but on average through the year i made about as much as the postman i paid my rent which was low in those days ate and dressed well enough and thought i was beginning to stabilise learning to know myself i was determined that my thirties would be a superior performance to my twenties,1.297692778502175,-1.0033901929855347,-0.892551839351654,,
