sent_no,parag_no,sent_raw,char_len,token_len,sent_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob,bertsst
60,10,"She spoke as though she was referring only to herself and me, rather than all of electrochemically charged humanity.",116,19,she spoke as though she was referring only to herself and me rather than all of electrochemically charged humanity,0.27936898998285614,-0.9979513883590698,0.934260368347168,Negative,0.9,-0.9
61,11,"She was twenty-two, mature for her years and ten years younger than me.",71,13,she was twentytwo mature for her years and ten years younger than me,4.304317401655819,0.9978784322738647,-0.9972755908966064,Positive,0.83,0.83
62,11,"From a long perspective, there was not much between us.",55,10,from a long perspective there was not much between us,1.2527521428175226,-0.9878514409065247,0.9960106611251831,Negative,0.98,-0.98
63,11,We were gloriously young.,25,4,we were gloriously young,4.332077570984081,0.9983497262001038,0.9934347867965698,Positive,0.99,0.99
64,11,But I considered myself at a different stage of life.,53,10,but i considered myself at a different stage of life,2.3204552301555506,0.9870892763137817,0.718259334564209,Positive,0.93,0.93
65,11,My formal education was far behind me.,38,7,my formal education was far behind me,3.1935165110771697,-0.9927595257759094,-0.9927926063537598,Negative,0.84,-0.84
66,11,I would suffered a series of professional and financial and personal failures.,78,12,i would suffered a series of professional and financial and personal failures,1.238026074005181,-0.9994503259658813,-0.9973807334899902,Negative,0.98,-0.98
67,11,"I regarded myself as too hard-bitten, too cynical for a lovely young woman like Miranda.",88,15,i regarded myself as too hardbitten too cynical for a lovely young woman like miranda,1.2507073435488119,-0.9988475441932678,-0.9962886571884155,Negative,0.97,-0.97
68,11,"And though she was beautiful, with pale brown hair and a long thin face, and eyes that often appeared narrowed by suppressed mirth, and though in certain moods I looked at her in wonder, I would decided early on to confine her in the role of kind, neighbourly friend.",267,49,and though she was beautiful with pale brown hair and a long thin face and eyes that often appeared narrowed by suppressed mirth and though in certain moods i looked at her in wonder i would decided early on to confine her in the role of kind neighbourly friend,2.2598920493892716,-0.9981544613838196,-0.9994378685951233,Positive,0.8,0.8
69,11,We shared an entrance hall and her tiny apartment was right over mine.,70,13,we shared an entrance hall and her tiny apartment was right over mine,4.228496542690858,0.9984138607978821,-0.994558572769165,Positive,0.94,0.94
70,11,We saw each other for a coffee now and then to talk about relationships and politics and all the rest.,102,20,we saw each other for a coffee now and then to talk about relationships and politics and all the rest,4.24731344416666,0.9988207221031189,-0.9952823519706726,Positive,0.92,0.92
71,11,With pitch-perfect neutrality she gave the impression of being at ease with the possibilities.,94,14,with pitchperfect neutrality she gave the impression of being at ease with the possibilities,4.260731096835632,0.9988448023796082,-0.9972670078277588,Positive,0.98,0.98
72,11,"To her, it seemed, an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat.",125,21,to her it seemed an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat,2.270182633089132,0.9983161687850952,0.9985949993133545,Positive,0.92,0.92
73,11,She was relaxed in my company and I preferred to think that sex would ruin everything.,86,16,she was relaxed in my company and i preferred to think that sex would ruin everything,2.2844899980434565,0.9950506091117859,-0.9982484579086304,Positive,0.8,0.8
74,11,We remained good chums.,23,4,we remained good chums,3.246146724586723,0.9987742900848389,0.9964436292648315,Positive,0.98,0.98
75,11,But there was something alluringly secretive or restrained about her.,69,10,but there was something alluringly secretive or restrained about her,2.295931458844734,0.9947366714477539,0.5268985033035278,Positive,0.61,0.61
76,11,"Perhaps, without knowing it, I had been in love with her for months.",68,13,perhaps without knowing it i had been in love with her for months,2.3183539895208156,0.997883677482605,-0.9988672733306885,Positive,0.59,0.59
77,11,Without knowing it?,19,3,without knowing it,0.1892723495696417,-0.9895934462547302,-0.9983868598937988,Negative,0.9,-0.9
78,11,What a flimsy formulation that was!,35,6,what a flimsy formulation that was,0.32471904268537993,-0.9994911551475525,-0.9983684420585632,Negative,0.99,-0.99
79,12,"Reluctantly, we agreed to turn our backs on Adam and on each other for a while.",79,16,reluctantly we agreed to turn our backs on adam and on each other for a while,4.222549646078919,-0.9978113770484924,0.9967907667160034,Positive,0.64,0.64
80,12,"Miranda had a seminar to attend north of the river, I had emails to write.",74,15,miranda had a seminar to attend north of the river i had emails to write,2.2036948558842298,0.990412712097168,-0.9954856634140015,Negative,0.55,-0.55
81,12,"By the early seventies, digital communication had discarded its air of convenience and become a daily chore.",108,17,by the early seventies digital communication had discarded its air of convenience and become a daily chore,1.275338883489665,-0.9992610812187195,0.9963934421539307,Negative,0.96,-0.96
82,12,Likewise the 250 mph trains--crowded and dirty.,47,7,likewise the  mph trainscrowded and dirty,1.2340980402301938,-0.9994804859161377,-0.9837753176689148,Negative,0.97,-0.97
83,12,"Speech-recognition software, a fifties miracle, had long turned to drudge, with entire populations sacrificing hours each day to lonely soliloquising.",150,20,speechrecognition software a fifties miracle had long turned to drudge with entire populations sacrificing hours each day to lonely soliloquising,4.307952478594116,-0.9976393580436707,-0.9991971254348755,Negative,0.98,-0.98
84,12,"Brain--machine interfacing, wild fruit of sixties optimism, could barely arouse the interest of a child.",104,15,brainmachine interfacing wild fruit of sixties optimism could barely arouse the interest of a child,2.238631798012151,-0.9992421269416809,-0.9987404346466064,Negative,0.89,-0.89
85,12,"What people queued the entire weekend for became, six months later, as interesting as the socks on their feet.",110,19,what people queued the entire weekend for became six months later as interesting as the socks on their feet,4.245626074046796,-0.9989044070243835,-0.998670756816864,Positive,0.8,0.8
86,12,"What happened to the cognition-enhancing helmets, the speaking fridges with a sense of smell?",93,14,what happened to the cognitionenhancing helmets the speaking fridges with a sense of smell,1.2238585543128786,-0.9961817264556885,0.9924631118774414,Negative,0.94,-0.94
87,12,"Gone the way of the mouse pad, the Filofax, the electric carving knife, the fondue set.",87,16,gone the way of the mouse pad the filofax the electric carving knife the fondue set,4.357832073115827,-0.9945621490478516,0.9476397037506104,Negative,0.98,-0.98
88,12,The future kept arriving.,25,4,the future kept arriving,3.227853942079766,0.9969941973686218,0.9960275888442993,Positive,0.95,0.95
89,12,"Our bright new toys began to rust before we could get them home, and life went on much as before.",97,20,our bright new toys began to rust before we could get them home and life went on much as before,4.303258644420426,-0.9987959265708923,0.9945954084396362,Negative,0.73,-0.73
90,13,Would Adam become a bore?,25,5,would adam become a bore,1.201834067478878,-0.9971705079078674,0.9988207221031189,Negative,0.99,-0.99
91,13,"it is not easy, to dictate while trying to ward off a bout of buyer's remorse.",78,16,it is not easy to dictate while trying to ward off a bout of buyers remorse,1.238422554020983,-0.9987703561782837,-0.9943065047264099,Negative,0.97,-0.97
92,13,"Surely other people, other minds, must continue to fascinate us.",64,10,surely other people other minds must continue to fascinate us,3.2084786341900244,0.9974851608276367,0.9768025875091553,Positive,0.97,0.97
93,13,"As artificial people became more like us, then became us, then became more than us, we could never tire of them.",112,21,as artificial people became more like us then became us then became more than us we could never tire of them,4.361074924124212,0.9980520606040955,-0.9955525994300842,Positive,0.86,0.86
94,13,They were bound to surprise us.,31,6,they were bound to surprise us,4.196143383817521,0.9985739588737488,0.9973099827766418,Positive,0.99,0.99
95,13,They might fail us in ways that were beyond our imagining.,58,11,they might fail us in ways that were beyond our imagining,1.2519085854915932,-0.9989434480667114,0.9961901903152466,Negative,0.97,-0.97
96,13,"Tragedy was a possibility, but not boredom.",43,7,tragedy was a possibility but not boredom,2.323602107793123,0.9951830506324768,0.9969343543052673,Positive,0.56,0.56
97,13,What was tedious was the prospect of the user's guide.,54,10,what was tedious was the prospect of the users guide,1.2292973419120394,-0.9987144470214844,-0.9969798922538757,Negative,0.94,-0.94
98,13,Instructions.,13,1,instructions,4.224727597939583,-0.6230819821357727,-0.9771299958229065,Positive,0.65,0.65
99,13,My prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep.,127,25,my prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep,1.2280761047948063,-0.9971259832382202,-0.9925913214683533,Negative,0.99,-0.99
100,13,"On an old-fashioned impulse, I was printing out the manual, then looking for a folder.",86,15,on an oldfashioned impulse i was printing out the manual then looking for a folder,1.2641488586598015,-0.997897207736969,-0.9978291988372803,Negative,0.95,-0.95
101,13,"All the while, I continued to dictate emails.",45,8,all the while i continued to dictate emails,2.260211317396342,-0.9993453621864319,-0.9993399977684021,Negative,0.92,-0.92
102,14,"I could not think of myself as Adam's ""user.""",45,9,i could not think of myself as adams user,1.2258163799018271,0.9885820150375366,0.9937531352043152,Negative,0.81,-0.81
103,14,I would assumed there was nothing to learn about him that he could not teach me himself.,88,17,i would assumed there was nothing to learn about him that he could not teach me himself,1.2448419788793783,-0.999334454536438,0.9741952419281006,Negative,0.96,-0.96
104,14,But the manual in my hands had fallen open at Chapter Fourteen.,63,12,but the manual in my hands had fallen open at chapter fourteen,2.2361960697522574,-0.9989575743675232,-0.9908460378646851,Negative,0.98,-0.98
105,14,Here the English was plain: preferences; personality parameters.,64,8,here the english was plain preferences personality parameters,2.349364442433609,0.9980887174606323,-0.9988484382629395,Negative,0.91,-0.91
106,14,Then a set of headings--Agreeableness.,38,5,then a set of headingsagreeableness,2.2337878878952604,0.9956038594245911,-0.9959970116615295,Positive,0.95,0.95
107,14,Extraversion.,13,1,extraversion,4.219391505299598,0.9707068204879761,0.9951553344726562,Negative,0.81,-0.81
108,14,Openness to experience.,23,3,openness to experience,4.234142405149506,0.998732328414917,-0.9885273575782776,Positive,0.99,0.99
109,14,Conscientiousness.,18,1,conscientiousness,4.274048248745079,0.995434045791626,-0.9925740361213684,Positive,0.95,0.95
110,14,Emotional stability.,20,2,emotional stability,4.236396708702937,0.9985330104827881,-0.9663510918617249,Positive,0.98,0.98
111,14,The list was familiar to me.,28,6,the list was familiar to me,3.218011462140616,0.9980274438858032,0.9955835342407227,Positive,0.69,0.69
112,14,The Five Factor model.,22,4,the five factor model,4.3983507189049345,0.9942634701728821,0.9920663833618164,Positive,0.77,0.77
113,14,"Educated as I was in the humanities, I was suspicious of such reductive categories, though I knew from a friend in psychology that each item had many subgroups.",160,28,educated as i was in the humanities i was suspicious of such reductive categories though i knew from a friend in psychology that each item had many subgroups,2.255189520147715,-0.9922425746917725,-0.9972602725028992,Negative,0.72,-0.72
114,14,Glancing at the next page I saw that I was supposed to select various settings on a scale of one to ten.,104,22,glancing at the next page i saw that i was supposed to select various settings on a scale of one to ten,1.2173442924227649,-0.9994621872901917,-0.9974492192268372,Negative,0.97,-0.97
115,15,I would been expecting a friend.,32,6,i would been expecting a friend,2.2774487096701064,-0.9950428009033203,0.9982415437698364,Positive,0.83,0.83
116,15,"I was ready to treat Adam as a guest in my home, as an unknown I would come to know.",84,20,i was ready to treat adam as a guest in my home as an unknown i would come to know,3.2219515492124318,0.9982579350471497,0.9960479140281677,Positive,0.96,0.96
117,15,I would thought he would arrive optimally adjusted.,51,8,i would thought he would arrive optimally adjusted,2.319268200309993,0.9973721504211426,0.9946002960205078,Positive,0.61,0.61
118,15,Factory settings--a contemporary synonym for fate.,50,6,factory settingsa contemporary synonym for fate,3.2582007371878543,0.9874889254570007,-0.9861086010932922,Negative,0.95,-0.95
119,15,"My friends, family and acquaintances all had appeared in my life with fixed settings, with unalterable histories of genes and environment.",138,21,my friends family and acquaintances all had appeared in my life with fixed settings with unalterable histories of genes and environment,4.258664485629658,0.9923760890960693,-0.9973584413528442,Positive,0.96,0.96
120,15,I wanted my expensive new friend to do the same.,48,10,i wanted my expensive new friend to do the same,1.2524257615092473,-0.9922524690628052,0.9842218160629272,Positive,0.85,0.85
121,15,Why leave it to me?,19,5,why leave it to me,0.2994036625311381,-0.9967451095581055,-0.9971753358840942,Negative,0.96,-0.96
122,15,But of course I knew the answer.,32,7,but of course i knew the answer,2.312434991084016,0.9821873307228088,-0.9952845573425293,Positive,0.64,0.64
123,15,Not many of us are optimally adjusted.,38,7,not many of us are optimally adjusted,2.267695837367624,0.942035436630249,0.905994713306427,Negative,0.86,-0.86
124,15,Gentle Jesus?,13,2,gentle jesus,2.2362329952608677,0.9944967031478882,-0.9979737401008606,Positive,0.77,0.77
125,15,Humble Darwin?,14,2,humble darwin,0.2474340155736269,0.9862324595451355,0.9949086308479309,Positive,0.68,0.68
126,15,"One every 1,800 years.",22,4,one every  years,4.390752755773327,0.9947159886360168,-0.9980407953262329,Positive,0.88,0.88
127,15,"Even if it knew the best, the least harmful parameters of personality, which it could not, a worldwide corporation with a precious reputation could not risk a mishap.",166,28,even if it knew the best the least harmful parameters of personality which it could not a worldwide corporation with a precious reputation could not risk a mishap,0.2907713740237886,-0.9944383502006531,-0.9935459494590759,Positive,0.76,0.76
128,15,Caveat emptor.,14,2,caveat emptor,0.2577802625270885,-0.9945282340049744,0.9902008771896362,Negative,0.6,-0.6
129,16,God had once delivered a fully formed companion for the benefit of the original Adam.,85,15,god had once delivered a fully formed companion for the benefit of the original adam,4.2591315894982325,0.9928652048110962,0.9853749871253967,Positive,0.94,0.94
130,16,I had to devise one for myself.,31,7,i had to devise one for myself,2.3138091911547787,0.9917768836021423,0.9945811629295349,Negative,0.91,-0.91
131,16,Here was Extraversion and a graded set of childish statements.,62,10,here was extraversion and a graded set of childish statements,0.20586451468403236,-0.998500645160675,0.9947057962417603,Negative,0.99,-0.99
132,16,He loves to be the life and soul of the party and He knows how to entertain people and lead them.,97,21,he loves to be the life and soul of the party and he knows how to entertain people and lead them,3.219941633206578,0.9988722205162048,-0.9950732588768005,Positive,0.99,0.99
133,16,"And at the bottom, He feels uncomfortable around other people and He prefers his own company.",93,16,and at the bottom he feels uncomfortable around other people and he prefers his own company,1.26915481035972,-0.9984004497528076,-0.9956854581832886,Negative,0.81,-0.81
134,16,"Here in the middle was, He likes a good party but he is always happy to come home.",82,18,here in the middle was he likes a good party but he is always happy to come home,3.239034693085917,0.998674213886261,-0.9951995611190796,Positive,0.89,0.89
135,16,This was me.,12,3,this was me,4.387382310990594,0.9973483681678772,-0.998860239982605,Positive,0.96,0.96
136,16,But should I be replicating myself?,35,6,but should i be replicating myself,2.341469110021119,-0.9987096786499023,0.9592223167419434,Negative,0.93,-0.93
