,sent_clean
53,for a moment orlando stood counting  gazing  recognizing 
54,that was his father own house  that his uncle own 
55,his aunt owned those three great turrets among the trees there 
56,the heath was theirs and the forest  the pheasant and the deer  the fox  the badger  and the butterfly 
57,he sighed profoundly  and flung himself  there was a passion in his movements which deserves the word  on the earth at the foot of the oak tree 
58,he loved  beneath all this summer transiency  to feel the earth own spine beneath him  for such he took the hard root of the oak tree to be  or  for image followed image  it was the back of a great horse that he was riding  or the deck of a tumbling ship  it was anything indeed  so long as it was hard  for he felt the need of something which he could attach his floating heart to  the heart that tugged at his side  the heart that seemed filled with spiced and amorous gales every evening about this time when he walked out 
59,to the oak tree he tied it and as he lay there  gradually the flutter in and about him stilled itself  the little leaves hung  the deer stopped  the pale summer clouds stayed  his limbs grew heavy on the ground  and he lay so still that by degrees the deer stepped nearer and the rooks wheeled round him and the swallows dipped and circled and the dragonflies shot past  as if all the fertility and amorous activity of a summer own evening were woven web like about his body 
60,after an hour or so  the sun was rapidly sinking  the white clouds had turned red  the hills were violet  the woods purple  the valleys black  a trumpet sounded 
61,orlando leapt to his feet 
62,the shrill sound came from the valley 
63,it came from a dark spot down there  a spot compact and mapped out  a maze  a town  yet girt about with walls  it came from the heart of his own great house in the valley  which  dark before  even as he looked and the single trumpet duplicated and reduplicated itself with other shriller sounds  lost its darkness and became pierced with lights 
64,some were small hurrying lights  as if servants dashed along corridors to answer summonses  others were high and lustrous lights  as if they burnt in empty banqueting halls made ready to receive guests who had not come  and others dipped and waved and sank and rose  as if held in the hands of troops of serving men  bending  kneeling  rising  receiving  guarding  and escorting with all dignity indoors a great princess alighting from her chariot 
65,coaches turned and wheeled in the courtyard 
66,horses tossed their plumes 
67,the queen had come 
68,orlando looked no more 
69,he dashed downhill 
70,he let himself in at a wicket gate 
71,he tore up the winding staircase 
72,he reached his room 
73,he tossed his stockings to one side of the room  his jerkin to the other 
74,he dipped his head 
75,he scoured his hands 
76,he pared his finger nails 
77,with no more than six inches of looking glass and a pair of old candles to help him  he had thrust on crimson breeches  lace collar  waistcoat of taffeta  and shoes with rosettes on them as big as double dahlias in less than ten minutes by the stable clock 
78,he was ready 
79,he was flushed 
80,he was excited  but he was terribly late 
81,by short cuts known to him  he made his way now through the vast congeries of rooms and staircases to the banqueting hall  five acres distant on the other side of the house 
82,but half way there  in the back quarters where the servants lived  he stopped 
83,the door of mrs stewkley own sitting room stood open  she was gone  doubtless  with all her keys to wait upon her mistress  but there  sitting at the servant own dinner table with a tankard beside him and paper in front of him  sat a rather fat  shabby man  whose ruff was a thought dirty  and whose clothes were of hodden brown  he held a pen in his hand  but he was not writing  he seemed in the act of rolling some thought up and down  to and fro in his mind till it gathered shape or momentum to his liking  his eyes  globed and clouded like some green stone of curious texture  were fixed  he did not see orlando  for all his hurry  orlando stopped dead  was this a poet  was he writing poetry   tell me   he wanted to say   everything in the whole world   for he had the wildest  most absurd  extravagant ideas about poets and poetry  but how speak to a man who does not see you 
84,who sees ogres  satyrs  perhaps the depths of the sea instead 
85,so orlando stood gazing while the man turned his pen in his fingers  this way and that way  and gazed and mused  and then  very quickly  wrote half a dozen lines and looked up 
86,whereupon orlando  overcome with shyness  darted off and reached the banqueting hall only just in time to sink upon his knees and  hanging his head in confusion  to offer a bowl of rose water to the great queen herself 
87,such was his shyness that he saw no more of her than her ringed hands in water  but it was enough 
88,it was a memorable hand  a thin hand with long fingers always curling as if round orb or sceptre  a nervous  crabbed  sickly hand  a commanding hand too  a hand that had only to raise itself for a head to fall  a hand  he guessed  attached to an old body that smelt like a cupboard in which furs are kept in camphor  which body was yet caparisoned in all sorts of brocades and gems  and held itself very upright though perhaps in pain from sciatica  and never flinched though strung together by a thousand fears  and the queen own eyes were light yellow 
89,all this he felt as the great rings flashed in the water and then something pressed his hair  which  perhaps  accounts for his seeing nothing more likely to be of use to a historian  and in truth  his mind was such a welter of opposites  of the night and the blazing candles  of the shabby poet and the great queen  of silent fields and the clatter of serving men  that he could see nothing  or only a hand 
90,by the same showing  the queen herself can have seen only a head 
91,but if it is possible from a hand to deduce a body  informed with all the attributes of a great queen  her crabbedness  courage  frailty  and terror  surely a head can be as fertile  looked down upon from a chair of state by a lady whose eyes were always  if the waxworks at the abbey are to be trusted  wide open 
92,the long  curled hair  the dark head bent so reverently  so innocently before her  implied a pair of the finest legs that a young nobleman has ever stood upright upon  and violet eyes  and a heart of gold  and loyalty and manly charm  all qualities which the old woman loved the more the more they failed her  for she was growing old and worn and bent before her time  the sound of cannon was always in her ears  she saw always the glistening poison drop and the long stiletto  as she sat at table she listened  she heard the guns in the channel  she dreaded  was that a curse  was that a whisper 
93,innocence  simplicity  were all the more dear to her for the dark background she set them against 
94,and it was that same night  so tradition has it  when orlando was sound asleep  that she made over formally  putting her hand and seal finally to the parchment  the gift of the great monastic house that had been the archbishop own and then the king own to orlando own father 
95,orlando slept all night in ignorance 
96,he had been kissed by a queen without knowing it 
97,and perhaps  for women own hearts are intricate  it was his ignorance and the start he gave when her lips touched him that kept the memory of her young cousin  for they had blood in common  green in her mind 
98,at any rate  two years of this quiet country life had not passed  and orlando had written no more perhaps than twenty tragedies and a dozen histories and a score of sonnets when a message came that he was to attend the queen at whitehall 
99, here   she said  watching him advance down the long gallery towards her   comes my innocent    there was a serenity about him always which had the look of innocence when  technically  the word was no longer applicable  
100, come   she said 
101,she was sitting bolt upright beside the fire 
102,and she held him a foot own pace from her and looked him up and down 
103,was she matching her speculations the other night with the truth now visible 
104,did she find her guesses justified 
105,eyes  mouth  nose  breast  hips  hands  she ran them over  her lips twitched visibly as she looked  but when she saw his legs she laughed out loud  he was the very image of a noble gentleman  but inwardly  she flashed her yellow hawk own eyes upon him as if she would pierce his soul  the young man withstood her gaze blushing only a damask rose as became him  strength  grace  romance  folly  poetry  youth  she read him like a page 
106,instantly she plucked a ring from her finger  the joint was swollen rather  and as she fitted it to his  named him her treasurer and steward  next hung about him chains of office  and bidding him bend his knee  tied round it at the slenderest part the jewelled order of the garter 
107,nothing after that was denied him 
108,when she drove in state he rode at her carriage door 
109,she sent him to scotland on a sad embassy to the unhappy queen 
110,he was about to sail for the polish wars when she recalled him 
111,for how could she bear to think of that tender flesh torn and that curly head rolled in the dust 
112,she kept him with her 
113,at the height of her triumph when the guns were booming at the tower and the air was thick enough with gunpowder to make one sneeze and the huzzas of the people rang beneath the windows  she pulled him down among the cushions where her women had laid her  she was so worn and old  and made him bury his face in that astonishing composition  she had not changed her dress for a month  which smelt for all the world  he thought  recalling his boyish memory  like some old cabinet at home where his mother own furs were stored 
114,he rose  half suffocated from the embrace 
115, this   she breathed   is my victory    even as a rocket roared up and dyed her cheeks scarlet 
116,for the old woman loved him 
117,and the queen  who knew a man when she saw one  though not  it is said  in the usual way  plotted for him a splendid ambitious career 
118,lands were given him  houses assigned him 
119,he was to be the son of her old age  the limb of her infirmity  the oak tree on which she leant her degradation 
120,she croaked out these promises and strange domineering tendernesses  they were at richmond now  sitting bolt upright in her stiff brocades by the fire which  however high they piled it  never kept her warm 
121,meanwhile  the long winter months drew on 
122,every tree in the park was lined with frost 
123,the river ran sluggishly 
124,one day when the snow was on the ground and the dark panelled rooms were full of shadows and the stags were barking in the park  she saw in the mirror  which she kept for fear of spies always by her  through the door  which she kept for fear of murderers always open  a boy  could it be orlando   kissing a girl  who in the devil own name was the brazen hussy 
125,snatching at her golden hilted sword she struck violently at the mirror 
126,the glass crashed  people came running  she was lifted and set in her chair again  but she was stricken after that and groaned much  as her days wore to an end  of man own treachery 
127,it was orlando own fault perhaps  yet  after all  are we to blame orlando 
128,the age was the elizabethan  their morals were not ours  nor their poets  nor their climate  nor their vegetables even 
129,everything was different 
130,the weather itself  the heat and cold of summer and winter  was  we may believe  of another temper altogether 
131,the brilliant amorous day was divided as sheerly from the night as land from water 
132,sunsets were redder and more intense  dawns were whiter and more auroral 
133,of our crepuscular half lights and lingering twilights they knew nothing 
134,the rain fell vehemently  or not at all 
135,the sun blazed or there was darkness 
136,translating this to the spiritual regions as their will not is  the poets sang beautifully how roses fade and petals fall 
137,the moment is brief they sang  the moment is over  one long night is then to be slept by all 
138,as for using the artifices of the greenhouse or conservatory to prolong or preserve these fresh pinks and roses  that was not their way 
139,the withered intricacies and ambiguities of our more gradual and doubtful age were unknown to them 
140,violence was all 
141,the flower bloomed and faded 
142,the sun rose and sank 
143,the lover loved and went 
144,and what the poets said in rhyme  the young translated into practice 
145,girls were roses  and their seasons were short as the flowers  
146,plucked they must be before nightfall  for the day was brief and the day was all 
147,thus  if orlando followed the leading of the climate  of the poets  of the age itself  and plucked his flower in the window seat even with the snow on the ground and the queen vigilant in the corridor we can scarcely bring ourselves to blame him 
148,he was young  he was boyish  he did but as nature bade him do 
149,as for the girl  we know no more than queen elizabeth herself did what her name was 
150,it may have been doris  chloris  delia  or diana  for he made rhymes to them all in turn  equally  she may have been a court lady  or some serving maid 
151,for orlando own taste was broad  he was no lover of garden flowers only  the wild and the weeds even had always a fascination for him 
152,here  indeed  we lay bare rudely  as a biographer may  a curious trait in him  to be accounted for  perhaps  by the fact that a certain grandmother of his had worn a smock and carried milkpails 
153,some grains of the kentish or sussex earth were mixed with the thin  fine fluid which came to him from normandy 
154,he held that the mixture of brown earth and blue blood was a good one 
155,certain it is that he had always a liking for low company  especially for that of lettered people whose wits so often keep them under  as if there were the sympathy of blood between them 
156,at this season of his life  when his head brimmed with rhymes and he never went to bed without striking off some conceit  the cheek of an innkeeper own daughter seemed fresher and the wit of a gamekeeper own niece seemed quicker than those of the ladies at court 
157,hence  he began going frequently to wapping old stairs and the beer gardens at night  wrapped in a grey cloak to hide the star at his neck and the garter at his knee 
158,there  with a mug before him  among the sanded alleys and bowling greens and all the simple architecture of such places  he listened to sailors  stories of hardship and horror and cruelty on the spanish main  how some had lost their toes  others their noses  for the spoken story was never so rounded or so finely coloured as the written 
159,especially he loved to hear them volley forth their songs of  the azores  while the parrakeets  which they had brought from those parts  pecked at the rings in their ears  tapped with their hard acquisitive beaks at the rubies on their fingers  and swore as vilely as their masters 
160,the women were scarcely less bold in their speech and less free in their manner than the birds 
161,they perched on his knee  flung their arms round his neck and  guessing that something out of the common lay hid beneath his duffle cloak  were quite as eager to come at the truth of the matter as orlando himself 
162,nor was opportunity lacking 
163,the river was astir early and late with barges  wherries  and craft of all description 
164,every day sailed to sea some fine ship bound for the indies  now and again another blackened and ragged with hairy men on board crept painfully to anchor 
165,no one missed a boy or girl if they dallied a little on the water after sunset  or raised an eyebrow if gossip had seen them sleeping soundly among the treasure sacks safe in each other own arms 
166,such indeed was the adventure that befel orlando  sukey  and the earl of cumberland 
167,the day was hot  their loves had been active  they had fallen asleep among the rubies 
168,late that night the earl  whose fortunes were much bound up in the spanish ventures  came to check the booty alone with a lantern 
169,he flashed the light on a barrel 
170,he started back with an oath 
171,twined about the cask two spirits lay sleeping 
172,superstitious by nature  and his conscience laden with many a crime  the earl took the couple  they were wrapped in a red cloak  and sukey own bosom was almost as white as the eternal snows of orlando own poetry  for a phantom sprung from the graves of drowned sailors to upbraid him 
173,he crossed himself 
174,he vowed repentance 
175,the row of alms houses still standing in the sheen road is the visible fruit of that moment own panic 
176,twelve poor old women of the parish today drink tea and tonight bless his lordship for a roof above their heads  so that illicit love in a treasure ship  but we omit the moral 
177,soon  however  orlando grew tired  not only of the discomfort of this way of life  and of the crabbed streets of the neighbourhood  but of the primitive manner of the people 
178,for it has to be remembered that crime and poverty had none of the attraction for the elizabethans that they have for us 
179,they had none of our modern shame of book learning  none of our belief that to be born the son of a butcher is a blessing and to be unable to read a virtue  no fancy that what we call  life  and  reality  are somehow connected with ignorance and brutality  nor  indeed  any equivalent for these two words at all 
180,it was not to seek  life  that orlando went among them  not in quest of  reality  that he left them 
181,but when he had heard a score of times how jakes had lost his nose and sukey her honour  and they told the stories admirably  it must be admitted  he began to be a little weary of the repetition  for a nose can only be cut off in one way and maidenhood lost in another  or so it seemed to him  whereas the arts and the sciences had a diversity about them which stirred his curiosity profoundly 
182,so  always keeping them in happy memory  he left off frequenting the beer gardens and the skittle alleys  hung his grey cloak in his wardrobe  let his star shine at his neck and his garter twinkle at his knee  and appeared once more at the court of king james 
183,he was young  he was rich  he was handsome 
184,no one could have been received with greater acclamation than he was 
185,it is certain indeed that many ladies were ready to show him their favours 
186,the names of three at least were freely coupled with his in marriage  clorinda  favilla  euphrosyne  so he called them in his sonnets 
187,to take them in order  clorinda was a sweet mannered gentle lady enough   indeed orlando was greatly taken with her for six months and a half  but she had white eyelashes and could not bear the sight of blood 
188,a hare brought up roasted at her father own table turned her faint 
189,she was much under the influence of the priests too  and stinted her underlinen in order to give to the poor 
190,she took it on her to reform orlando of his sins  which sickened him  so that he drew back from the marriage  and did not much regret it when she died soon after of the small pox 
191,favilla  who comes next  was of a different sort altogether 
192,she was the daughter of a poor somersetshire gentleman  who  by sheer assiduity and the use of her eyes had worked her way up at court  where her address in horsemanship  her fine instep  and her grace in dancing won the admiration of all 
193,once  however  she was so ill advised as to whip a spaniel that had torn one of her silk stockings  and it must be said in justice that favilla had few stockings and those for the most part of drugget  within an inch of its life beneath orlando own window 
194,orlando  who was a passionate lover of animals  now noticed that her teeth were crooked  and the two front turned inward  which  he said  is a sure sign of a perverse and cruel disposition in women  and so broke the engagement that very night for ever 
195,the third  euphrosyne  was by far the most serious of his flames 
196,she was by birth one of the irish desmonds and had therefore a family tree of her own as old and deeply rooted as orlando own itself 
197,she was fair  florid  and a trifle phlegmatic 
198,she spoke italian well  had a perfect set of teeth in the upper jaw  though those on the lower were slightly discoloured 
199,she was never without a whippet or spaniel at her knee  fed them with white bread from her own plate  sang sweetly to the virginals  and was never dressed before mid day owing to the extreme care she took of her person 
200,in short  she would have made a perfect wife for such a nobleman as orlando  and matters had gone so far that the lawyers on both sides were busy with covenants  jointures  settlements  messuages  tenements  and whatever is needed before one great fortune can mate with another when  with the suddenness and severity that then marked the english climate  came the great frost 
201,the great frost was  historians tell us  the most severe that has ever visited these islands 
202,birds froze in mid air and fell like stones to the ground 
203,at norwich a young countrywoman started to cross the road in her usual robust health and was seen by the onlookers to turn visibly to powder and be blown in a puff of dust over the roofs as the icy blast struck her at the street corner 
204,the mortality among sheep and cattle was enormous 
205,corpses froze and could not be drawn from the sheets 
206,it was no uncommon sight to come upon a whole herd of swine frozen immovable upon the road 
207,the fields were full of shepherds  ploughmen  teams of horses  and little bird scaring boys all struck stark in the act of the moment  one with his hand to his nose  another with the bottle to his lips  a third with a stone raised to throw at the ravens who sat  as if stuffed  upon the hedge within a yard of him 
208,the severity of the frost was so extraordinary that a kind of petrifaction sometimes ensued  and it was commonly supposed that the great increase of rocks in some parts of derbyshire was due to no eruption  for there was none  but to the solidification of unfortunate wayfarers who had been turned literally to stone where they stood 
209,the church could give little help in the matter  and though some landowners had these relics blessed  the most part preferred to use them either as landmarks  scratching posts for sheep  or  when the form of the stone allowed  drinking troughs for cattle  which purposes they serve  admirably for the most part  to this day 
210,but while the country people suffered the extremity of want  and the trade of the country was at a standstill  london enjoyed a carnival of the utmost brilliancy 
211,the court was at greenwich  and the new king seized the opportunity that his coronation gave him to curry favour with the citizens 
212,he directed that the river  which was frozen to a depth of twenty feet and more for six or seven miles on either side  should be swept  decorated and given all the semblance of a park or pleasure ground  with arbours  mazes  alleys  drinking booths  etc  at his expense 
213,for himself and the courtiers  he reserved a certain space immediately opposite the palace gates  which  railed off from the public only by a silken rope  became at once the centre of the most brilliant society in england 
214,great statesmen  in their beards and ruffs  despatched affairs of state under the crimson awning of the royal pagoda 
215,soldiers planned the conquest of the moor and the downfall of the turk in striped arbours surmounted by plumes of ostrich feathers 
216,admirals strode up and down the narrow pathways  glass in hand  sweeping the horizon and telling stories of the north west passage and the spanish armada 
217,lovers dallied upon divans spread with sables 
218,frozen roses fell in showers when the queen and her ladies walked abroad 
219,coloured balloons hovered motionless in the air 
220,here and there burnt vast bonfires of cedar and oak wood  lavishly salted  so that the flames were of green  orange  and purple fire 
221,but however fiercely they burnt  the heat was not enough to melt the ice which  though of singular transparency  was yet of the hardness of steel 
222,so clear indeed was it that there could be seen  congealed at a depth of several feet  here a porpoise  there a flounder 
223,shoals of eels lay motionless in a trance  but whether their state was one of death or merely of suspended animation which the warmth would revive puzzled the philosophers 
224,near london bridge  where the river had frozen to a depth of some twenty fathoms  a wrecked wherry boat was plainly visible  lying on the bed of the river where it had sunk last autumn  overladen with apples 
225,the old bumboat woman  who was carrying her fruit to market on the surrey side  sat there in her plaids and farthingales with her lap full of apples  for all the world as if she were about to serve a customer  though a certain blueness about the lips hinted the truth 
226,it was a sight king james specially liked to look upon  and he would bring a troupe of courtiers to gaze with him 
227,in short  nothing could exceed the brilliancy and gaiety of the scene by day 
228,but it was at night that the carnival was at its merriest 
229,for the frost continued unbroken  the nights were of perfect stillness  the moon and stars blazed with the hard fixity of diamonds  and to the fine music of flute and trumpet the courtiers danced 
230,orlando  it is true  was none of those who tread lightly the corantoe and lavolta  he was clumsy and a little absentminded 
231,he much preferred the plain dances of his own country  which he danced as a child to these fantastic foreign measures 
232,he had indeed just brought his feet together about six in the evening of the seventh of january at the finish of some such quadrille or minuet when he beheld  coming from the pavilion of the muscovite embassy  a figure  which  whether boy own or woman own  for the loose tunic and trousers of the russian fashion served to disguise the sex  filled him with the highest curiosity 
233,the person  whatever the name or sex  was about middle height  very slenderly fashioned  and dressed entirely in oyster coloured velvet  trimmed with some unfamiliar greenish coloured fur 
234,but these details were obscured by the extraordinary seductiveness which issued from the whole person 
235,images  metaphors of the most extreme and extravagant twined and twisted in his mind 
236,he called her a melon  a pineapple  an olive tree  an emerald  and a fox in the snow all in the space of three seconds  he did not know whether he had heard her  tasted her  seen her  or all three together 
237, for though we must pause not a moment in the narrative we may here hastily note that all his images at this time were simple in the extreme to match his senses and were mostly taken from things he had liked the taste of as a boy  but if his senses were simple they were at the same time extremely strong  to pause therefore and seek the reasons of things is out of the question     a melon  an emerald  a fox in the snow  so he raved  so he stared  when the boy  for alas  a boy it must be  no woman could skate with such speed and vigour  swept almost on tiptoe past him  orlando was ready to tear his hair with vexation that the person was of his own sex  and thus all embraces were out of the question 
238,but the skater came closer 
239,legs  hands  carriage  were a boy own  but no boy ever had a mouth like that  no boy had those breasts  no boy had eyes which looked as if they had been fished from the bottom of the sea 
240,finally  coming to a stop and sweeping a curtsey with the utmost grace to the king  who was shuffling past on the arm of some lord in waiting  the unknown skater came to a standstill 
241,she was not a handsbreadth off 
242,she was a woman 
243,orlando stared  trembled  turned hot  turned cold  longed to hurl himself through the summer air  to crush acorns beneath his feet  to toss his arm with the beech trees and the oaks 
244,as it was  he drew his lips up over his small white teeth  opened them perhaps half an inch as if to bite  shut them as if he had bitten 
245,the lady euphrosyne hung upon his arm 
246,the stranger own name  he found  was the princess marousha stanilovska dagmar natasha iliana romanovitch  and she had come in the train of the muscovite ambassador  who was her uncle perhaps  or perhaps her father  to attend the coronation 
247,very little was known of the muscovites 
248,in their great beards and furred hats they sat almost silent  drinking some black liquid which they spat out now and then upon the ice 
249,none spoke english  and french with which some at least were familiar was then little spoken at the english court 
250,it was through this accident that orlando and the princess became acquainted 
251,they were seated opposite each other at the great table spread under a huge awning for the entertainment of the notables 
252,the princess was placed between two young lords  one lord francis vere and the other the young earl of moray 
253,it was laughable to see the predicament she soon had them in  for though both were fine lads in their way  the babe unborn had as much knowledge of the french tongue as they had 
254,when at the beginning of dinner the princess turned to the earl and said  with a grace which ravished his heart   je crois avoir fait la connaissance d un gentilhomme qui vous etait apparente en pologne l ete dernier   or  la beaute des dames de la cour d angleterre me met dans le ravissement  on ne peut voir une dame plus gracieuse que votre reine  ni une coiffure plus belle que la sienne   both lord francis and the earl showed the highest embarrassment 
255,the one helped her largely to horse radish sauce  the other whistled to his dog and made him beg for a marrow bone 
256,at this the princess could no longer contain her laughter  and orlando  catching her eyes across the boars  heads and stuffed peacocks  laughed too 
257,he laughed  but the laugh on his lips froze in wonder 
258,whom had he loved  what had he loved  he asked himself in a tumult of emotion  until now 
259,an old woman  he answered  all skin and bone 
260,red cheeked trulls too many to mention 
261,a puling nun 
262,a hard bitten cruel mouthed adventuress 
263,a nodding mass of lace and ceremony 
264,love had meant to him nothing but sawdust and cinders 
265,the joys he had had of it tasted insipid in the extreme 
266,he marvelled how he could have gone through with it without yawning 
267,for as he looked the thickness of his blood melted  the ice turned to wine in his veins  he heard the waters flowing and the birds singing  spring broke over the hard wintry landscape  his manhood woke  he grasped a sword in his hand  he charged a more daring foe than pole or moor  he dived in deep water  he saw the flower of danger growing in a crevice  he stretched his hand  in fact he was rattling off one of his most impassioned sonnets when the princess addressed him   would you have the goodness to pass the salt  
268,he blushed deeply 
269, with all the pleasure in the world  madame   he replied  speaking french with a perfect accent 
270,for  heaven be praised  he spoke the tongue as his own  his mother own maid had taught him 
271,yet perhaps it would have been better for him had he never learnt that tongue  never answered that voice  never followed the light of those eyes   
272,the princess continued 
273,who were those bumpkins  she asked him  who sat beside her with the manners of stablemen 
274,what was the nauseating mixture they had poured on her plate 
275,did the dogs eat at the same table with the men in england 
276,was that figure of fun at the end of the table with her hair rigged up like a maypole  comme une grande perche mal fagotee  really the queen 
277,and did the king always slobber like that 
278,and which of those popinjays was george villiers 
279,though these questions rather discomposed orlando at first  they were put with such archness and drollery that he could not help but laugh  and he saw from the blank faces of the company that nobody understood a word  he answered her as freely as she asked him  speaking  as she did  in perfect french 
280,thus began an intimacy between the two which soon became the scandal of the court 
281,soon it was observed orlando paid the muscovite far more attention than mere civility demanded 
282,he was seldom far from her side  and their conversation  though unintelligible to the rest  was carried on with such animation  provoked such blushes and laughter  that the dullest could guess the subject 
283,moreover  the change in orlando himself was extraordinary 
284,nobody had ever seen him so animated 
285,in one night he had thrown off his boyish clumsiness  he was changed from a sulky stripling  who could not enter a ladies  room without sweeping half the ornaments from the table  to a nobleman  full of grace and manly courtesy 
286,to see him hand the muscovite  as she was called  to her sledge  or offer her his hand for the dance  or catch the spotted kerchief which she had let drop  or discharge any other of those manifold duties which the supreme lady exacts and the lover hastens to anticipate was a sight to kindle the dull eyes of age  and to make the quick pulse of youth beat faster 
287,yet over it all hung a cloud 
288,the old men shrugged their shoulders 
289,the young tittered between their fingers 
290,all knew that a orlando was betrothed to another 
