,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
30,baseline_textblob,peak,260,Red-cheeked trulls too many to mention.,0.028284672627624855,33,6,Red-cheeked trulls too many to mention.
72,baseline_flair,valley,271,Yet perhaps it would have been better for him had he never learnt that tongue; never answered that voice; never followed the light of those eyes...,-0.09688507587053029,31,26,Yet perhaps it would have been better for him had he never learnt that tongue; never answered that v
253,transformer_huggingface,valley,272,The Princess continued.,-1.2922673247398417,19,3,The Princess continued.
1,baseline_vader,peak,300,"But what most outraged the Court, and stung it in its tenderest part, which is its vanity, was that the couple was often seen to slip under the silken rope, which railed off the Royal enclosure from the public part of the river and to disappear among the crowd of common people.",0.019220083947814624,33,52,"But what most outraged the Court, and stung it in its tenderest part, which is its vanity, was that "
58,baseline_flair,peak,303,"It was full of prying old women, she said, who stared in one's face, and of bumptious young men who trod on one's toes.",-0.07823988574835546,32,24,"It was full of prying old women, she said, who stared in one's face, and of bumptious young men who "
239,transformer_huggingface,peak,328,"He wanted another landscape, and another tongue.",-0.8181053367381504,24,7,"He wanted another landscape, and another tongue."
133,sentimentr_jockers,valley,338,Why was she here alone with her uncle?,-1.2455598940222063,20,8,Why was she here alone with her uncle?
164,sentimentr_jockers,valley,338,Why was she here alone with her uncle?,-1.269624729936179,20,8,Why was she here alone with her uncle?
117,sentimentr_jockers,peak,341,"But on reflection, he concluded that her silence could not be for that reason; she herself was entirely free from hair on the chin; she dressed in velvet and pearls, and her manners were certainly not those of a woman bred in a cattle-shed.",-1.1495852400820157,21,44,"But on reflection, he concluded that her silence could not be for that reason; she herself was entir"
148,sentimentr_jockers,peak,341,"But on reflection, he concluded that her silence could not be for that reason; she herself was entirely free from hair on the chin; she dressed in velvet and pearls, and her manners were certainly not those of a woman bred in a cattle-shed.",-1.170005905652262,21,44,"But on reflection, he concluded that her silence could not be for that reason; she herself was entir"
195,syuzhetr_syuzhet,valley,350,"Remembering certain passages in his own past, Orlando would not have marvelled had some good citizens sought this refuge before them; and so it turned out.",-1.372670748795469,19,26,"Remembering certain passages in his own past, Orlando would not have marvelled had some good citizen"
179,syuzhetr_syuzhet,peak,352,"Time went by, and Orlando, wrapped in his own dreams, thought only of the pleasures of life; of his jewel; of her rarity; of means for making her irrevocably and indissolubly his own.",-1.35850345187083,19,33,"Time went by, and Orlando, wrapped in his own dreams, thought only of the pleasures of life; of his "
102,baseline_stanza,valley,366,He blazed into such a howl of anguish that the whole ship echoed.,-0.07514638954034737,32,13,He blazed into such a howl of anguish that the whole ship echoed.
209,transformer_roberta15lg,peak,399,The Abbey appeared like the grey skeleton of a leaf.,-1.2284977096725351,20,10,The Abbey appeared like the grey skeleton of a leaf.
225,transformer_roberta15lg,valley,420,"Ruin and death, he thought, cover all.",-1.693056761861623,15,7,"Ruin and death, he thought, cover all."
44,baseline_textblob,valley,443,"Orlando looked to the wicks of his lantern, saw to the saddle girths; primed his pistols; examined his holsters; and did all these things a dozen times at least till he could find nothing more needing his attention.",-0.16743128313227001,31,38,"Orlando looked to the wicks of his lantern, saw to the saddle girths; primed his pistols; examined h"
73,baseline_flair,valley,447,"Each drunken shout and each wail from some poor wretch laid in the straw or in other distress cut his heart to the quick, as if it boded ill omen to his venture.",-0.27894728330766044,30,33,Each drunken shout and each wail from some poor wretch laid in the straw or in other distress cut hi
18,baseline_vader,valley,448,"Yet, he had no fear for Sasha.",-0.3088185959039089,29,7,"Yet, he had no fear for Sasha."
2,baseline_vader,peak,464,But of what effect this would have upon their flight he scarcely thought.,-0.2668813164129186,30,13,But of what effect this would have upon their flight he scarcely thought.
254,transformer_huggingface,valley,483,Huge noises as of the tearing and rending of oak trees could be heard.,-2.719556094342706,5,14,Huge noises as of the tearing and rending of oak trees could be heard.
165,sentimentr_jockers,valley,490,The river had gained its freedom in the night.,-2.892740422886435,3,9,The river had gained its freedom in the night.
134,sentimentr_jockers,valley,492,The mere look of the water was enough to turn one giddy.,-2.8963056092523902,3,12,The mere look of the water was enough to turn one giddy.
196,syuzhetr_syuzhet,valley,499,Whether they jumped into the flood or stayed on the ice their doom was certain.,-3.284075225544657,0,15,Whether they jumped into the flood or stayed on the ice their doom was certain.
87,baseline_stanza,peak,513,"Hastily, he made count of them all; the French; the Spanish; the Austrian; the Turk.",0.0789161383626209,33,15,"Hastily, he made count of them all; the French; the Spanish; the Austrian; the Turk."
240,transformer_huggingface,peak,514,"All still floated, though the French had broken loose from her moorings, and the Turkish vessel had taken a great rent in her side and was fast filling with water.",-2.124351356925104,11,30,"All still floated, though the French had broken loose from her moorings, and the Turkish vessel had "
59,baseline_flair,peak,530,Nor could he be awakened.,-0.21338421122249776,30,5,Nor could he be awakened.
31,baseline_textblob,peak,530,Nor could he be awakened.,-0.06101767894591638,32,5,Nor could he be awakened.
210,transformer_roberta15lg,peak,551,"None dared follow him, for the house was haunted by a great variety of ghosts, and the extent of it made it easy to lose one's way and either fall down some hidden staircase or open a door which, should the wind blow it to, would shut upon one for ever--accidents of no uncommon occurrence, as the frequent discovery of the skeletons of men and animals in attitudes of great agony made evident.",-2.586039062498329,6,73,"None dared follow him, for the house was haunted by a great variety of ghosts, and the extent of it "
103,baseline_stanza,valley,564,"So, taking his lantern and seeing that the bones were in order, for though romantic, he was singularly methodical and detested nothing so much as a ball of string on the floor, let alone the skull of an ancestor, he returned to that curious, moody pacing down the galleries, looking for something among the pictures, which was interrupted at length by a veritable spasm of sobbing, at the sight of a Dutch snow scene by an unknown artist.",0.031849284900725014,33,78,"So, taking his lantern and seeing that the bones were in order, for though romantic, he was singular"
226,transformer_roberta15lg,valley,582,"The nine acres of stone which were his house vanished; one hundred and fifty indoor servants disappeared; his eighty riding horses became invisible; it would take too long to count the carpets, sofas, trappings, china, plate, cruets, chafing dishes and other movables often of beaten gold, which evaporated like so much sea mist under the miasma.",-3.0505098786537843,2,56,The nine acres of stone which were his house vanished; one hundred and fifty indoor servants disappe
45,baseline_textblob,valley,593,The flavour of it all goes out of him; he is riddled by hot irons; gnawed by vermin.,-0.09427704987115672,31,18,The flavour of it all goes out of him; he is riddled by hot irons; gnawed by vermin.
74,baseline_flair,valley,599,"But he was deeply smitten with it, as the sequel shows.",-0.2389885997773895,30,11,"But he was deeply smitten with it, as the sequel shows."
19,baseline_vader,valley,605,The truth was that Orlando had been afflicted thus for many years.,-0.21913232185710005,30,12,The truth was that Orlando had been afflicted thus for many years.
180,syuzhetr_syuzhet,peak,612,"As this pause was of extreme significance in his history, more so, indeed, than many acts which bring men to their knees and make rivers run with blood, it behoves us to ask why he paused; and to reply, after due reflection, that it was for some such reason as this.",-2.201457618886841,10,51,"As this pause was of extreme significance in his history, more so, indeed, than many acts which brin"
3,baseline_vader,peak,619,"Instead of being a single, downright, bluff piece of work of which no man need feel ashamed, our commonest deeds are set about with a fluttering and flickering of wings, a rising and falling of lights.",-0.1835074566255485,31,36,"Instead of being a single, downright, bluff piece of work of which no man need feel ashamed, our com"
118,sentimentr_jockers,peak,623,Had they plotted?,-2.043520864536579,12,3,Had they plotted?
149,sentimentr_jockers,peak,637,It is then that sedition enters the fortress and our troops rise in insurrection.,-1.6806901390382702,16,14,It is then that sedition enters the fortress and our troops rise in insurrection.
135,sentimentr_jockers,valley,641,"Standing upright in the solitude of his room, he vowed that he would be the first poet of his race and bring immortal lustre upon his name.",-1.836919554104689,14,27,"Standing upright in the solitude of his room, he vowed that he would be the first poet of his race a"
166,sentimentr_jockers,valley,641,"Standing upright in the solitude of his room, he vowed that he would be the first poet of his race and bring immortal lustre upon his name.",-1.7508825929368401,15,27,"Standing upright in the solitude of his room, he vowed that he would be the first poet of his race a"
255,transformer_huggingface,valley,645,"Whereas, he said, turning to the page of Sir Thomas Browne, which lay open upon the table--and again he paused. Like an incantation rising from all parts of the room, from the night wind and the moonlight, rolled the divine melody of those words which, lest they should outstare this page, we will leave where they lie entombed, not dead, embalmed rather, so fresh is their colour, so sound their breathing--and Orlando, comparing that achievement with those of his ancestors, cried out that they and their deeds were dust and ashes, but this man and his words were immortal.",-2.1997989145882966,10,99,"Whereas, he said, turning to the page of Sir Thomas Browne, which lay open upon the table--and again"
197,syuzhetr_syuzhet,valley,651,To his imagination it seemed as if even the bodies of those instinct with such divine thoughts must be transfigured.,-1.3844768295660017,18,20,To his imagination it seemed as if even the bodies of those instinct with such divine thoughts must 
88,baseline_stanza,peak,675,"There was none of that stately composure which makes the faces of the nobility so pleasing to look at; nor had it anything of the dignified servility of a well-trained domestic's face; it was a face seamed, puckered, and drawn together.",0.22385941929340006,35,41,There was none of that stately composure which makes the faces of the nobility so pleasing to look a
227,transformer_roberta15lg,valley,737,"Then he was so witty; then he was so irreverent; then he made so free with the names of God and Woman; then he was So full of queer crafts and had such strange lore in his head; could make salad in three hundred different ways; knew all that could be known of the mixing of wines; played half-a-dozen musical instruments, and was the first person, and perhaps the last, to toast cheese in the great Italian fireplace.",-1.3242219694061508,19,78,Then he was so witty; then he was so irreverent; then he made so free with the names of God and Woma
32,baseline_textblob,peak,742,He bethought him how active and valiant they were in body; how slothful and timid in mind.,0.05900653152702254,33,17,He bethought him how active and valiant they were in body; how slothful and timid in mind.
211,transformer_roberta15lg,peak,747,"If this goes on much longer, he thought, hearing the footman mend the fire and spread the table with silver dishes next door, I shall fall asleep and (here he gave a prodigious yawn) sleeping die.",-1.059986279293674,22,36,"If this goes on much longer, he thought, hearing the footman mend the fire and spread the table with"
75,baseline_flair,valley,751,"He would end his visit, by Orlando's leave, that very morning.",-0.10771666286061343,31,11,"He would end his visit, by Orlando's leave, that very morning."
46,baseline_textblob,valley,751,"He would end his visit, by Orlando's leave, that very morning.",0.051993907842743346,33,11,"He would end his visit, by Orlando's leave, that very morning."
60,baseline_flair,peak,757,Orlando knew that he would never have the heart to make toasted cheese in the Italian fireplace again.,-0.06621457439266695,32,18,Orlando knew that he would never have the heart to make toasted cheese in the Italian fireplace agai
181,syuzhetr_syuzhet,peak,761,"Mrs Greene, that is to say, was giving birth to a baby in one room; Tom Fletcher was drinking gin in another.",0.3486558275481487,36,22,"Mrs Greene, that is to say, was giving birth to a baby in one room; Tom Fletcher was drinking gin in"
241,transformer_huggingface,peak,761,"Mrs Greene, that is to say, was giving birth to a baby in one room; Tom Fletcher was drinking gin in another.",-0.2668650538015272,30,22,"Mrs Greene, that is to say, was giving birth to a baby in one room; Tom Fletcher was drinking gin in"
4,baseline_vader,peak,770,"The pamphlet, which ran at once into several editions, and paid the expenses of Mrs Greene's tenth lying-in, was soon sent by friends who take care of such matters to Orlando himself.",0.09921442006326843,33,32,"The pamphlet, which ran at once into several editions, and paid the expenses of Mrs Greene's tenth l"
119,sentimentr_jockers,peak,774,"He fulfilled his task so efficiently that he was back that day three weeks, leading in his hand a leash of the finest elk-hounds, one of whom, a female, gave birth that very night under the dinner-table to a litter of eight fine puppies.",-0.10531136539926453,31,44,"He fulfilled his task so efficiently that he was back that day three weeks, leading in his hand a le"
150,sentimentr_jockers,peak,789,"He saw the beech trees turn golden and the young ferns unfurl; he saw the moon sickle and then circular; he saw--but probably the reader can imagine the passage which should follow and how every tree and plant in the neighbourhood is described first green, then golden; how moons rise and suns set; how spring follows winter and autumn summer; how night succeeds day and day night; how there is first a storm and then fine weather; how things remain much as they are for two or three hundred years or so, except for a little dust and a few cobwebs which one old woman can sweep up in half an hour; a conclusion which, one cannot help feeling, might have been reached more quickly by the simple statement that 'Time passed' (here the exact amount could be indicated in brackets) and nothing whatever happened.",0.06770956834772981,33,145,He saw the beech trees turn golden and the young ferns unfurl; he saw the moon sickle and then circu
256,transformer_huggingface,valley,815,'And what's the point of it?' he would ask himself.,-0.23760994607003874,30,10,'And what's the point of it?' he would ask himself.
104,baseline_stanza,valley,821,"'Upon my word,' he said (for he had fallen into the bad habit of speaking aloud), 'I don't see that one's more true than another. Both are utterly false.'",0.08863084510214973,33,29,"'Upon my word,' he said (for he had fallen into the bad habit of speaking aloud), 'I don't see that "
20,baseline_vader,valley,837,"Eloquent as this all was, he now tore it up and threw it in the dustbin.",0.04068197900318027,33,16,"Eloquent as this all was, he now tore it up and threw it in the dustbin."
136,sentimentr_jockers,valley,837,"Eloquent as this all was, he now tore it up and threw it in the dustbin.",-0.2877176577904096,29,16,"Eloquent as this all was, he now tore it up and threw it in the dustbin."
167,sentimentr_jockers,valley,837,"Eloquent as this all was, he now tore it up and threw it in the dustbin.",-0.07264462103434521,32,16,"Eloquent as this all was, he now tore it up and threw it in the dustbin."
198,syuzhetr_syuzhet,valley,837,"Eloquent as this all was, he now tore it up and threw it in the dustbin.",0.0936444829046488,33,16,"Eloquent as this all was, he now tore it up and threw it in the dustbin."
33,baseline_textblob,peak,894,"In the garden snowdrops, crocuses, hyacinths, magnolias, roses, lilies, asters, the dahlia in all its varieties, pear trees and apple trees and cherry trees and mulberry trees, with an enormous quantity of rare and flowering shrubs, of trees evergreen and perennial, grew so thick on each other's roots that there was no plot of earth without its bloom, and no stretch of sward without its shade.",0.1336073245328155,34,66,"In the garden snowdrops, crocuses, hyacinths, magnolias, roses, lilies, asters, the dahlia in all it"
61,baseline_flair,peak,908,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedicated to his Lordship in rather fulsome terms by grateful poets.",0.06193169925186144,33,28,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedic"
89,baseline_stanza,peak,908,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedicated to his Lordship in rather fulsome terms by grateful poets.",0.13614496241630053,34,28,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedic"
212,transformer_roberta15lg,peak,908,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedicated to his Lordship in rather fulsome terms by grateful poets.",0.47853699503628455,37,28,"held a score of offices in the county, and was annually presented with perhaps a dozen volumes dedic"
182,syuzhetr_syuzhet,peak,910,"But when the feasting was at its height and his guests were at their revels, he was apt to take himself off to his private room alone.",1.3084901941924274,45,27,"But when the feasting was at its height and his guests were at their revels, he was apt to take hims"
242,transformer_huggingface,peak,912,In this he would write till midnight chimed and long after.,1.2235621342332206,45,11,In this he would write till midnight chimed and long after.
5,baseline_vader,peak,919,"One day he was adding a line or two with enormous labour to 'The Oak Tree, A Poem', when a shadow crossed the tail of his eye.",0.14866923957474704,34,27,"One day he was adding a line or two with enormous labour to 'The Oak Tree, A Poem', when a shadow cr"
120,sentimentr_jockers,peak,942,"On the fourth it rained, and as he could not keep a lady in the wet, nor was altogether averse to company, he invited her in and asked her opinion whether a suit of armour, which belonged to an ancestor of his, was the work of Jacobi or of Topp.",0.9076644874007682,41,50,"On the fourth it rained, and as he could not keep a lady in the wet, nor was altogether averse to co"
151,sentimentr_jockers,peak,942,"On the fourth it rained, and as he could not keep a lady in the wet, nor was altogether averse to company, he invited her in and asked her opinion whether a suit of armour, which belonged to an ancestor of his, was the work of Jacobi or of Topp.",1.1499566186797698,44,50,"On the fourth it rained, and as he could not keep a lady in the wet, nor was altogether averse to co"
76,baseline_flair,valley,949,And the answer is double faced as Love herself.,0.0027479849047769827,32,9,And the answer is double faced as Love herself.
228,transformer_roberta15lg,valley,952,"The distant stir of that soft plumage roused in him a thousand memories of rushing waters, of loveliness in the snow and faithlessness in the flood; and the sound came nearer; and he blushed and trembled; and he was moved as he had thought never to be moved again; and he was ready to raise his hands and let the bird of beauty alight upon his shoulders, when--horror!--a creaking sound like that the crows make tumbling over the trees began to reverberate; the air seemed dark with coarse black wings; voices croaked; bits of straw, twigs, and feathers dropped; and there pitched down upon his shoulders the heaviest and foulest of the birds; which is the vulture.",-0.3756120790467871,29,117,"The distant stir of that soft plumage roused in him a thousand memories of rushing waters, of loveli"
257,transformer_huggingface,valley,994,The ceremony was always the same.,0.5107426676391024,37,6,The ceremony was always the same.
137,sentimentr_jockers,valley,1002,"In the next were discussed the Ambassador's health and that of his host's wife, but more briefly.",0.9260793117803516,42,17,"In the next were discussed the Ambassador's health and that of his host's wife, but more briefly."
168,sentimentr_jockers,valley,1002,"In the next were discussed the Ambassador's health and that of his host's wife, but more briefly.",1.1546900269869984,44,17,"In the next were discussed the Ambassador's health and that of his host's wife, but more briefly."
47,baseline_textblob,valley,1010,"And sometimes, it is said, he would pass out of his own gates late at night so disguised that the sentries did not know him.",-0.0049681108237688894,32,25,"And sometimes, it is said, he would pass out of his own gates late at night so disguised that the se"
21,baseline_vader,valley,1021,He became the adored of many women and some men.,0.007682062600963226,32,10,He became the adored of many women and some men.
105,baseline_stanza,valley,1025,"But this romantic power, it is well known, is often associated with a nature of extreme reserve.",-0.08327204796624843,32,17,"But this romantic power, it is well known, is often associated with a nature of extreme reserve."
199,syuzhetr_syuzhet,valley,1054,"Six Turks of the Imperial Body Guard, each over six foot in height, held torches to his right and left.",0.6745036568148416,39,20,"Six Turks of the Imperial Body Guard, each over six foot in height, held torches to his right and le"
34,baseline_textblob,peak,1062,The natives pressed into the banqueting rooms.,-0.00848899917340299,32,7,The natives pressed into the banqueting rooms.
213,transformer_roberta15lg,peak,1067,"So far, we are on the firm, if rather narrow, ground of ascertained truth.",1.1123825342101659,43,14,"So far, we are on the firm, if rather narrow, ground of ascertained truth."
62,baseline_flair,peak,1079,"No suspicion was felt at first, as the fatigues of the night had been great.",0.1867136387574913,34,15,"No suspicion was felt at first, as the fatigues of the night had been great."
6,baseline_vader,peak,1092,But still he slept.,0.04075093288287621,33,4,But still he slept.
121,sentimentr_jockers,peak,1092,But still he slept.,1.596250245634535,48,4,But still he slept.
152,sentimentr_jockers,peak,1092,But still he slept.,1.6852108374977093,49,4,But still he slept.
243,transformer_huggingface,peak,1092,But still he slept.,1.025015353510859,43,4,But still he slept.
90,baseline_stanza,peak,1121,"Rather than let Orlando wake, I will freeze him to the bone.",-0.04237731530431023,32,12,"Rather than let Orlando wake, I will freeze him to the bone."
183,syuzhetr_syuzhet,peak,1133,"Spare, O spare!'",1.0227830395455448,43,3,"Spare, O spare!'"
48,baseline_textblob,valley,1160,"We are, therefore, now left entirely alone in the room with the sleeping Orlando and the trumpeters.",-0.056988943842865326,32,17,"We are, therefore, now left entirely alone in the room with the sleeping Orlando and the trumpeters."
106,baseline_stanza,valley,1190,"There, in the shadow of a giant fig tree, waited an old gipsy on a donkey.",-0.11936438306197128,31,16,"There, in the shadow of a giant fig tree, waited an old gipsy on a donkey."
77,baseline_flair,valley,1205,'How good to eat!',0.0742926299502668,33,4,'How good to eat!'
229,transformer_roberta15lg,valley,1205,'How good to eat!',0.4620839685463309,37,4,'How good to eat!'
22,baseline_vader,valley,1209,"The elders, however, who had seen more of foreigners than they had, became suspicious.",-0.039556829958468216,32,14,"The elders, however, who had seen more of foreigners than they had, became suspicious."
169,sentimentr_jockers,valley,1209,"The elders, however, who had seen more of foreigners than they had, became suspicious.",0.7793111405239728,40,14,"The elders, however, who had seen more of foreigners than they had, became suspicious."
200,syuzhetr_syuzhet,valley,1209,"The elders, however, who had seen more of foreigners than they had, became suspicious.",0.26129082984620783,35,14,"The elders, however, who had seen more of foreigners than they had, became suspicious."
258,transformer_huggingface,valley,1209,"The elders, however, who had seen more of foreigners than they had, became suspicious.",-0.41242924639326606,28,14,"The elders, however, who had seen more of foreigners than they had, became suspicious."
122,sentimentr_jockers,peak,1247,"She need not even look at them, and yet they felt, here is someone who doubts; (we make a rough-and-ready translation from the gipsy language) here is someone who does not do the thing for the sake of doing; nor looks for looking's sake; here is someone who believes neither in sheep-skin nor basket; but sees (here they looked apprehensively about the tent) something else.",1.073729644941603,43,65,"She need not even look at them, and yet they felt, here is someone who doubts; (we make a rough-and-"
153,sentimentr_jockers,peak,1247,"She need not even look at them, and yet they felt, here is someone who doubts; (we make a rough-and-ready translation from the gipsy language) here is someone who does not do the thing for the sake of doing; nor looks for looking's sake; here is someone who believes neither in sheep-skin nor basket; but sees (here they looked apprehensively about the tent) something else.",1.1495674911523224,44,65,"She need not even look at them, and yet they felt, here is someone who doubts; (we make a rough-and-"
63,baseline_flair,peak,1248,Then a vague but most unpleasant feeling would begin to work in the boy and in the old woman.,0.16009943191563805,34,19,Then a vague but most unpleasant feeling would begin to work in the boy and in the old woman.
214,transformer_roberta15lg,peak,1255,"One night when they were questioning her about England she could not help with some pride describing the house where she was born, how it had bedrooms and had been in the possession of her family for four or five hundred years.",1.6476908045400238,49,42,One night when they were questioning her about England she could not help with some pride describing
138,sentimentr_jockers,valley,1258,"Now they were courteous, but concerned as people of fine breeding are when a stranger has been made to reveal his low birth or poverty.",0.7379204557326439,40,25,"Now they were courteous, but concerned as people of fine breeding are when a stranger has been made "
7,baseline_vader,peak,1301,Already the young men had plotted her death.,0.12368521168718467,34,8,Already the young men had plotted her death.
184,syuzhetr_syuzhet,peak,1301,Already the young men had plotted her death.,0.9791005406945743,42,8,Already the young men had plotted her death.
35,baseline_textblob,peak,1314,"But if one has been a man for thirty years or so, and an Ambassador into the bargain, if one has held a Queen in one's arms and one or two other ladies, if report be true, of less exalted rank, if one has married a Rosina Pepita, and so on, one does not perhaps give such a very great start about that.",0.16228015780799607,34,63,"But if one has been a man for thirty years or so, and an Ambassador into the bargain, if one has hel"
91,baseline_stanza,peak,1324,"It recalled the feeling of indescribable pleasure with which she had first seen Sasha, hundreds of years ago.",0.1507785350409574,34,18,"It recalled the feeling of indescribable pleasure with which she had first seen Sasha, hundreds of y"
244,transformer_huggingface,peak,1339,"Yet, she reflected, the flowered paduasoy--the pleasure of being rescued by a blue-jacket--if these were only to be obtained by roundabout ways, roundabout one must go, she supposed.",0.8159274818694764,41,28,"Yet, she reflected, the flowered paduasoy--the pleasure of being rescued by a blue-jacket--if these "
107,baseline_stanza,valley,1354,"Thus it is no great wonder, as she pitted one sex against the other, and found each alternately full of the most deplorable infirmities, and was not sure to which she belonged--it was no great wonder that she was about to cry out that she would return to Turkey and become a gipsy again when the anchor fell with a great splash into the sea; the sails came tumbling on deck, and she perceived (so sunk had she been in thought that she had seen nothing for several days) that the ship was anchored off the coast of Italy.",0.11418020282646059,33,99,"Thus it is no great wonder, as she pitted one sex against the other, and found each alternately full"
49,baseline_textblob,valley,1363,"'Better is it', she thought, 'to be clothed with poverty and ignorance, which are the dark garments of the female sex; better to leave the rule and discipline of the world to others; better be quit of martial ambition, the love of power, and all the other manly desires if so one can more fully enjoy the most exalted raptures known to the humane spirit, which are', she said aloud, as her habit was when deeply moved, 'contemplation, solitude, love.'",0.13281824679295473,34,80,"'Better is it', she thought, 'to be clothed with poverty and ignorance, which are the dark garments "
230,transformer_roberta15lg,valley,1363,"'Better is it', she thought, 'to be clothed with poverty and ignorance, which are the dark garments of the female sex; better to leave the rule and discipline of the world to others; better be quit of martial ambition, the love of power, and all the other manly desires if so one can more fully enjoy the most exalted raptures known to the humane spirit, which are', she said aloud, as her habit was when deeply moved, 'contemplation, solitude, love.'",1.0051591723965558,42,80,"'Better is it', she thought, 'to be clothed with poverty and ignorance, which are the dark garments "
259,transformer_huggingface,valley,1410,The heads of rebels had grinned on pikes at Temple Bar.,0.09741442721317986,33,11,The heads of rebels had grinned on pikes at Temple Bar.
78,baseline_flair,valley,1413,"Stately coaches drawn by teams of well-fed horses stood at the doors of houses whose bow windows, whose plate glass, whose polished knockers, testified to the wealth and modest dignity of the dwellers within.",-0.0025175754555975365,32,34,"Stately coaches drawn by teams of well-fed horses stood at the doors of houses whose bow windows, wh"
139,sentimentr_jockers,valley,1416,"She caught sight of a variety of painted signs swinging in the breeze and could form a rapid notion from what was painted on them of the tobacco, of the stuff, of the silk, of the gold, of the silver ware, of the gloves, of the perfumes, and of a thousand other articles which were sold within.",-0.44396264554263193,28,57,She caught sight of a variety of painted signs swinging in the breeze and could form a rapid notion 
