,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
18,18,"From deed to deed, from glory to glory, from office to office he must go, his scribe following after, till they reach whatever seat it may be that is the height of their desire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,"Orlando, to look at, was cut out precisely for some such career.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,The red of the cheeks was covered with peach down; the down on the lips was only a little thicker than the down on the cheeks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,The lips themselves were short and slightly drawn back over teeth of an exquisite and almond whiteness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,"Nothing disturbed the arrowy nose in its short, tense flight; the hair was dark, the ears small, and fitted closely to the head.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,"But, alas, that these catalogues of youthful beauty cannot end without mentioning forehead and eyes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"Alas, that people are seldom born devoid of all three; for directly we glance at Orlando standing by the window, we must admit that he had eyes like drenched violets, so large that the water seemed to have brimmed in them and widened them; and a brow like the swelling of a marble dome pressed between the two blank medallions which were his temples.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"Directly we glance at eyes and forehead, thus do we rhapsodize.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"Directly we glance at eyes and forehead, we have to admit a thousand disagreeables which it is the aim of every good biographer to ignore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,"Sights disturbed him, like that of his mother, a very beautiful lady in green walking out to feed the peacocks with Twitchett, her maid, behind her; sights exalted him--the birds and the trees; and made him in love with death--the evening sky, the homing rooks; and so, mounting up the spiral stairway into his brain--which was a roomy one--all these sights, and the garden sounds too, the hammer beating, the wood chopping, began that riot and confusion of the passions and emotions which every good biographer detests, But to continue--Orlando slowly drew in his head, sat down at the table, and, with the half-conscious air of one doing what they do every day of their lives at this hour, took out a writing book labelled 'Aethelbert: A Tragedy in Five Acts,' and dipped an old stained goose quill in the ink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Soon he had covered ten pages and more with poetry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"He was fluent, evidently, but he was abstract.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,"Vice, Crime, Misery were the personages of his drama; there were Kings and Queens of impossible territories; horrid plots confounded them; noble sentiments suffused them; there was never a word said as he himself would have said it, but all was turned with a fluency and sweetness which, considering his age--he was not yet seventeen--and that the sixteenth century had still some years of its course to run, were remarkable enough.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,"At last, however, he came to a halt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,"He was describing, as all young poets are for ever describing, nature, and in order to match the shade of green precisely he looked (and here he showed more audacity than most) at the thing itself, which happened to be a laurel bush growing beneath the window.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,"After that, of course, he could write no more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,"Green in nature is one thing, green in literature another.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,Nature and letters seem to have a natural antipathy; bring them together and they tear each other to pieces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,The shade of green Orlando now saw spoilt his rhyme and split his metre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,"Moreover, nature has tricks of her own.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,"Once look out of a window at bees among flowers, at a yawning dog, at the sun setting, once think 'how many more suns shall I see set', etc. etc. (the thought is too well known to be worth writing out) and one drops the pen, takes one's cloak, strides out of the room, and catches one's foot on a painted chest as one does so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,For Orlando was a trifle clumsy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,He was careful to avoid meeting anyone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,"There was Stubbs, the gardener, coming along the path.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,He hid behind a tree till he had passed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,He let himself out at a little gate in the garden wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,"He skirted all stables, kennels, breweries, carpenters' shops, washhouses, places where they make tallow candles, kill oxen, forge horse-shoes, stitch jerkins--for the house was a town ringing with men at work at their various crafts--and gained the ferny path leading uphill through the park unseen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,There is perhaps a kinship among qualities; one draws another along with it; and the biographer should here call attention to the fact that this clumsiness is often mated with a love of solitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,"Having stumbled over a chest, Orlando naturally loved solitary places, vast views, and to feel himself for ever and ever and ever alone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,"So, after a long silence, 'I am alone', he breathed at last, opening his lips for the first time in this record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,"He had walked very quickly uphill through ferns and hawthorn bushes, startling deer and wild birds, to a place crowned by a single oak tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,"It was very high, so high indeed that nineteen English counties could be seen beneath; and on clear days thirty or perhaps forty, if the weather was very fine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,"Sometimes one could see the English Channel, wave reiterating upon wave.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"Rivers could be seen and pleasure boats gliding on them; and galleons setting out to sea; and armadas with puffs of smoke from which came the dull thud of cannon firing; and forts on the coast; and castles among the meadows; and here a watch tower; and there a fortress; and again some vast mansion like that of Orlando's father, massed like a town in the valley circled by walls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,"To the east there were the spires of London and the smoke of the city; and perhaps on the very sky line, when the wind was in the right quarter, the craggy top and serrated edges of Snowdon herself showed mountainous among the clouds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,"For a moment Orlando stood counting, gazing, recognizing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,That was his father's house; that his uncle's.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,His aunt owned those three great turrets among the trees there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,"The heath was theirs and the forest; the pheasant and the deer, the fox, the badger, and the butterfly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,"He sighed profoundly, and flung himself--there was a passion in his movements which deserves the word--on the earth at the foot of the oak tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,"He loved, beneath all this summer transiency, to feel the earth's spine beneath him; for such he took the hard root of the oak tree to be; or, for image followed image, it was the back of a great horse that he was riding, or the deck of a tumbling ship--it was anything indeed, so long as it was hard, for he felt the need of something which he could attach his floating heart to; the heart that tugged at his side; the heart that seemed filled with spiced and amorous gales every evening about this time when he walked out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"To the oak tree he tied it and as he lay there, gradually the flutter in and about him stilled itself; the little leaves hung, the deer stopped; the pale summer clouds stayed; his limbs grew heavy on the ground; and he lay so still that by degrees the deer stepped nearer and the rooks wheeled round him and the swallows dipped and circled and the dragonflies shot past, as if all the fertility and amorous activity of a summer's evening were woven web-like about his body.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,"After an hour or so--the sun was rapidly sinking, the white clouds had turned red, the hills were violet, the woods purple, the valleys black--a trumpet sounded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Orlando leapt to his feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,The shrill sound came from the valley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,"It came from a dark spot down there; a spot compact and mapped out; a maze; a town, yet girt about with walls; it came from the heart of his own great house in the valley, which, dark before, even as he looked and the single trumpet duplicated and reduplicated itself with other shriller sounds, lost its darkness and became pierced with lights.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,"Some were small hurrying lights, as if servants dashed along corridors to answer summonses; others were high and lustrous lights, as if they burnt in empty banqueting-halls made ready to receive guests who had not come; and others dipped and waved and sank and rose, as if held in the hands of troops of serving men, bending, kneeling, rising, receiving, guarding, and escorting with all dignity indoors a great Princess alighting from her chariot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,Coaches turned and wheeled in the courtyard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Horses tossed their plumes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,The Queen had come.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,Orlando looked no more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,He dashed downhill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,He let himself in at a wicket gate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,He tore up the winding staircase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,He reached his room.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"He tossed his stockings to one side of the room, his jerkin to the other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,He dipped his head.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,He scoured his hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,He pared his finger nails.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,"With no more than six inches of looking-glass and a pair of old candles to help him, he had thrust on crimson breeches, lace collar, waistcoat of taffeta, and shoes with rosettes on them as big as double dahlias in less than ten minutes by the stable clock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,He was ready.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,He was flushed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,"He was excited, But he was terribly late.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,"By short cuts known to him, he made his way now through the vast congeries of rooms and staircases to the banqueting-hall, five acres distant on the other side of the house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"But half-way there, in the back quarters where the servants lived, he stopped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,"The door of Mrs Stewkley's sitting-room stood open--she was gone, doubtless, with all her keys to wait upon her mistress. But there, sitting at the servant's dinner table with a tankard beside him and paper in front of him, sat a rather fat, shabby man, whose ruff was a thought dirty, and whose clothes were of hodden brown. He held a pen in his hand, but he was not writing. He seemed in the act of rolling some thought up and down, to and fro in his mind till it gathered shape or momentum to his liking. His eyes, globed and clouded like some green stone of curious texture, were fixed. He did not see Orlando. For all his hurry, Orlando stopped dead. Was this a poet? Was he writing poetry? 'Tell me', he wanted to say, 'everything in the whole world'--for he had the wildest, most absurd, extravagant ideas about poets and poetry--but how speak to a man who does not see you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,"who sees ogres, satyrs, perhaps the depths of the sea instead?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,"So Orlando stood gazing while the man turned his pen in his fingers, this way and that way; and gazed and mused; and then, very quickly, wrote half-a-dozen lines and looked up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,"Whereupon Orlando, overcome with shyness, darted off and reached the banqueting-hall only just in time to sink upon his knees and, hanging his head in confusion, to offer a bowl of rose water to the great Queen herself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,Such was his shyness that he saw no more of her than her ringed hands in water; but it was enough.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,"It was a memorable hand; a thin hand with long fingers always curling as if round orb or sceptre; a nervous, crabbed, sickly hand; a commanding hand too; a hand that had only to raise itself for a head to fall; a hand, he guessed, attached to an old body that smelt like a cupboard in which furs are kept in camphor; which body was yet caparisoned in all sorts of brocades and gems; and held itself very upright though perhaps in pain from sciatica; and never flinched though strung together by a thousand fears; and the Queen's eyes were light yellow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,"All this he felt as the great rings flashed in the water and then something pressed his hair--which, perhaps, accounts for his seeing nothing more likely to be of use to a historian. And in truth, his mind was such a welter of opposites--of the night and the blazing candles, of the shabby poet and the great Queen, of silent fields and the clatter of serving men--that he could see nothing; or only a hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,"By the same showing, the Queen herself can have seen only a head.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,"But if it is possible from a hand to deduce a body, informed with all the attributes of a great Queen, her crabbedness, courage, frailty, and terror, surely a head can be as fertile, looked down upon from a chair of state by a lady whose eyes were always, if the waxworks at the Abbey are to be trusted, wide open.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,"The long, curled hair, the dark head bent so reverently, so innocently before her, implied a pair of the finest legs that a young nobleman has ever stood upright upon; and violet eyes; and a heart of gold; and loyalty and manly charm--all qualities which the old woman loved the more the more they failed her. For she was growing old and worn and bent before her time. The sound of cannon was always in her ears. She saw always the glistening poison drop and the long stiletto. As she sat at table she listened; she heard the guns in the Channel; she dreaded--was that a curse, was that a whisper?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,"Innocence, simplicity, were all the more dear to her for the dark background she set them against.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,"And it was that same night, so tradition has it, when Orlando was sound asleep, that she made over formally, putting her hand and seal finally to the parchment, the gift of the great monastic house that had been the Archbishop's and then the King's to Orlando's father.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,Orlando slept all night in ignorance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,He had been kissed by a queen without knowing it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,"And perhaps, for women's hearts are intricate, it was his ignorance and the start he gave when her lips touched him that kept the memory of her young cousin (for they had blood in common) green in her mind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,"At any rate, two years of this quiet country life had not passed, and Orlando had written no more perhaps than twenty tragedies and a dozen histories and a score of sonnets when a message came that he was to attend the Queen at Whitehall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,"'Here', she said, watching him advance down the long gallery towards her, 'comes my innocent!' (There was a serenity about him always which had the look of innocence when, technically, the word was no longer applicable.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,'Come!' she said.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,She was sitting bolt upright beside the fire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,And she held him a foot's pace from her and looked him up and down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,Was she matching her speculations the other night with the truth now visible?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,Did she find her guesses justified?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,"Eyes, mouth, nose, breast, hips, hands--she ran them over; her lips twitched visibly as she looked; but when she saw his legs she laughed out loud. He was the very image of a noble gentleman. But inwardly? She flashed her yellow hawk's eyes upon him as if she would pierce his soul. The young man withstood her gaze blushing only a damask rose as became him. Strength, grace, romance, folly, poetry, youth--she read him like a page.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,"Instantly she plucked a ring from her finger (the joint was swollen rather) and as she fitted it to his, named him her Treasurer and Steward; next hung about him chains of office; and bidding him bend his knee, tied round it at the slenderest part the jewelled order of the Garter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Nothing after that was denied him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,When she drove in state he rode at her carriage door.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,She sent him to Scotland on a sad embassy to the unhappy Queen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,He was about to sail for the Polish wars when she recalled him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,For how could she bear to think of that tender flesh torn and that curly head rolled in the dust?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,She kept him with her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,"At the height of her triumph when the guns were booming at the Tower and the air was thick enough with gunpowder to make one sneeze and the huzzas of the people rang beneath the windows, she pulled him down among the cushions where her women had laid her (she was so worn and old) and made him bury his face in that astonishing composition--she had not changed her dress for a month--which smelt for all the world, he thought, recalling his boyish memory, like some old cabinet at home where his mother's furs were stored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,"He rose, half suffocated from the embrace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,"'This', she breathed, 'is my victory!'--even as a rocket roared up and dyed her cheeks scarlet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,For the old woman loved him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,"And the Queen, who knew a man when she saw one, though not, it is said, in the usual way, plotted for him a splendid ambitious career.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,"Lands were given him, houses assigned him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,He was to be the son of her old age; the limb of her infirmity; the oak tree on which she leant her degradation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,"She croaked out these promises and strange domineering tendernesses (they were at Richmond now) sitting bolt upright in her stiff brocades by the fire which, however high they piled it, never kept her warm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,"Meanwhile, the long winter months drew on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,Every tree in the Park was lined with frost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,The river ran sluggishly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,"One day when the snow was on the ground and the dark panelled rooms were full of shadows and the stags were barking in the Park, she saw in the mirror, which she kept for fear of spies always by her, through the door, which she kept for fear of murderers always open, a boy--could it be Orlando?--kissing a girl--who in the Devil's name was the brazen hussy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,Snatching at her golden-hilted sword she struck violently at the mirror.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,"The glass crashed; people came running; she was lifted and set in her chair again; but she was stricken after that and groaned much, as her days wore to an end, of man's treachery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,"It was Orlando's fault perhaps; yet, after all, are we to blame Orlando?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,The age was the Elizabethan; their morals were not ours; nor their poets; nor their climate; nor their vegetables even.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,Everything was different.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,"The weather itself, the heat and cold of summer and winter, was, we may believe, of another temper altogether.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,The brilliant amorous day was divided as sheerly from the night as land from water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,Sunsets were redder and more intense; dawns were whiter and more auroral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,Of our crepuscular half-lights and lingering twilights they knew nothing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,"The rain fell vehemently, or not at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,The sun blazed or there was darkness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,"Translating this to the spiritual regions as their wont is, the poets sang beautifully how roses fade and petals fall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,The moment is brief they sang; the moment is over; one long night is then to be slept by all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,"As for using the artifices of the greenhouse or conservatory to prolong or preserve these fresh pinks and roses, that was not their way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,The withered intricacies and ambiguities of our more gradual and doubtful age were unknown to them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,Violence was all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,The flower bloomed and faded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,The sun rose and sank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,The lover loved and went.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,"And what the poets said in rhyme, the young translated into practice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,"Girls were roses, and their seasons were short as the flowers'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,Plucked they must be before nightfall; for the day was brief and the day was all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,"Thus, if Orlando followed the leading of the climate, of the poets, of the age itself, and plucked his flower in the window-seat even with the snow on the ground and the Queen vigilant in the corridor we can scarcely bring ourselves to blame him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,He was young; he was boyish; he did but as nature bade him do.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,"As for the girl, we know no more than Queen Elizabeth herself did what her name was.",0.09136986997308467,0.0739086851239036,0.019816251799125533,-0.1274439658303436,-0.027455850575565287,0.022986700513850118,0.09274510230560205,0.08659350937846463,0.020888571498581535,-0.0023518009621715887,0.03713283596102323,-0.018168068153359855,0.38251792630852466,0.27981962357577006,-0.1704959364375428,-0.8619843656610575,-1.1893929629769162,0.12796361514596083,-0.4704039438848604,0.6804066972001079,0.27241643913044133,0.9324780422302019,0.2578318219621263,0.8384721149695589,0.4009602583906881,0.9215613736685256,0.5817583019846776,0.38930304842968555,0.24739195302909012,2.0281079595159786,0.0798559503371091
