,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
10,10,"I could not be then, O my God, could not be at all, wert Thou not in me; or, rather, unless I were in Thee, of whom are all things, by whom are all things, in whom are all things?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"Even so, Lord, even so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,"Whither do I call Thee, since I am in Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,or whence canst Thou enter into me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"for whither can I go beyond heaven and earth, that thence my God should come into me, who hath said, I fill the heaven and the earth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"Do the heaven and earth then contain Thee, since Thou fillest them?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"or dost Thou fill them and yet overflow, since they do not contain Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,"or hast Thou no need that aught contain Thee, who containest all things, since what Thou fillest Thou fillest by containing it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,"for the vessels which Thou fillest uphold Thee not, since, though they were broken, Thou wert not poured out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"And when Thou art poured out on us, Thou art not cast down, but Thou upliftest us; Thou art not dissipated, but Thou gatherest us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,"But Thou who fillest all things, fillest Thou them with Thy whole self?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,"or, since all things cannot contain Thee wholly, do they contain part of Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,and all at once the same part?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"or each its own part, the greater more, the smaller less?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"And is, then one part of Thee greater, another less?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"or, art Thou wholly every where, while nothing contains Thee wholly?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,"What art Thou then, my God?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,"what, but the Lord God?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,For who is Lord but the Lord?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,or who is God save our God?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,"Most highest, most good, most potent, most omnipotent; most merciful, yet most just; most hidden, yet most present; most beautiful, yet most strong, stable, yet incomprehensible; unchangeable, yet all-changing; never new, never old; all-renewing, and bringing age upon the proud, and they know it not; ever working, ever at rest; still gathering, yet nothing lacking; supporting, filling, and overspreading; creating, nourishing, and maturing; seeking, yet having all things.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,"Thou lovest, without passion; art jealous, without anxiety; repentest, yet grievest not; art angry, yet serene; changest Thy works, Thy purpose unchanged; receivest again what Thou findest, yet didst never lose; never in need, yet rejoicing in gains; never covetous, yet exacting usury.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,"Thou receivest over and above, that Thou mayest owe; and who hath aught that is not Thine?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,"Thou payest debts, owing nothing; remittest debts, losing nothing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,"And what had I now said, my God, my life, my holy joy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,or what saith any man when he speaks of Thee?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,"Yet woe to him that speaketh not, since mute are even the most eloquent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,Oh! that I might repose on Thee!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,"Oh! that Thou wouldest enter into my heart, and inebriate it, that I may forget my ills, and embrace Thee, my sole good!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,What art Thou to me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,"In Thy pity, teach me to utter it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,"Or what am I to Thee that Thou demandest my love, and, if I give it not, art wroth with me, and threatenest me with grievous woes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,Is it then a slight woe to love Thee not?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,"Oh! for Thy mercies' sake, tell me, O Lord my God, what Thou art unto me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,"Say unto my soul, I am thy salvation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,"So speak, that I may hear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,"Behold, Lord, my heart is before Thee; open Thou the ears thereof, and say unto my soul, I am thy salvation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,"After this voice let me haste, and take hold on Thee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,Hide not Thy face from me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,Let me die lest I die only let me see Thy face.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"Narrow is the mansion of my soul; enlarge Thou it, that Thou mayest enter in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,It is ruinous; repair Thou it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,It has that within which must offend Thine eyes; I confess and know it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,But who shall cleanse it?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,"or to whom should I cry, save Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,"Lord, cleanse me from my secret faults, and spare Thy servant from the power of the enemy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,"I believe, and therefore do I speak.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,"Lord, Thou knowest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"Have I not confessed against myself my transgressions unto Thee, and Thou, my God, hast forgiven the iniquity of my heart?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,"I contend not in judgment with Thee, who art the truth; I fear to deceive myself; lest mine iniquity lie unto itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,"Therefore I contend not in judgment with Thee; for if Thou, Lord, shouldest mark iniquities, O Lord, who shall abide it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,"Yet suffer me to speak unto Thy mercy, me, dust and ashes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,"Yet suffer me to speak, since I speak to Thy mercy, and not to scornful man.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,"Thou too, perhaps, despisest me, yet wilt Thou return and have compassion upon me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,"For what would I say, O Lord my God, but that I know not whence I came into this dying life (shall I call it?) or living death.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,"Then immediately did the comforts of Thy compassion take me up, as I heard (for I remember it not) from the parents of my flesh, out of whose substance Thou didst sometime fashion me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,Thus there received me the comforts of woman's milk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,"For neither my mother nor my nurses stored their own breasts for me; but Thou didst bestow the food of my infancy through them, according to Thine ordinance, whereby Thou distributest Thy riches through the hidden springs of all things.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,Thou also gavest me to desire no more than Thou gavest; and to my nurses willingly to give me what Thou gavest them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,"For they, with a heaven-taught affection, willingly gave me what they abounded with from Thee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,"For this my good from them, was good for them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,"Nor, indeed, from them was it, but through them; for from Thee, O God, are all good things, and from my God is all my health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"This I since learned, Thou, through these Thy gifts, within me and without, proclaiming Thyself unto me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,"For then I knew but to suck; to repose in what pleased, and cry at what offended my flesh; nothing more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,"Afterwards I began to smile; first in sleep, then waking: for so it was told me of myself, and I believed it; for we see the like in other infants, though of myself I remember it not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,"Thus, little by little, I became conscious where I was; and to have a wish to express my wishes to those who could content them, and I could not; for the wishes were within me, and they without; nor could they by any sense of theirs enter within my spirit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,"So I flung about at random limbs and voice, making the few signs I could, and such as I could, like, though in truth very little like, what I wished.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,"And when I was not presently obeyed (my wishes being hurtful or unintelligible), then I was indignant with my elders for not submitting to me, with those owing me no service, for not serving me; and avenged myself on them by tears.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,"Such have I learnt infants to be from observing them; and that I was myself such, they, all unconscious, have shown me better than my nurses who knew it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,"And, lo! my infancy died long since, and I live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,"But Thou, Lord, who for ever livest, and in whom nothing dies: for before the foundation of the worlds, and before all that can be called ""before,"" Thou art, and art God and Lord of all which Thou hast created: in Thee abide, fixed for ever, the first causes of all things unabiding; and of all things changeable, the springs abide in Thee unchangeable: and in Thee live the eternal reasons of all things unreasoning and temporal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"Say, Lord, to me, Thy suppliant; say, all-pitying, to me, Thy pitiable one; say, did my infancy succeed another age of mine that died before it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,was it that which I spent within my mother's womb?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,"for of that I have heard somewhat, and have myself seen women with child?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,"and what before that life again, O God my joy, was I any where or any body?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,"For this have I none to tell me, neither father nor mother, nor experience of others, nor mine own memory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,"Dost Thou mock me for asking this, and bid me praise Thee and acknowledge Thee, for that I do know?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,"I acknowledge Thee, Lord of heaven and earth, and praise Thee for my first rudiments of being, and my infancy, whereof I remember nothing; for Thou hast appointed that man should from others guess much as to himself; and believe much on the strength of weak females.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,"Even then I had being and life, and (at my infancy's close) I could seek for signs whereby to make known to others my sensations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,"Whence could such a being be, save from Thee, Lord?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,Shall any be his own artificer?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,"or can there elsewhere be derived any vein, which may stream essence and life into us, save from thee, O Lord, in whom essence and life are one?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,for Thou Thyself art supremely Essence and Life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,"For Thou art most high, and art not changed, neither in Thee doth to-day come to a close; yet in Thee doth it come to a close; because all such things also are in Thee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,"For they had no way to pass away, unless Thou upheldest them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,"And since Thy years fail not, Thy years are one to-day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,"How many of ours and our fathers' years have flowed away through Thy ""to-day,"" and from it received the measure and the mould of such being as they had; and still others shall flow away, and so receive the mould of their degree of being.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,"But Thou art still the same, and all things of tomorrow, and all beyond, and all of yesterday, and all behind it, Thou hast done to-day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,"What is it to me, though any comprehend not this?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,"Let him also rejoice and say, What thing is this?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,"Let him rejoice even thus! and be content rather by not discovering to discover Thee, than by discovering not to discover Thee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,"Hear, O God.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,"Alas, for man's sin!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,"So saith man, and Thou pitiest him; for Thou madest him, but sin in him Thou madest not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,Who remindeth me of the sins of my infancy?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,"for in Thy sight none is pure from sin, not even the infant whose life is but a day upon the earth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Who remindeth me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,"doth not each little infant, in whom I see what of myself I remember not?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,What then was my sin?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,was it that I hung upon the breast and cried?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,"for should I now so do for food suitable to my age, justly should I be laughed at and reproved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,"What I then did was worthy reproof; but since I could not understand reproof, custom and reason forbade me to be reproved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,"For those habits, when grown, we root out and cast away.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,"Now no man, though he prunes, wittingly casts away what is good.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,"Or was it then good, even for a while, to cry for what, if given, would hurt?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,"bitterly to resent, that persons free, and its own elders, yea, the very authors of its birth, served it not?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,"that many besides, wiser than it, obeyed not the nod of its good pleasure?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,"to do its best to strike and hurt, because commands were not obeyed, which had been obeyed to its hurt?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,"The weakness then of infant limbs, not its will, is its innocence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,"Myself have seen and known even a baby envious; it could not speak, yet it turned pale and looked bitterly on its foster-brother.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,Who knows not this?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,Mothers and nurses tell you that they allay these things by I know not what remedies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,"Is that too innocence, when the fountain of milk is flowing in rich abundance, not to endure one to share it, though in extremest need, and whose very life as yet depends thereon?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,"We bear gently with all this, not as being no or slight evils, but because they will disappear as years increase; for, though tolerated now, the very same tempers are utterly intolerable when found in riper years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,"Thou, then, O Lord my God, who gavest life to this my infancy, furnishing thus with senses (as we see) the frame Thou gavest, compacting its limbs, ornamenting its proportions, and, for its general good and safety, implanting in it all vital functions, Thou commandest me to praise Thee in these things, to confess unto Thee, and sing unto Thy name, Thou most Highest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,"For Thou art God, Almighty and Good, even hadst Thou done nought but only this, which none could do but Thou: whose Unity is the mould of all things; who out of Thy own fairness makest all things fair; and orderest all things by Thy law.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,"This age then, Lord, whereof I have no remembrance, which I take on others' word, and guess from other infants that I have passed, true though the guess be, I am yet loth to count in this life of mine which I live in this world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,"For no less than that which I spent in my mother's womb, is it hid from me in the shadows of forgetfulness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,"But if I was shapen in iniquity, and in sin did my mother conceive me, where, I beseech Thee, O my God, where, Lord, or when, was I Thy servant guiltless?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,"But, lo! that period I pass by; and what have I now to do with that, of which I can recall no vestige?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,"Passing hence from infancy, I came to boyhood, or rather it came to me, displacing infancy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,"Nor did that depart, (for whither went it?) and yet it was no more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,"For I was no longer a speechless infant, but a speaking boy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,This I remember; and have since observed how I learned to speak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,"It was not that my elders taught me words (as, soon after, other learning) in any set method; but I, longing by cries and broken accents and various motions of my limbs to express my thoughts, that so I might have my will, and yet unable to express all I willed, or to whom I willed, did myself, by the understanding which Thou, my God, gavest me, practise the sounds in my memory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,"When they named any thing, and as they spoke turned towards it, I saw and remembered that they called what they would point out by the name they uttered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,"And that they meant this thing and no other was plain from the motion of their body, the natural language, as it were, of all nations, expressed by the countenance, glances of the eye, gestures of the limbs, and tones of the voice, indicating the affections of the mind, as it pursues, possesses, rejects, or shuns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,"And thus by constantly hearing words, as they occurred in various sentences, I collected gradually for what they stood; and having broken in my mouth to these signs, I thereby gave utterance to my will.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,"Thus I exchanged with those about me these current signs of our wills, and so launched deeper into the stormy intercourse of human life, yet depending on parental authority and the beck of elders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,"O God my God, what miseries and mockeries did I now experience, when obedience to my teachers was proposed to me, as proper in a boy, in order that in this world I might prosper, and excel in tongue-science, which should serve to the ""praise of men,"" and to deceitful riches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,"Next I was put to school to get learning, in which I (poor wretch) knew not what use there was; and yet, if idle in learning, I was beaten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,"For this was judged right by our forefathers; and many, passing the same course before us, framed for us weary paths, through which we were fain to pass; multiplying toil and grief upon the sons of Adam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,"But, Lord, we found that men called upon Thee, and we learnt from them to think of Thee (according to our powers) as of some great One, who, though hidden from our senses, couldest hear and help us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,"For so I began, as a boy, to pray to Thee, my aid and refuge; and broke the fetters of my tongue to call on Thee, praying Thee, though small, yet with no small earnestness, that I might not be beaten at school.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,"And when Thou heardest me not (not thereby giving me over to folly), my elders, yea my very parents, who yet wished me no ill, mocked my stripes, my then great and grievous ill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,"Is there, Lord, any of soul so great, and cleaving to Thee with so intense affection (for a sort of stupidity will in a way do it); but is there any one who, from cleaving devoutly to Thee, is endued with so great a spirit, that he can think as lightly of the racks and hooks and other torments (against which, throughout all lands, men call on Thee with extreme dread), mocking at those by whom they are feared most bitterly, as our parents mocked the torments which we suffered in boyhood from our masters?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,For we feared not our torments less; nor prayed we less to Thee to escape them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,"And yet we sinned, in writing or reading or studying less than was exacted of us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,"For we wanted not, O Lord, memory or capacity, whereof Thy will gave enough for our age; but our sole delight was play; and for this we were punished by those who yet themselves were doing the like.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,"But elder folks' idleness is called ""business""; that of boys, being really the same, is punished by those elders; and none commiserates either boys or men.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,"For will any of sound discretion approve of my being beaten as a boy, because, by playing a ball, I made less progress in studies which I was to learn, only that, as a man, I might play more unbeseemingly?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,and what else did he who beat me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,"who, if worsted in some trifling discussion with his fellow-tutor, was more embittered and jealous than I when beaten at ball by a play-fellow?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,"And yet, I sinned herein, O Lord God, the Creator and Disposer of all things in nature, of sin the Disposer only, O Lord my God, I sinned in transgressing the commands of my parents and those of my masters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,"For what they, with whatever motive, would have me learn, I might afterwards have put to good use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,"For I disobeyed, not from a better choice, but from love of play, loving the pride of victory in my contests, and to have my ears tickled with lying fables, that they might itch the more; the same curiosity flashing from my eyes more and more, for the shows and games of my elders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,"Yet those who give these shows are in such esteem, that almost all wish the same for their children, and yet are very willing that they should be beaten, if those very games detain them from the studies, whereby they would have them attain to be the givers of them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,"Look with pity, Lord, on these things, and deliver us who call upon Thee now; deliver those too who call not on Thee yet, that they may call on Thee, and Thou mayest deliver them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,"As a boy, then, I had already heard of an eternal life, promised us through the humility of the Lord our God stooping to our pride; and even from the womb of my mother, who greatly hoped in Thee, I was sealed with the mark of His cross and salted with His salt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,"Thou sawest, Lord, how while yet a boy, being seized on a time with sudden oppression of the stomach, and like near to death Thou sawest, my God (for Thou wert my keeper), with what eagerness and what faith I sought, from the pious care of my mother and Thy Church, the mother of us all, the baptism of Thy Christ, my God and Lord.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,"Whereupon the mother of my flesh, being much troubled (since, with a heart pure in Thy faith, she even more lovingly travailed in birth of my salvation), would in eager haste have provided for my consecration and cleansing by the health-giving sacraments, confessing Thee, Lord Jesus, for the remission of sins, unless I had suddenly recovered.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,"And so, as if I must needs be again polluted should I live, my cleansing was deferred, because the defilements of sin would, after that washing, bring greater and more perilous guilt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,"I then already believed: and my mother, and the whole household, except my father: yet did not he prevail over the power of my mother's piety in me, that as he did not yet believe, so neither should I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,"For it was her earnest care that Thou my God, rather than he, shouldest be my father; and in this Thou didst aid her to prevail over her husband, whom she, the better, obeyed, therein also obeying Thee, who hast so commanded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,"I beseech Thee, my God, I would fain know, if so Thou willest, for what purpose my baptism was then deferred?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
