,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_medianiqr,jockers_rinker_lnorm_medianiqr,jockers_medianiqr,jockers_lnorm_medianiqr,huliu_medianiqr,huliu_lnorm_medianiqr,lmcd_medianiqr,lmcd_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,senticnet_medianiqr,senticnet_lnorm_medianiqr,sentiword_medianiqr,sentiword_lnorm_medianiqr,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100,mean_roll100,jockers_rinker_roll100_stand,jockers_roll100_stand,huliu_roll100_stand,senticnet_roll100_stand,sentiword_roll100_stand,nrc_roll100_stand,lmcd_roll100_stand
29,30,"or dost Thou fill them and yet overflow, since they do not contain Thee?",-0.0668153104781061,-0.0668153104781061,0.0,0.0,-0.26726124191242395,-0.141648458213585,-0.155902391115581,or dost thou fill them and yet overflow since they do not contain thee,70,14,-0.2708702771817004,-0.5034773625363531,-0.2939263511752602,-0.5493140376617899,0.0,0.0,0.0,0.0,-0.7928709320367355,-1.6468364255188845,-0.6740709855551688,-0.9016948140038019,-0.8041358912215344,-1.5189344429451896,,,,,,,,,,,,,,,
30,31,"And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?",0.19402850002906602,0.19402850002906602,0.24253562503633302,0.0,0.0,0.0771263287615539,0.0606339062590832,and whither when the heaven and the earth are filled pourest thou forth the remainder of thyself,96,17,0.5653510899272758,1.062596551847966,0.5969472818536472,1.1381645487326777,0.6998567288630843,1.6995802518918286,0.0,0.0,0.0,0.0,-0.18253037180511616,-0.040673517471427355,0.2102753206678104,0.40809638372207546,,,,,,,,,,,,,,,
31,32,"or hast Thou no need that aught contain Thee, who containest all things, since what Thou fillest Thou fillest by containing it?",0.0,0.0,0.0,0.0,0.0,0.265648092579091,0.0133250447722257,or hast thou no need that aught contain thee who containest all things since what thou fillest thou fillest by containing it,124,22,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.24103810595848013,0.40235444491377853,-0.011353293545316012,0.019976990546428944,,,,,,,,,,,,,,,
32,33,"for the vessels which Thou fillest uphold Thee not, since, though they were broken, Thou wert not poured out.",-0.309711240725258,-0.309711240725258,-0.458831467741123,-0.22941573387056197,-0.22941573387056197,-0.296175712426895,-0.0143384833669101,for the vessels which thou fillest uphold thee not since though they were broken thou wert not poured out,105,19,-1.0495537600734484,-1.6190736582860936,-1.1235016414858825,-1.7513932261646987,-1.3239963822413523,-2.8770110427116253,-0.22941573387056197,-0.012068160645479324,-0.6805965033921683,-1.0418224222593504,-1.021260999666586,-1.2232671242703863,-0.1409490862368334,-0.15835320266525,,,,,,,,,,,,,,,
33,34,"And when Thou art poured out on us, Thou art not cast down, but Thou upliftest us; Thou art not dissipated, but Thou gatherest us.",-0.12,-0.12,0.0,0.0,-0.2,0.4915,-0.04375,and when thou art poured out on us thou art not cast down but thou upliftest us thou art not dissipated but thou gatherest us,125,25,-0.44137144297432984,-0.5062816355038551,-0.47557082831949093,-0.5523357025650871,0.0,0.0,0.0,0.0,-0.5933302759227193,-0.6903493518247058,0.7484795105427717,0.8481727999545099,-0.2787337098450101,-0.28885978647114513,,,,,,,,,,,,,,,
34,35,"But Thou who fillest all things, fillest Thou them with Thy whole self?",0.0,0.0,0.0,0.0,0.0,0.561148586006347,0.450693909432999,but thou who fillest all things fillest thou them with thy whole self,69,13,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.9049651329754587,2.22865466408929,2.037595937703124,4.484132331745922,,,,,,,,,,,,,,,
35,36,"or, since all things cannot contain Thee wholly, do they contain part of Thee?",0.0,0.0,0.0,0.0,0.0,0.35893184788838595,-0.233853586673371,or since all things cannot contain thee wholly do they contain part of thee,75,14,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.45062694830918104,1.1990292530778188,-1.1693151600680016,-2.248688339671509,,,,,,,,,,,,,,,
36,37,and all at once the same part?,0.0,0.0,0.0,0.0,0.0,0.23207018642766503,-0.0944911182523068,and all at once the same part,29,7,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.1655956620355926,1.63915568369508,-0.5164414747001674,-1.8273553582525817,,,,,,,,,,,,,,,
37,38,"or each its own part, the greater more, the smaller less?",0.27136021011998696,0.27136021011998696,0.0,0.542720420239975,0.542720420239975,-0.42332192778718003,-0.0188444590361102,or each its own part the greater more the smaller less,54,11,0.8132635407052744,2.3444320985391385,0.8610623527962361,2.519370133253879,0.0,0.0,0.542720420239975,0.04929340783287693,1.6100622834493925,4.255410501939516,-1.3069316182890736,-2.5678202112141824,-0.16205830577534017,-0.2839120663167317,,,,,,,,,,,,,,,
38,39,"And is, then one part of Thee greater, another less?",0.15811388300841903,0.15811388300841903,0.0,0.31622776601683805,0.31622776601683805,-0.28998086143744,0.0988211768802618,and is then one part of thee greater another less,49,10,0.4502148707246546,1.487506685304441,0.4742861948153336,1.5960144271860242,0.0,0.0,0.31622776601683805,0.031591185416267535,0.9381375383259781,2.7272097446555734,-1.0073424814518117,-2.0104678279942103,0.3891718656777679,1.2353883499423368,,,,,,,,,,,,,,,
39,40,"or, art Thou wholly every where, while nothing contains Thee wholly?",0.18090680674665802,0.18090680674665802,0.0,0.0,0.30151134457776396,-0.933177611468178,0.37688918072220506,or art thou wholly every where while nothing contains thee wholly,65,11,0.5232851491097987,1.5490371685914055,0.5521320702399969,1.6623148565613994,0.0,0.0,0.0,0.0,0.8944790463607738,2.3641169455219537,-2.452469361214586,-5.290479721178602,1.6918416914063055,4.430281686991263,,,,,,,,,,,,,,,
40,41,"What art Thou then, my God?",0.244948974278318,0.244948974278318,0.0,0.0,0.8164965809277259,0.278017085805891,0.25515518153991396,what art thou then my god,25,6,0.7285935625309188,3.9041500665887217,0.7708586650748286,4.200000049711617,0.0,0.0,0.0,0.0,2.422260708259022,11.728231126553833,0.2688286142077805,2.412502791457213,1.1215523905553844,5.508861454955685,,,,,,,,,,,,,,,
41,42,"what, but the Lord God?",0.0,0.0,0.0,0.0,1.00623058987491,0.682224339935186,0.0,what but the lord god,21,5,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,2.985135367661804,17.338535323366717,1.1769967103765369,7.698878218462576,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
42,43,For who is Lord but the Lord?,0.0,0.0,0.0,0.0,0.0,0.302599113020133,0.0,for who is lord but the lord,28,7,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.3240592233249183,2.230693675967291,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
43,44,or who is God save our God?,0.188982236504614,0.188982236504614,0.0,0.0,1.13389341902768,0.491731779385005,0.0,or who is god save our god,26,7,0.5491736181482648,2.5682934892571097,0.5797125117032309,2.7605856338042303,0.0,0.0,0.0,0.0,3.363866475893244,13.963903350549288,0.7490002697341538,3.8169812198147874,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
44,45,"Most highest, most good, most potent, most omnipotent; most merciful, yet most just; most hidden, yet most present; most beautiful, yet most strong, stable, yet incomprehensible; unchangeable, yet all-changing; never new, never old; all-renewing, and bringing age upon the proud, and they know it not; ever working, ever at rest; still gathering, yet nothing lacking; supporting, filling, and overspreading; creating, nourishing, and maturing; seeking, yet having all things.",0.645423449040573,0.645423449040573,1.09961032058764,0.8605645987207629,0.8844691709074509,0.633303830941922,0.310901727547101,most highest most good most potent most omnipotent most merciful yet most just most hidden yet most present most beautiful yet most strong stable yet incomprehensible unchangeable yet all changing never new never old all renewing and bringing age upon the proud and they know it not ever working ever at rest still gathering yet nothing lacking supporting filling and overspreading creating nourishing and maturing seeking yet having all things,444,70,2.012447345094543,0.8507918276156876,2.1386202752625616,0.9099403676411559,3.1730170851200428,1.8721868056129545,0.8605645987207629,0.012292023978299711,2.6239116860982827,1.0906244749543486,1.0670826871566375,0.22458934431536995,1.3827091664835771,0.523018234761998,,,,,,,,,,,,,,,
45,46,"Thou lovest, without passion; art jealous, without anxiety; repentest, yet grievest not; art angry, yet serene; changest Thy works, Thy purpose unchanged; receivest again what Thou findest, yet didst never lose; never in need, yet rejoicing in gains; never covetous, yet exacting usury.",0.22874785549890697,0.22874785549890697,0.609994281330419,0.15249857033260503,-0.15249857033260503,0.263670028105073,-0.120728034846645,thou lovest without passion art jealous without anxiety repentest yet grievest not art angry yet serene changest thy works thy purpose unchanged receivest again what thou findest yet didst never lose never in need yet rejoicing in gains never covetous yet exacting usury,270,43,0.6766555017117931,0.4731590724465929,0.7155261290331121,0.5030328889992444,1.7601892600031108,1.690545139776447,0.15249857033260503,0.0035456538091747274,-0.4524100940663237,-0.3060898631102694,0.23659381400400337,0.0531770589234651,-0.6393539964408129,-0.4275814488525623,,,,,,,,,,,,,,,
46,47,"Thou receivest over and above, that Thou mayest owe; and who hath aught that is not Thine?",0.0,0.0,0.0,0.0,0.0,0.163954082524561,0.0303169531295416,thou receivest over and above that thou mayest owe and who hath aught that is not thine,87,17,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.012553202336619567,0.2594414387938253,0.06824898356960753,0.1743348671147667,,,,,,,,,,,,,,,
47,48,"Thou payest debts, owing nothing; remittest debts, losing nothing.",-0.866666666666667,-0.866666666666667,-1.0,-0.33333333333333304,-0.666666666666667,-0.48,0.0,thou payest debts owing nothing remittest debts losing nothing,62,9,-2.8350591427540976,-9.354386531955113,-3.025700903100882,-10.086360505477057,-2.8855832159017556,-13.229567896888298,-0.33333333333333304,-0.036995930447650725,-1.977767586409065,-6.387583162832371,-1.4342752431503114,-3.4394585855761735,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
48,49,"And what had I now said, my God, my life, my holy joy?",0.27735009811261496,0.27735009811261496,0.5547001962252289,0.0,0.832050294337844,0.7236064059758109,0.0520031433961152,and what had i now said my god my life my holy joy,50,13,0.8324661137557371,2.0221834332998005,0.8815199333961101,2.1721402119258264,1.600633576084931,5.082196742082563,0.0,0.0,2.468403153605264,5.5210909255787755,1.2699734487891106,2.9628247944414112,0.16984264161352583,0.4648301560349723,,,,,,,,,,,,,,,
49,50,or what saith any man when he speaks of Thee?,0.0,0.0,0.0,0.0,0.0,-0.0063245553203367605,0.0,or what saith any man when he speaks of thee,44,10,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.3700268349339245,-0.3444035518870939,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
50,51,"Yet woe to him that speaketh not, since mute are even the most eloquent.",0.374165738677394,0.374165738677394,0.748331477354788,0.0,0.748331477354788,-0.255501747268278,0.260579710864614,yet woe to him that speaketh not since mute are even the most eloquent,70,14,1.142840767281912,2.543905467596766,1.2121795004230764,2.7343070118705177,2.1593727509859413,6.366875076537152,0.0,0.0,2.2200386097028626,4.611141991452882,-0.9298752139727949,-1.379488969143563,1.1469647737581745,2.380036376706884,,,,,,,,,,,,,,,
51,52,Oh!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oh,2,1,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.35581689855671406,-0.3072560763886074,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
52,53,that I might repose on Thee!,0.32659863237109,0.32659863237109,0.0,0.0,0.40824829046386296,0.17881275122317197,-0.0510310363079829,that i might repose on thee,27,6,0.990348628068274,5.219450985886306,1.04972105172393,5.617265298556666,0.0,0.0,0.0,0.0,1.211130354129511,5.864115563276917,0.04593748410238766,1.442016146983592,-0.3128433023453918,-1.1730842703821898,,,,,,,,,,,,,,,
53,54,Oh!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oh,2,1,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.35581689855671406,-0.3072560763886074,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
54,55,"that Thou wouldest enter into my heart, and inebriate it, that I may forget my ills, and embrace Thee, my sole good!",0.15990053726670803,0.15990053726670803,0.21320071635560997,0.21320071635560997,0.21320071635560997,0.20254068053783,0.18877146760653,that thou wouldest enter into my heart and inebriate it that i may forget my ills and embrace thee my sole good,111,22,0.4559425836556709,0.6616031613820741,0.4803882494010019,0.7060854792317142,0.6152084087339791,1.1546199776352932,0.21320071635560997,0.00968653868040027,0.6324921993109773,0.8362213172148804,0.09924911612180431,0.23377923279057874,0.8105634962345251,1.065458251059543,,,,,,,,,,,,,,,
