,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing_medianiqr,bing_lnorm_medianiqr,afinn_medianiqr,afinn_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,nrc_roll100_stand
18,19,"or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?",0.0,0,0,0,103,15,or because nothing which exists could exist without thee doth therefore whatever exists contain thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,20,"Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?",0.0,0,0,0,109,23,since then i too exist why do i seek that thou shouldest enter into me who were not wert thou not in me,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
20,21,Why?,0.0,0,0,0,4,1,why,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
21,22,"because I am not gone down in hell, and yet Thou art there also.",-0.2,-1,-4,0,64,14,because i am not gone down in hell and yet thou art there also,-0.36,-0.42577963495561527,-0.5,-1.4245714700206578,-2.0,-3.4275517487508926,0.0,0.0,,,,,,
22,23,"For if I go down into hell, Thou art there.",-0.2,-1,-4,0,43,10,for if i go down into hell thou art there,-0.36,-0.5466899583020017,-0.5,-1.9938307987002413,-2.0,-4.7972027972027975,0.0,0.0,,,,,,
23,24,"I could not be then, O my God, could not be at all, wert Thou not in me; or, rather, unless I were in Thee, of whom are all things, by whom are all things, in whom are all things?",0.0,0,1,1,179,40,i could not be then o my god could not be at all wert thou not in me or rather unless i were in thee of whom are all things by whom are all things in whom are all things,-0.2,-0.1232015507812832,0.0,0.0,0.5,0.3000499875031243,0.5,0.418707823044239,,,,,,
24,25,"Even so, Lord, even so.",0.0,0,0,0,23,5,even so lord even so,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
25,26,"Whither do I call Thee, since I am in Thee?",0.0,0,0,0,43,10,whither do i call thee since i am in thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
26,27,or whence canst Thou enter into me?,0.0,0,0,0,35,7,or whence canst thou enter into me,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
27,28,"for whither can I go beyond heaven and earth, that thence my God should come into me, who hath said, I fill the heaven and the earth.",0.8,1,3,1,133,27,for whither can i go beyond heaven and earth that thence my god should come into me who hath said i fill the heaven and the earth,0.44000000000000006,0.5045835598121848,0.5,0.7389206329133436,1.5,1.333395038874491,0.5,0.6202332469455757,,,,,,
28,29,"Do the heaven and earth then contain Thee, since Thou fillest them?",0.8,1,2,0,67,12,do the heaven and earth then contain thee since thou fillest them,0.44000000000000006,1.2886615497290892,0.5,1.6618023559524908,1.0,1.9991673605328895,0.0,0.0,,,,,,
29,30,"or dost Thou fill them and yet overflow, since they do not contain Thee?",-0.25,0,0,-1,72,14,or dost thou fill them and yet overflow since they do not contain thee,-0.4,-0.5014241559991983,0.0,0.0,0.0,0.0,-0.5,-1.1957530335474662,,,,,,
30,31,"And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?",0.8,1,2,0,99,17,and whither when the heaven and the earth are filled pourest thou forth the remainder of thyself,0.44000000000000006,0.8736518200082269,0.5,1.173324297177508,1.0,1.4115226337448559,0.0,0.0,,,,,,
31,32,"or hast Thou no need that aught contain Thee, who containest all things, since what Thou fillest Thou fillest by containing it?",0.0,0,-1,0,127,22,or hast thou no need that aught contain thee who containest all things since what thou fillest thou fillest by containing it,-0.2,-0.1232015507812832,0.0,0.0,-0.5,-0.5454338936846888,0.0,0.0,,,,,,
32,33,"for the vessels which Thou fillest uphold Thee not, since, though they were broken, Thou wert not poured out.",-0.15,0,-1,-1,109,19,for the vessels which thou fillest uphold thee not since though they were broken thou wert not poured out,-0.32,-0.2904471699007884,0.0,0.0,-0.5,-0.6315097317201473,-0.5,-0.881246712256707,,,,,,
33,34,"And when Thou art poured out on us, Thou art not cast down, but Thou upliftest us; Thou art not dissipated, but Thou gatherest us.",0.6,0,0,1,130,25,and when thou art poured out on us thou art not cast down but thou upliftest us thou art not dissipated but thou gatherest us,0.27999999999999997,0.3852893279810989,0.0,0.0,0.0,0.0,0.5,0.6698320671731307,,,,,,
34,35,"But Thou who fillest all things, fillest Thou them with Thy whole self?",0.0,0,0,0,71,13,but thou who fillest all things fillest thou them with thy whole self,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
35,36,"or, since all things cannot contain Thee wholly, do they contain part of Thee?",0.0,0,0,0,78,14,or since all things cannot contain thee wholly do they contain part of thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
36,37,and all at once the same part?,0.0,0,0,0,30,7,and all at once the same part,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37,38,"or each its own part, the greater more, the smaller less?",0.5,0,3,1,57,11,or each its own part the greater more the smaller less,0.2,0.8393595208087241,0.0,0.0,1.5,3.2711171662125347,0.5,1.5215712988192551,,,,,,
38,39,"And is, then one part of Thee greater, another less?",0.5,0,3,1,52,10,and is then one part of thee greater another less,0.2,0.9355194680205132,0.0,0.0,1.5,3.5979020979020984,0.5,1.6735764235764237,,,,,,
39,40,"or, art Thou wholly every where, while nothing contains Thee wholly?",0.6,0,0,1,68,11,or art thou wholly every where while nothing contains thee wholly,0.27999999999999997,1.0318717351267257,0.0,0.0,0.0,0.0,0.5,1.5215712988192551,,,,,,
40,41,"What art Thou then, my God?",0.6,0,1,2,27,6,what art thou then my god,0.27999999999999997,1.992831207595951,0.0,0.0,0.5,1.9975041597337775,1.0,5.57487520798669,,,,,,
41,42,"what, but the Lord God?",0.0,0,1,1,23,5,what but the lord god,-0.2,-0.1232015507812832,0.0,0.0,0.5,2.3962075848303397,0.5,3.343812375249501,,,,,,
42,43,For who is Lord but the Lord?,0.0,0,0,0,29,7,for who is lord but the lord,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
43,44,or who is God save our God?,0.5,0,3,2,27,7,or who is god save our god,0.2,1.388609775638971,0.0,0.0,1.5,5.1376604850213985,1.0,4.77960057061341,,,,,,
44,45,"Most highest, most good, most potent, most omnipotent; most merciful, yet most just; most hidden, yet most present; most beautiful, yet most strong, stable, yet incomprehensible; unchangeable, yet all-changing; never new, never old; all-renewing, and bringing age upon the proud, and they know it not; ever working, ever at rest; still gathering, yet nothing lacking; supporting, filling, and overspreading; creating, nourishing, and maturing; seeking, yet having all things.",5.0,6,11,5,475,68,most highest most good most potent most omnipotent most merciful yet most just most hidden yet most present most beautiful yet most strong stable yet incomprehensible unchangeable yet all changing never new never old all renewing and bringing age upon the proud and they know it not ever working ever at rest still gathering yet nothing lacking supporting filling and overspreading creating nourishing and maturing seeking yet having all things,3.8,1.4350689091813664,3.0,1.7607627962055064,5.5,1.9416997500367592,2.5,1.231620349948537,,,,,,
45,46,"Thou lovest, without passion; art jealous, without anxiety; repentest, yet grievest not; art angry, yet serene; changest Thy works, Thy purpose unchanged; receivest again what Thou findest, yet didst never lose; never in need, yet rejoicing in gains; never covetous, yet exacting usury.",-1.2,0,2,-4,286,43,thou lovest without passion art jealous without anxiety repentest yet grievest not art angry yet serene changest thy works thy purpose unchanged receivest again what thou findest yet didst never lose never in need yet rejoicing in gains never covetous yet exacting usury,-1.16,-0.7145689945314426,0.0,0.0,1.0,0.5582422692397118,-2.0,-1.5580097651708906,,,,,,
46,47,"Thou receivest over and above, that Thou mayest owe; and who hath aught that is not Thine?",0.0,0,0,0,90,17,thou receivest over and above that thou mayest owe and who hath aught that is not thine,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
47,48,"Thou payest debts, owing nothing; remittest debts, losing nothing.",-1.8,-2,-3,-2,66,9,thou payest debts owing nothing remittest debts losing nothing,-1.64,-4.357615605558368,-1.0,-4.4302433507190715,-1.5,-3.9972253052164266,-1.0,-3.7186459489456163,,,,,,
48,49,"And what had I now said, my God, my life, my holy joy?",1.0,2,4,3,54,13,and what had i now said my god my life my holy joy,0.6,1.505975604976746,1.0,3.068139322826966,2.0,3.6910069177555727,1.5,3.8629900076863954,,,,,,
49,50,or what saith any man when he speaks of Thee?,0.0,0,0,0,45,10,or what saith any man when he speaks of thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
50,51,"Yet woe to him that speaketh not, since mute are even the most eloquent.",0.0,0,0,0,72,14,yet woe to him that speaketh not since mute are even the most eloquent,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
51,52,Oh!,0.0,0,0,0,3,1,oh,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
52,53,that I might repose on Thee!,0.8,0,0,1,28,6,that i might repose on thee,0.44000000000000006,2.698175460388363,0.0,0.0,0.0,0.0,0.5,2.787437603993345,,,,,,
53,54,Oh!,0.0,0,0,0,3,1,oh,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
54,55,"that Thou wouldest enter into my heart, and inebriate it, that I may forget my ills, and embrace Thee, my sole good!",0.75,1,3,1,116,22,that thou wouldest enter into my heart and inebriate it that i may forget my ills and embrace thee my sole good,0.4,0.5990472496416596,0.5,0.9067808402993827,1.5,1.6363016810540663,0.5,0.7611313039527488,,,,,,
55,56,What art Thou to me?,0.6,0,0,1,20,5,what art thou to me,0.27999999999999997,2.415193035615359,0.0,0.0,0.0,0.0,0.5,3.343812375249501,,,,,,
56,57,"In Thy pity, teach me to utter it.",-0.1,-1,-2,1,34,8,in thy pity teach me to utter it,-0.27999999999999997,-0.38781571802737513,-0.5,-2.4916662041185287,-1.0,-2.9975031210986267,0.5,2.091448189762797,,,,,,
57,58,"Or what am I to Thee that Thou demandest my love, and, if I give it not, art wroth with me, and threatenest me with grievous woes?",0.85,0,3,1,130,27,or what am i to thee that thou demandest my love and if i give it not art wroth with me and threatenest me with grievous woes,0.48,0.5438201292242766,0.0,0.0,1.5,1.333395038874491,0.5,0.6202332469455757,,,,,,
58,59,Is it then a slight woe to love Thee not?,0.25,0,3,0,41,10,is it then a slight woe to love thee not,0.0,0.406158958619615,0.0,0.0,1.5,3.5979020979020984,0.0,0.0,,,,,,
59,60,Oh!,0.0,0,0,0,3,1,oh,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
60,61,"for Thy mercies' sake, tell me, O Lord my God, what Thou art unto me.",0.6,0,1,2,69,15,for thy mercies sake tell me o lord my god what thou art unto me,0.27999999999999997,0.7240574017734921,0.0,0.0,0.5,0.7998001332445037,1.0,2.23217854763491,,,,,,
61,62,"Say unto my soul, I am thy salvation.",1.0,0,2,1,37,8,say unto my soul i am thy salvation,0.6,2.522940121679636,0.0,0.0,1.0,2.9975031210986267,0.5,2.091448189762797,,,,,,
62,63,"So speak, that I may hear.",0.0,0,0,0,26,6,so speak that i may hear,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
63,64,"Behold, Lord, my heart is before Thee; open Thou the ears thereof, and say unto my soul, I am thy salvation.",1.0,0,2,1,108,21,behold lord my heart is before thee open thou the ears thereof and say unto my soul i am thy salvation,0.6,0.8856320901712138,0.0,0.0,1.0,1.14278914802475,0.5,0.7973584007615422,,,,,,
64,65,"After this voice let me haste, and take hold on Thee.",-0.6,-1,0,0,53,11,after this voice let me haste and take hold on thee,-0.6799999999999999,-1.278274836689292,-0.5,-1.8127380831053055,0.0,0.0,0.0,0.0,,,,,,
65,66,Hide not Thy face from me.,0.0,0,-1,0,26,6,hide not thy face from me,-0.2,-0.1232015507812832,0.0,0.0,-0.5,-1.9975041597337775,0.0,0.0,,,,,,
66,67,"Let me dieâ""lest I dieâ""only let me see Thy face.",-0.75,-1,-3,-1,51,10,let me dieâlest i dieâonly let me see thy face,-0.8,-1.7112830789839777,-0.5,-1.9938307987002413,-1.5,-3.5979020979020984,-0.5,-1.6735764235764237,,,,,,
67,68,"Narrow is the mansion of my soul; enlarge Thou it, that Thou mayest enter in.",0.0,0,0,0,77,15,narrow is the mansion of my soul enlarge thou it that thou mayest enter in,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
68,69,It is ruinous; repair Thou it.,-0.5,-1,0,-1,30,6,it is ruinous repair thou it,-0.6,-1.8865621827623118,-0.5,-3.320839649748655,0.0,0.0,-0.5,-2.787437603993345,,,,,,
69,70,It has that within which must offend Thine eyes; I confess and know it.,-1.25,-2,-2,-1,71,14,it has that within which must offend thine eyes i confess and know it,-1.2,-2.014314576870859,-1.0,-2.8491429400413155,-1.0,-1.7137758743754463,-0.5,-1.1957530335474662,,,,,,
70,71,But who shall cleanse it?,0.8,0,0,1,25,5,but who shall cleanse it,0.44000000000000006,3.2613245644142403,0.0,0.0,0.0,0.0,0.5,3.343812375249501,,,,,,
71,72,"or to whom should I cry, save Thee?",-0.25,-1,1,0,35,8,or to whom should i cry save thee,-0.4,-0.784736968896513,-0.5,-2.4916662041185287,0.5,1.4987515605493134,0.0,0.0,,,,,,
72,73,"Lord, cleanse me from my secret faults, and spare Thy servant from the power of the enemy.",-0.7,-2,-2,-1,90,17,lord cleanse me from my secret faults and spare thy servant from the power of the enemy,-0.76,-0.9954482502221045,-1.0,-2.346648594355016,-1.0,-1.4115226337448559,-0.5,-0.984861845972957,,,,,,
73,74,"I believe, and therefore do I speak.",0.0,0,0,0,36,7,i believe and therefore do i speak,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
74,75,"Lord, Thou knowest.",0.0,0,0,0,19,3,lord thou knowest,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
75,76,"Have I not confessed against myself my transgressions unto Thee, and Thou, my God, hast forgiven the iniquity of my heart?",-1.1,-1,1,1,122,21,have i not confessed against myself my transgressions unto thee and thou my god hast forgiven the iniquity of my heart,-1.08,-1.2329185558290299,-0.5,-0.9499403281765547,0.5,0.571394574012375,0.5,0.7973584007615422,,,,,,
76,77,"I contend not in judgment with Thee, who art the truth; I fear to deceive myself; lest mine iniquity lie unto itself.",-1.65,-5,-6,-2,117,22,i contend not in judgment with thee who art the truth i fear to deceive myself lest mine iniquity lie unto itself,-1.52,-1.7121489117117572,-2.5,-4.533904201496914,-3.0,-3.2726033621081325,-1.0,-1.5222626079054975,,,,,,
77,78,"Therefore I contend not in judgment with Thee; for if Thou, Lord, shouldest mark iniquities, O Lord, who shall abide it?",-0.75,-1,-1,0,120,21,therefore i contend not in judgment with thee for if thou lord shouldest mark iniquities o lord who shall abide it,-0.8,-0.8798267814956559,-0.5,-0.9499403281765547,-0.5,-0.571394574012375,0.0,0.0,,,,,,
78,79,"Yet suffer me to speak unto Thy mercy, me, dust and ashes.",-0.65,-1,0,-2,58,12,yet suffer me to speak unto thy mercy me dust and ashes,-0.72,-1.2703403199459606,-0.5,-1.6618023559524908,0.0,0.0,-1.0,-2.789758534554538,,,,,,
79,80,"Yet suffer me to speak, since I speak to Thy mercy, and not to scornful man.",-0.25,-1,-2,0,76,16,yet suffer me to speak since i speak to thy mercy and not to scornful man,-0.4,-0.4541758605316261,-0.5,-1.2466112613984643,-1.0,-1.4996876951905058,0.0,0.0,,,,,,
80,81,"Thou too, perhaps, despisest me, yet wilt Thou return and have compassion upon me.",0.5,0,2,1,82,14,thou too perhaps despisest me yet wilt thou return and have compassion upon me,0.2,0.6332436596545471,0.0,0.0,1.0,1.7137758743754463,0.5,1.1957530335474662,,,,,,
81,82,"For what would I say, O Lord my God, but that I know not whence I came into this dying life (shall I call it?) or living death.",-1.25,-2,-4,-1,127,28,for what would i say o lord my god but that i know not whence i came into this dying life shall i call it or living death,-1.2,-1.06909564201709,-1.0,-1.4250800639049919,-2.0,-1.7143877186719028,-0.5,-0.5980899678686183,,,,,,
82,83,"Then immediately did the comforts of Thy compassion take me up, as I heard (for I remember it not) from the parents of my flesh, out of whose substance Thou didst sometime fashion me.",1.75,1,4,2,183,34,then immediately did the comforts of thy compassion take me up as i heard for i remember it not from the parents of my flesh out of whose substance thou didst sometime fashion me,1.2,0.9674274081637605,0.5,0.5868346455451167,2.0,1.4119376653925317,1.0,0.9851514260511616,,,,,,
83,84,Thus there received me the comforts of woman's milk.,1.6,0,2,1,52,9,thus there received me the comforts of woman own milk,1.08,3.640722053465015,0.0,0.0,1.0,2.6648168701442843,0.5,1.8593229744728081,,,,,,
84,85,"For neither my mother nor my nurses stored their own breasts for me; but Thou didst bestow the food of my infancy through them, according to Thine ordinance, whereby Thou distributest Thy riches through the hidden springs of all things.",0.15,0,0,0,236,40,for neither my mother nor my nurses stored their own breasts for me but thou didst bestow the food of my infancy through them according to thine ordinance whereby thou distributest thy riches through the hidden springs of all things,-0.08,-0.043737936198384064,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
85,86,Thou also gavest me to desire no more than Thou gavest; and to my nurses willingly to give me what Thou gavest them.,1.1,1,0,1,116,23,thou also gavest me to desire no more than thou gavest and to my nurses willingly to give me what thou gavest them,0.68,0.8900602604335432,0.5,0.867372720338523,0.0,0.0,0.5,0.7280530204259018,,,,,,
86,87,"For they, with a heaven-taught affection, willingly gave me what they abounded with from Thee.",1.5,3,5,2,94,15,for they with a heaven taught affection willingly gave me what they abounded with from thee,1.0,1.9949458306056551,1.5,3.988989932376299,2.5,3.9990006662225186,1.0,2.23217854763491,,,,,,
87,88,"For this my good from them, was good for them.",0.75,1,3,1,46,10,for this my good from them was good for them,0.4,1.4648799774214114,0.5,1.9938307987002413,1.5,3.5979020979020984,0.5,1.6735764235764237,,,,,,
88,89,"Nor, indeed, from them was it, but through them; for from Thee, O God, are all good things, and from my God is all my health.",0.75,1,4,2,125,26,nor indeed from them was it but through them for from thee o god are all good things and from my god is all my health,0.4,0.4879747697611609,0.5,0.7673297306801005,2.0,1.8462129950019224,1.0,1.288158400615148,,,,,,
89,90,"This I since learned, Thou, through these Thy gifts, within me and without, proclaiming Thyself unto me.",0.8,0,0,0,104,17,this i since learned thou through these thy gifts within me and without proclaiming thyself unto me,0.44000000000000006,0.8736518200082269,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
90,91,"For then I knew but to suck; to repose in what pleased, and cry at what offended my flesh; nothing more.",-0.7,-1,-3,-1,104,21,for then i knew but to suck to repose in what pleased and cry at what offended my flesh nothing more,-0.76,-0.8293850994480311,-0.5,-0.9499403281765547,-1.5,-1.714183722037125,-0.5,-0.7973584007615422,,,,,,
91,92,"Afterwards I began to smile; first in sleep, then waking: for so it was told me of myself, and I believed it; for we see the like in other infants, though of myself I remember it not.",1.25,2,4,1,183,37,afterwards i began to smile first in sleep then waking for so it was told me of myself and i believed it for we see the like in other infants though of myself i remember it not,0.8,0.5926723615536251,1.0,1.0785326287484147,2.0,1.2974871656309106,0.5,0.4526479329910835,,,,,,
92,93,"Thus, little by little, I became conscious where I was; and to have a wish to express my wishes to those who could content them, and I could not; for the wishes were within me, and they without; nor could they by any sense of theirs enter within my spirit.",2.7,0,3,3,256,50,thus little by little i became conscious where i was and to have a wish to express my wishes to those who could content them and i could not for the wishes were within me and they without nor could they by any sense of theirs enter within my spirit,1.9600000000000002,1.0211317015744918,0.0,0.0,1.5,0.7201559688062388,1.5,1.0049490101979603,,,,,,
93,94,"So I flung about at random limbs and voice, making the few signs I could, and such as I could, like, though in truth very little like, what I wished.",1.5,1,2,1,149,30,so i flung about at random limbs and voice making the few signs i could and such as i could like though in truth very little like what i wished,1.0,0.9362250468401078,0.5,0.6650531921022796,1.0,0.8000666444518493,0.5,0.5582305898033988,,,,,,
94,95,"And when I was not presently obeyed (my wishes being hurtful or unintelligible), then I was indignant with my elders for not submitting to me, with those owing me no service, for not serving me; and avenged myself on them by tears.",-1.6,-3,-6,-3,231,42,and when i was not presently obeyed my wishes being hurtful or unintelligible then i was indignant with my elders for not submitting to me with those owing me no service for not serving me and avenged myself on them by tears,-1.48,-0.9304605765908319,-1.5,-1.4252496759097415,-3.0,-1.7145917638657464,-1.5,-1.1963223042132827,,,,,,
95,96,"Such have I learnt infants to be from observing them; and that I was myself such, they, all unconscious, have shown me better than my nurses who knew it.",0.3,1,2,-1,153,29,such have i learnt infants to be from observing them and that i was myself such they all unconscious have shown me better than my nurses who knew it,0.039999999999999994,0.09598764049495219,0.5,0.6879781556356227,1.0,0.8276456394346777,-0.5,-0.5774732850741124,,,,,,
96,97,"And, lo!",0.0,0,0,0,8,2,and lo,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
97,98,"my infancy died long since, and I live.",-0.5,-1,-3,0,39,8,my infancy died long since and i live,-0.6,-1.4462723870117427,-0.5,-2.4916662041185287,-1.5,-4.49625468164794,0.0,0.0,,,,,,
98,99,"But Thou, Lord, who for ever livest, and in whom nothing dies: for before the foundation of the worlds, and before all that can be called ""before,"" Thou art, and art God and Lord of all which Thou hast created: in Thee abide, fixed for ever, the first causes of all things unabiding; and of all things changeable, the springs abide in Thee unchangeable: and in Thee live the eternal reasons of all things unreasoning and temporal.",-0.4,-1,1,2,430,77,but thou lord who for ever livest and in whom nothing dies for before the foundation of the worlds and before all that can be called before thou art and art god and lord of all which thou hast created in thee abide fixed for ever the first causes of all things unabiding and of all things changeable the springs abide in thee unchangeable and in thee live the eternal reasons of all things unreasoning and temporal,-0.52,-0.23329423898495527,-0.5,-0.25916434612374256,0.5,0.15588884560446695,1.0,0.4350733670951824,,,,,,
99,100,"Say, Lord, to me, Thy suppliant; say, all-pitying, to me, Thy pitiable one; say, did my infancy succeed another age of mine that died before it?",-0.8,-1,0,1,144,26,say lord to me thy suppliant say all pitying to me thy pitiable one say did my infancy succeed another age of mine that died before it,-0.8400000000000001,-0.7751229593598903,-0.5,-0.7673297306801005,0.0,0.0,0.5,0.644079200307574,,,,,,
100,101,was it that which I spent within my mother's womb?,0.0,0,0,0,50,10,was it that which i spent within my mother own womb,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
101,102,"for of that I have heard somewhat, and have myself seen women with child?",0.6,0,0,1,73,14,for of that i have heard somewhat and have myself seen women with child,0.27999999999999997,0.784532701741713,0.0,0.0,0.0,0.0,0.5,1.1957530335474662,,,,,,
