,baseline_sentimentr_roll100_stdscale,baseline_syuzhet_roll100_stdscale,baseline_bing_roll100_stdscale,baseline_sentiword_roll100_stdscale,baseline_senticnet_roll100_stdscale,baseline_nrc_roll100_stdscale,baseline_afinn_roll100_stdscale,baseline_vader_roll100_stdscale,baseline_textblob_roll100_stdscale,baseline_pattern_roll100_stdscale,baseline_stanza_roll100_stdscale,sentimentr_jockers_rinker_roll100_stdscale,sentimentr_jockers_roll100_stdscale,sentimentr_huliu_roll100_stdscale,sentimentr_senticnet_roll100_stdscale,sentimentr_sentiword_roll100_stdscale,sentimentr_nrc_roll100_stdscale,sentimentr_lmcd_roll100_stdscale,syuzhetr_syuzhet_roll100_stdscale,syuzhetr_bing_roll100_stdscale,syuzhetr_afinn_roll100_stdscale,syuzhetr_nrc_roll100_stdscale,transformer_robertalg15_roll100_stdscale,transformer_nlptown_roll100_stdscale,transformer_yelp_roll100_stdscale,transformer_hinglish_roll100_stdscale,transformer_imdb2way_roll100_stdscale,transformer_huggingface_roll100_stdscale,transformer_t5imdb50k_roll100_stdscale,transformer_robertaxml8lang_roll100_stdscale
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,0.09890097805545246,-0.09324858516534436,0.47122034547167246,-0.15243249647480958,-0.2479958494975952,-0.3981841333468747,0.03397484386797298,-0.1724701121782568,0.13071763957342916,-0.1348144253376642,-0.5400493372492027,,,,,,,,
111,0.07826665643888694,-0.2700860637568021,-0.008652609302463986,-1.3409592460429591,-0.048676645985346795,-0.6179843764429261,-0.12642041775525759,-0.06460298345172755,0.22888686299124164,0.4188464832336927,0.3307752529978031,0.0887514183653093,-0.10447149922199675,0.4611339032903778,-0.15056143406083064,-0.20026894807002926,-0.40668279002777735,0.03397484386797298,-0.15951460469021342,0.14549054888274837,-0.12656622427249262,-0.4999375968870493,-1.1495615060656743,-1.5230515103159985,-0.9704436592330736,0.024894043420454846,0.4244677933149323,0.17495103165945708,-0.23307146386371375,-0.88266375259232
112,0.08184412093111312,-0.2660331601161828,-0.011096988717801872,-1.2851143972029677,-0.025050401175413163,-0.581388880282248,-0.14554898877589187,-0.044970807494114334,0.18948587378712053,0.4100109402602239,0.36081906323236174,0.11250895650134957,-0.07820151147490646,0.47033994229618087,-0.0977601156604744,-0.2913304271437972,-0.4344886172176369,-0.10100034779920881,-0.16901531018144525,0.13071763957342916,-0.1678072295983505,-0.4865670167663316,-1.1495583583206486,-1.572204331814941,-1.0203055448011773,0.027231068385451144,0.42531964769600494,0.17414952274742726,-0.23307146386371375,-0.9105660120031183
113,0.06467229136842793,-0.2854870975911556,-0.02483127221939456,-1.387647961130052,-0.015146964879435726,-0.5811113330672049,-0.18260923552122432,-0.02507402955942596,0.16680368270474846,0.4016786118484312,0.34594515375369067,0.11980678123673151,-0.07013191414200513,0.4750253666173242,-0.08860998398212777,-0.30160520184152967,-0.4316707464555799,-0.16416300698607889,-0.1387857927093438,0.16026345819206758,-0.15955902853317896,-0.45982585652489605,-1.1499003744541254,-1.4940045459959024,-1.0385498636672315,0.05304886894485624,0.42628318068433546,0.18563710777887368,-0.1726327088513372,-0.8345749539581552
114,0.09686947179846236,-0.24901096482558113,0.003856997198231543,-1.3703194104737406,0.012482275812802809,-0.6070542990094397,-0.15819232336461247,0.05927591776667769,0.17734610954585137,0.4045393900225951,0.36231325980785306,0.1438544603253512,-0.04354110193803949,0.5034333682246017,-0.0457525319971837,-0.23157275510949019,-0.44305297484209843,-0.015688978791236374,-0.12410288422289462,0.17503636750138676,-0.11831802320732096,-0.4731964366456138,-1.056713047752046,-1.5187599265413716,-1.0529065382964358,0.05299539702692328,0.42524295785184213,0.12099176330876094,-0.1726327088513372,-0.8600296240730442
115,0.10187792208757877,-0.24333689972871403,0.020362478946485244,-1.326052152246918,0.03309709252779207,-0.6073763565726545,-0.1311543973144732,0.09107333096298312,0.26168552427467257,0.4103502225088875,0.3682396840241215,0.10666754330648652,-0.0846606762324684,0.4609069658948011,-0.07585023960573987,-0.2782858590538013,-0.4632581733201646,-0.015688978791236374,-0.1482864982005756,0.16026345819206758,-0.14306262640283574,-0.4999375968870493,-0.9617176568754219,-1.5244230466587452,-1.0701386974173572,0.0893621922220606,0.4259583790757673,0.18927899858497926,-0.11219395383896061,-0.8318131296306989
116,0.08899904991556497,-0.2579273528349439,0.003582437278349486,-1.3101613416013922,0.035263851766838036,-0.6072594003568809,-0.15876128537898693,0.05613941628232516,0.2391098223523115,0.3979381492561435,0.37158426064440025,0.11527288010720702,-0.07514529248268606,0.45321234438212954,-0.05034601210087742,-0.22703828767951778,-0.443429979853537,-0.015688978791236374,-0.1266939857205033,0.20458218612002518,-0.12656622427249262,-0.44645527640417815,-0.866957116755147,-1.4496663147185895,-1.0582077085909136,0.06257520325260896,0.44223325951211456,0.177114758620576,-0.11219395383896061,-0.824640736239538
117,0.05680186948553054,-0.29440348560051816,0.02809527238014946,-1.2319936873307813,0.0271599273812537,-0.5956438802760314,-0.152621976979186,0.04906615367563743,0.2191135245279977,0.37433640025784354,0.3815953586703941,0.13107123779217753,-0.08143201644792354,0.5108381026604524,-0.01893795984410393,-0.17835247708087457,-0.42896420912385885,0.026416928829640165,-0.14051319370774956,0.24890091404798284,-0.06058061575111983,-0.4197141161627427,-0.7830048847515672,-1.416944988557161,-0.9920173939983429,0.11655864058985743,0.4420286788331624,0.17868746606947347,-0.11219395383896061,-0.823065844850083
118,0.07254271325132497,-0.27657070958179286,0.054922021910642445,-1.2353988610405366,0.0557929774384739,-0.5839940985679896,-0.08636396904403937,0.06582643012597347,0.2141440303941449,0.3682969287842577,0.39192604979736617,0.11300711046808315,-0.10140649363274394,0.47752064996958227,-0.00017326709867018818,-0.2624851256984829,-0.46984705873245036,0.026416928829640165,-0.11114737673485102,0.24890091404798284,-0.019339610425261927,-0.4197141161627427,-0.8773864596663405,-1.4521348178732925,-1.0125823137258938,0.05190929283683009,0.44149703378550237,0.17840065742484665,-0.11219395383896061,-0.8820698640626919
119,0.12119623034559922,-0.2214512200693694,0.08217270681350945,-1.1515038559311706,0.13126230347642273,-0.5200370209912946,-0.043658421024851075,0.09051831218180148,0.20290942401296969,0.3685687397700189,0.4257672047906751,0.12373623036414434,-0.08954272868400896,0.47554282448826346,0.04706815668030033,-0.22572810499923704,-0.36817378386353283,0.08719522597009378,-0.0783267577651411,0.26367382335730205,0.030149595965767637,-0.32612005531771815,-0.8774447156767159,-1.5084763947900124,-1.036885646481507,0.05642795178337322,0.44136382557947923,0.17833463025817392,-0.11219395383896061,-0.9335737779644925
120,0.09043003571245502,-0.2563061913786959,0.03707490318478559,-1.205281991340921,0.08441378591807235,-0.5078283780670593,-0.060788387746734826,0.03673957376799725,0.24603753381747992,0.38792887092312717,0.42815207932141186,0.07449429544108484,-0.14399218466991406,0.4259546363709092,-0.02481982783675387,-0.3034417846530927,-0.39951037748067775,0.04376368686639959,-0.14310429520535825,0.20458218612002518,-0.03583601255560515,-0.3662317956798715,-0.8822531973414495,-1.4537971992952012,-1.1193359557855118,0.03146056787197931,0.44108905329835213,0.10995356895321434,-0.11219395383896061,-0.8837882189434768
121,0.05107792629796857,-0.3008881314255093,-0.012196422054592261,-1.31327291366684,0.00631252069145194,-0.5781150442542717,-0.1238928003134215,0.0014055292683478593,0.22705740706255373,0.362073072805888,0.3604372431557072,0.016806254224960578,-0.20778095466886679,0.3748722584716768,-0.08333607414599088,-0.33976321411741023,-0.4425514800227421,-0.13519718082973248,-0.1836982186678942,0.14549054888274837,-0.11831802320732096,-0.44645527640417815,-0.8827032510160636,-1.4528401203690826,-1.1608371269172137,0.08710442022172894,0.4400790151797046,0.10956936075550226,-0.11219395383896061,-0.8270313723677339
122,0.040345532821290365,-0.31304684234736735,-0.03130381141461507,-1.2996522188278177,0.008320139421415261,-0.5917366589488825,-0.15652834173963512,-0.006229205826279477,0.15038521185453513,0.35167909538640113,0.36034692194050993,0.023462466611658808,-0.2004208226198591,0.3723790883231595,-0.06795248492411488,-0.3834930959523574,-0.44465218082075164,-0.20741255872564396,-0.17592491417506817,0.14549054888274837,-0.14306262640283574,-0.44645527640417815,-0.7878190937213294,-1.4446473639406108,-1.0827604541264815,0.08635468901298086,0.4411029797468202,0.1198989762839061,-0.11219395383896061,-0.8005316833675414
123,0.053939897891749376,-0.29764580851301364,-0.04130489283044697,-1.2594947782570896,-0.04662006094489711,-0.5784464047275734,-0.17099734988343987,-0.06192469514718802,0.13671910298643922,0.3388148933096744,0.3281453700481039,0.03549541594821604,-0.18711534333060645,0.3650392045855382,-0.08506673959307762,-0.3548350066181613,-0.4334684287321302,-0.2796279366215555,-0.15346870119579295,0.14549054888274837,-0.12656622427249262,-0.4330846962834604,-0.8820804548899294,-1.4999676525370345,-1.0627740330351787,0.06423076531561887,0.42812974948695504,0.11071091623909514,-0.1726327088513372,-0.8023812288944914
124,-0.009738970069874283,-0.3697874933160387,-0.09170744101375826,-1.2560139340204508,-0.19087481163933193,-0.6550761502641798,-0.20678936407674703,-0.08839780026820367,0.13423153874596722,0.3021108078905543,0.19628619684483553,-0.03283173626420264,-0.2626683505965762,0.29594140345070036,-0.06186124052739327,-0.3454057894644652,-0.5092190831539188,-0.42966379106564484,-0.20960923364398118,0.0716260023361523,-0.15955902853317896,-0.526678757128485,-0.8821484552734437,-1.5214886251187276,-1.0837726372074434,0.12003703509257395,0.4268837605009698,0.11085277264925669,-0.1726327088513372,-0.7241823757428936
125,-0.06196995165637454,-0.42895988646908173,-0.12019207651855293,-1.1721221575202314,-0.3774976624825649,-0.8241578166504092,-0.2176875829283822,-0.03649709052095628,0.10959704639672437,0.270732409292814,0.040735620618939906,-0.029323312481647882,-0.2775277394983345,0.3210830294112617,-0.10282121492762183,-0.4469312995516658,-0.4970222999558422,-0.31222297273179356,-0.27438677108419834,0.05685309302683309,-0.18430363172869374,-0.7004962986978163,-0.9770207375012038,-1.5726999945761915,-1.0715637795486628,0.11009928880474248,0.4259473668229614,0.053059147530692144,-0.1726327088513372,-0.7322889611932121
126,-0.061254458757929335,-0.4281493057409578,-0.09387113842304404,-1.2224430578977303,-0.4022501324336976,-0.8481930773418769,-0.20929792196677374,-0.009023660852461746,0.059496432067675256,0.22982641511879154,-0.021388530482830685,-0.02441469228779777,-0.2634845101897919,0.31538010940760886,-0.1689538530971681,-0.4230481524747266,-0.4771609948202281,-0.31222297273179356,-0.25711276110014036,0.11594473026410995,-0.12656622427249262,-0.7539786191806874,-0.977929029555684,-1.5182805954941123,-1.0349147927923605,0.16203586068191186,0.3540285765844039,0.11731783379644249,-0.23307146386371375,-0.7400331813674803
127,-0.0462291078905801,-0.427338725012834,-0.0736508451220489,-1.233793636930249,-0.3666883494425797,-0.8620397930967448,-0.22102403450779276,-0.03566456234918374,-0.030562971827458228,0.23170814141584112,-0.020045617379301096,-0.02265198020159142,-0.2615353846263127,0.32767092225166483,-0.08591916349720732,-0.419725702608575,-0.45773942703602644,-0.2673352254465735,-0.25020315710651725,0.14549054888274837,-0.10182162107697784,-0.7272374589392517,-1.0731195721011226,-1.5162201636471049,-1.0713765334193497,0.2269451955637269,0.35058195092841726,0.05016874039622475,-0.29351021887608997,-0.7340370184897714
128,-0.05052206528125131,-0.4322022093815773,-0.028231001473721647,-1.1880129681657576,-0.30325249420678846,-0.836753730723643,-0.21846446946561443,-0.03482558047065322,-0.04973102062946278,0.24344035106729925,-0.00017210775558608018,-0.03956428539240676,-0.27027061380435186,0.3353692153213731,-0.048640551127817296,-0.45206462105102885,-0.45227715778160277,-0.2673352254465735,-0.2666134665913723,0.13071763957342916,-0.12656622427249262,-0.7272374589392517,-1.0732630189328736,-1.5905322183371267,-1.0318453764560889,0.22430625680515492,0.2748911027068112,0.03766709658709755,-0.3539489738884665,-0.7086456332590053
129,-0.029772771226340106,-0.4086953682659849,-0.028231001473721647,-1.1947191929402772,-0.2588645337504059,-0.836753730723643,-0.17906510343666546,0.025819901933585358,-0.006283443344918739,0.2743980330633549,0.07504597942767918,0.009305040467451361,-0.21623317170089132,0.31265471644755954,-0.04536944431292356,-0.2063063694408985,-0.4714159902993056,-0.2673352254465735,-0.2657497660921695,0.11594473026410995,-0.1348144253376642,-0.7406080390599696,-1.0732584052704892,-1.6118501958890858,-1.0734477943542151,0.20712008054694758,0.3505742672118897,-0.02480181984139494,-0.3539489738884665,-0.7022661997887037
130,-0.039789671804572935,-0.4200434984597193,-0.048039516449408376,-1.163391594810526,-0.25453101527231453,-0.8505192575101552,-0.21072536541850664,-0.014438320822362167,0.006495255856418022,0.2809635722524233,0.06295771196937505,0.008091057318492316,-0.21757553816435704,0.30025766941822085,-0.06723845388269854,-0.2065050145664528,-0.4714159902993056,-0.2673352254465735,-0.2674771670905753,0.13071763957342916,-0.1348144253376642,-0.7406080390599696,-1.0730083129509067,-1.5112819419761008,-1.0745743241396308,0.24011029499532693,0.3612951073569727,-0.022765591636402096,-0.3539489738884665,-0.7093851553010472
131,-0.08558121730506638,-0.45570905049716987,-0.091428253951206,-1.2594931639525162,-0.27408081473421286,-0.873430808510614,-0.2619163744360545,-0.0658937248033127,-0.010026863306534826,0.25311857748230443,-0.019460399663578216,-0.023280851096677675,-0.22957253045703238,0.2786370871086015,-0.0348537609673732,-0.2046828499047563,-0.49889817896593475,-0.3032881244624988,-0.27352307058499564,0.1011718209547907,-0.15955902853317896,-0.7539786191806874,-1.1680076527134384,-1.5631146381375454,-1.0454084214260142,0.24407796324809666,0.36132831905920515,-0.0317282264668053,-0.3539489738884665,-0.7083045404841724
132,-0.10847699005531318,-0.4816476337971339,-0.07659445389143611,-1.1546088698842885,-0.3633463987518477,-0.8614676815279176,-0.26530016156399455,-0.049449679984115216,-0.0475110476304551,0.2251918164983823,-0.04648806981462032,-0.0008404795505401857,-0.20300441276392944,0.28845250874104655,0.04545177662128537,-0.16669020157699138,-0.4330209013769118,-0.3115200876790903,-0.17678861467427126,0.16026345819206758,-0.08532521894663461,-0.5534199173699206,-1.0733564967328046,-1.6171645821154992,-1.0569393504618478,0.21043106610775966,0.3613581884138051,-0.03242146558703766,-0.29351021887608997,-0.7100698360925103
133,-0.01832488485121688,-0.37951446205352535,-0.003777566560903717,-1.1016395010658686,-0.24307289861837705,-0.6773832419228254,-0.22499959726045196,0.024742132905011375,-0.0733080466431528,0.22622057518039945,0.039061407419911605,0.08971355367979235,-0.10287394765476451,0.3581676738336796,0.13089830393873092,-0.08845101308106747,-0.2495266590374102,-0.3115200876790903,-0.07746305726593822,0.26367382335730205,-0.06058061575111983,-0.3662317956798715,-0.9782811025640621,-1.629860643691404,-1.0081735334529116,0.18436657513694266,0.36129703404083474,0.033946147449239975,-0.29351021887608997,-0.6794912837877354
134,0.061094826876201394,-0.2895400012317749,0.08427794877982168,-1.0335360268707574,-0.1604544912493392,-0.602274287389756,-0.154544154947954,0.05371927624810303,-0.025402818226953693,0.24255117872292575,0.03861855793852424,0.12918192268175474,-0.05923164919176391,0.36993114895962587,0.1758006130192593,-0.0906935006010122,-0.22213727791811388,-0.25159078500409443,-0.007503316830503921,0.27844673266662123,-0.02758781149043349,-0.32612005531771815,-0.8833611041580972,-1.5487503289528148,-0.9337090359575803,0.27343444130198363,0.4384497381053682,0.1018899430484507,-0.23307146386371375,-0.597995395504243
135,0.1262046806347153,-0.2157771549725023,0.0969298292215337,-0.9550747709558384,-0.13845637626309545,-0.4490069766813668,-0.1542853942411056,0.14318701303324247,0.015755242117350982,0.2788791246068361,0.034710852503538156,0.13011127378345855,-0.046292825954830905,0.37913236907958187,0.23966575029595932,-0.12926389498276866,-0.1644754461763809,-0.25159078500409443,0.05986532210732169,0.3079925512852597,0.030149595965767637,-0.2860083149555648,-0.8827469472852327,-1.439075014094836,-0.8525060364333092,0.2984881853855192,0.4398069614333949,0.17045915051265206,-0.1726327088513372,-0.5957178998691498
136,0.18129763381499633,-0.15336243890696383,0.1238434898080151,-0.9422107813856507,-0.04863992125248218,-0.41429808378649857,-0.11221466811078035,0.20002480845030393,0.03035946977602134,0.2961633921939439,0.08306882765651565,0.2535055285440928,0.09015083845439174,0.4921913194111353,0.34019151549185667,-0.015789831071419232,-0.08250172910653679,-0.03503309636339654,0.17560118900050992,0.3818570978318558,0.08788700342196876,-0.21915541435197572,-0.7876763088251298,-1.3549377188256662,-0.791769555133902,0.38553175242438326,0.4394508725045635,0.11577664634942163,-0.11219395383896061,-0.5634588336871783
137,0.28075114669888046,-0.04069171769774492,0.1958123910832338,-0.9057375874278246,0.032778811509626166,-0.36578005747194525,-0.015962354898034322,0.30315504244197455,0.051733365463971066,0.3082323652102373,0.10821591832260291,0.23389817822511746,0.06846993659987685,0.4630400336414118,0.31470919249128737,0.11889523731588014,-0.049684702329108765,0.01603088705275161,0.1669641840084808,0.35231127921321737,0.11263160661748355,-0.20578483423125798,-0.7874376228198777,-1.3568001208397125,-0.7936973416953655,0.4132400012860767,0.4393719682400002,0.1816874223297545,-0.0517551988265844,-0.5249606591060061
138,0.3351286069807163,0.020912417639669684,0.18965938100972368,-0.7899616812961354,0.09410911539448076,-0.3051057370346049,-0.00256305673291339,0.39513327115594776,0.10759177030617688,0.32771463477468593,0.15088214504167874,0.25782287703281576,0.0949247628925732,0.4986774714872754,0.32340381590823025,0.14659834597739774,-0.03996456282312403,0.14876614750050843,0.20583070647261115,0.3966300071411749,0.203361818334371,-0.1656730938691046,-0.7868739122542519,-1.3546830529862495,-0.7740770256239505,0.4719338353951226,0.4391906343714754,0.24317979686064492,-0.11219395383896061,-0.5151732176107927
139,0.3465764933558395,0.033881709289651785,0.18965938100972368,-0.7378246882734334,0.07067873582649441,-0.3051057370346049,0.03580528718739564,0.3640134971692247,0.12037046950751325,0.33666650157983985,0.12407677944527405,0.2626298419837941,0.10871779561178954,0.4741786352853231,0.36295527137710215,0.16097954897865646,-0.04298467659802106,0.14876614750050843,0.25160683293036445,0.41140291645049415,0.244602823660229,-0.09882019326551571,-0.6923213846707799,-1.4166034828693839,-0.7471883356341952,0.5213528943933422,0.439158131652074,0.24360511391471348,-0.11219395383896061,-0.5446993419698059
140,0.3580243797309629,0.04685100093963368,0.21297496377002134,-0.7523392033760032,0.09538223946714075,-0.28158993900353174,0.10087870898085577,0.4332746780952952,0.16041891280450188,0.38026544058250894,0.15198864255547176,0.29927626666608387,0.13913536298334692,0.539123756519166,0.39368217143987067,0.20532921354094283,-0.04852425605951352,0.18715456727249682,0.2904733553944948,0.47049455368777093,0.2281064215298857,-0.09882019326551571,-0.6919502774641417,-1.4428971749835229,-0.7024352984036867,0.5788363368631742,0.439053487627712,0.23988332418880057,-0.0517551988265844,-0.5704960296807112
141,0.4145483187081344,0.11088687846142009,0.29970202065036106,-0.6347039642980348,0.2010882622307562,-0.21210724497424716,0.13657431942302167,0.4315063624436233,0.17132902103859793,0.4000444657607,0.18436239524345996,0.23128566657611926,0.06395449950106788,0.47204294755461124,0.3460623338779084,0.15204510532250679,-0.05826927258456411,0.06559797299158995,0.23606022394471218,0.4261758257598133,0.15387261194334145,-0.1255613535069512,-0.6919806782037804,-1.4175735208420595,-0.6318786633650774,0.5773416600920677,0.4392183859851513,0.3069821565739279,-0.0517551988265844,-0.5713786375384159
