,sent_no,sent_raw,syuzhet,bing,afinn,nrc,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
10,11,"He told me it was men of desperate fortunes on one hand, or of aspiring, superior fortunes on the other, who went abroad upon adventures, to rise by enterprise, and make themselves famous in undertakings of a nature out of the common road; that these things were all either too far above me or too far below me; that mine was the middle state, or what might be called the upper station of low life, which he had found, by long experience, was the best state in the world, the most suited to human happiness, not exposed to the miseries and hardships, the labour and sufferings of the mechanic part of mankind, and not embarrassed with the pride, luxury, ambition, and envy of the upper part of mankind.",2.35,4,10,6,,,,,,,,,
11,12,"He told me I might judge of the happiness of this state by this one thingâ""viz.",0.75,1,3,1,,,,,,,,,
12,13,"that this was the state of life which all other people envied; that kings have frequently lamented the miserable consequence of being born to great things, and wished they had been placed in the middle of the two extremes, between the mean and the great; that the wise man gave his testimony to this, as the standard of felicity, when he prayed to have neither poverty nor riches.",-0.25,1,-1,0,,,,,,,,,
13,14,"He bade me observe it, and I should always find that the calamities of life were shared among the upper and lower part of mankind, but that the middle station had the fewest disasters, and was not exposed to so many vicissitudes as the higher or lower part of mankind; nay, they were not subjected to so many distempers and uneasinesses, either of body or mind, as those were who, by vicious living, luxury, and extravagances on the one hand, or by hard labour, want of necessaries, and mean or insufficient diet on the other hand, bring distemper upon themselves by the natural consequences of their way of living; that the middle station of life was calculated for all kind of virtue and all kind of enjoyments; that peace and plenty were the handmaids of a middle fortune; that temperance, moderation, quietness, health, society, all agreeable diversions, and all desirable pleasures, were the blessings attending the middle station of life; that this way men went silently and smoothly through the world, and comfortably out of it, not embarrassed with the labours of the hands or of the head, not sold to a life of slavery for daily bread, nor harassed with perplexed circumstances, which rob the soul of peace and the body of rest, nor enraged with the passion of envy, or the secret burning lust of ambition for great things; but, in easy circumstances, sliding gently through the world, and sensibly tasting the sweets of living, without the bitter; feeling that they are happy, and learning by every dayâs experience to know it more sensibly.",3.35,4,4,6,,,,,,,,,
14,15,"After this he pressed me earnestly, and in the most affectionate manner, not to play the young man, nor to precipitate myself into miseries which nature, and the station of life I was born in, seemed to have provided against; that I was under no necessity of seeking my bread; that he would do well for me, and endeavour to enter me fairly into the station of life which he had just been recommending to me; and that if I was not very easy and happy in the world, it must be my mere fate or fault that must hinder it; and that he should have nothing to answer for, having thus discharged his duty in warning me against measures which he knew would be to my hurt; in a word, that as he would do very kind things for me if I would stay and settle at home as he directed, so he would not have so much hand in my misfortunes as to give me any encouragement to go away; and to close all, he told me I had my elder brother for an example, to whom he had used the same earnest persuasions to keep him from going into the Low Country wars, but could not prevail, his young desires prompting him to run into the army, where he was killed; and though he said he would not cease to pray for me, yet he would venture to say to me, that if I did take this foolish step, God would not bless me, and I should have leisure hereafter to reflect upon having neglected his counsel when there might be none to assist in my recovery.",3.35,1,2,13,,,,,,,,,
15,16,"I observed in this last part of his discourse, which was truly prophetic, though I suppose my father did not know it to be so himselfâ""I say, I observed the tears run down his face very plentifully, especially when he spoke of my brother who was killed: and that when he spoke of my having leisure to repent, and none to assist me, he was so moved that he broke off the discourse, and told me his heart was so full he could say no more to me.",-0.45,-2,-7,3,,,,,,,,,
16,17,"I was sincerely affected with this discourse, and, indeed, who could be otherwise?",0.5,1,1,0,,,,,,,,,
17,18,"and I resolved not to think of going abroad any more, but to settle at home according to my fatherâs desire.",1.2,0,3,0,,,,,,,,,
18,19,But alas!,-0.4,0,-1,0,,,,,,,,,
19,20,"a few days wore it all off; and, in short, to prevent any of my fatherâs further importunities, in a few weeks after I resolved to run quite away from him.",0.35,0,1,0,,,,,,,,,
20,21,"However, I did not act quite so hastily as the first heat of my resolution prompted; but I took my mother at a time when I thought her a little more pleasant than ordinary, and told her that my thoughts were so entirely bent upon seeing the world that I should never settle to anything with resolution enough to go through with it, and my father had better give me his consent than force me to go without it; that I was now eighteen years old, which was too late to go apprentice to a trade or clerk to an attorney; that I was sure if I did I should never serve out my time, but I should certainly run away from my master before my time was out, and go to sea; and if she would speak to my father to let me go one voyage abroad, if I came home again, and did not like it, I would go no more; and I would promise, by a double diligence, to recover the time that I had lost.",2.45,5,8,2,,,,,,,,,
21,22,"This put my mother into a great passion; she told me she knew it would be to no purpose to speak to my father upon any such subject; that he knew too well what was my interest to give his consent to anything so much for my hurt; and that she wondered how I could think of any such thing after the discourse I had had with my father, and such kind and tender expressions as she knew my father had used to me; and that, in short, if I would ruin myself, there was no help for me; but I might depend I should never have their consent to it; that for her part she would not have so much hand in my destruction; and I should never have it to say that my mother was willing when my father was not.",2.9,2,5,0,,,,,,,,,
22,23,"Though my mother refused to move it to my father, yet I heard afterwards that she reported all the discourse to him, and that my father, after showing a great concern at it, said to her, with a sigh, âThat boy might be happy if he would stay at home; but if he goes abroad, he will be the most miserable wretch that ever was born: I can give no consent to it.â  It was not till almost a year after this that I broke loose, though, in the meantime, I continued obstinately deaf to all proposals of settling to business, and frequently expostulated with my father and mother about their being so positively determined against what they knew my inclinations prompted me to.",-2.0,-5,0,-4,,,,,,,,,
23,24,"But being one day at Hull, where I went casually, and without any purpose of making an elopement at that time; but, I say, being there, and one of my companions being about to sail to London in his fatherâs ship, and prompting me to go with them with the common allurement of seafaring men, that it should cost me nothing for my passage, I consulted neither father nor mother any more, nor so much as sent them word of it; but leaving them to hear of it as they might, without asking Godâs blessing or my fatherâs, without any consideration of circumstances or consequences, and in an ill hour, God knows, on the 1st of September 1651, I went on board a ship bound for London.",-0.8,1,2,1,,,,,,,,,
24,25,"Never any young adventurerâs misfortunes, I believe, began sooner, or continued longer than mine.",-0.6,0,0,1,,,,,,,,,
25,26,"The ship was no sooner out of the Humber than the wind began to blow and the sea to rise in a most frightful manner; and, as I had never been at sea before, I was most inexpressibly sick in body and terrified in mind.",-2.65,-3,-5,-1,,,,,,,,,
26,27,"I began now seriously to reflect upon what I had done, and how justly I was overtaken by the judgment of Heaven for my wicked leaving my fatherâs house, and abandoning my duty.",0.25,2,0,-1,,,,,,,,,
27,28,"All the good counsels of my parents, my fatherâs tears and my motherâs entreaties, came now fresh into my mind; and my conscience, which was not yet come to the pitch of hardness to which it has since, reproached me with the contempt of advice, and the breach of my duty to God and my father.",-1.05,0,-1,0,,,,,,,,,
28,29,"All this while the storm increased, and the sea went very high, though nothing like what I have seen many times since; no, nor what I saw a few days after; but it was enough to affect me then, who was but a young sailor, and had never known anything of the matter.",0.9,2,3,1,,,,,,,,,
29,30,"I expected every wave would have swallowed us up, and that every time the ship fell down, as I thought it did, in the trough or hollow of the sea, we should never rise more; in this agony of mind, I made many vows and resolutions that if it would please God to spare my life in this one voyage, if ever I got once my foot upon dry land again, I would go directly home to my father, and never set it into a ship again while I lived; that I would take his advice, and never run myself into such miseries as these any more.",-0.4,-4,2,0,,,,,,,,,
30,31,"Now I saw plainly the goodness of his observations about the middle station of life, how easy, how comfortably he had lived all his days, and never had been exposed to tempests at sea or troubles on shore; and I resolved that I would, like a true repenting prodigal, go home to my father.",3.15,3,9,2,,,,,,,,,
31,32,"These wise and sober thoughts continued all the while the storm lasted, and indeed some time after; but the next day the wind was abated, and the sea calmer, and I began to be a little inured to it; however, I was very grave for all that day, being also a little sea-sick still; but towards night the weather cleared up, the wind was quite over, and a charming fine evening followed; the sun went down perfectly clear, and rose so the next morning; and having little or no wind, and a smooth sea, the sun shining upon it, the sight was, as I thought, the most delightful that ever I saw.",5.05,6,9,3,,,,,,,,,
32,33,"I had slept well in the night, and was now no more sea-sick, but very cheerful, looking with wonder upon the sea that was so rough and terrible the day before, and could be so calm and so pleasant in so little a time after.",2.3,2,1,2,,,,,,,,,
33,34,"And now, lest my good resolutions should continue, my companion, who had enticed me away, comes to me; âWell, Bob,â says he, clapping me upon the shoulder, âhow do you do after it?",2.45,3,3,4,,,,,,,,,
34,35,"I warrant you were frighted, werânât you, last night, when it blew but a capful of wind?â âA capful dâyou call it?â said I; ââtwas a terrible storm.â âA storm, you fool you,â replies he; âdo you call that a storm?",-1.75,-2,-5,-3,,,,,,,,,
35,36,"why, it was nothing at all; give us but a good ship and sea-room, and we think nothing of such a squall of wind as that; but youâre but a fresh-water sailor, Bob.",-0.25,2,4,1,,,,,,,,,
36,37,"Come, let us make a bowl of punch, and weâll forget all that; dâye see what charming weather âtis now?â To make short this sad part of my story, we went the way of all sailors; the punch was made and I was made half drunk with it: and in that one nightâs wickedness I drowned all my repentance, all my reflections upon my past conduct, all my resolutions for the future.",-2.3,-3,-4,-2,,,,,,,,,
37,38,"In a word, as the sea was returned to its smoothness of surface and settled calmness by the abatement of that storm, so the hurry of my thoughts being over, my fears and apprehensions of being swallowed up by the sea being forgotten, and the current of my former desires returned, I entirely forgot the vows and promises that I made in my distress.",-1.05,-1,-3,0,,,,,,,,,
38,39,"I found, indeed, some intervals of reflection; and the serious thoughts did, as it were, endeavour to return again sometimes; but I shook them off, and roused myself from them as it were from a distemper, and applying myself to drinking and company, soon mastered the return of those fitsâ""for so I called them; and I had in five or six days got as complete a victory over conscience as any young fellow that resolved not to be troubled with it could desire.",2.6,0,4,3,,,,,,,,,
39,40,"But I was to have another trial for it still; and Providence, as in such cases generally it does, resolved to leave me entirely without excuse; for if I would not take this for a deliverance, the next was to be such a one as the worst and most hardened wretch among us would confess both the danger and the mercy of.",-1.4,-4,-3,-3,,,,,,,,,
40,41,"The sixth day of our being at sea we came into Yarmouth Roads; the wind having been contrary and the weather calm, we had made but little way since the storm.",-0.1,1,2,0,,,,,,,,,
41,42,"Here we were obliged to come to an anchor, and here we lay, the wind continuing contraryâ""viz.",-0.2,0,0,0,,,,,,,,,
42,43,"at south-westâ""for seven or eight days, during which time a great many ships from Newcastle came into the same Roads, as the common harbour where the ships might wait for a wind for the river.",0.25,1,3,-1,,,,,,,,,
43,44,"We had not, however, rid here so long but we should have tided it up the river, but that the wind blew too fresh, and after we had lain four or five days, blew very hard.",0.25,0,0,0,,,,,,,,,
44,45,"However, the Roads being reckoned as good as a harbour, the anchorage good, and our ground-tackle very strong, our men were unconcerned, and not in the least apprehensive of danger, but spent the time in rest and mirth, after the manner of the sea; but the eighth day, in the morning, the wind increased, and we had all hands at work to strike our topmasts, and make everything snug and close, that the ship might ride as easy as possible.",0.3,1,3,1,,,,,,,,,
45,46,"By noon the sea went very high indeed, and our ship rode forecastle in, shipped several seas, and we thought once or twice our anchor had come home; upon which our master ordered out the sheet-anchor, so that we rode with two anchors ahead, and the cables veered out to the bitter end.",0.3,0,-2,4,,,,,,,,,
46,47,By this time it blew a terrible storm indeed; and now I began to see terror and amazement in the faces even of the seamen themselves.,-1.2,-1,-6,-3,,,,,,,,,
47,48,"The master, though vigilant in the business of preserving the ship, yet as he went in and out of his cabin by me, I could hear him softly to himself say, several times, âLord be merciful to us!",1.25,3,3,3,,,,,,,,,
48,49,we shall be all lost!,-0.75,-1,-3,-1,,,,,,,,,
49,50,we shall be all undone!â and the like.,0.0,0,2,0,,,,,,,,,
50,51,"During these first hurries I was stupid, lying still in my cabin, which was in the steerage, and cannot describe my temper: I could ill resume the first penitence which I had so apparently trampled upon and hardened myself against: I thought the bitterness of death had been past, and that this would be nothing like the first; but when the master himself came by me, as I said just now, and said we should be all lost, I was dreadfully frighted.",-5.5,-6,-7,-7,,,,,,,,,
51,52,"I got up out of my cabin and looked out; but such a dismal sight I never saw: the sea ran mountains high, and broke upon us every three or four minutes; when I could look about, I could see nothing but distress round us; two ships that rode near us, we found, had cut their masts by the board, being deep laden; and our men cried out that a ship which rode about a mile ahead of us was foundered.",-2.6,-3,-8,-1,,,,,,,,,
52,53,"Two more ships, being driven from their anchors, were run out of the Roads to sea, at all adventures, and that with not a mast standing.",0.25,0,2,2,,,,,,,,,
53,54,"The light ships fared the best, as not so much labouring in the sea; but two or three of them drove, and came close by us, running away with only their spritsail out before the wind.",0.5,1,3,1,,,,,,,,,
54,55,"Towards evening the mate and boatswain begged the master of our ship to let them cut away the fore-mast, which he was very unwilling to do; but the boatswain protesting to him that if he did not the ship would founder, he consented; and when they had cut away the fore-mast, the main-mast stood so loose, and shook the ship so much, they were obliged to cut that away also, and make a clear deck.",-0.3,-1,-5,4,,,,,,,,,
55,56,"Any one may judge what a condition I must be in at all this, who was but a young sailor, and who had been in such a fright before at but a little.",-0.35,-1,-2,0,,,,,,,,,
56,57,"But if I can express at this distance the thoughts I had about me at that time, I was in tenfold more horror of mind upon account of my former convictions, and the having returned from them to the resolutions I had wickedly taken at first, than I was at death itself; and these, added to the terror of the storm, put me into such a condition that I can by no words describe it.",-4.0,-3,-6,-5,,,,,,,,,
57,58,But the worst was not come yet; the storm continued with such fury that the seamen themselves acknowledged they had never seen a worse.,-2.0,-3,-6,-3,,,,,,,,,
58,59,"We had a good ship, but she was deep laden, and wallowed in the sea, so that the seamen every now and then cried out she would founder.",-0.1,1,1,1,,,,,,,,,
59,60,"It was my advantage in one respect, that I did not know what they meant by _founder_ till I inquired.",1.65,2,4,2,,,,,,,,,
60,61,"However, the storm was so violent that I saw, what is not often seen, the master, the boatswain, and some others more sensible than the rest, at their prayers, and expecting every moment when the ship would go to the bottom.",-0.2,1,-3,-1,,,,,,,,,
61,62,"In the middle of the night, and under all the rest of our distresses, one of the men that had been down to see cried out we had sprung a leak; another said there was four feet water in the hold.",-2.75,-1,-5,0,,,,,,,,,
62,63,Then all hands were called to the pump.,0.0,0,0,0,,,,,,,,,
63,64,"At that word, my heart, as I thought, died within me: and I fell backwards upon the side of my bed where I sat, into the cabin.",-1.4,-2,-3,-1,,,,,,,,,
64,65,"However, the men roused me, and told me that I, that was able to do nothing before, was as well able to pump as another; at which I stirred up and went to the pump, and worked very heartily.",1.55,3,0,1,,,,,,,,,
65,66,"While this was doing the master, seeing some light colliers, who, not able to ride out the storm were obliged to slip and run away to sea, and would come near us, ordered to fire a gun as a signal of distress.",-2.25,0,-6,-2,,,,,,,,,
66,67,"I, who knew nothing what they meant, thought the ship had broken, or some dreadful thing happened.",-1.5,-2,-4,-2,,,,,,,,,
67,68,"In a word, I was so surprised that I fell down in a swoon.",-0.5,-1,0,0,,,,,,,,,
68,69,"As this was a time when everybody had his own life to think of, nobody minded me, or what was become of me; but another man stepped up to the pump, and thrusting me aside with his foot, let me lie, thinking I had been dead; and it was a great while before I came to myself.",-1.4,-1,0,-1,,,,,,,,,
69,70,"We worked on; but the water increasing in the hold, it was apparent that the ship would founder; and though the storm began to abate a little, yet it was not possible she could swim till we might run into any port; so the master continued firing guns for help; and a light ship, who had rid it out just ahead of us, ventured a boat out to help us.",0.6,2,0,2,,,,,,,,,
70,71,"It was with the utmost hazard the boat came near us; but it was impossible for us to get on board, or for the boat to lie near the shipâs side, till at last the men rowing very heartily, and venturing their lives to save ours, our men cast them a rope over the stern with a buoy to it, and then veered it out a great length, which they, after much labour and hazard, took hold of, and we hauled them close under our stern, and got all into their boat.",-0.35,-2,5,-1,,,,,,,,,
71,72,"It was to no purpose for them or us, after we were in the boat, to think of reaching their own ship; so all agreed to let her drive, and only to pull her in towards shore as much as we could; and our master promised them, that if the boat was staved upon shore, he would make it good to their master: so partly rowing and partly driving, our boat went away to the northward, sloping towards the shore almost as far as Winterton Ness.",1.75,3,5,4,,,,,,,,,
72,73,"We were not much more than a quarter of an hour out of our ship till we saw her sink, and then I understood for the first time what was meant by a ship foundering in the sea.",-0.25,-1,0,1,,,,,,,,,
73,74,"I must acknowledge I had hardly eyes to look up when the seamen told me she was sinking; for from the moment that they rather put me into the boat than that I might be said to go in, my heart was, as it were, dead within me, partly with fright, partly with horror of mind, and the thoughts of what was yet before me.",-3.0,-3,-5,-2,,,,,,,,,
74,75,"While we were in this conditionâ""the men yet labouring at the oar to bring the boat near the shoreâ""we could see (when, our boat mounting the waves, we were able to see the shore) a great many people running along the strand to assist us when we should come near; but we made but slow way towards the shore; nor were we able to reach the shore till, being past the lighthouse at Winterton, the shore falls off to the westward towards Cromer, and so the land broke off a little the violence of the wind.",0.15,-2,0,1,,,,,,,,,
75,76,"Here we got in, and though not without much difficulty, got all safe on shore, and walked afterwards on foot to Yarmouth, where, as unfortunate men, we were used with great humanity, as well by the magistrates of the town, who assigned us good quarters, as by particular merchants and owners of ships, and had money given us sufficient to carry us either to London or back to Hull as we thought fit.",3.8,3,8,2,,,,,,,,,
76,77,"Had I now had the sense to have gone back to Hull, and have gone home, I had been happy, and my father, as in our blessed Saviourâs parable, had even killed the fatted calf for me; for hearing the ship I went away in was cast away in Yarmouth Roads, it was a great while before he had any assurances that I was not drowned.",1.75,2,1,3,,,,,,,,,
77,78,"But my ill fate pushed me on now with an obstinacy that nothing could resist; and though I had several times loud calls from my reason and my more composed judgment to go home, yet I had no power to do it.",-0.2,-1,-3,-2,,,,,,,,,
78,79,"I know not what to call this, nor will I urge that it is a secret overruling decree, that hurries us on to be the instruments of our own destruction, even though it be before us, and that we rush upon it with our eyes open.",-0.75,-1,-3,-1,,,,,,,,,
79,80,"Certainly, nothing but some such decreed unavoidable misery, which it was impossible for me to escape, could have pushed me forward against the calm reasonings and persuasions of my most retired thoughts, and against two such visible instructions as I had met with in my first attempt.",-0.65,-1,-1,-1,,,,,,,,,
80,81,"My comrade, who had helped to harden me before, and who was the masterâs son, was now less forward than I.",2.15,1,0,3,,,,,,,,,
81,82,"The first time he spoke to me after we were at Yarmouth, which was not till two or three days, for we were separated in the town to several quarters; I say, the first time he saw me, it appeared his tone was altered; and, looking very melancholy, and shaking his head, he asked me how I did, and telling his father who I was, and how I had come this voyage only for a trial, in order to go further abroad, his father, turning to me with a very grave and concerned tone âYoung man,â says he, âyou ought never to go to sea any more; you ought to take this for a plain and visible token that you are not to be a seafaring man.â âWhy, sir,â said I, âwill you go to sea no more?â âThat is another case,â said he; âit is my calling, and therefore my duty; but as you made this voyage on trial, you see what a taste Heaven has given you of what you are to expect if you persist.",1.11022302462516e-16,-1,-5,-1,,,,,,,,,
82,83,"Perhaps this has all befallen us on your account, like Jonah in the ship of Tarshish.",0.5,1,2,0,,,,,,,,,
83,84,"Pray,â continues he, âwhat are you; and on what account did you go to sea?â Upon that I told him some of my story; at the end of which he burst out into a strange kind of passion: âWhat had I done,â says he, âthat such an unhappy wretch should come into my ship?",-0.65,-2,1,2,,,,,,,,,
84,85,"I would not set my foot in the same ship with thee again for a thousand pounds.â This indeed was, as I said, an excursion of his spirits, which were yet agitated by the sense of his loss, and was farther than he could have authority to go.",-0.5,-1,-2,1,,,,,,,,,
85,86,"However, he afterwards talked very gravely to me, exhorting me to go back to my father, and not tempt Providence to my ruin, telling me I might see a visible hand of Heaven against me.",-0.6,1,0,-1,,,,,,,,,
86,87,"âAnd, young man,â said he, âdepend upon it, if you do not go back, wherever you go, you will meet with nothing but disasters and disappointments, till your fatherâs words are fulfilled upon you.â  We parted soon after; for I made him little answer, and I saw him no more; which way he went I knew not.",-0.55,-1,-3,0,,,,,,,,,
87,88,"As for me, having some money in my pocket, I travelled to London by land; and there, as well as on the road, had many struggles with myself what course of life I should take, and whether I should go home or to sea.",0.9,0,-2,3,,,,,,,,,
88,89,"As to going home, shame opposed the best motions that offered to my thoughts, and it immediately occurred to me how I should be laughed at among the neighbours, and should be ashamed to see, not my father and mother only, but even everybody else; from whence I have since often observed, how incongruous and irrational the common temper of mankind is, especially of youth, to that reason which ought to guide them in such casesâ""viz.",-1.0,-4,-1,-2,,,,,,,,,
89,90,"that they are not ashamed to sin, and yet are ashamed to repent; not ashamed of the action for which they ought justly to be esteemed fools, but are ashamed of the returning, which only can make them be esteemed wise men.",-0.1,0,-4,1,,,,,,,,,
90,91,"In this state of life, however, I remained some time, uncertain what measures to take, and what course of life to lead.",-0.5,0,-1,0,,,,,,,,,
91,92,"An irresistible reluctance continued to going home; and as I stayed away a while, the remembrance of the distress I had been in wore off, and as that abated, the little motion I had in my desires to return wore off with it, till at last I quite laid aside the thoughts of it, and looked out for a voyage.",-1.05,-1,0,-1,,,,,,,,,
92,93,CHAPTER II.,0.0,0,0,0,,,,,,,,,
93,94,"SLAVERY AND ESCAPE   That evil influence which carried me first away from my fatherâs houseâ""which hurried me into the wild and indigested notion of raising my fortune, and that impressed those conceits so forcibly upon me as to make me deaf to all good advice, and to the entreaties and even the commands of my fatherâ""I say, the same influence, whatever it was, presented the most unfortunate of all enterprises to my view; and I went on board a vessel bound to the coast of Africa; or, as our sailors vulgarly called it, a voyage to Guinea.",-2.2,-1,1,-4,,,,,,,,,
94,95,"It was my great misfortune that in all these adventures I did not ship myself as a sailor; when, though I might indeed have worked a little harder than ordinary, yet at the same time I should have learnt the duty and office of a fore-mast man, and in time might have qualified myself for a mate or lieutenant, if not for a master.",1.35,3,3,3,,,,,,,,,
95,96,"But as it was always my fate to choose for the worse, so I did here; for having money in my pocket and good clothes upon my back, I would always go on board in the habit of a gentleman; and so I neither had any business in the ship, nor learned to do any.",1.35,0,0,1,,,,,,,,,
96,97,"It was my lot first of all to fall into pretty good company in London, which does not always happen to such loose and misguided young fellows as I then was; the devil generally not omitting to lay some snare for them very early; but it was not so with me.",-0.35,-3,1,-1,,,,,,,,,
97,98,"I first got acquainted with the master of a ship who had been on the coast of Guinea; and who, having had very good success there, was resolved to go again.",2.7,3,7,4,,,,,,,,,
98,99,"This captain taking a fancy to my conversation, which was not at all disagreeable at that time, hearing me say I had a mind to see the world, told me if I would go the voyage with him I should be at no expense; I should be his messmate and his companion; and if I could carry anything with me, I should have all the advantage of it that the trade would admit; and perhaps I might meet with some encouragement.",2.1,2,0,4,,,,,,,,,
99,100,"I embraced the offer; and entering into a strict friendship with this captain, who was an honest, plain-dealing man, I went the voyage with him, and carried a small adventure with me, which, by the disinterested honesty of my friend the captain, I increased very considerably; for I carried about Â£40 in such toys and trifles as the captain directed me to buy.",2.75,0,8,5,,,,,,,,,
100,101,"These Â£40 I had mustered together by the assistance of some of my relations whom I corresponded with; and who, I believe, got my father, or at least my mother, to contribute so much as that to my first adventure.",2.1,0,2,3,,,,,,,,,
101,102,"This was the only voyage which I may say was successful in all my adventures, which I owe to the integrity and honesty of my friend the captain; under whom also I got a competent knowledge of the mathematics and the rules of navigation, learned how to keep an account of the shipâs course, take an observation, and, in short, to understand some things that were needful to be understood by a sailor; for, as he took delight to instruct me, I took delight to learn; and, in a word, this voyage made me both a sailor and a merchant; for I brought home five pounds nine ounces of gold-dust for my adventure, which yielded me in London, at my return, almost Â£300; and this filled me with those aspiring thoughts which have since so completed my ruin.",6.85,2,15,11,,,,,,,,,
102,103,"Yet even in this voyage I had my misfortunes too; particularly, that I was continually sick, being thrown into a violent calenture by the excessive heat of the climate; our principal trading being upon the coast, from latitude of 15 degrees north even to the line itself.",-2.3,-3,-5,0,,,,,,,,,
103,104,"I was now set up for a Guinea trader; and my friend, to my great misfortune, dying soon after his arrival, I resolved to go the same voyage again, and I embarked in the same vessel with one who was his mate in the former voyage, and had now got the command of the ship.",1.25,-1,1,0,,,,,,,,,
104,105,"This was the unhappiest voyage that ever man made; for though I did not carry quite Â£100 of my new-gained wealth, so that I had Â£200 left, which I had lodged with my friendâs widow, who was very just to me, yet I fell into terrible misfortunes.",-0.95,-1,3,0,,,,,,,,,
105,106,"The first was this: our ship making her course towards the Canary Islands, or rather between those islands and the African shore, was surprised in the grey of the morning by a Turkish rover of Sallee, who gave chase to us with all the sail she could make.",0.0,0,-1,0,,,,,,,,,
106,107,"We crowded also as much canvas as our yards would spread, or our masts carry, to get clear; but finding the pirate gained upon us, and would certainly come up with us in a few hours, we prepared to fight; our ship having twelve guns, and the rogue eighteen.",-0.2,0,3,-2,,,,,,,,,
107,108,"About three in the afternoon he came up with us, and bringing to, by mistake, just athwart our quarter, instead of athwart our stern, as he intended, we brought eight of our guns to bear on that side, and poured in a broadside upon him, which made him sheer off again, after returning our fire, and pouring in also his small shot from near two hundred men which he had on board.",-2.4,-2,-4,-4,,,,,,,,,
108,109,"However, we had not a man touched, all our men keeping close.",0.25,0,0,-1,,,,,,,,,
109,110,"He prepared to attack us again, and we to defend ourselves.",0.0,-1,0,1,,,,,,,,,
110,111,"But laying us on board the next time upon our other quarter, he entered sixty men upon our decks, who immediately fell to cutting and hacking the sails and rigging.",-0.5,-1,-1,-2,0.2608597285067875,0.07692307692307693,0.31221719457013575,0.3393665158371041,0.24734162895927606,-0.1724701121782568,0.13071763957342916,-0.1348144253376642,-0.5400493372492027
111,112,"We plied them with small shot, half-pikes, powder-chests, and such like, and cleared our deck of them twice.",0.6,2,3,-2,0.26425339366515854,0.08144796380090498,0.3167420814479638,0.35294117647058826,0.2538461538461539,-0.15951460469021342,0.14549054888274837,-0.12656622427249262,-0.4999375968870493
112,113,"However, to cut short this melancholy part of our story, our ship being disabled, and three of our men killed, and eight wounded, we were obliged to yield, and were carried all prisoners into Sallee, a port belonging to the Moors.",-3.05,-3,-8,-2,0.2617647058823531,0.07692307692307693,0.29411764705882354,0.3574660633484163,0.24756787330316748,-0.16901531018144525,0.13071763957342916,-0.1678072295983505,-0.4865670167663316
113,114,"The usage I had there was not so dreadful as at first I apprehended; nor was I carried up the country to the emperorâs court, as the rest of our men were, but was kept by the captain of the rover as his proper prize, and made his slave, being young and nimble, and fit for his business.",1.0,1,-5,2,0.26968325791855224,0.08597285067873303,0.2986425339366516,0.3665158371040724,0.2552036199095023,-0.1387857927093438,0.16026345819206758,-0.15955902853317896,-0.45982585652489605
