,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
10,10,"And, after boasting this way of my tolerance, I come to the admission that it has a limit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Conduct may be founded on the hard rock or the wet marshes but after a certain point I don't care what it's founded on.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction Gatsby who represented everything for which I have an unaffected scorn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the ""creative temperament"" it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"No Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"My family have been prominent, well-to-do people in this middle-western city for three generations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,"The Carraways are something of a clan and we have a tradition that we're descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather's brother who came here in fifty-one, sent a substitute to the Civil War and started the wholesale hardware business that my father carries on today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,I never saw this great-uncle but I' supposed to look like him with special reference to the rather hard-boiled painting that hangs in Father's office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"I graduated from New Haven in , just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,I enjoyed the counter-raid so thoroughly that I came back restless.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Instead of being the warm center of the world the middle-west now seemed like the ragged edge of the universe so I decided to go east and learn the bond business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Everybody I knew was in the bond business so I supposed it could support one more single man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"All my aunts and uncles talked it over as if they were choosing a prep-school for me and finally said, ""Why ye-es"" with very grave, hesitant faces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"Father agreed to finance me for a year and after various delays I came east, permanently, I thought, in the spring of twenty-two.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"The practical thing was to find rooms in the city but it was a warm season and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town it sounded like a great idea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,"He found the house, a weather beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington and I went out to the country alone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,"I had a dog, at least I had him for a few days until he ran away, and an old Dodge and a Finnish woman who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,"""How do you get to West Egg village?"" he asked helplessly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,I told him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,And as I walked on I was lonely no longer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,"I was a guide, a pathfinder, an original settler.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,He had casually conferred on me the freedom of the neighborhood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,And so with the sunshine and the great bursts of leaves growing on the trees just as things grow in fast movies I had that familiar conviction that life was beginning over again with the summer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,There was so much to read for one thing and so much fine health to be pulled down out of the young breath-giving air.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,"I bought a dozen volumes on banking and credit and investment securities and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,And I had the high intention of reading many other books besides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,"I was rather literary in college one year I wrote a series of very solemn and obvious editorials for the ""Yale News"" and now I was going to bring back all such things into my life and become again that most limited of all specialists, the ""well-rounded man.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,"This isn't just an epigram life is much more successfully looked at from a single window, after all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,It was a matter of chance that I should have rented a house in one of the strangest communities in North America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,"It was on that slender riotous island which extends itself due east of New York and where there are, among other natural curiosities, two unusual formations of land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,"Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western Hemisphere, the great wet barnyard of Long Island Sound.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,They are not perfect ovals like the egg in the Columbus story they are both crushed flat at the contact end but their physical resemblance must be a source of perpetual confusion to the gulls that fly overhead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,To the wingless a more arresting phenomenon is their dissimilarity in every particular except shape and size.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,"I lived at West Egg, the well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,"My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,"The one on my right was a colossal affair by any standard it was a factual imitation of some H tel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool and more than forty acres of lawn and garden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,It was Gatsby's mansion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,"Or rather, as I didn't know Mr. Gatsby it was a mansion inhabited by a gentleman of that name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"My own house was an eye-sore, but it was a small eye-sore, and it had been overlooked, so I had a view of the water, a partial view of my neighbor's lawn, and the consoling proximity of millionaires all for eighty dollars a month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Daisy was my second cousin once removed and I'd known Tom in college.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,And just after the war I spent two days with them in Chicago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,"Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savors of anti-climax.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,His family were enormously wealthy even in college his freedom with money was a matter for reproach but now he'd left Chicago and come east in a fashion that rather took your breath away: for instance he'd brought down a string of polo ponies from Lake Forest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,It was hard to realize that a man in my own generation was wealthy enough to do that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Why they came east I don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"They had spent a year in France, for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,"This was a permanent move, said Daisy over the telephone, but I didn't believe it I had no sight into Daisy's heart but I felt that Tom would drift on forever seeking a little wistfully for the dramatic turbulence of some irrecoverable football game.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,"Their house was even more elaborate than I expected, a cheerful red and white Georgian Colonial mansion overlooking the bay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,"The lawn started at the beach and ran toward the front door for a quarter of a mile, jumping over sun-dials and brick walks and burning gardens finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,"The front was broken by a line of French windows, glowing now with reflected gold, and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,He had changed since his New Haven years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,"Now he was a sturdy, straw haired man of thirty with a rather hard mouth and a supercilious manner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,"Two shining, arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,Not even the effeminate swank of his riding clothes could hide the enormous power of that body he seemed to fill those glistening boots until he strained the top lacing and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,It was a body capable of enormous leverage a cruel body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,"His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,"There was a touch of paternal contempt in it, even toward people he liked and there were men at New Haven who had hated his guts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,"""Now, don't think my opinion on these matters is final,"" he seemed to say, ""just because I' stronger and more of a man than you are.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"We were in the same Senior Society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,We talked for a few minutes on the sunny porch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,"""I've got a nice place here,"" he said, his eyes flashing about restlessly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,"Turning me around by one arm he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep pungent roses and a snub-nosed motor boat that bumped the tide off shore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,"""It belonged to Demaine the oil man.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,"He turned me around again, politely and abruptly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,"""We' go inside.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,"We walked through a high hallway into a bright rosy-colored space, fragilely bound into the house by French windows at either end.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding cake of the ceiling and then rippled over the wine-colored rug, making a shadow on it as wind does on the sea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,They were both in white and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room and the curtains and the rugs and the two young women ballooned slowly to the floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,The younger of the two was a stranger to me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,"She was extended full length at her end of the divan, completely motionless and with her chin raised a little as if she were balancing something on it which was quite likely to fall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,"If she saw me out of the corner of her eyes she gave no hint of it indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,"The other girl, Daisy, made an attempt to rise she leaned slightly forward with a conscientious expression then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,"""I' p-paralyzed with happiness.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,"She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,That was a way she had.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,She hinted in a murmur that the surname of the balancing girl was Baker.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,(I've heard it said that Daisy's murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,"At any rate Miss Baker's lips fluttered, she nodded at me almost imperceptibly and then quickly tipped her head back again the object she was balancing had obviously tottered a little and given her something of a fright.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,Again a sort of apology arose to my lips.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,Almost any exhibition of complete self sufficiency draws a stunned tribute from me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,"I looked back at my cousin who began to ask me questions in her low, thrilling voice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,It was the kind of voice that the ear follows up and down as if each speech is an arrangement of notes that will never be played again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,"Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered ""Listen,"" a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,I told her how I had stopped off in Chicago for a day on my way east and how a dozen people had sent their love through me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,"""Do they miss me?"" she cried ecstatically.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,"""The whole town is desolate. All the cars have the left rear wheel painted black as a mourning wreath and there's a persistent wail all night along the North Shore.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,"""How gorgeous! Let's go back, Tom. Tomorrow!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,"Then she added irrelevantly, ""You ought to see the baby.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,"""I'd like to.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,"""She's asleep. She's two years old. Haven't you ever seen her?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,"""Never.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,"""Well, you ought to see her. She's """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,Tom Buchanan who had been hovering restlessly about the room stopped and rested his hand on my shoulder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,"""What you doing, Nick?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,"""I' a bond man.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,"""Who with?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,I told him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,"""Never heard of them,"" he remarked decisively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,This annoyed me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,"""You will,"" I answered shortly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,"""You will if you stay in the East.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,"""Oh, I' stay in the East, don't you worry,"" he said, glancing at Daisy and then back at me, as if he were alert for something more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,"""I'd be a God Damned fool to live anywhere else.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,"At this point Miss Baker said ""Absolutely!"" with such suddenness that I started it was the first word she uttered since I came into the room.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,"Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,"""I' stiff,"" she complained, ""I've been lying on that sofa for as long as I can remember.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,"""Don't look at me,"" Daisy retorted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,"""I've been trying to get you to New York all afternoon.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,"""No, thanks,"" said Miss Baker to the four cocktails just in from the pantry, ""I' absolutely in training.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,Her host looked at her incredulously.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,"""You are!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,He took down his drink as if it were a drop in the bottom of a glass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,"""How you ever get anything done is beyond me.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,"I looked at Miss Baker wondering what it was she ""got done.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,I enjoyed looking at her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,"She was a slender, small-breasted girl, with an erect carriage which she accentuated by throwing her body backward at the shoulders like a young cadet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,"Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming discontented face.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,"It occurred to me now that I had seen her, or a picture of her, somewhere before.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,"""You live in West Egg,"" she remarked contemptuously.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,"""I know somebody there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,"""I don't know a single """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,"""You must know Gatsby.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,"""Gatsby?"" demanded Daisy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,"""What Gatsby?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,Before I could reply that he was my neighbor dinner was announced; wedging his tense arm imperatively under mine Tom Buchanan compelled me from the room as though he were moving a checker to another square.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,"Slenderly, languidly, their hands set lightly on their hips the two young women preceded us out onto a rosy-colored porch open toward the sunset where four candles flickered on the table in the diminished wind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,"""Why candles?"" objected Daisy, frowning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,She snapped them out with her fingers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,"""In two weeks it' be the longest day in the year.""",0.15466031245382236,0.22242914177147657,0.08893665124791601,0.03964673131110319,0.113453170159491,0.21526999766746197,-0.0019495834846155798,0.08030053536358582,0.04339372173472854,0.15689178913788274,0.154197963148211,0.17054227760180368,0.8645042162300876,1.2794319888250194,0.9016707373760403,1.0732896179956208,-0.048460822141579686,1.0316025304030674,-0.9730013864881316,2.3188474046380465,1.631706432157187,0.5667745611085341,2.0768904214563704,1.3643841425797552,1.0302391962563948,1.313303844185053,0.06186059454604726,1.706949830143757,1.5957773672636313,0.2884708057409894,1.0697824780306355
148,148,She looked at us all radiantly.,0.1500709856747772,0.21765352467744795,0.07752977618283274,0.04658618641792329,0.10139707949804092,0.2061857241786757,-0.004512477430648108,0.07230845457317978,0.041119902910697864,0.15042240269494403,0.1521391118245386,0.16618750731569282,0.8045616790897547,1.2186437687078713,0.7763515005067259,0.9162279612356826,0.020100115615143545,0.9416555934287084,-0.9730013864881316,2.287528169402673,1.5480340258668217,0.5452725866148294,2.0461963209901453,1.364382529322298,0.9633776464090439,1.2337809550784746,0.12427640532458546,1.7072733987129558,1.5347007287987222,0.2884708057409894,1.0646471290139725
149,149,"""Do you always watch for the longest day of the year and then miss it? I always watch for the longest day in the year and then miss it.""",0.15153957024407166,0.21918172214753712,0.074657487682015,0.04589797599410642,0.10051344481831942,0.21223733062274136,-0.005419598757166068,0.07914656330226481,0.040942260815070464,0.15015384814749883,0.15196804456057086,0.17172302980983492,0.8387228616267298,1.2532869049945141,0.749470310477949,1.0297966102697598,0.09393762231919241,0.9894923325982894,-0.9730013864881316,2.3042317615282055,1.5061978227216386,0.5237706121211246,2.1075845219225955,1.36604860482878,0.9407614090849373,1.124425515858369,0.003767322496890219,1.7104430858033544,1.4738244064385997,0.2532668698814019,0.9910150216668479
150,150,"""We ought to plan something,"" yawned Miss Baker, sitting down at the table as if she were getting into bed.",0.15245743559988068,0.2201368455663428,0.07462736179807093,0.04429215167186706,0.09509842104665116,0.2091931488536259,-0.0054440459797093724,0.08408462170670948,0.037022291904892576,0.14314068504849176,0.1430455765696822,0.17147993020093283,0.870503579647602,1.285515992629077,0.7951992604926568,0.9915208192691026,0.08584918253912725,0.9437174927658281,-0.924318521604943,2.3146715066066634,1.5061978227216386,0.5237706121211246,2.0768904214563704,1.3092359654894001,0.9229835498262163,1.069270179870632,-0.15944498194045661,1.6002684339498643,1.4151272117162081,0.1828589981622263,0.9406640512506776
151,151,"""All right,"" said Daisy.",0.15282458174220429,0.2205188949338651,0.07180420751419427,0.032994030547540125,0.09956077617924468,0.21217933535299777,-0.008081088444270045,0.08270927541321668,0.03737757609614737,0.143256626528975,0.1433702376673853,0.17186535844791978,0.89283198075456,1.308159407908215,0.8220804505214336,0.9838226090857701,0.17254655111495149,0.9656221972932626,-0.8098480741838365,2.3188474046380465,1.4643616195764557,0.45926468864001063,2.1075845219225955,1.2523567088060266,0.9704660476144908,1.0591907109996792,-0.057472141518872255,1.501284687051669,1.4151744063011167,0.11245112644305076,0.9419820983569934
