"","sent_raw","syuzhet","bing","afinn","nrc"
"17","16,""No Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.""",-1.5,-1,-2,-2
"18","17,""My family have been prominent, well-to-do people in this middle-western city for three generations.""",0.9,2,2,0
"19","18,""The Carraways are something of a clan and we have a tradition that we're descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather's brother who came here in fifty-one, sent a substitute to the Civil War and started the wholesale hardware business that my father carries on today.""",1.5,0,-2,2
"20","19,I never saw this great-uncle but I' supposed to look like him with special reference to the rather hard-boiled painting that hangs in Father's office.",1.05,0,4,1
"21","20,""I graduated from New Haven in , just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.""",0.45,0,0,-1
"22","21,I enjoyed the counter-raid so thoroughly that I came back restless.",0.5,0,0,-1
"23","22,Instead of being the warm center of the world the middle-west now seemed like the ragged edge of the universe so I decided to go east and learn the bond business.",1.05,1,3,2
"24","23,Everybody I knew was in the bond business so I supposed it could support one more single man.",0.5,1,2,0
"25","24,""All my aunts and uncles talked it over as if they were choosing a prep-school for me and finally said, """"Why ye-es"""" with very grave, hesitant faces.""",-0.7,-1,-4,0
"26","25,""Father agreed to finance me for a year and after various delays I came east, permanently, I thought, in the spring of twenty-two.""",-0.55,-1,1,1
"27","26,""The practical thing was to find rooms in the city but it was a warm season and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town it sounded like a great idea.""",3.65,4,8,2
"28","27,""He found the house, a weather beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington and I went out to the country alone.""",-1,0,-4,1
"29","28,""I had a dog, at least I had him for a few days until he ran away, and an old Dodge and a Finnish woman who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.""",1.35,1,1,3
"30","29,""It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.""",-1.15,-1,-3,-1
"31","30,""""""How do you get to West Egg village?"""" he asked helplessly.""",-0.5,-1,0,0
"32","31,I told him.",0,0,0,0
"33","32,And as I walked on I was lonely no longer.",-0.75,-1,-3,-1
"34","33,""I was a guide, a pathfinder, an original settler.""",0.6,0,0,1
"35","34,He had casually conferred on me the freedom of the neighborhood.",0.75,1,2,1
"36","35,And so with the sunshine and the great bursts of leaves growing on the trees just as things grow in fast movies I had that familiar conviction that life was beginning over again with the summer.",2.9,2,6,2
"37","36,There was so much to read for one thing and so much fine health to be pulled down out of the young breath-giving air.",0.65,1,2,2
"38","37,""I bought a dozen volumes on banking and credit and investment securities and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.""",4.15,3,4,6
"39","38,And I had the high intention of reading many other books besides.",0.1,0,0,1
"40","39,""I was rather literary in college one year I wrote a series of very solemn and obvious editorials for the """"Yale News"""" and now I was going to bring back all such things into my life and become again that most limited of all specialists, the """"well-rounded man.""""""",0,-1,-2,0
"41","40,""This isn't just an epigram life is much more successfully looked at from a single window, after all.""",1,1,3,0
"42","41,It was a matter of chance that I should have rented a house in one of the strangest communities in North America.",0,-1,3,0
"43","42,""It was on that slender riotous island which extends itself due east of New York and where there are, among other natural curiosities, two unusual formations of land.""",1.55,-1,2,1
"44","43,""Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western Hemisphere, the great wet barnyard of Long Island Sound.""",1,1,5,2
"45","44,They are not perfect ovals like the egg in the Columbus story they are both crushed flat at the contact end but their physical resemblance must be a source of perpetual confusion to the gulls that fly overhead.",0,0,3,0
"46","45,To the wingless a more arresting phenomenon is their dissimilarity in every particular except shape and size.",-0.6,0,0,1
"47","46,""I lived at West Egg, the well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them.""",-0.7,-1,-4,-2
"48","47,""My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season.""",0,0,1,0
"49","48,""The one on my right was a colossal affair by any standard it was a factual imitation of some H tel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool and more than forty acres of lawn and garden.""",1.95,1,0,3
"50","49,It was Gatsby's mansion.",0,0,0,0
"51","50,""Or rather, as I didn't know Mr. Gatsby it was a mansion inhabited by a gentleman of that name.""",1,0,0,1
"52","51,""My own house was an eye-sore, but it was a small eye-sore, and it had been overlooked, so I had a view of the water, a partial view of my neighbor's lawn, and the consoling proximity of millionaires all for eighty dollars a month.""",-0.85,-1,-2,-2
"53","52,""Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans.""",2,1,2,4
"54","53,Daisy was my second cousin once removed and I'd known Tom in college.",0,0,0,0
"55","54,And just after the war I spent two days with them in Chicago.",-0.75,0,-2,-2
"56","55,""Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savors of anti-climax.""",2.7,2,6,4
"57","56,His family were enormously wealthy even in college his freedom with money was a matter for reproach but now he'd left Chicago and come east in a fashion that rather took your breath away: for instance he'd brought down a string of polo ponies from Lake Forest.",1.35,1,5,1
"58","57,It was hard to realize that a man in my own generation was wealthy enough to do that.",0.4,1,1,0
"59","58,Why they came east I don't know.",0,0,0,0
"60","59,""They had spent a year in France, for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together.""",0.85,1,1,0
"61","60,""This was a permanent move, said Daisy over the telephone, but I didn't believe it I had no sight into Daisy's heart but I felt that Tom would drift on forever seeking a little wistfully for the dramatic turbulence of some irrecoverable football game.""",-1.45,-1,-1,0
"62","61,And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.",0,0,1,-1
"63","62,""Their house was even more elaborate than I expected, a cheerful red and white Georgian Colonial mansion overlooking the bay.""",1.15,1,2,2
"64","63,""The lawn started at the beach and ran toward the front door for a quarter of a mile, jumping over sun-dials and brick walks and burning gardens finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.""",0.6,0,2,3
"65","64,""The front was broken by a line of French windows, glowing now with reflected gold, and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.""",0.5,2,2,2
"66","65,He had changed since his New Haven years.",1.2,0,0,1
"67","66,""Now he was a sturdy, straw haired man of thirty with a rather hard mouth and a supercilious manner.""",0.25,0,-1,1
"68","67,""Two shining, arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward.""",-0.15,-1,-2,2
"69","68,Not even the effeminate swank of his riding clothes could hide the enormous power of that body he seemed to fill those glistening boots until he strained the top lacing and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.",0.35,3,4,0
"70","69,It was a body capable of enormous leverage a cruel body.",-0.25,1,-2,0
"71","70,""His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed.""",-0.65,-1,0,0
"72","71,""There was a touch of paternal contempt in it, even toward people he liked and there were men at New Haven who had hated his guts.""",0.7,-1,-3,1
"73","72,""""""Now, don't think my opinion on these matters is final,"""" he seemed to say, """"just because I' stronger and more of a man than you are.""""""",0.5,1,3,0
"74","73,""We were in the same Senior Society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own.""",0.35,0,1,1
"75","74,We talked for a few minutes on the sunny porch.",0.6,0,0,1
"76","75,""""""I've got a nice place here,"""" he said, his eyes flashing about restlessly.""",0.5,1,3,0
"77","76,""Turning me around by one arm he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep pungent roses and a snub-nosed motor boat that bumped the tide off shore.""",0.6,-3,-2,1
"78","77,""""""It belonged to Demaine the oil man.""""""",0,0,0,0
"79","78,""He turned me around again, politely and abruptly.""",0.75,-1,0,0
"80","79,""""""We' go inside.""""""",0,0,0,0
"81","80,""We walked through a high hallway into a bright rosy-colored space, fragilely bound into the house by French windows at either end.""",0.25,2,1,0
"82","81,The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.",1.7,1,1,2
"83","82,""A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding cake of the ceiling and then rippled over the wine-colored rug, making a shadow on it as wind does on the sea.""",2.77555756156289e-17,1,2,1
"84","83,The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon.",0.8,-1,0,1
"85","84,They were both in white and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house.",0.4,0,0,1
"86","85,I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall.",-1.05,0,-2,-2
"87","86,Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room and the curtains and the rugs and the two young women ballooned slowly to the floor.",-1,-1,-3,0
"88","87,The younger of the two was a stranger to me.",-0.25,-1,0,0
"89","88,""She was extended full length at her end of the divan, completely motionless and with her chin raised a little as if she were balancing something on it which was quite likely to fall.""",-0.25,-2,0,1
"90","89,""If she saw me out of the corner of her eyes she gave no hint of it indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.""",-0.15,-1,-4,0
"91","90,""The other girl, Daisy, made an attempt to rise she leaned slightly forward with a conscientious expression then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.""",2.65,1,6,3
"92","91,""""""I' p-paralyzed with happiness.""""""",0.75,0,3,0
"93","92,""She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see.""",2.05,2,0,2
"94","93,That was a way she had.",0,0,0,0
"95","94,She hinted in a murmur that the surname of the balancing girl was Baker.",-0.25,0,0,0
"96","95,(I've heard it said that Daisy's murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.)",-0.4,0,0,-1
"97","96,""At any rate Miss Baker's lips fluttered, she nodded at me almost imperceptibly and then quickly tipped her head back again the object she was balancing had obviously tottered a little and given her something of a fright.""",-1.35,-3,-4,-1
"98","97,Again a sort of apology arose to my lips.",0.6,0,-1,1
"99","98,Almost any exhibition of complete self sufficiency draws a stunned tribute from me.",1.35,1,0,1
"100","99,""I looked back at my cousin who began to ask me questions in her low, thrilling voice.""",0.5,1,0,1
"101","100,It was the kind of voice that the ear follows up and down as if each speech is an arrangement of notes that will never be played again.",0.75,0,2,2
"102","101,""Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered """"Listen,"""" a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour.""",3.1,3,9,4
"103","102,I told her how I had stopped off in Chicago for a day on my way east and how a dozen people had sent their love through me.",0.35,1,2,1
"104","103,""""""Do they miss me?"""" she cried ecstatically.""",0,0,-4,0
"105","104,""""""The whole town is desolate. All the cars have the left rear wheel painted black as a mourning wreath and there's a persistent wail all night along the North Shore.""""""",-1.6,-2,-2,-3
"106","105,""""""How gorgeous! Let's go back, Tom. Tomorrow!""""""",0.5,1,0,1
"107","106,""Then she added irrelevantly, """"You ought to see the baby.""""""",0.6,0,0,1
"108","107,""""""I'd like to.""""""",0.5,1,2,0
"109","108,""""""She's asleep. She's two years old. Haven't you ever seen her?""""""",0,0,0,0
"110","109,""""""Never.""""""",0,0,0,0
"111","110,""""""Well, you ought to see her. She's """"""",0.8,1,0,0
"112","111,Tom Buchanan who had been hovering restlessly about the room stopped and rested his hand on my shoulder.",-0.4,0,-1,1
"113","112,""""""What you doing, Nick?""""""",0,0,0,0
"114","113,""""""I' a bond man.""""""",0,0,0,0
"115","114,""""""Who with?""""""",0,0,0,0
"116","115,I told him.",0,0,0,0
"117","116,""""""Never heard of them,"""" he remarked decisively.""",0,0,0,0
"118","117,This annoyed me.",-0.5,-1,-2,0
"119","118,""""""You will,"""" I answered shortly.""",0,0,0,0
"120","119,""""""You will if you stay in the East.""""""",0,0,0,0
"121","120,""""""Oh, I' stay in the East, don't you worry,"""" he said, glancing at Daisy and then back at me, as if he were alert for something more.""",-1,-1,-4,-1
"122","121,""""""I'd be a God Damned fool to live anywhere else.""""""",-1.75,-2,-5,-1
"123","122,""At this point Miss Baker said """"Absolutely!"""" with such suddenness that I started it was the first word she uttered since I came into the room.""",-0.25,-1,-2,1
"124","123,""Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room.""",0,2,2,0
"125","124,""""""I' stiff,"""" she complained, """"I've been lying on that sofa for as long as I can remember.""""""",-1.5,-3,-2,-2
"126","125,""""""Don't look at me,"""" Daisy retorted.""",0,0,0,0
"127","126,""""""I've been trying to get you to New York all afternoon.""""""",0.8,0,0,0
"128","127,""""""No, thanks,"""" said Miss Baker to the four cocktails just in from the pantry, """"I' absolutely in training.""""""",0.6,-1,-1,0
"129","128,Her host looked at her incredulously.",-0.4,-1,0,0
"130","129,""""""You are!""""""",0,0,0,0
"131","130,He took down his drink as if it were a drop in the bottom of a glass.",0,0,-1,-1
"132","131,""""""How you ever get anything done is beyond me.""""""",0,0,0,0
"133","132,""I looked at Miss Baker wondering what it was she """"got done.""""""",0,-1,-2,0
"134","133,I enjoyed looking at her.",1,1,2,0
"135","134,""She was a slender, small-breasted girl, with an erect carriage which she accentuated by throwing her body backward at the shoulders like a young cadet.""",1.25,0,2,0
"136","135,""Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming discontented face.""",1.5,0,2,2
"137","136,""It occurred to me now that I had seen her, or a picture of her, somewhere before.""",0,0,0,0
"138","137,""""""You live in West Egg,"""" she remarked contemptuously.""",-0.5,-1,-2,0
"139","138,""""""I know somebody there.""""""",0,0,0,0
"140","139,""""""I don't know a single """"""",0,0,0,0
"141","140,""""""You must know Gatsby.""""""",0,0,0,0
"142","141,""""""Gatsby?"""" demanded Daisy.""",-0.4,0,-1,0
"143","142,""""""What Gatsby?""""""",0,0,0,0
"144","143,Before I could reply that he was my neighbor dinner was announced; wedging his tense arm imperatively under mine Tom Buchanan compelled me from the room as though he were moving a checker to another square.",0.75,-1,-1,2
"145","144,""Slenderly, languidly, their hands set lightly on their hips the two young women preceded us out onto a rosy-colored porch open toward the sunset where four candles flickered on the table in the diminished wind.""",0.4,1,0,2
"146","145,""""""Why candles?"""" objected Daisy, frowning.""",-0.75,0,-1,-1
"147","146,She snapped them out with her fingers.",0,0,0,0
"148","147,""""""In two weeks it' be the longest day in the year.""""""",0,0,0,0
"149","148,She looked at us all radiantly.",0,0,0,0
"150","149,""""""Do you always watch for the longest day of the year and then miss it? I always watch for the longest day in the year and then miss it.""""""",0,-1,-2,0
"151","150,""""""We ought to plan something,"""" yawned Miss Baker, sitting down at the table as if she were getting into bed.""",0,-1,-2,0
"152","151,""""""All right,"""" said Daisy.""",0.8,1,0,0
"153","152,""""""What' we plan?""""""",0,0,0,0
"154","153,She turned to me helplessly.",-0.5,-1,0,0
"155","154,""""""What do people plan?""""""",0,0,0,0
"156","155,Before I could answer her eyes fastened with an awed expression on her little finger.",0.4,1,0,0
"157","156,""""""Look!"""" she complained.""",-0.75,-1,-2,0
"158","157,""""""I hurt it.""""""",-0.75,-1,-2,-1
"159","158,We all looked the knuckle was black and blue.",-0.25,0,0,-1
"160","159,""""""You did it, Tom,"""" she said accusingly.""",-1,-1,0,0
"161","160,""""""I know you didn't mean to but you did do it. That's what I get for marrying a brute of a man, a great big hulking physical specimen of a """"""",0.85,0,4,-1
"162","161,""""""I hate that word hulking,"""" objected Tom crossly, """"even in kidding.""""""",-0.5,-1,-3,0
"163","162,""""""Hulking,"""" insisted Daisy.""",0,0,0,0
"164","163,""Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire.""",0,-3,0,1
"165","164,""They were here and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained.""",3.3,3,6,5
"166","165,They knew that presently dinner would be over and a little later the evening too would be over and casually put away.",0.6,0,0,1
"167","166,It was sharply different from the West where an evening was hurried from phase to phase toward its close in a continually disappointed anticipation or else in sheer nervous dread of the moment itself.",-2.75,-4,-5,-4
"168","167,""""""You make me feel uncivilized, Daisy,"""" I confessed on my second glass of corky but rather impressive claret.""",-0.25,0,3,0
"169","168,""""""Can't you talk about crops or something?""""""",0.4,0,0,1
"170","169,I meant nothing in particular by this remark but it was taken up in an unexpected way.",-0.25,-1,0,0
"171","170,""""""Civilization's going to pieces,"""" broke out Tom violently.""",-1.5,-2,-4,-2
"172","171,""""""I've gotten to be a terrible pessimist about things. Have you read 'The Rise of the Coloured Empires' by this man Goddard?""""""",-1.75,-1,-2,-2
"173","172,""""""Why, no,"""" I answered, rather surprised by his tone.""",0,0,-1,0
"174","173,""""""Well, it's a fine book, and everybody ought to read it. The idea is if we don't look out the white race will be will be utterly submerged. It's all scientific stuff; it's been proved.""""""",1.45,1,2,2
"175","174,""""""Tom's getting very profound,"""" said Daisy with an expression of unthoughtful sadness.""",0.5,0,0,-1
"176","175,""""""He reads deep books with long words in them. What was that word we """"""",0,0,0,0
"177","176,""""""Well, these books are all scientific,"""" insisted Tom, glancing at her impatiently.""",0.4,0,0,1
"178","177,""""""This fellow has worked out the whole thing. It's up to us who are the dominant race to watch out or these other races will have control of things.""""""",0.4,1,0,0
"179","178,""""""We've got to beat them down,"""" whispered Daisy, winking ferociously toward the fervent sun.""",0.9,0,2,1
"180","179,""""""You ought to live in California """" began Miss Baker but Tom interrupted her by shifting heavily in his chair.""",-0.75,-1,-4,-2
"181","180,""""""This idea is that we're Nordics. I am, and you are and you are and """"""",0,0,0,0
"182","181,After an infinitesimal hesitation he included Daisy with a slight nod and she winked at me again.",1.55,0,0,0
"183","182,"""""" and we've produced all the things that go to make civilization oh, science and art and all that. Do you see?""""""",1.2,0,0,2
"184","183,""There was something pathetic in his concentration as if his complacency, more acute than of old, was not enough to him any more.""",-1.25,0,-2,0
"185","184,""When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned toward me.""",-0.7,-1,-2,1
"186","185,""""""I' tell you a family secret,"""" she whispered enthusiastically.""",1,1,0,0
"187","186,""""""It's about the butler's nose. Do you want to hear about the butler's nose?""""""",0,0,1,0
"188","187,""""""That's why I came over tonight.""""""",0,0,0,0
"189","188,""""""Well, he wasn't always a butler; he used to be the silver polisher for some people in New York that had a silver service for two hundred people. He had to polish it from morning till night until finally it began to affect his nose """"""",2.4,1,0,3
"190","189,""""""Things went from bad to worse,"""" suggested Miss Baker.""",-1.5,-3,-8,-2
"191","190,""""""Yes. Things went from bad to worse until finally he had to give up his position.""""""",-0.3,-2,-5,-1
"192","191,""For a moment the last sunshine fell with romantic affection upon her glowing face; her voice compelled me forward breathlessly as I listened then the glow faded, each light deserting her with lingering regret like children leaving a pleasant street at dusk.""",3.2,4,9,5
"193","192,""The butler came back and murmured something close to Tom's ear whereupon Tom frowned, pushed back his chair and without a word went inside.""",-0.4,0,0,2
"194","193,""As if his absence quickened something within her Daisy leaned forward again, her voice glowing and singing.""",0.35,0,0,1
"195","194,""""""I love to see you at my table, Nick. You remind me of a of a rose, an absolute rose. Doesn't he?""""""",0.5,1,4,2
"196","195,She turned to Miss Baker for confirmation.",0,-1,-2,0
"197","196,""""""An absolute rose?""""""",-0.25,0,1,1
"198","197,This was untrue.",-0.5,-1,-2,-1
"199","198,I am not even faintly like a rose.",0.5,1,3,0
"200","199,""She was only extemporizing but a stirring warmth flowed from her as if her heart was trying to come out to you concealed in one of those breathless, thrilling words.""",0.5,2,2,-1
"201","200,Then suddenly she threw her napkin on the table and excused herself and went into the house.",-0.25,0,0,0
"202","201,Miss Baker and I exchanged a short glance consciously devoid of meaning.",-0.5,-2,-2,0
"203","202,""I was about to speak when she sat up alertly and said """"Sh!"""" in a warning voice.""",-0.5,-1,-3,0
"204","203,""A subdued impassioned murmur was audible in the room beyond and Miss Baker leaned forward, unashamed, trying to hear.""",0.45,0,-2,1
"205","204,""The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether.""",1.05,2,0,0
"206","205,""""""This Mr. Gatsby you spoke of is my neighbor """"""",0.4,0,0,0
"207","206,I said.",0,0,0,0
"208","207,""""""Don't talk. I want to hear what happens.""""""",0.4,0,1,1
"209","208,""""""Is something happening?""""""",0,0,0,0
"210","209,I inquired innocently.",0.8,0,0,1
"211","210,""""""You mean to say you don't know?"""" said Miss Baker, honestly surprised.""",0,-1,-2,0
"212","211,""""""I thought everybody knew.""""""",0,0,0,0
"213","212,""""""I don't.""""""",0,0,0,0
"214","213,""""""Why """" she said hesitantly, """"Tom's got some woman in New York.""""""",0.4,0,0,0
"215","214,""""""Got some woman?""""""",0,0,0,0
"216","215,I repeated blankly.",-0.4,0,0,0
"217","216,Miss Baker nodded.",0,-1,-2,0
"218","217,""""""She might have the decency not to telephone him at dinner-time. Don't you think?""""""",0.5,1,0,2
"219","218,Almost before I had grasped her meaning there was the flutter of a dress and the crunch of leather boots and Tom and Daisy were back at the table.",0.6,1,0,-1
"220","219,""""""It couldn't be helped!"""" cried Daisy with tense gayety.""",-0.7,0,-4,0
"221","220,""She sat down, glanced searchingly at Miss Baker and then at me and continued: """"I looked outdoors for a minute and it's very romantic outdoors. There's a bird on the lawn that I think must be a nightingale come over on the Cunard or White Star Line. He's singing away """" her voice sang """" It's romantic, isn't it, Tom?""""""",1.5,0,-2,3
"222","221,""""""Very romantic,"""" he said, and then miserably to me: """"If it's light enough after dinner I want to take you down to the stables.""""""",0.35,1,-2,1
"223","222,""The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air.""",-1.1,-1,0,-2
"224","223,""Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at every one and yet to avoid all eyes.""",-2.25,-2,-2,-3
"225","224,I couldn't guess what Daisy and Tom were thinking but I doubt if even Miss Baker who seemed to have mastered a certain hardy skepticism was able utterly to put this fifth guest's shrill metallic urgency out of mind.",-0.6,-4,-2,-1
"226","225,To a certain temperament the situation might have seemed intriguing my own instinct was to telephone immediately for the police.",0.8,1,1,1
"227","226,""The horses, needless to say, were not mentioned again.""",-0.6,-1,0,0
"228","227,""Tom and Miss Baker, with several feet of twilight between them strolled back into the library, as if to a vigil beside a perfectly tangible body, while trying to look pleasantly interested and a little deaf I followed Daisy around a chain of connecting verandas to the porch in front.""",2.3,0,3,1
"229","228,In its deep gloom we sat down side by side on a wicker settee.",-0.75,-1,-1,-1
"230","229,""Daisy took her face in her hands, as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk.""",1,1,4,3
"231","230,""I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl.""",-1.7,-1,0,-2
"232","231,""""""We don't know each other very well, Nick,"""" she said suddenly.""",0.8,1,0,0
"233","232,""""""Even if we are cousins. You didn't come to my wedding.""""""",0,0,0,0
"234","233,""""""I wasn't back from the war.""""""",-0.5,0,-2,-1
"235","234,""""""That's true.""""""",0.5,0,2,1
"236","235,She hesitated.",0,0,0,0
"237","236,""""""Well, I've had a very bad time, Nick, and I' pretty cynical about everything.""""""",0.3,0,-4,0
"238","237,Evidently she had reason to be.",0.6,0,0,1
"239","238,""I waited but she didn't say any more, and after a moment I returned rather feebly to the subject of her daughter.""",-0.2,0,0,0
"240","239,""""""I suppose she talks, and eats, and everything.""""""",0,0,0,0
"241","240,""""""Oh, yes.""""""",0.8,0,1,0
"242","241,She looked at me absently.",0,0,0,0
"243","242,""""""Listen, Nick; let me tell you what I said when she was born. Would you like to hear?""""""",0.5,1,2,0
"244","243,""""""Very much.""""""",0,0,0,0
"245","244,""""""It' show you how I've gotten to feel about things. Well, she was less than an hour old and Tom was God knows where. I woke up out of the ether with an utterly abandoned feeling and asked the nurse right away if it was a boy or a girl. She told me it was a girl, and so I turned my head away and wept. 'All right,' I said, 'I' glad it's a girl. And I hope she' be a fool that's the best thing a girl can be in this world, a beautiful little fool.""""""",2.7,3,9,2
"246","245,""""""You see I think everything's terrible anyhow,"""" she went on in a convinced way.""",-0.15,-1,-2,-1
"247","246,""""""Everybody thinks so the most advanced people. And I know. I've been everywhere and seen everything and done everything.""""""",0.75,1,1,1
"248","247,""Her eyes flashed around her in a defiant way, rather like Tom's, and she laughed with thrilling scorn.""",0.3,0,0,-1
"249","248,""""""Sophisticated God, I' sophisticated!""""""",0.75,1,3,1
"250","249,""The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said.""",-1.5,-2,-1,0
"251","250,""It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me. I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely face as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged.""",-1.05,1,3,-1
"252","251,""Inside, the crimson room bloomed with light.""",0.8,0,0,0
"253","252,""Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the """"Saturday Evening Post"""" the words, murmurous and uninflected, running together in a soothing tune.""",0.75,-1,1,0
"254","253,""The lamp-light, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms.""",0.95,1,-1,0
"255","254,When we came in she held us silent for a moment with a lifted hand.",0,1,0,0
"256","255,""""""To be continued,"""" she said, tossing the magazine on the table, """"in our very next issue.""""""",0,-1,0,0
