,sent_raw
60,"This was a permanent move, said Daisy over the telephone, but I didn't believe it I had no sight into Daisy's heart but I felt that Tom would drift on forever seeking a little wistfully for the dramatic turbulence of some irrecoverable football game."
61,And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.
62,"Their house was even more elaborate than I expected, a cheerful red and white Georgian Colonial mansion overlooking the bay."
63,"The lawn started at the beach and ran toward the front door for a quarter of a mile, jumping over sun-dials and brick walks and burning gardens finally when it reached the house drifting up the side in bright vines as though from the momentum of its run."
64,"The front was broken by a line of French windows, glowing now with reflected gold, and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch."
65,He had changed since his New Haven years.
66,"Now he was a sturdy, straw haired man of thirty with a rather hard mouth and a supercilious manner."
67,"Two shining, arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward."
68,Not even the effeminate swank of his riding clothes could hide the enormous power of that body he seemed to fill those glistening boots until he strained the top lacing and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.
69,It was a body capable of enormous leverage a cruel body.
70,"His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed."
71,"There was a touch of paternal contempt in it, even toward people he liked and there were men at New Haven who had hated his guts."
72,"""Now, don't think my opinion on these matters is final,"" he seemed to say, ""just because I' stronger and more of a man than you are."""
73,"We were in the same Senior Society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own."
74,We talked for a few minutes on the sunny porch.
75,"""I've got a nice place here,"" he said, his eyes flashing about restlessly."
76,"Turning me around by one arm he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep pungent roses and a snub-nosed motor boat that bumped the tide off shore."
77,"""It belonged to Demaine the oil man."""
78,"He turned me around again, politely and abruptly."
79,"""We' go inside."""
80,"We walked through a high hallway into a bright rosy-colored space, fragilely bound into the house by French windows at either end."
81,The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.
82,"A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding cake of the ceiling and then rippled over the wine-colored rug, making a shadow on it as wind does on the sea."
83,The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon.
84,They were both in white and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house.
85,I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall.
86,Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room and the curtains and the rugs and the two young women ballooned slowly to the floor.
87,The younger of the two was a stranger to me.
88,"She was extended full length at her end of the divan, completely motionless and with her chin raised a little as if she were balancing something on it which was quite likely to fall."
89,"If she saw me out of the corner of her eyes she gave no hint of it indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in."
90,"The other girl, Daisy, made an attempt to rise she leaned slightly forward with a conscientious expression then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room."
91,"""I' p-paralyzed with happiness."""
92,"She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see."
93,That was a way she had.
94,She hinted in a murmur that the surname of the balancing girl was Baker.
95,(I've heard it said that Daisy's murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.)
96,"At any rate Miss Baker's lips fluttered, she nodded at me almost imperceptibly and then quickly tipped her head back again the object she was balancing had obviously tottered a little and given her something of a fright."
97,Again a sort of apology arose to my lips.
98,Almost any exhibition of complete self sufficiency draws a stunned tribute from me.
99,"I looked back at my cousin who began to ask me questions in her low, thrilling voice."
100,It was the kind of voice that the ear follows up and down as if each speech is an arrangement of notes that will never be played again.
101,"Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered ""Listen,"" a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour."
102,I told her how I had stopped off in Chicago for a day on my way east and how a dozen people had sent their love through me.
103,"""Do they miss me?"" she cried ecstatically."
104,"""The whole town is desolate. All the cars have the left rear wheel painted black as a mourning wreath and there's a persistent wail all night along the North Shore."""
105,"""How gorgeous! Let's go back, Tom. Tomorrow!"""
106,"Then she added irrelevantly, ""You ought to see the baby."""
107,"""I'd like to."""
108,"""She's asleep. She's two years old. Haven't you ever seen her?"""
109,"""Never."""
110,"""Well, you ought to see her. She's """
111,Tom Buchanan who had been hovering restlessly about the room stopped and rested his hand on my shoulder.
112,"""What you doing, Nick?"""
113,"""I' a bond man."""
114,"""Who with?"""
115,I told him.
116,"""Never heard of them,"" he remarked decisively."
117,This annoyed me.
118,"""You will,"" I answered shortly."
119,"""You will if you stay in the East."""
120,"""Oh, I' stay in the East, don't you worry,"" he said, glancing at Daisy and then back at me, as if he were alert for something more."
121,"""I'd be a God Damned fool to live anywhere else."""
122,"At this point Miss Baker said ""Absolutely!"" with such suddenness that I started it was the first word she uttered since I came into the room."
123,"Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room."
124,"""I' stiff,"" she complained, ""I've been lying on that sofa for as long as I can remember."""
125,"""Don't look at me,"" Daisy retorted."
126,"""I've been trying to get you to New York all afternoon."""
127,"""No, thanks,"" said Miss Baker to the four cocktails just in from the pantry, ""I' absolutely in training."""
128,Her host looked at her incredulously.
129,"""You are!"""
130,He took down his drink as if it were a drop in the bottom of a glass.
131,"""How you ever get anything done is beyond me."""
132,"I looked at Miss Baker wondering what it was she ""got done."""
133,I enjoyed looking at her.
134,"She was a slender, small-breasted girl, with an erect carriage which she accentuated by throwing her body backward at the shoulders like a young cadet."
135,"Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming discontented face."
136,"It occurred to me now that I had seen her, or a picture of her, somewhere before."
137,"""You live in West Egg,"" she remarked contemptuously."
138,"""I know somebody there."""
139,"""I don't know a single """
140,"""You must know Gatsby."""
141,"""Gatsby?"" demanded Daisy."
142,"""What Gatsby?"""
143,Before I could reply that he was my neighbor dinner was announced; wedging his tense arm imperatively under mine Tom Buchanan compelled me from the room as though he were moving a checker to another square.
144,"Slenderly, languidly, their hands set lightly on their hips the two young women preceded us out onto a rosy-colored porch open toward the sunset where four candles flickered on the table in the diminished wind."
145,"""Why candles?"" objected Daisy, frowning."
146,She snapped them out with her fingers.
147,"""In two weeks it' be the longest day in the year."""
148,She looked at us all radiantly.
149,"""Do you always watch for the longest day of the year and then miss it? I always watch for the longest day in the year and then miss it."""
150,"""We ought to plan something,"" yawned Miss Baker, sitting down at the table as if she were getting into bed."
151,"""All right,"" said Daisy."
152,"""What' we plan?"""
153,She turned to me helplessly.
154,"""What do people plan?"""
155,Before I could answer her eyes fastened with an awed expression on her little finger.
156,"""Look!"" she complained."
157,"""I hurt it."""
158,We all looked the knuckle was black and blue.
159,"""You did it, Tom,"" she said accusingly."
160,"""I know you didn't mean to but you did do it. That's what I get for marrying a brute of a man, a great big hulking physical specimen of a """
161,"""I hate that word hulking,"" objected Tom crossly, ""even in kidding."""
162,"""Hulking,"" insisted Daisy."
163,"Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire."
164,"They were here and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained."
165,They knew that presently dinner would be over and a little later the evening too would be over and casually put away.
166,It was sharply different from the West where an evening was hurried from phase to phase toward its close in a continually disappointed anticipation or else in sheer nervous dread of the moment itself.
167,"""You make me feel uncivilized, Daisy,"" I confessed on my second glass of corky but rather impressive claret."
168,"""Can't you talk about crops or something?"""
169,I meant nothing in particular by this remark but it was taken up in an unexpected way.
170,"""Civilization's going to pieces,"" broke out Tom violently."
171,"""I've gotten to be a terrible pessimist about things. Have you read 'The Rise of the Coloured Empires' by this man Goddard?"""
172,"""Why, no,"" I answered, rather surprised by his tone."
173,"""Well, it's a fine book, and everybody ought to read it. The idea is if we don't look out the white race will be will be utterly submerged. It's all scientific stuff; it's been proved."""
174,"""Tom's getting very profound,"" said Daisy with an expression of unthoughtful sadness."
175,"""He reads deep books with long words in them. What was that word we """
176,"""Well, these books are all scientific,"" insisted Tom, glancing at her impatiently."
177,"""This fellow has worked out the whole thing. It's up to us who are the dominant race to watch out or these other races will have control of things."""
178,"""We've got to beat them down,"" whispered Daisy, winking ferociously toward the fervent sun."
179,"""You ought to live in California "" began Miss Baker but Tom interrupted her by shifting heavily in his chair."
180,"""This idea is that we're Nordics. I am, and you are and you are and """
181,After an infinitesimal hesitation he included Daisy with a slight nod and she winked at me again.
182,""" and we've produced all the things that go to make civilization oh, science and art and all that. Do you see?"""
183,"There was something pathetic in his concentration as if his complacency, more acute than of old, was not enough to him any more."
184,"When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned toward me."
185,"""I' tell you a family secret,"" she whispered enthusiastically."
186,"""It's about the butler's nose. Do you want to hear about the butler's nose?"""
187,"""That's why I came over tonight."""
188,"""Well, he wasn't always a butler; he used to be the silver polisher for some people in New York that had a silver service for two hundred people. He had to polish it from morning till night until finally it began to affect his nose """
189,"""Things went from bad to worse,"" suggested Miss Baker."
190,"""Yes. Things went from bad to worse until finally he had to give up his position."""
191,"For a moment the last sunshine fell with romantic affection upon her glowing face; her voice compelled me forward breathlessly as I listened then the glow faded, each light deserting her with lingering regret like children leaving a pleasant street at dusk."
192,"The butler came back and murmured something close to Tom's ear whereupon Tom frowned, pushed back his chair and without a word went inside."
193,"As if his absence quickened something within her Daisy leaned forward again, her voice glowing and singing."
194,"""I love to see you at my table, Nick. You remind me of a of a rose, an absolute rose. Doesn't he?"""
195,She turned to Miss Baker for confirmation.
196,"""An absolute rose?"""
197,This was untrue.
198,I am not even faintly like a rose.
199,"She was only extemporizing but a stirring warmth flowed from her as if her heart was trying to come out to you concealed in one of those breathless, thrilling words."
200,Then suddenly she threw her napkin on the table and excused herself and went into the house.
201,Miss Baker and I exchanged a short glance consciously devoid of meaning.
202,"I was about to speak when she sat up alertly and said ""Sh!"" in a warning voice."
203,"A subdued impassioned murmur was audible in the room beyond and Miss Baker leaned forward, unashamed, trying to hear."
204,"The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether."
205,"""This Mr. Gatsby you spoke of is my neighbor """
206,I said.
207,"""Don't talk. I want to hear what happens."""
208,"""Is something happening?"""
209,I inquired innocently.
210,"""You mean to say you don't know?"" said Miss Baker, honestly surprised."
211,"""I thought everybody knew."""
212,"""I don't."""
213,"""Why "" she said hesitantly, ""Tom's got some woman in New York."""
214,"""Got some woman?"""
215,I repeated blankly.
216,Miss Baker nodded.
217,"""She might have the decency not to telephone him at dinner-time. Don't you think?"""
218,Almost before I had grasped her meaning there was the flutter of a dress and the crunch of leather boots and Tom and Daisy were back at the table.
219,"""It couldn't be helped!"" cried Daisy with tense gayety."
220,"She sat down, glanced searchingly at Miss Baker and then at me and continued: ""I looked outdoors for a minute and it's very romantic outdoors. There's a bird on the lawn that I think must be a nightingale come over on the Cunard or White Star Line. He's singing away "" her voice sang "" It's romantic, isn't it, Tom?"""
221,"""Very romantic,"" he said, and then miserably to me: ""If it's light enough after dinner I want to take you down to the stables."""
222,"The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air."
223,"Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at every one and yet to avoid all eyes."
224,I couldn't guess what Daisy and Tom were thinking but I doubt if even Miss Baker who seemed to have mastered a certain hardy skepticism was able utterly to put this fifth guest's shrill metallic urgency out of mind.
225,To a certain temperament the situation might have seemed intriguing my own instinct was to telephone immediately for the police.
226,"The horses, needless to say, were not mentioned again."
227,"Tom and Miss Baker, with several feet of twilight between them strolled back into the library, as if to a vigil beside a perfectly tangible body, while trying to look pleasantly interested and a little deaf I followed Daisy around a chain of connecting verandas to the porch in front."
228,In its deep gloom we sat down side by side on a wicker settee.
229,"Daisy took her face in her hands, as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk."
230,"I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl."
231,"""We don't know each other very well, Nick,"" she said suddenly."
232,"""Even if we are cousins. You didn't come to my wedding."""
233,"""I wasn't back from the war."""
234,"""That's true."""
235,She hesitated.
236,"""Well, I've had a very bad time, Nick, and I' pretty cynical about everything."""
237,Evidently she had reason to be.
238,"I waited but she didn't say any more, and after a moment I returned rather feebly to the subject of her daughter."
239,"""I suppose she talks, and eats, and everything."""
240,"""Oh, yes."""
241,She looked at me absently.
242,"""Listen, Nick; let me tell you what I said when she was born. Would you like to hear?"""
243,"""Very much."""
244,"""It' show you how I've gotten to feel about things. Well, she was less than an hour old and Tom was God knows where. I woke up out of the ether with an utterly abandoned feeling and asked the nurse right away if it was a boy or a girl. She told me it was a girl, and so I turned my head away and wept. 'All right,' I said, 'I' glad it's a girl. And I hope she' be a fool that's the best thing a girl can be in this world, a beautiful little fool."""
245,"""You see I think everything's terrible anyhow,"" she went on in a convinced way."
246,"""Everybody thinks so the most advanced people. And I know. I've been everywhere and seen everything and done everything."""
247,"Her eyes flashed around her in a defiant way, rather like Tom's, and she laughed with thrilling scorn."
248,"""Sophisticated God, I' sophisticated!"""
249,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said."
250,"It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me. I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely face as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged."
251,"Inside, the crimson room bloomed with light."
252,"Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the ""Saturday Evening Post"" the words, murmurous and uninflected, running together in a soothing tune."
253,"The lamp-light, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms."
254,When we came in she held us silent for a moment with a lifted hand.
255,"""To be continued,"" she said, tossing the magazine on the table, ""in our very next issue."""
256,"Her body asserted itself with a restless movement of her knee, and she stood up."
257,"""Ten o'clock,"" she remarked, apparently finding the time on the ceiling."
258,"""Time for this good girl to go to bed."""
259,"""Jordan's going to play in the tournament tomorrow,"" explained Daisy, ""over at Westchester."""
260,"""Oh, you're Jordan Baker."""
261,I knew now why her face was familiar its pleasing contemptuous expression had looked out at me from many rotogravure pictures of the sporting life at Asheville and Hot Springs and Palm Beach.
262,"I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago."
263,"""Good night,"" she said softly."
264,"""Wake me at eight, won't you."""
265,"""If you' get up."""
266,"""I will. Good night, Mr. Carraway. See you anon."""
267,"""Of course you will,"" confirmed Daisy."
268,"""In fact I think I' arrange a marriage. Come over often, Nick, and I' sort of oh fling you together. You know lock you up accidentally in linen closets and push you out to sea in a boat, and all that sort of thing """
269,"""Good night,"" called Miss Baker from the stairs."
270,"""I haven't heard a word."""
271,"""She's a nice girl,"" said Tom after a moment."
272,"""They oughtn't to let her run around the country this way."""
273,"""Who oughtn't to?"" inquired Daisy coldly."
274,"""Her family."""
275,"""Her family is one aunt about a thousand years old. Besides, Nick's going to look after her, aren't you, Nick? She's going to spend lots of week-ends out here this summer. I think the home influence will be very good for her."""
276,Daisy and Tom looked at each other for a moment in silence.
277,"""Is she from New York?"""
278,I asked quickly.
279,"""From Louisville. Our white girlhood was passed together there. Our beautiful white """
280,"""Did you give Nick a little heart to heart talk on the veranda?"" demanded Tom suddenly."
281,"""Did I?"""
282,She looked at me.
283,"""I can't seem to remember, but I think we talked about the Nordic race. Yes, I' sure we did. It sort of crept up on us and first thing you know """
284,"""Don't believe everything you hear, Nick,"" he advised me."
285,"I said lightly that I had heard nothing at all, and a few minutes later I got up to go home."
286,They came to the door with me and stood side by side in a cheerful square of light.
287,"As I started my motor Daisy peremptorily called ""Wait!"
288,"""I forgot to ask you something, and it's important. We heard you were engaged to a girl out West."""
289,"""That's right,"" corroborated Tom kindly."
290,"""We heard that you were engaged."""
291,"""It's libel. I' too poor."""
292,"""But we heard it,"" insisted Daisy, surprising me by opening up again in a flower-like way."
293,"""We heard it from three people so it must be true."""
294,"Of course I knew what they were referring to, but I wasn't even vaguely engaged."
295,The fact that gossip had published the banns was one of the reasons I had come east.
296,You can't stop going with an old friend on account of rumors and on the other hand I had no intention of being rumored into marriage.
297,"Their interest rather touched me and made them less remotely rich nevertheless, I was confused and a little disgusted as I drove away."
298,"It seemed to me that the thing for Daisy to do was to rush out of the house, child in arms but apparently there were no such intentions in her head."
299,"As for Tom, the fact that he ""had some woman in New York"" was really less surprising than that he had been depressed by a book."
300,Something was making him nibble at the edge of stale ideas as if his sturdy physical egotism no longer nourished his peremptory heart.
301,"Already it was deep summer on roadhouse roofs and in front of wayside garages, where new red gas-pumps sat out in pools of light, and when I reached my estate at West Egg I ran the car under its shed and sat for a while on an abandoned grass roller in the yard."
302,"The wind had blown off, leaving a loud bright night with wings beating in the trees and a persistent organ sound as the full bellows of the earth blew the frogs full of life."
303,The silhouette of a moving cat wavered across the moonlight and turning my head to watch it I saw that I was not alone fifty feet away a figure had emerged from the shadow of my neighbor's mansion and was standing with his hands in his pockets regarding the silver pepper of the stars.
304,"Something in his leisurely movements and the secure position of his feet upon the lawn suggested that it was Mr. Gatsby himself, come out to determine what share was his of our local heavens."
305,I decided to call to him.
306,"Miss Baker had mentioned him at dinner, and that would do for an introduction."
307,"But I didn't call to him for he gave a sudden intimation that he was content to be alone he stretched out his arms toward the dark water in a curious way, and far as I was from him I could have sworn he was trembling."
308,"Involuntarily I glanced seaward and distinguished nothing except a single green light, minute and far away, that might have been the end of a dock."
309,"When I looked once more for Gatsby he had vanished, and I was alone again in the unquiet darkness."
310,"About half way between West Egg and New York the motor-road hastily joins the railroad and runs beside it for a quarter of a mile, so as to shrink away from a certain desolate area of land."
311,"This is a valley of ashes a fantastic farm where ashes grow like wheat into ridges and hills and grotesque gardens where ashes take the forms of houses and chimneys and rising smoke and finally, with a transcendent effort, of men who move dimly and already crumbling through the powdery air."
312,"Occasionally a line of grey cars crawls along an invisible track, gives out a ghastly creak and comes to rest, and immediately the ash-grey men swarm up with leaden spades and stir up an impenetrable cloud which screens their obscure operations from your sight."
313,"But above the grey land and the spasms of bleak dust which drift endlessly over it, you perceive, after a moment, the eyes of Doctor T. J. Eckleburg."
314,The eyes of Doctor T. J. Eckleburg are blue and gigantic their retinas are one yard high.
315,"They look out of no face but, instead, from a pair of enormous yellow spectacles which pass over a nonexistent nose."
316,"Evidently some wild wag of an oculist set them there to fatten his practice in the borough of Queens, and then sank down himself into eternal blindness or forgot them and moved away."
317,"But his eyes, dimmed a little by many paintless days under sun and rain, brood on over the solemn dumping ground."
318,"The valley of ashes is bounded on one side by a small foul river, and when the drawbridge is up to let barges through, the passengers on waiting trains can stare at the dismal scene for as long as half an hour."
319,There is always a halt there of at least a minute and it was because of this that I first met Tom Buchanan's mistress.
320,The fact that he had one was insisted upon wherever he was known.
321,"His acquaintances resented the fact that he turned up in popular restaurants with her and, leaving her at a table, sauntered about, chatting with whomsoever he knew."
322,Though I was curious to see her I had no desire to meet her but I did.
323,I went up to New York with Tom on the train one afternoon and when we stopped by the ashheaps he jumped to his feet and taking hold of my elbow literally forced me from the car.
324,"""We're getting off!"" he insisted."
325,"""I want you to meet my girl."""
326,I think he'd tanked up a good deal at luncheon and his determination to have my company bordered on violence.
327,The supercilious assumption was that on Sunday afternoon I had nothing better to do.
328,I followed him over a low white-washed railroad fence and we walked back a hundred yards along the road under Doctor Eckleburg's persistent stare.
329,"The only building in sight was a small block of yellow brick sitting on the edge of the waste land, a sort of compact Main Street ministering to it and contiguous to absolutely nothing."
330,One of the three shops it contained was for rent and another was an all-night restaurant approached by a trail of ashes; the third was a garage Repairs.
331,GEORGE B. WILSON.
332,Cars Bought and Sold and I followed Tom inside.
333,The interior was unprosperous and bare; the only car visible was the dust-covered wreck of a Ford which crouched in a dim corner.
334,"It had occurred to me that this shadow of a garage must be a blind and that sumptuous and romantic apartments were concealed overhead when the proprietor himself appeared in the door of an office, wiping his hands on a piece of waste."
335,"He was a blonde, spiritless man, anaemic, and faintly handsome."
336,When he saw us a damp gleam of hope sprang into his light blue eyes.
337,"""Hello, Wilson, old man,"" said Tom, slapping him jovially on the shoulder."
338,"""How's business?"""
339,"""I can't complain,"" answered Wilson unconvincingly."
340,"""When are you going to sell me that car?"""
341,"""Next week; I've got my man working on it now."""
342,"""Works pretty slow, don't he?"""
343,"""No, he doesn't,"" said Tom coldly."
344,"""And if you feel that way about it, maybe I'd better sell it somewhere else after all."""
345,"""I don't mean that,"" explained Wilson quickly."
346,"""I just meant """
347,His voice faded off and Tom glanced impatiently around the garage.
348,Then I heard footsteps on a stairs and in a moment the thickish figure of a woman blocked out the light from the office door.
349,"She was in the middle thirties, and faintly stout, but she carried her surplus flesh sensuously as some women can."
350,"Her face, above a spotted dress of dark blue crepe-de-chine, contained no facet or gleam of beauty but there was an immediately perceptible vitality about her as if the nerves of her body were continually smouldering."
351,"She smiled slowly and walking through her husband as if he were a ghost shook hands with Tom, looking him flush in the eye."
352,"Then she wet her lips and without turning around spoke to her husband in a soft, coarse voice:"
353,"""Get some chairs, why don't you, so somebody can sit down."""
354,"""Oh, sure,"" agreed Wilson hurriedly and went toward the little office, mingling immediately with the cement color of the walls."
355,"A white ashen dust veiled his dark suit and his pale hair as it veiled everything in the vicinity except his wife, who moved close to Tom."
356,"""I want to see you,"" said Tom intently."
357,"""Get on the next train."""
358,"""All right."""
359,"""I' meet you by the news-stand on the lower level."""
360,She nodded and moved away from him just as George Wilson emerged with two chairs from his office door.
361,We waited for her down the road and out of sight.
