,parag_no,sect_no,parag_raw,parag_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,stanza,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr
10,10,0,What is his name?,what is his name,17,4,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.166666666666667,-0.18162399921474315,-0.06225680933852115,-0.18162399921474315,1.026569907293655,-0.77,-0.9041385078506232,-0.6643550624133149,-0.9041385078506232,-3.6608543383896097,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,2.6912569304145686,0.9977,1.1610699831335136,0.8474967315234946,1.1610699831335136,5.522056513678538
11,11,0,Bingley.,bingley,8,1,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.0,-0.2983940371283577,-0.18677042801556412,-0.2983940371283577,-0.20350504770138486,0.0,-0.6972349062685215,-0.4507628294036061,-0.6972349062685215,-0.6747761174574068,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,10.0,0.9352,1.0929513366674397,0.8154528442154375,1.0929513366674397,20.392779488136156
12,12,0,Is he married or single?,is he married or single,24,5,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.0,-0.2983940371283577,-0.18677042801556412,-0.2983940371283577,-0.20350504770138486,0.5690000000000001,-0.5443412058786307,-0.29292649098474344,-0.5443412058786307,1.0905002541897866,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.08928571428571429,-0.09609948104172414,0.0016339869281045125,-0.09609948104172414,3.2912145086962985,0.11026753616199236,-0.21876069550795169,0.007689837062766373,-0.21876069550795169,3.411513747115817,2.924938053398153,-0.6876,-0.6757356950948862,-0.016560280960803916,-0.6757356950948862,-2.8686720800315015
13,13,0,"Oh! single, my dear, to be sure! A single man of large fortune;
four or five thousand a year. What a fine thing for our girls!",oh single my dear to be sure a single man of large fortune four or five thousand a year what a fine thing for our girls,126,26,1.25,-0.02063850751421517,0.2222222222222222,-0.02063850751421517,0.6013722910572649,1.25,-0.049145228550105,0.2222222222222222,-0.049145228550105,0.5448717948717949,46.96934374647356,0.6497757880226824,0.8290069245873863,0.6497757880226824,1.8126526859300076,0.25,-0.1232389802579362,0.0,-0.1232389802579362,0.08035840345131609,1.972,-0.1673467214374765,0.09625520110957003,-0.1673467214374765,0.5017566001606358,15.085121716110704,0.11328771448465297,0.35066568227048683,0.11328771448465297,0.9260171690664528,1.7867264779514258,0.954294890000564,1.093813209693906,0.954294890000564,2.3459458078761988,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.6908}",0.6908,0.7149581692742001,0.3488963844014438,0.7149581692742001,1.2578261098585604,0.19761904761904764,0.3704757627757351,0.4477124183006536,0.3704757627757351,1.2932956741489523,0.3023457926042279,0.4864381093566777,0.6382485569766618,0.4864381093566777,1.638781864833566,8.040269150781418,0.8828,1.0358406634702828,0.7885872490963624,1.0358406634702828,0.8496612851664292
14,14,0,How so? how can it affect them?,how so how can it affect them,31,7,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,-0.0625,-0.342182801345963,-0.2334630350194552,-0.342182801345963,-0.4670925380574642,0.565,-0.5454160297829533,-0.2940360610263523,-0.5454160297829533,0.5772715224881921,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,3.4214601277735532,-0.8390000000000001,-0.8407463042943045,-0.09418339357584146,-0.8407463042943045,-2.485660953191286
15,15,0,"My dear Mr. Bennet, replied his wife, how can you be so
tiresome! You must know that I am thinking of his marrying one of
them.",my dear mr bennet replied his wife how can you be so tiresome you must know that i am thinking of his marrying one of them,127,26,0.6,-0.25110905869372835,-0.06666666666666668,-0.25110905869372835,0.08872705933631761,0.6,-0.2822653135673678,-0.06666666666666668,-0.2822653135673678,0.044871794871794865,-23.48467187323678,-0.7238183553147399,-0.4145034622936932,-0.7238183553147399,-0.9063263429650036,0.5625,0.09570484083009062,0.2334630350194552,0.09570484083009062,0.43518771739219225,0.581,-0.5411167341656629,-0.2895977808599168,-0.5411167341656629,-0.3281404638387036,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.5955754926504754,0.05487601723167845,0.21668956559241734,0.05487601723167845,0.6577689725124448,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3818}",0.3818,0.1557610220897388,-0.016805728149594704,0.1557610220897388,0.5303821634288933,-0.5,-2.634063719389441,-2.4248366013071903,-2.634063719389441,-3.9334027055150877,-0.15299425649852494,-1.1853037336917065,-0.8565517593418513,-1.1853037336917065,-1.3393016440916488,7.444693658130943,-0.9986,-1.014694079910072,-0.17601066420569614,-1.014694079910072,-0.7194661873531266
16,16,0,Is that his design in settling here?,is that his design in settling here,36,7,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.125,-0.21081650869314691,-0.09338521400778207,-0.21081650869314691,0.323669933010774,0.316,-0.6123238178270356,-0.3631067961165048,-0.6123238178270356,0.02548415550331757,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,3.4214601277735532,0.9690000000000001,1.1297899006762924,0.8327821784716347,1.1297899006762924,3.1151487954912516
17,17,0,"Design! nonsense, how can you talk so! But it is very likely
that he _may_ fall in love with one of them, and therefore you
must visit him as soon as he comes.",design nonsense how can you talk so but it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,159,33,0.55,-0.2688375626306139,-0.08888888888888886,-0.2688375626306139,-0.04272043597674573,0.55,-0.3001976277994649,-0.08888888888888886,-0.3001976277994649,-0.08333333333333331,-22.239482227710575,-0.6995417375890542,-0.3925259178737067,-0.6995417375890542,-0.6762140446685221,-0.326388888888889,-0.5270686947091857,-0.43060959792477305,-0.5270686947091857,-0.4954925370183888,-2.41,-1.3448163086228917,-1.1192787794729542,-1.3448163086228917,-1.8076290906878845,7.409324193282959,-0.2307779585476647,-0.007256348034496123,-0.2307779585476647,0.11005182787401277,0.2780475177403072,-0.18488422877452748,-0.01712738783687896,-0.18488422877452748,0.12415764020204945,"{'neg': 0.048, 'neu': 0.802, 'pos': 0.15, 'compound': 0.714}",0.7140000000000001,0.7569431978006709,0.3763536303923308,0.7569431978006709,0.9558908584249108,0.25,0.5960725839621988,0.6633986928104575,0.5960725839621988,1.2884306120518398,0.19962882946336727,0.1093216101341694,0.30104705384336944,0.1093216101341694,0.6900224536373016,9.453615603170444,-0.9578,-0.9702262274970184,-0.15509241457099646,-0.9702262274970184,-0.5159902896293983
18,18,0,"I see no occasion for that. You and the girls may go, or you may
send them by themselves, which perhaps will be still better, for
as you are as handsome as any of them, Mr. Bingley might like you
the best of the party.",i see no occasion for that you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr bingley might like you the best of the party,218,45,2.8,0.5289451145292392,0.9111111111111109,0.5289451145292392,0.8914330973814247,2.8,0.5067565126449062,0.9111111111111109,0.5067565126449062,0.827777777777778,83.21782543527692,1.3564878428950318,1.4687910886583015,1.3564878428950318,1.8555698352122607,1.592857142857143,0.8175938966460421,1.0032240133407446,0.8175938966460421,0.8414729140658279,-0.30999999999999983,-0.7805337588535235,-0.536754507628294,-0.7805337588535235,-0.7816372139640715,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,2.303756729322457,1.344696083144064,1.4745369498322636,1.344696083144064,1.7001447788637252,"{'neg': 0.039, 'neu': 0.682, 'pos': 0.278, 'compound': 0.9231}",0.9231,1.1353513643905444,0.623823894905024,1.1353513643905444,0.8871514361417131,0.6666666666666666,2.390592752490888,2.379084967320261,2.390592752490888,2.69857787027402,0.5240180407255127,1.3002887103683405,1.3659590829092452,1.3002887103683405,1.6415300316905412,11.774756616537006,-0.958,-0.97044420716571,-0.1551949550103822,-0.97044420716571,-0.3482526212487577
19,19,0,"My dear, you flatter me. I certainly _have_ had my share of
beauty, but I do not pretend to be anything extraordinary now.
When a woman has five grown-up daughters, she ought to give over
thinking of her own beauty.",my dear you flatter me i certainly have had my share of beauty but i do not pretend to be anything extraordinary now when a woman has five grown up daughters she ought to give over thinking of her own beauty,215,40,2.25,0.33393157122349737,0.6666666666666666,0.33393157122349737,0.7689678475814206,2.25,0.30950105609183776,0.6666666666666666,0.30950105609183776,0.7083333333333334,63.64599835422853,0.9749092087111234,1.1233491709556678,0.9749092087111234,1.5965575081767696,0.78125,0.2489655155917094,0.39688715953307385,0.2489655155917094,0.3730925874525389,4.908,0.6215740243353167,0.9106796116504856,0.6215740243353167,1.2285578966121065,29.1681844857311,0.7445574236940681,1.0073581503070967,0.7445574236940681,1.2678631714729829,2.0977707671625585,1.1891594096422895,1.322855794384289,1.1891594096422895,1.7461939290154636,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.9071}",0.9071,1.106396172303323,0.6048878631871708,1.106396172303323,1.0196176447469556,0.3825396825396825,1.1669009042370386,1.2091503267973855,1.1669009042370386,1.6756354987364348,0.3082037965320737,0.5079452671439596,0.6574793409623748,0.5079452671439596,0.9715789665819892,12.58662460297535,-0.6667,-0.6529568197166309,-0.0058448050449896,-0.6529568197166309,-0.24803987811303074
