,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
10,10,"whenever id permit, or, with a silent shiver, order it, whatever in my field of vision dwelt an indoor scene, hickory leaves, the svelte stilettos of a frozen stillicide was printed on my eyelids nether side where it would tarry for an hour or two, and while this lasted all i had to do was close my eyes to reproduce the leaves,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"Or indoor scene, or trophies of the eaves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,"i cannot understand why from the lake i could make out our front porch when id take lake road to school, whilst now, although no tree has intervened, i look but fail to see even the roof.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"maybe some quirk in space has caused a fold or furrow to displace the fragile vista, the frame house between goldsworth and wordsmith on its square of green.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,i had a favorite young shagbark there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"With ample dark jade leaves and a black, spare, vermiculated trunk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"the setting sun bronzed the black bark, around which, like undone garlands, the shadows of the foliage fell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,it is now stout and rough; it has done well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,white butterflies turn lavender as they pass through its shade where gently seems to sway the phantom of my little daughters swing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,the house itself is much the same.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,one wing weve had revamped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,theres a solarium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,theres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,A picture window flanked with fancy chairs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"tvs huge paperclip now shines instead of the stiff vane so often visited by the naive, the gauzy mockingbird retelling all the programs she had heard; switching from chippo-chippo to a clear to-wee, to-wee; then rasping out: come here, come here, come herrr; flirting her tail aloft, or gracefully indulging in a soft upward hop-flop, and instantly (to-wee!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Returning to her perchthe new tv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,i was an infant when my parents died.,0.08816774441438252,0.08928382960731926,-0.027958729755151998,-0.24360294043102643,0.20827820369895192,0.030316084590676376,0.07214985122391684,0.14858709075791982,0.05107139092037581,0.1900885006725628,0.08798263529948207,0.18040104253804917,0.6002036571482009,0.638631906844129,-0.6848831391330731,0.5880799933941404,-2.0947779165088902,0.17194114242983485,0.7256124623697026,0.4040718592352931,-0.6857454399700763,0.817027819922118,0.22121402774188578,1.237744155873762,0.6567371357780245,1.5302214985999985,2.007587200077759,2.0132589306907063,2.3398901958664178,2.9930922306869823,1.3855741090719915
27,27,they both were ornithologists.,0.0375754896195114,0.056604545082584175,-0.06094421230247927,-0.29480848598101395,0.20271463941101808,0.013548200003463183,0.05732463391646825,0.13396771496568574,0.09662559145857222,0.14819401158158094,0.1230359055341563,0.2019606044636597,0.2077818227866772,0.4066422685445284,-0.9021338522820146,0.6799163391669607,-2.4477747922802013,0.08297910680343888,0.7256124623697026,0.1300948768141624,-0.9208440209775004,0.66666431180007,0.12490177918331957,1.4709361092817275,0.4575242072871872,1.5793673955290535,1.835827935619034,2.014422480829622,1.9656500115517066,2.645398709147164,1.3261793603490588
28,28,ive tried so often to evoke them that today i have a thousand parents.,0.04451952459135645,0.06398373836236307,-0.08541411233206721,-0.2442594217842314,0.1969934670696017,-0.005350471804197206,0.03421942712414926,0.11141256527159106,0.09282940808038918,0.1476176165195427,0.1230359055341563,0.1549222570680407,0.044375045556097024,0.24771662772542485,-1.1891266460763104,0.5343158091280464,-2.082109325362582,-0.10042082797535702,0.7256124623697026,0.1919606470382887,-0.9208440209775004,0.5914825577390459,0.028589530624753372,1.469655244434563,0.4690798337107097,1.5973117372488213,1.8468870799382175,1.7797004390476983,1.912486643162326,2.2977051876073458,1.1242544709451299
29,29,"sadly they dissolve in their own virtues and recede, but certain words, chance words i hear or read, such as bad heart always to him refer, and cancer of the pancreas to her.",0.051463559563201505,0.07136293164214196,-0.05799215552086069,-0.22675325236543223,0.20113855887619264,-0.005350471804197206,0.016642027303512025,0.08006010452243312,0.07131770227068533,0.11139066287492941,0.08798263529948207,0.11329066248796095,0.08088443970088607,0.2832248175246174,-1.0418666415812912,0.4897549462890848,-1.9813930323095086,-0.10042082797535702,0.5526932343721794,0.25382641726241495,-0.6857454399700763,0.3659372955559738,0.028589530624753372,1.4695406119073002,0.2789234702912863,1.1508363042278622,1.391843180169028,1.5463722941447926,1.5382589815030667,2.2977051876073458,1.2416753636649456
30,30,a preterist: one who collects cold nests.,0.10602383434198409,0.1082588980410364,0.030711549959352376,-0.23301796013601675,0.261786137856276,-0.022375937756630646,0.02727682674012994,0.10362662391811353,0.07554974374043753,0.11161912491770093,0.11209905564809756,0.0696485221542531,0.26839471658338354,0.38161516733656436,-0.615231292909821,0.6496937491601819,-2.1467923968088916,-0.19845221664663412,0.838964175474745,0.6338590057820478,0.13709959355590842,0.5163008036780219,0.028589530624753372,1.2362579692769016,0.12911789540107407,1.0364066057018717,1.363088654706155,1.771647792847784,1.5371423631506766,2.2977051876073458,1.095780555046342
31,31,"Here was my bedroom, now reserved for guests.",0.10701583933796195,0.10931306850957624,0.02911542740502237,-0.19034667217769385,0.2551350779993126,-0.005442904220332908,0.011790805436923704,0.07191028412288242,0.10402111907681028,0.07897210860385595,0.13862195916269204,0.06177038249660676,0.10561886519881519,0.22330315035905504,-0.7799354501084604,0.5148466486870393,-1.7903158814001658,-0.10374489756746044,0.838964175474745,0.642696972956923,0.13709959355590842,0.3659372955559738,0.12490177918331957,1.0012685522456781,0.026487557966082095,0.9933430358381807,1.2965890790233265,1.5365269445123206,1.1648647808307324,1.9500116660675275,0.9221971671313262
32,32,"here, tucked away by the canadian maid, i listened to the buzz downstairs and prayed for everybody to be always well, uncles and aunts, the maid, her niece adele whod seen the pope, people in books, and god.",0.11495187930578486,0.09666302288709815,0.02556318355005584,-0.1686827875219299,0.22470096287183314,0.010741548281970296,0.05661019586326017,0.07964806501437967,0.10552151536437787,0.07876670236356596,0.15274111252545333,0.07759556567304658,0.17688256625802606,0.17385003533496696,-0.7558447647458149,0.26734802283421943,-1.6013043709538162,0.023318304489216565,0.838964175474745,0.5366413668584208,0.13709959355590842,0.892209573983142,0.22121402774188578,1.0018471785964853,0.06995471697298773,0.8850260720248829,1.223024817210249,1.5338490344932234,1.1895650590341311,1.6023181445277097,1.05861866595223
33,33,"i was brought up by dear bizarre aunt maud, a poet and a painter with a taste for realistic objects interlaced with grotesque growths and images of doom.",0.07626368446264811,0.0344669652432475,-0.026784019836440513,-0.2120105568334578,0.12225572810817881,-0.03968150756538624,0.013035138833310023,0.020972568835079995,0.07804437853181495,0.07878556620195994,0.10828940392613105,0.034795138365195794,-0.16848255686954916,-0.269468828726712,-1.1120696746445684,-0.12464238458282442,-1.9380041821050837,-0.2684229069994324,0.838964175474745,0.15660877833878792,-0.09799898745151576,0.5163008036780219,-0.06772271793381283,1.0022374650129164,0.2596263218793352,0.6292810627723441,0.6826298622220431,1.7238528371143793,0.8191653159848629,1.6023181445277097,0.8852439699782348
34,34,She lived to hear the next babe cry.,0.07328766947471453,0.03130445383762797,-0.026784019836440513,-0.28849063448183654,0.10668405242410335,-0.07187161447900768,0.013035138833310023,0.014123080908996676,0.07804437853181495,0.08564152346714914,0.10828940392613105,0.09069775983854436,-0.1842391641167586,-0.28479333941309654,-1.1120696746445684,-0.19779472574987608,-2.2732530599531375,-0.3478689508049207,0.6984079336673791,0.1300948768141624,-0.09799898745151576,0.5163008036780219,-0.26034721505094527,1.2375975075265615,0.2654131330113351,0.7162437701077098,0.6681913442683795,1.7266602218384095,1.1800313266387614,1.6023181445277097,0.7418957827399175
35,35,her room weve kept intact.,0.05344756955515723,0.01022104446683115,-0.04824434711442875,-0.33214664446996695,0.08249121621453266,-0.108783634583385,-0.008219716984684024,-0.0164802170982459,0.004651499886942954,0.07552421814184548,0.0502894971467296,0.07945231149894166,-0.44341897939253666,-0.5368656152891274,-1.2813500665332187,-0.3710690456362697,-2.576405937194947,-0.669906204980905,0.3008548467870405,-0.04666446668334121,-0.21554827795522796,0.3659372955559738,-0.45297171216807763,1.2365106854097252,0.24491349099535203,0.36939847941048287,0.4229359069657071,1.4919910552793803,0.8193795428406303,1.2546246229878915,0.4418564218821841
36,36,"its trivia create a still life in her style: the paperweight of convex glass enclosing a lagoon, the verse book open at the index (moon, moonrise, moor, moral), the forlorn guitar, the human skull; and from the local star a curio: red sox beat yanks",0.058407594535046556,0.015491896809530357,-0.021751305451033615,-0.33214664446996695,0.07227821434886374,-0.12768230639104539,-0.008219716984684024,-0.0164802170982459,0.004651499886942954,0.07796184525875624,0.0502894971467296,0.07867271204904437,-0.36410541699688964,-0.45972708442153953,-1.0574131571447565,-0.4513594774759994,-2.576405937194947,-0.8533061397597008,0.3008548467870405,-0.002474630808965328,-0.09799898745151576,0.3659372955559738,-0.5492839607266439,1.4714395937366735,0.45444446337659355,0.22452467469907855,0.5746005889518601,1.492188968321206,0.8596688052165995,1.2546246229878915,0.6018846376085013
37,37,"On chapmans homer, thumbtacked to the door.",0.04352751959537859,0.020762749152229566,-0.009420792696252733,-0.25691388139267757,0.08201839205408504,-0.09721811820239,-0.013363334536634353,-0.003428731901591826,0.004651499886942954,0.08524957482496316,0.0502894971467296,0.01574808176170891,-0.42454241197939796,-0.44013387798795595,-1.0005331252800267,-0.3720591152278787,-2.1792052054272957,-0.7601388797247659,0.3008548467870405,0.04171520506541062,0.019550303052196245,0.29075554149494975,-0.35665946360951145,1.4717014863783968,0.5039956771467136,0.5371022574085084,0.5659936415208643,1.7262594470500368,1.2324483671250899,1.6023181445277097,0.7380703121859179
38,38,my god died young.,0.04352751959537859,0.020762749152229566,-0.009420792696252733,-0.2628222135715223,0.07749504091913598,-0.09721811820239,-0.013363334536634353,-0.003428731901591826,0.004651499886942954,0.08343445437505369,0.0502894971467296,0.04117900104074517,-0.42454241197939796,-0.44013387798795595,-1.0005331252800267,-0.394351853595457,-2.1698138475366244,-0.7601388797247659,0.3008548467870405,0.04171520506541062,0.019550303052196245,0.29075554149494975,-0.35665946360951145,1.4707343385948621,0.6029326465490465,0.2059075151681159,0.6056020858959695,1.7367442761796115,0.8886661208289163,1.6023181445277097,0.7309151554459105
39,39,theolatry i found,0.0018633097643082535,-0.002429001155646943,-0.05357065073479384,-0.272575650819139,0.08121459098132405,-0.1453968195497042,-0.00859147483780754,0.015032778524179622,0.03126696334953734,0.12182026952475561,0.04178219673549641,0.03126398783273178,-0.37010817378237515,-0.4886443715394715,-1.0198156878094637,-0.22695916187607257,-2.1077928455299335,-0.7656417793705345,0.6899231097814686,-0.15272007278184346,-0.21554827795522796,0.3659372955559738,-0.6455962092852101,1.4719719859526048,0.601385548879019,0.11955606218800385,1.0834927280565856,1.7196110309620112,0.9370492338421268,1.6023181445277097,0.9064963378382115
40,40,"Degrading, and its premises, unsound.",0.016743384703976228,0.013383555872450674,-0.042990188735750084,-0.29423953547490295,0.013884430533580759,-0.12925651506577673,-0.00859147483780754,0.015032778524179622,0.03885933010590341,0.11986262229586941,0.0532860741732265,0.00846076814512333,-0.29802521621128186,-0.4185381591884553,-0.9855743332214217,-0.6088031520051915,-2.2957130890150146,-0.6963231196719402,0.8886996532216385,-0.020150565158715692,-0.09799898745151576,0.3659372955559738,-0.5492839607266439,1.7069979613514668,0.5002142138512202,0.24504146844684946,1.0345688985716868,1.7139567632585078,0.9369416619956059,1.6023181445277097,1.072976675411332
41,41,no free man needs a god; but was i free?,-0.006072730203514667,-0.010862364903965674,-0.06445051601373833,-0.2784839829979837,-0.0030741960211410966,-0.16528321165921056,-0.029846330655801587,-0.00951835476087527,0.016082229836805205,0.07814000373247712,0.01823280393855227,0.0004338868385256728,-0.5738201372941498,-0.6867699015347347,-1.1548547251100723,-0.7484466195558421,-2.0854614731853918,-0.973597758466317,-0.03476673407441598,-0.22342381018084492,-0.21554827795522796,0.21557378743392575,-0.7419084578437762,1.4712705279868898,0.3039745104704707,-0.10196153926183528,0.5488461967120793,1.5062197412075025,0.5624638826555785,1.2546246229878915,0.9126117441686893
42,42,"how fully i felt nature glued to me and how my childish palate loved the taste half-fish, half-honey, of that golden paste! my picture book was at an early age the painted parchment papering our cage: mauve rings around the moon; blood-orange sun; twinned iris; and that rare phenomenon the iridulewhen, beautiful and strange,",-0.028888845111005566,-0.014024876309585198,-0.09094355767713348,-0.25373463598215645,0.0005665500143056967,-0.1479265688177157,-0.029846330655801587,-0.00951835476087527,0.03569584395741755,0.03641319320499728,0.05728282084192847,-0.017909019443241008,-0.9197711134861347,-0.7146796721275024,-1.3787916344985347,-0.7575181411030782,-1.9133590185747122,-0.8630034366050591,-0.03476673407441598,-0.24993771170547038,-0.33309756845893995,0.21557378743392575,-0.6455962092852101,1.2358621699233232,0.26482896523867905,-0.21757661199123565,0.7062183353605066,1.2886578040192334,0.19081972308265607,1.2546246229878915,0.5857333737089027
43,43,In a bright sky above a mountain range one opal cloudlet in an oval form reflects the rainbow of a thunderstorm which in a distant valley has been staged for we are most artistically caged.,-0.011032755183403993,0.004950192124131945,-0.044568370205610705,-0.2153304768196658,0.044019090359443395,-0.0951509680929743,-0.00810828382749993,-0.003337762140073526,0.048349788551361,0.07671683192475366,0.06832976995348347,-0.03336851416360756,-0.6225876107650351,-0.42564589145284226,-1.0146466932069984,-0.4699848088395537,-1.3883208982153914,-0.4783203164422541,0.5725056370564202,-0.09085430255771716,-0.09799898745151576,0.21557378743392575,-0.35665946360951145,1.237303845178166,0.41378993880233733,0.01253901376256411,1.4097819610356939,1.2863256988013994,0.5655444447158192,1.6023181445277097,0.8773452071902739
44,44,and theres the wall of sound: the nightly wall raised by a trillion crickets in the fall.,-0.02194481013916051,-0.006645683029806309,-0.044568370205610705,-0.21734508679638123,0.06089891288742398,-0.07661554528790054,-0.02620775733274454,-0.0258929118341682,0.05594215530772707,0.07722825154343485,0.07664261240268956,-0.041515650329947515,-0.7329446736303704,-0.5329766107291863,-1.0146466932069984,-0.30246584560848344,-1.4088729831091988,-0.31428242794848793,0.5725056370564202,-0.1880719414813442,-0.09799898745151576,0.06521027931187766,-0.26034721505094527,1.2372406925142385,0.4728017272224152,0.08975676226005998,1.1297144111832884,1.056395219278222,0.2589386417166426,1.7761649052976187,0.8696245689276481
45,45,impenetrable! halfway up the hill id pause in thrall of their delirious trill.,-0.08642513487772176,-0.09625017285569282,-0.057661120472019295,-0.23933721212874767,0.055745129538544755,-0.13885906844147705,-0.05387987145952832,-0.10009213025844264,0.05552638284249751,0.03576972671755825,0.07553979657748432,-0.011488229893807505,-1.0313326348553282,-0.9141694668918906,-1.050966158780067,-0.3161118423113089,-1.6441851597255066,-0.5254174760240536,0.19255137672868133,-0.9392991513457346,-0.21554827795522796,-0.3106984909932424,-0.6455962092852101,1.2369618391526185,0.47194132477836426,-0.23501841015561636,0.6411342742025581,1.057586781616451,-0.10955687503796126,1.4284713837578005,0.48258468312176367
46,46,thats dr. suttons light.,-0.08642513487772176,-0.09625017285569282,-0.057661120472019295,-0.22752054777105826,0.052892423770510684,-0.13885906844147705,-0.05387987145952832,-0.10009213025844264,0.047934016086131445,0.07246408435793347,0.05588229284427119,0.03183079045755597,-1.0313326348553282,-0.9141694668918906,-1.050966158780067,-0.43488665783394403,-1.4156796323207008,-0.5254174760240536,0.19255137672868133,-0.9392991513457346,-0.21554827795522796,-0.3106984909932424,-0.6455962092852101,1.2305642513884631,0.565550012920262,-0.24591670739242763,0.03948637490273111,0.8987384985423612,0.2554610555738629,1.2546246229878915,0.3641168564147191
47,47,thats the great bear.,-0.08642513487772176,-0.09625017285569282,-0.057661120472019295,-0.21176499529413903,0.052640250884938615,-0.13885906844147705,-0.05387987145952832,-0.10009213025844264,0.047934016086131445,0.10500630156958969,0.05588229284427119,0.027550273709467485,-1.0313326348553282,-0.9141694668918906,-1.050966158780067,-0.4561443276026316,-1.4156796323207008,-0.5254174760240536,0.19255137672868133,-0.9392991513457346,-0.21554827795522796,-0.3106984909932424,-0.6455962092852101,1.229222526246644,0.6585523670313904,-0.35604675272076186,0.5428548585118487,0.7176372470100543,0.6232745907487415,1.6023181445277097,0.49632903330159256
48,48,A thousand years ago five minutes were equal to forty ounces of fine sand.,-0.09336916984956681,-0.1036293661354717,-0.057661120472019295,-0.19207055469798998,0.08583250694836261,-0.13885906844147705,-0.07462333541755185,-0.12911148418277846,0.047934016086131445,0.10729930592547994,0.05588229284427119,0.05380441503324059,-1.079794021963949,-0.9613018877850118,-1.050966158780067,-0.29834465689495376,-1.293524328840625,-0.5254174760240536,-0.03697600499884853,-1.001164921569861,-0.21554827795522796,-0.5362437531763146,-0.6455962092852101,0.9948571118205786,0.6042649247930687,-0.6006623471711746,0.5068901443180317,0.7164056592106229,0.3342922785572697,1.4284713837578005,0.2210177677627595
49,49,outstare the stars.,-0.10527322980130119,-0.11627941175794981,-0.08329876488133775,-0.1789409276338906,0.1084650234284561,-0.12341343727230918,-0.12315838662811496,-0.17701509036582366,0.07519751489308232,0.06726604888937057,0.0909355630789454,0.12376112823977978,-1.0549163127571788,-0.9371064049243576,-1.1262240134109744,-0.21126059163679353,-1.2569443316932498,-0.39187561246100594,-0.18426118909836176,-1.107220527668363,-0.450646858962652,-1.212879539725531,-0.5492839607266439,0.8143539441715391,0.6114186102844541,-0.3816148644475835,0.727928900767068,0.7218780409273663,-0.03364660616249475,1.2546246229878915,0.059569530285059284
50,50,"infinite foretime and infinite aftertime: above your head they close like giant wings, and you are dead.",-0.18264961948757466,-0.19850470830405742,-0.13681444718658728,-0.21242147664734395,0.0919319386181371,-0.19129820307484893,-0.1517255712767937,-0.19744582857034404,0.07519751489308232,0.02622043252611772,0.0909355630789454,0.14016384317795402,-1.669752340153098,-1.535081662184876,-1.5010030069318627,-0.33143492986628703,-1.4752646195412575,-0.7829619156327379,-0.18426118909836176,-1.7965819673086274,-0.8032947304737883,-1.513606555969627,-0.9345329549609086,0.8142374833743041,0.659733864994892,-0.6909016713144923,0.862128365755177,0.7224166765069399,-0.40617608393304405,0.9069311014480734,-0.20611816960867363
51,51,"the regular vulgarian, i daresay, is happier: he sees the milky way only when making water.",-0.2193538043387557,-0.22696731095463313,-0.18117221314808546,-0.2584220628969206,0.09117541996142085,-0.12801142057038278,-0.14147712807647078,-0.20836755111498162,0.03615105728891397,-0.013617898179920528,0.05191472408443843,0.07416284210165665,-1.8514472856744606,-1.7117939512341136,-1.6728649987759907,-0.28385768828442454,-1.5245705574748902,-0.44811806937118526,-0.18426118909836176,-1.9910172451558812,-1.1559426019849248,-1.363243047847579,-0.5492839607266439,0.8139551070770837,0.6837881916380207,-0.7104401766270149,1.081101520140745,0.7206807566493019,-0.4408775809131538,0.9069311014480734,-0.4405651011220588
52,52,"then as now i walked at my own risk: whipped by the bough, tripped by the stump.",-0.23522588427440155,-0.24383403845127058,-0.18117221314808546,-0.24726187989243617,0.08037926829786651,-0.12801142057038278,-0.14147712807647078,-0.20836755111498162,0.02579782989386933,-0.0109664808945447,0.0373651918152859,0.06557659892480466,-2.0586768937296402,-1.913340660709868,-1.6728649987759907,-0.5110239165315007,-1.463628784994912,-0.44811806937118526,-0.18426118909836176,-2.132424719953885,-1.1559426019849248,-1.363243047847579,-0.5492839607266439,0.8135847698987735,0.6894722355694826,-0.9425821955523511,1.0099004094228967,0.7166166258670343,-0.39353166801869444,0.7330843406781643,-0.430911297080099
53,53,"asthmatic, lame and fat,",-0.24216991924624662,-0.2512132317310495,-0.16064245310081807,-0.24726187989243617,0.08961510023194366,-0.14582564149224617,-0.11154822812449666,-0.17854017166186567,0.02579782989386933,-0.019715109945263046,0.0373651918152859,0.062148664950327115,-2.1604237192492968,-2.0122972628843514,-1.5145176915894514,-0.41192620298744254,-1.463628784994912,-0.5778014069224425,-0.18426118909836176,-2.150100654303635,-1.0383933114812123,-1.137697785664507,-0.6455962092852101,0.8134072519162715,0.5947551531262554,-0.6058332885579714,1.0234322814542942,0.7235501970058386,-0.39058571332361997,0.38539081913834616,-0.42162712218773063
54,54,I never bounced a ball or swung a bat.,-0.24216991924624662,-0.2512132317310495,-0.16064245310081807,-0.24726187989243617,0.08961510023194366,-0.14582564149224617,-0.11154822812449666,-0.17854017166186567,0.02579782989386933,-0.019719301909350596,0.0373651918152859,0.060908316802003544,-2.1604237192492968,-2.0122972628843514,-1.5145176915894514,-0.41192620298744254,-1.463628784994912,-0.5778014069224425,-0.18426118909836176,-2.150100654303635,-1.0383933114812123,-1.137697785664507,-0.6455962092852101,0.8134373128937005,0.7004621236777068,-0.39798446510502766,1.022102558557183,0.7284341116546932,-0.3896438642813817,0.2115440583684372,-0.5667234647860472
55,55,i was the shadow of the waxwing slain by feigned remoteness in the windowpane.,-0.202489719407132,-0.20904641298945584,-0.14326976830803462,-0.2216591071174424,0.07405918535321646,-0.11177470958737928,-0.08773409063023897,-0.17854017166186567,0.0471513613961489,-0.019612406825118056,0.07241846204996014,0.06179432676425544,-1.8212646602675497,-1.6824390299408085,-1.3948183785630708,-0.4370707559073781,-1.3888242442696588,-0.3817386295798879,-0.18426118909836176,-1.7965819673086274,-0.9208440209775004,-0.9121525234814346,-0.45297171216807763,1.0486360316777135,0.8669710928766996,0.04133740903198037,0.8528493326289012,0.7288460772639707,-0.38937491789366596,0.2115440583684372,-0.305463042214072
56,56,"i had a brain, five senses (one unique), but otherwise i was a cloutish freak.",-0.16082550957606165,-0.16477125331078254,-0.10109023559332325,-0.18892882250765183,0.07035539609637664,-0.04803587802695526,-0.07569522004004868,-0.14730008532399502,0.06475842144543592,-0.022259632146406336,0.09158960558730979,0.06414665692145073,-1.589568665118613,-1.4570968799496535,-1.1609239049532287,-0.432733337127661,-1.1558630334969688,-0.04829941981905782,-0.0011616799537764288,-1.4253873459638697,-0.568196149466364,-0.7617890153593867,-0.16403496649237906,1.0497371846184094,0.8604320807714365,0.35626403687946373,1.3400213627480593,0.5349080333006766,-0.45137001203091026,0.2115440583684372,-0.10751306449825974
57,57,in sleeping dreams i played with other chaps but really envied nothingsave perhaps the miracle of a lemniscate left upon wet sand by nonchalantly deft bicycle tires.,-0.13304936968868142,-0.13525448019166697,-0.09508323021337031,-0.1465857752259314,0.10710959416850617,0.0028527498363657977,-0.07569522004004868,-0.14730008532399502,0.10865179175567727,0.0161681026441711,0.12121852696498266,0.09023351538548578,-1.3479079299650272,-1.2220632549923165,-1.0871305320647415,-0.22841123225253204,-0.8669861479946708,0.24674188947577672,-0.0011616799537764288,-1.1779242650673647,-0.568196149466364,-0.7617890153593867,0.12490177918331957,1.0491366752823952,0.8160136432859146,0.43210937744596106,1.3158024808954194,0.314561268765441,-0.08263811897370804,0.2115440583684372,-0.10125713971087273
58,58,"a thread of subtle pain,",-0.1280893447087921,-0.12998362784896778,-0.09508323021337033,-0.13713244373977984,0.09467431874873335,0.019410942611244444,-0.07569522004004868,-0.14730008532399502,0.07828232473021299,0.011076962259840749,0.09563520313060615,0.10647725308212111,-1.3124378265541594,-1.187565855251438,-1.0871305320647415,-0.31884013116407195,-0.9498357160309461,0.3287608337226598,-0.0011616799537764288,-1.1337344291929887,-0.568196149466364,-0.7617890153593867,0.22121402774188578,0.8140607177952139,0.8151601639127314,0.5330578656327157,1.31639297579436,0.5087125006787435,-0.12550010500757133,0.2115440583684372,-0.11996678741378491
