,sent_raw
196,"'I do not want red petals of hollyhocks or geranium. I want white petals that float when I tip the basin up. I have a fleet now swimming from shore to shore. I will drop a twig in as a raft for a drowning sailor. I will drop a stone in and see bubbles rise from the depths of the sea. Neville has gone and Susan has gone; Jinny is in the kitchen garden picking currants with Louis perhaps. I have a short time alone, while Miss Hudson spreads our copy-books on the schoolroom table. I have a short space of freedom. I have picked all the fallen petals and made them swim. I have put raindrops in some. I will plant a lighthouse here, a head of Sweet Alice. And I will now rock the brown basin from side to side so that my ships may ride the waves. Some will founder. Some will dash themselves against the cliffs. One sails alone. That is my ship. It sails into icy caverns where the sea-bear barks and stalactites swing green chains. The waves rise; their crests curl; look at the lights on the mastheads. They have scattered, they have foundered, all except my ship, which mounts the wave and sweeps before the gale and reaches the islands where the parrots chatter and the creepers . . .'"
197,'Where is Bernard?' said Neville.
198,"'He has my knife. We were in the tool-shed making boats, and Susan came past the door. And Bernard dropped his boat and went after her taking my knife, the sharp one that cuts the keel. He is like a dangling wire, a broken bell-pull, always twangling. He is like the seaweed hung outside the window, damp now, now dry. He leaves me in the lurch; he follows Susan; and if Susan cries he will take my knife and tell her stories. The big blade is an emperor; the broken blade a Negro. I hate dangling things; I hate dampish things. I hate wandering and mixing things together. Now the bell rings and we shall be late. Now we must drop our toys. Now we must go in together. The copy-books are laid out side by side on the green baize table.'"
199,"'I will not conjugate the verb,' said Louis, 'until Bernard has said it. My father is a banker in Brisbane and I speak with an Australian accent. I will wait and copy Bernard. He is English. They are all English. Susan's father is a clergyman. Rhoda has no father. Bernard and Neville are the sons of gentlemen. Jinny lives with her grandmother in London. Now they suck their pens. Now they twist their copy-books, and, looking sideways at Miss Hudson, count the purple buttons on her bodice. Bernard has a chip in his hair. Susan has a red look in her eyes. Both are flushed. But I am pale; I am neat, and my knickerbockers are drawn together by a belt with a brass snake. I know the lesson by heart. I know more than they will ever know. I knew my cases and my genders; I could know everything in the world if I wished. But I do not wish to come to the top and say my lesson. My roots are threaded, like fibres in a flower-pot, round and round about the world. I do not wish to come to the top and live in the light of this great clock, yellow-faced, which ticks and ticks. Jinny and Susan, Bernard and Neville bind themselves into a thong with which to lash me. They laugh at my neatness, at my Australian accent. I will now try to imitate Bernard softly lisping Latin.'"
200,"'Those are white words,' said Susan, 'like stones one picks up by the seashore.'"
201,"'They flick their tails right and left as I speak them,' said Bernard."
202,"'They wag their tails; they flick their tails; they move through the air in flocks, now this way, now that way, moving all together, now dividing, now coming together.'"
203,"'Those are yellow words, those are fiery words,' said Jinny."
204,"'I should like a fiery dress, a yellow dress, a fulvous dress to wear in the evening.'"
205,"'Each tense,' said Neville, 'means differently. There is an order in this world; there are distinctions, there are differences in this world, upon whose verge I step. For this is only a beginning.'"
206,"'Now Miss Hudson,' said Rhoda, 'has shut the book. Now the terror is beginning. Now taking her lump of chalk she draws figures, six, seven, eight, and then a cross and then a line on the blackboard. What is the answer? The others look; they look with understanding. Louis writes; Susan writes; Neville writes; Jinny writes; even Bernard has now begun to write. But I cannot write. I see only figures. The others are handing in their answers, one by one. Now it is my turn. But I have no answer. The others are allowed to go. They slam the door. Miss Hudson goes. I am left alone to find an answer. The figures mean nothing now. Meaning has gone. The clock ticks. The two hands are convoys marching through a desert. The black bars on the clock face are green oases. The long hand has marched ahead to find water. The other, painfully stumbles among hot stones in the desert. It will die in the desert. The kitchen door slams. Wild dogs bark far away. Look, the loop of the figure is beginning to fill with time; it holds the world in it. I begin to draw a figure and the world is looped in it, and I myself am outside the loop; which I now join--so--and seal up, and make entire. The world is entire, and I am outside of it, crying, ""Oh save me, from being blown for ever outside the loop of time!""'"
207,"'There Rhoda sits staring at the blackboard,' said Louis, 'in the schoolroom, while we ramble off, picking here a bit of thyme, pinching here a leaf of southernwood while Bernard tells a story. Her shoulder-blades meet across her back like the wings of a small butterfly. And as she stares at the chalk figures, her mind lodges in those white circles, it steps through those white loops into emptiness, alone. They have no meaning for her. She has no answer for them. She has no body as the others have. And I, who speak with an Australian accent, whose father is a banker in Brisbane, do not fear her as I fear the others.'"
208,"'Let us now crawl,' said Bernard, 'under the canopy of the currant leaves, and tell stories. Let us inhabit the underworld. Let us take possession of our secret territory, which is lit by pendant currants like candelabra, shining red on one side, black on the other. Here, Jinny, if we curl up close, we can sit under the canopy of the currant leaves and watch the censers swing. This is our universe. The others pass down the carriage-drive. The skirts of Miss Hudson and Miss Curry sweep by like candle extinguishers. Those are Susan's white socks. Those are Louis' neat sand-shoes firmly printing the gravel."
209,"Here come warm gusts of decomposing leaves, of rotting vegetation."
210,We are in a swamp now; in a malarial jungle.
211,"There is an elephant white with maggots, killed by an arrow shot dead in its eye."
212,"The bright eyes of hopping birds--eagles, vultures--are apparent."
213,They take us for fallen trees.
214,They pick at a worm--that is a hooded cobra--and leave it with a festering brown scar to be mauled by lions.
215,"This is our world, lit with crescents and stars of light; and great petals half transparent block the openings like purple windows."
216,Everything is strange.
217,Things are huge and very small.
218,The stalks of flowers are thick as oak trees.
219,Leaves are high as the domes of vast cathedrals.
220,"We are giants, lying here, who can make forests quiver."
221,"'This is here,' said Jinny, 'this is now. But soon we shall go. Soon Miss Curry will blow her whistle. We shall walk. We shall part. You will go to school. You will have masters wearing crosses with white ties. I shall have a mistress in a school on the East Coast who sits under a portrait of Queen Alexandra. That is where I am going, and Susan and Rhoda. This is only here; this is only now. Now we lie under the currant bushes and every time the breeze stirs we are mottled all over. My hand is like a snake's skin. My knees are pink floating islands. Your face is like an apple tree netted under.'"
222,"'The heat is going,' said Bernard, 'from the Jungle. The leaves flap black wings over us. Miss Curry has blown her whistle on the terrace. We must creep out from the awning of the currant leaves and stand upright. There are twigs in your hair, Jinny. There is a green caterpillar on your neck. We must form, two by two. Miss Curry is taking us for a brisk walk, while Miss Hudson sits at her desk settling her accounts.'"
223,"'It is dull,' said Jinny, 'walking along the high road with no windows to look at, with no bleared eyes of blue glass let into the pavement.'"
224,"'We must form into pairs,' said Susan, 'and walk in order, not shuffling our feet, not lagging, with Louis going first to lead us, because Louis is alert and not a wool-gatherer.'"
225,"'Since I am supposed,' said Neville, 'to be too delicate to go with them, since I get so easily tired and then am sick, I will use this hour of solitude, this reprieve from conversation, to coast round the purlieus of the house and recover, if I can, by standing on the same stair half-way up the landing, what I felt when I heard about the dead man through the swing-door last night when cook was shoving in and out the dampers."
226,He was found with his throat cut.
227,The apple-tree leaves became fixed in the sky; the moon glared; I was unable to lift my foot up the stair.
228,He was found in the gutter.
229,His blood gurgled down the gutter.
230,His jowl was white as a dead codfish.
231,"I shall call this stricture, this rigidity, ""death among the apple trees"" for ever."
232,"There were the floating, pale-grey clouds; and the immitigable tree; the implacable tree with its greaved silver bark."
233,The ripple of my life was unavailing.
234,I was unable to pass by.
235,There was an obstacle.
236,"""I cannot surmount this unintelligible obstacle,"" I said."
237,And the others passed on.
238,"But we are doomed, all of us, by the apple trees, by the immitigable tree which we cannot pass."
239,"'Now the stricture and rigidity are over; and I will continue to make my survey of the purlieus of the house in the late afternoon, in the sunset, when the sun makes oleaginous spots on the linoleum, and a crack of light kneels on the wall, making the chair legs look broken."
240,"'I saw Florrie in the kitchen garden,' said Susan, 'as we came back from our walk, with the washing blown out round her, the pyjamas, the drawers, the night-gowns blown tight. And Ernest kissed her. He was in his green baize apron, cleaning silver; and his mouth was sucked like a purse in wrinkles and he seized her with the pyjamas blown out hard between them. He was blind as a bull, and she swooned in anguish, only little veins streaking her white cheeks red. Now though they pass plates of bread and butter and cups of milk at tea-time I see a crack in the earth and hot steam hisses up; and the urn roars as Ernest roared, and I am blown out hard like the pyjamas, even while my teeth meet in the soft bread and butter, and I lap the sweet milk. I am not afraid of heat, nor of the frozen winter. Rhoda dreams, sucking a crust soaked in milk; Louis regards the wall opposite with snail-green eyes; Bernard moulds his bread into pellets and calls them ""people"". Neville with his clean and decisive ways has finished. He has rolled his napkin and slipped it through the silver ring. Jinny spins her fingers on the table-cloth, as if they were dancing in the sunshine, pirouetting. But I am not afraid of the heat or of the frozen winter.'"
241,"'Now,' said Louis, 'we all rise; we all stand up. Miss Curry spreads wide the black book on the harmonium. It is difficult not to weep as we sing, as we pray that God may keep us safe while we sleep, calling ourselves little children. When we are sad and trembling with apprehension it is sweet to sing together, leaning slightly, I towards Susan, Susan towards Bernard, clasping hands, afraid of much, I of my accent, Rhoda of figures; yet resolute to conquer.'"
242,"'We troop upstairs like ponies,' said Bernard, 'stamping, clattering one behind another to take our turns in the bathroom."
243,"We buffet, we tussle, we spring up and down on the hard, white beds."
244,My turn has come.
245,I come now.
246,"'Mrs Constable, girt in a bath-towel, takes her lemon-coloured sponge and soaks it in water; it turns chocolate-brown; it drips; and, holding it high above me, shivering beneath her, she squeezes it."
247,Water pours down the runnel of my spine.
248,Bright arrows of sensation shoot on either side.
249,I am covered with warm flesh.
250,My dry crannies are wetted; my cold body is warmed; it is sluiced and gleaming.
251,Water descends and sheets me like an eel.
252,"Now hot towels envelop me, and their roughness, as I rub my back, makes my blood purr."
253,Rich and heavy sensations form on the roof of my mind; down showers the day--the woods; and Elvedon; Susan and the pigeon.
254,"Pouring down the walls of my mind, running together, the day falls copious, resplendent."
255,"Now I tie my pyjamas loosely round me, and lie under this thin sheet afloat in the shallow light which is like a film of water drawn over my eyes by a wave."
256,"I hear through it far off, far away, faint and far, the chorus beginning; wheels; dogs; men shouting; church bells; the chorus beginning."
257,"'As I fold up my frock and my chemise,' said Rhoda, 'so I put off my hopeless desire to be Susan, to be Jinny. But I will stretch my toes so that they touch the rail at the end of the bed; I will assure myself, touching the rail, of something hard. Now I cannot sink; cannot altogether fall through the thin sheet now. Now I spread my body on this frail mattress and hang suspended. I am above the earth now. I am no longer upright, to be knocked against and damaged. All is soft, and bending. Walls and cupboards whiten and bend their yellow squares on top of which a pale glass gleams. Out of me now my mind can pour. I can think of my Armadas sailing on the high waves. I am relieved of hard contacts and collisions. I sail on alone under the white cliffs. Oh, but I sink, I fall! That is the corner of the cupboard; that is the nursery looking-glass. But they stretch, they elongate. I sink down on the black plumes of sleep; its thick wings are pressed to my eyes. Travelling through darkness I see the stretched flower-beds, and Mrs Constable runs from behind the corner of the pampas-grass to say my aunt has come to fetch me in a carriage. I mount; I escape; I rise on spring-heeled boots over the tree-tops. But I am now fallen into the carriage at the hall door, where she sits nodding yellow plumes with eyes hard like glazed marbles. Oh, to awake from dreaming! Look, there is the chest of drawers. Let me pull myself out of these waters. But they heap themselves on me; they sweep me between their great shoulders; I am turned; I am tumbled; I am stretched, among these long lights, these long waves, these endless paths, with people pursuing, pursuing.'"
258,The sun rose higher.
259,"Blue waves, green waves swept a quick fan over the beach, circling the spike of sea-holly and leaving shallow pools of light here and there on the sand."
260,A faint black rim was left behind them.
261,The rocks which had been misty and soft hardened and were marked with red clefts.
262,"Sharp stripes of shadow lay on the grass, and the dew dancing on the tips of the flowers and leaves made the garden like a mosaic of single sparks not yet formed into one whole."
263,"The birds, whose breasts were specked canary and rose, now sang a strain or two together, wildly, like skaters rollicking arm-in-arm, and were suddenly silent, breaking asunder."
264,The sun laid broader blades upon the house.
265,"The light touched something green in the window corner and made it a lump of emerald, a cave of pure green like stoneless fruit."
266,It sharpened the edges of chairs and tables and stitched white table-cloths with fine gold wires.
267,"As the light increased a bud here and there split asunder and shook out flowers, green veined and quivering, as if the effort of opening had set them rocking, and pealing a faint carillon as they beat their frail clappers against their white walls."
268,"Everything became softly amorphous, as if the china of the plate flowed and the steel of the knife were liquid."
269,"Meanwhile the concussion of the waves breaking fell with muffled thuds, like logs falling, on the shore."
270,"'Now,' said Bernard, 'the time has come. The day has come. The cab is at the door. My huge box bends George's bandy-legs even wider."
271,"The horrible ceremony is over, the tips, and the good-byes in the hall."
272,"Now there is this gulping ceremony with my mother, this hand-shaking ceremony with my father; now I must go on waving, I must go on waving, till we turn the corner."
273,Now that ceremony is over.
274,"Heaven be praised, all ceremonies are over."
275,I am alone; I am going to school for the first time.
276,'Everybody seems to be doing things for this moment only; and never again.
277,Never again.
278,The urgency of it all is fearful.
279,"Everybody knows I am going to school, going to school for the first time."
280,"""That boy is going to school for the first time,"" says the housemaid, cleaning the steps."
281,I must not cry.
282,I must behold them indifferently.
283,"Now the awful portals of the station gape; ""the moon-faced clock regards me."""
284,"I must make phrases and phrases and so interpose something hard between myself and the stare of housemaids, the stare of clocks, staring faces, indifferent faces, or I shall cry."
285,"There is Louis, there is Neville, in long coats, carrying handbags, by the booking-office."
286,They are composed.
287,But they look different.
288,"'Here is Bernard,' said Louis."
289,"'He is composed; he is easy. He swings his bag as he walks. I will follow Bernard, because he is not afraid. We are drawn through the booking-office on to the platform as a stream draws twigs and straws round the piers of a bridge. There is the very powerful, bottle-green engine without a neck, all back and thighs, breathing steam. The guard blows his whistle; the flag is dipped; without an effort, of its own momentum, like an avalanche started by a gentle push, we start forward. Bernard spreads a rug and plays knuckle-bones. Neville reads. London crumbles. London heaves and surges. There is a bristling of chimneys and towers. There a white church; there a mast among the spires. There a canal. Now there are open spaces with asphalt paths upon which it is strange that people should now be walking. There is a hill striped with red houses. A man crosses a bridge with a dog at his heels. Now the red boy begins firing at a pheasant. The blue boy shoves him aside. ""My uncle is the best shot in England. My cousin is Master of Foxhounds."""
290,"Boasting begins. And I cannot boast, for my father is a banker in Brisbane, and I speak with an Australian accent.'"
291,"'After all this hubbub,' said Neville, 'all this scuffling and hubbub, we have arrived."
292,This is indeed a moment--this is indeed a solemn moment.
293,"I come, like a lord to his halls appointed."
294,"That is our founder; our illustrious founder, standing in the courtyard with one foot raised."
295,I salute our founder.
296,A noble Roman air hangs over these austere quadrangles.
297,Already the lights are lit in the form rooms.
298,"Those are laboratories perhaps; and that a library, where I shall explore the exactitude of the Latin language, and step firmly upon the well-laid sentences, and pronounce the explicit, the sonorous hexameters of Virgil, of Lucretius; and chant with a passion that is never obscure or formless the loves of Catullus, reading from a big book, a quarto with margins."
299,"I shall lie, too, in the fields among the tickling grasses."
300,I shall lie with my friends under the towering elm trees.
301,"'Behold, the Headmaster."
302,"Alas, that he should excite my ridicule."
303,"He is too sleek, he is altogether too shiny and black, like some statue in a public garden."
304,"And on the left side of his waistcoat, his taut, his drum-like waistcoat, hangs a crucifix."
305,"'Old Crane,' said Bernard, 'now rises to address us. Old Crane, the Headmaster, has a nose like a mountain at sunset, and a blue cleft in his chin, like a wooded ravine, which some tripper has fired; like a wooded ravine seen from the train window. He sways slightly, mouthing out his tremendous and sonorous words. I love tremendous and sonorous words. But his words are too hearty to be true. Yet he is by this time convinced of their truth. And when he leaves the room, lurching rather heavily from side to side, and hurls his way through the swing-doors, all the masters, lurching rather heavily from side to side, hurl themselves also through the swing-doors. This is our first night at school, apart from our sisters.'"
306,"'This is my first night at school,' said Susan, 'away from my father, away from my home. My eyes swell; my eyes prick with tears. I hate the smell of pine and linoleum. I hate the wind-bitten shrubs and the sanitary tiles. I hate the cheerful jokes and the glazed look of everyone. I left my squirrel and my doves for the boy to look after. The kitchen door slams, and shot patters among the leaves when Percy fires at the rooks. All here is false; all is meretricious. Rhoda and Jinny sit far off in brown serge, and look at Miss Lambert who sits under a picture of Queen Alexandra reading from a book before her. There is also a blue scroll of needlework embroidered by some old girl. If I do not purse my lips, if I do not screw my handkerchief, I shall cry.'"
