,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
205,transformer_roberta15lg,peak,233,The ripple of my life was unavailing.,-1.1927708526343905,13,7,The ripple of my life was unavailing.
45,baseline_textblob,valley,247,Water pours down the runnel of my spine.,-0.16367277072035327,23,8,Water pours down the runnel of my spine.
88,baseline_stanza,peak,296,A noble Roman air hangs over these austere quadrangles.,0.20086819112026902,27,9,A noble Roman air hangs over these austere quadrangles.
59,baseline_flair,peak,334,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture.""",0.06985757458168664,26,11,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture."""
120,sentimentr_jockers,peak,334,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture.""",2.0162658036978343,45,11,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture."""
148,sentimentr_jockers,peak,334,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture.""",1.9366998044401884,44,11,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture."""
176,syuzhetr_syuzhet,peak,334,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture.""",0.6577263418351301,31,11,"Up they bubble--images. ""Like a camel,"" . . . ""a vulture."""
250,transformer_huggingface,valley,372,I cannot follow any thought from present to past.,-0.9214241636763675,16,9,I cannot follow any thought from present to past.
135,sentimentr_jockers,valley,413,"We will pitch here in the long grass and pretend to watch Jinny and Clara, Betty and Mavis.",0.9979520475488151,35,18,"We will pitch here in the long grass and pretend to watch Jinny and Clara, Betty and Mavis."
163,sentimentr_jockers,valley,418,I buried her sixpence.,1.307188222319339,38,4,I buried her sixpence.
206,transformer_roberta15lg,peak,430,"I am out of breath with running, with triumph.",-0.10528608028531351,24,9,"I am out of breath with running, with triumph."
236,transformer_huggingface,peak,432,"My blood must be bright red, whipped up, slapping against my ribs.",0.20143535268052126,27,12,"My blood must be bright red, whipped up, slapping against my ribs."
1,baseline_vader,peak,435,"But the pulse drums so in my forehead, behind my eyes, that everything dances--the net, the grass; your faces leap like butterflies; the trees seem to jump up and down.",0.0815314347172517,26,30,"But the pulse drums so in my forehead, behind my eyes, that everything dances--the net, the grass; y"
31,baseline_textblob,peak,443,We must go to tea now.,-0.056647702484221255,24,6,We must go to tea now.
46,baseline_textblob,valley,492,I shall clip yew hedges in a west country garden.,-0.100373179993397,24,10,I shall clip yew hedges in a west country garden.
89,baseline_stanza,peak,493,An admiral I might have been; or a judge; not a schoolmaster.,0.08897240182749233,26,12,An admiral I might have been; or a judge; not a schoolmaster.
75,baseline_flair,valley,494,"What forces, he asks, staring at the gas-fire with his shoulders hunched up more hugely than we know them (he is in his shirt-sleeves remember), have brought me to this?",0.012737639735489166,25,30,"What forces, he asks, staring at the gas-fire with his shoulders hunched up more hugely than we know"
191,syuzhetr_syuzhet,valley,505,"'Bernard's stories amuse me,' said Neville, 'at the start.",-0.008729176440993533,25,9,"'Bernard's stories amuse me,' said Neville, 'at the start."
105,baseline_stanza,valley,507,He sees everyone with blurred edges.,0.012597205381944981,25,6,He sees everyone with blurred edges.
17,baseline_vader,valley,526,"But nature is too vegetable, too vapid.",-0.001333552047000317,25,7,"But nature is too vegetable, too vapid."
60,baseline_flair,peak,543,"For something has grown in me here, through the winters and summers, on staircases, in bedrooms.",0.10464399406242847,26,16,"For something has grown in me here, through the winters and summers, on staircases, in bedrooms."
149,sentimentr_jockers,peak,546,"I want to give, to be given, and solitude in which to unfold my possessions.",1.1074674120534918,36,15,"I want to give, to be given, and solitude in which to unfold my possessions."
221,transformer_roberta15lg,valley,562,"I feel its slopes, its thinness.",-1.8633926900019109,6,6,"I feel its slopes, its thinness."
121,sentimentr_jockers,peak,569,I cannot be prevented from pirouetting behind Miss Matthews into prayers.,1.2163982267073037,37,11,I cannot be prevented from pirouetting behind Miss Matthews into prayers.
177,syuzhetr_syuzhet,peak,569,I cannot be prevented from pirouetting behind Miss Matthews into prayers.,1.2490882805871835,37,11,I cannot be prevented from pirouetting behind Miss Matthews into prayers.
251,transformer_huggingface,valley,569,I cannot be prevented from pirouetting behind Miss Matthews into prayers.,-0.41114068631878026,21,11,I cannot be prevented from pirouetting behind Miss Matthews into prayers.
136,sentimentr_jockers,valley,640,I will not examine it until I step out on to the platform in the evening.,0.27470598499676324,28,16,I will not examine it until I step out on to the platform in the evening.
164,sentimentr_jockers,valley,640,I will not examine it until I step out on to the platform in the evening.,0.10672190311317736,26,16,I will not examine it until I step out on to the platform in the evening.
237,transformer_huggingface,peak,677,"That was at midsummer, after the garden party and my humiliation at the garden party.",0.32906483774751344,28,15,"That was at midsummer, after the garden party and my humiliation at the garden party."
47,baseline_textblob,valley,687,"I returned very painfully, drawing myself back into my body over the grey, cadaverous space of the puddle.",-0.004575513139394328,25,18,"I returned very painfully, drawing myself back into my body over the grey, cadaverous space of the p"
76,baseline_flair,valley,691,"It is to this we are attached; it is to this we are bound, as bodies to wild horses.",0.07289639716419931,26,19,"It is to this we are attached; it is to this we are bound, as bodies to wild horses."
2,baseline_vader,peak,698,At last we are on the top of the moor.,0.1022588274150084,26,10,At last we are on the top of the moor.
32,baseline_textblob,peak,700,We come carrying these appliances with us over the top of the moor.,0.04091650744589452,25,13,We come carrying these appliances with us over the top of the moor.
192,syuzhetr_syuzhet,valley,725,"My method, nevertheless, has certain advantages over theirs.",0.7459612977759128,32,8,"My method, nevertheless, has certain advantages over theirs."
106,baseline_stanza,valley,727,"Louis, glancing, tripping with the high step of a disdainful crane, picks up words as if in sugar-tongs.",-0.040888564198566804,25,18,"Louis, glancing, tripping with the high step of a disdainful crane, picks up words as if in sugar-to"
18,baseline_vader,valley,727,"Louis, glancing, tripping with the high step of a disdainful crane, picks up words as if in sugar-tongs.",0.06963585907340908,26,18,"Louis, glancing, tripping with the high step of a disdainful crane, picks up words as if in sugar-to"
90,baseline_stanza,peak,797,"In the garden the birds that had sung erratically and spasmodically in the dawn on that tree, on that bush, now sang together in chorus, shrill and sharp; now together, as if conscious of companionship, now alone as if to the pale blue sky.",0.013021375657388744,25,44,"In the garden the birds that had sung erratically and spasmodically in the dawn on that tree, on tha"
207,transformer_roberta15lg,peak,804,"Or they fixed their gaze on the small bright apple leaves, dancing yet withheld, stiffly sparkling among the pink-tipped blossoms.",0.7698447034920807,33,20,"Or they fixed their gaze on the small bright apple leaves, dancing yet withheld, stiffly sparkling a"
122,sentimentr_jockers,peak,809,"The skin of rotten fruit broke, and matter oozed too thick to run.",1.8361827823496653,43,13,"The skin of rotten fruit broke, and matter oozed too thick to run."
150,sentimentr_jockers,peak,809,"The skin of rotten fruit broke, and matter oozed too thick to run.",1.76444436361493,43,13,"The skin of rotten fruit broke, and matter oozed too thick to run."
252,transformer_huggingface,valley,821,"'The complexity of things becomes more close,' said Bernard, 'here at college, where the stir and pressure of life are so extreme, where the excitement of mere living becomes daily more urgent.",1.0321736728786293,35,32,"'The complexity of things becomes more close,' said Bernard, 'here at college, where the stir and pr"
222,transformer_roberta15lg,valley,835,"Feeling this painfully, I invited him to dinner with ardour.",-0.22620302566941847,23,10,"Feeling this painfully, I invited him to dinner with ardour."
178,syuzhetr_syuzhet,peak,858,"I shall pass from the service for the man who was drowned (I have a phrase for that) to Mrs Moffat and her sayings (I have a note of them), and so to some reflections apparently casual but full of profundity (profound criticism is often written casually) about some book I have been reading, some out-of-the-way book.",1.7897620531604894,43,57,I shall pass from the service for the man who was drowned (I have a phrase for that) to Mrs Moffat a
238,transformer_huggingface,peak,882,The note is of distinguished poverty and military connections.,1.8198243325170236,43,9,The note is of distinguished poverty and military connections.
61,baseline_flair,peak,883,A hunter's hoof on the writing table--a favourite horse.,0.22902159334507902,27,9,A hunter's hoof on the writing table--a favourite horse.
3,baseline_vader,peak,909,I like views of spires across grey fields.,0.19863068441575996,27,8,I like views of spires across grey fields.
33,baseline_textblob,peak,915,I made my transitions easily.,0.18763538629010232,27,5,I made my transitions easily.
107,baseline_stanza,valley,936,"Yet even as I feel this, I lash my frenzy higher and higher.",-0.09216811849098927,24,13,"Yet even as I feel this, I lash my frenzy higher and higher."
193,syuzhetr_syuzhet,valley,952,"Now that we look at the tree together, it has a combined look, each branch distinct, and I will tell you what I feel, under the compulsion of your clarity.",0.2860131231909822,28,30,"Now that we look at the tree together, it has a combined look, each branch distinct, and I will tell"
137,sentimentr_jockers,valley,977,(You have done as much for me.),0.7103481805227314,32,7,(You have done as much for me.)
165,sentimentr_jockers,valley,977,(You have done as much for me.),0.7688560702437047,33,7,(You have done as much for me.)
91,baseline_stanza,peak,994,The lights are beginning to make yellow slits across the square.,-0.07091521461256232,24,11,The lights are beginning to make yellow slits across the square.
77,baseline_flair,valley,997,"The leaves now are thick in country lanes, sheep cough in the damp fields; but here in your room we are dry.",0.08105123677249237,26,22,"The leaves now are thick in country lanes, sheep cough in the damp fields; but here in your room we "
253,transformer_huggingface,valley,1017,"I speak quickly, as I pace up and down, to conceal my agitation.",0.306811929152353,28,13,"I speak quickly, as I pace up and down, to conceal my agitation."
123,sentimentr_jockers,peak,1029,"The desire which is loaded behind my lips, cold as lead, fell as a bullet, the thing I aim at shop-girls, women, the pretence, the vulgarity of life (because I love it) shoots at you as I throw--catch it--my poem.",1.3901861253330576,39,40,"The desire which is loaded behind my lips, cold as lead, fell as a bullet, the thing I aim at shop-g"
151,sentimentr_jockers,peak,1030,"'He has shot like an arrow from the room,' said Bernard.",1.4063536139466015,39,11,"'He has shot like an arrow from the room,' said Bernard."
208,transformer_roberta15lg,peak,1035,"""You are not Byron; you are your self.""",1.2384837413313146,37,8,"""You are not Byron; you are your self."""
48,baseline_textblob,valley,1048,"'Now they have returned, my inmates, my familiars.",0.07632486939968969,26,8,"'Now they have returned, my inmates, my familiars."
223,transformer_roberta15lg,valley,1048,"'Now they have returned, my inmates, my familiars.",0.8286197105815937,33,8,"'Now they have returned, my inmates, my familiars."
19,baseline_vader,valley,1060,And youth and love.,0.09572239111457681,26,4,And youth and love.
179,syuzhetr_syuzhet,peak,1075,That I see and Neville does not see; that I feel and Neville does not feel.,0.7271879028948951,32,16,That I see and Neville does not see; that I feel and Neville does not feel.
62,baseline_flair,peak,1107,I cannot therefore concentrate on my dinner.,0.14580622722555636,26,7,I cannot therefore concentrate on my dinner.
34,baseline_textblob,peak,1117,"The waitresses, balancing trays, swing in and out, round and round, dealing plates of greens, of apricot and custard, dealing them at the right time, to the right customers.",0.009904508230473097,25,29,"The waitresses, balancing trays, swing in and out, round and round, dealing plates of greens, of apr"
4,baseline_vader,peak,1140,"'My roots go down through veins of lead and silver, through damp, marshy places that exhale odours, to a knot made of oak roots bound together in the centre.",0.09301739461510146,26,29,"'My roots go down through veins of lead and silver, through damp, marshy places that exhale odours, "
239,transformer_huggingface,peak,1171,I was sent to school; I was sent to Switzerland to finish my education.,1.6314079874546414,41,14,I was sent to school; I was sent to Switzerland to finish my education.
108,baseline_stanza,valley,1217,The meat is stood in the oven; the bread rises in a soft dome under the clean towel.,-0.21711588151490321,23,18,The meat is stood in the oven; the bread rises in a soft dome under the clean towel.
92,baseline_stanza,peak,1235,The only people in the streets are poor people hurrying.,-0.20249225195832057,23,10,The only people in the streets are poor people hurrying.
209,transformer_roberta15lg,peak,1235,The only people in the streets are poor people hurrying.,0.7269711694526998,32,10,The only people in the streets are poor people hurrying.
49,baseline_textblob,valley,1246,This is the momentary pause; the dark moment.,-0.10348631638333704,24,8,This is the momentary pause; the dark moment.
20,baseline_vader,valley,1261,Our bodies communicate.,-0.022864850477539247,25,3,Our bodies communicate.
138,sentimentr_jockers,valley,1263,This is my world.,-0.7040041812220844,18,4,This is my world.
166,sentimentr_jockers,valley,1263,This is my world.,-0.8156517976087195,17,4,This is my world.
194,syuzhetr_syuzhet,valley,1263,This is my world.,-0.16830303292964274,23,4,This is my world.
254,transformer_huggingface,valley,1265,"'Here are gilt chairs in the empty, the expectant rooms, and flowers, stiller, statelier, than flowers that grow, spread green, spread white, against the walls.",0.6874210463380034,32,25,"'Here are gilt chairs in the empty, the expectant rooms, and flowers, stiller, statelier, than flowe"
224,transformer_roberta15lg,valley,1265,"'Here are gilt chairs in the empty, the expectant rooms, and flowers, stiller, statelier, than flowers that grow, spread green, spread white, against the walls.",0.09243421436094715,26,25,"'Here are gilt chairs in the empty, the expectant rooms, and flowers, stiller, statelier, than flowe"
78,baseline_flair,valley,1266,And on one small table is one bound book.,0.0017913880725766338,25,9,And on one small table is one bound book.
124,sentimentr_jockers,peak,1373,But what answer shall I give?,1.1376099346075024,36,6,But what answer shall I give?
152,sentimentr_jockers,peak,1373,But what answer shall I give?,0.9472595881453199,34,6,But what answer shall I give?
180,syuzhetr_syuzhet,peak,1373,But what answer shall I give?,1.4687370006950893,40,6,But what answer shall I give?
35,baseline_textblob,peak,1384,Tongues with their whips are upon me.,0.03509261944451518,25,7,Tongues with their whips are upon me.
5,baseline_vader,peak,1386,What amulet is there against this disaster?,0.0956318298101905,26,7,What amulet is there against this disaster?
63,baseline_flair,peak,1405,"There is, then, a world immune from change.",0.12998082915437595,26,8,"There is, then, a world immune from change."
240,transformer_huggingface,peak,1405,"There is, then, a world immune from change.",2.2606663601599264,48,8,"There is, then, a world immune from change."
109,baseline_stanza,valley,1426,Their round eyes bulged with brightness; their claws gripped the twig or rail.,-0.2635160579939867,22,13,Their round eyes bulged with brightness; their claws gripped the twig or rail.
210,transformer_roberta15lg,peak,1433,"They tapped furiously, methodically, until the shell broke and something slimy oozed from the crack.",0.31117252760959074,28,15,"They tapped furiously, methodically, until the shell broke and something slimy oozed from the crack."
93,baseline_stanza,peak,1465,"'Meanwhile as I stand looking from the train window, I feel strangely, persuasively, that because of my great happiness (being engaged to be married) I am become part of this speed, this missile hurled at the city.",-0.1872563671682386,23,37,"'Meanwhile as I stand looking from the train window, I feel strangely, persuasively, that because of"
195,syuzhetr_syuzhet,valley,1480,"But I do not wish to be first through the gate, to assume the burden of individual life.",0.6220568915611974,31,18,"But I do not wish to be first through the gate, to assume the burden of individual life."
50,baseline_textblob,valley,1485,"'Having dropped off satisfied like a child from the breast, I am at liberty now to sink down, deep, into what passes, this omnipresent, general life.",0.0004020004097706219,25,26,"'Having dropped off satisfied like a child from the breast, I am at liberty now to sink down, deep, "
139,sentimentr_jockers,valley,1554,They retrieve me from darkness.,-0.7521776200256507,17,5,They retrieve me from darkness.
167,sentimentr_jockers,valley,1554,They retrieve me from darkness.,-0.7862895361313292,17,5,They retrieve me from darkness.
21,baseline_vader,valley,1556,"Thank Heaven, I need not be alone.",0.034410298168832905,25,7,"Thank Heaven, I need not be alone."
225,transformer_roberta15lg,valley,1568,And what is he saying to the lady in ear-rings; is she a friend or a customer?,-0.8934411879807458,16,17,And what is he saying to the lady in ear-rings; is she a friend or a customer?
255,transformer_huggingface,valley,1594,I have seen the door open and shut twenty times already; each time the suspense sharpens.,0.22126453071235722,27,16,I have seen the door open and shut twenty times already; each time the suspense sharpens.
79,baseline_flair,valley,1601,The blankness of the white table-cloth glares.,0.06584436502104588,26,7,The blankness of the white table-cloth glares.
181,syuzhetr_syuzhet,peak,1608,Yet somebody must be seeing him now.,0.3329466103935272,28,7,Yet somebody must be seeing him now.
6,baseline_vader,peak,1613,That is Louis hesitating there.,0.11651178347456703,26,5,That is Louis hesitating there.
125,sentimentr_jockers,peak,1629,"'The door opens, the door goes on opening,' said Neville, 'yet he does not come.'",0.7271445458626515,32,15,"'The door opens, the door goes on opening,' said Neville, 'yet he does not come.'"
110,baseline_stanza,valley,1631,"'She stands in the door. Everything seems stayed. The waiter stops. The diners at the table by the door look. She seems to centre everything; round her tables, lines of doors, windows, ceilings, ray themselves, like rays round the star in the middle of a smashed window-pane. She brings things to a point, to order. Now she sees us, and moves, and all the rays ripple and flow and waver over us, bringing in new tides of sensation. We change. Louis puts his hand to his tie. Neville, who sits waiting with agonized intensity, nervously straightens the forks in front of him. Rhoda sees her with surprise, as if on some far horizon a fire blazed. And I, though I pile my mind with damp grass, with wet fields, with the sound of rain on the roof and the gusts of wind that batter at the house in winter and so protect my soul against her, feel her derision steal round me, feel her laughter curl its tongues of fire round me and light up unsparingly my shabby dress, my square-tipped finger-nails, which I at once hide under the table-cloth.'",0.14997559228137247,26,190,'She stands in the door. Everything seems stayed. The waiter stops. The diners at the table by the d
153,sentimentr_jockers,peak,1634,That is Bernard.,0.6014498571263108,31,3,That is Bernard.
241,transformer_huggingface,peak,1635,"As he pulls off his coat he shows, of course, the blue shirt under his arm-pits.",1.4107902352014672,39,16,"As he pulls off his coat he shows, of course, the blue shirt under his arm-pits."
64,baseline_flair,peak,1637,He does not look in the glass.,0.1362958996690394,26,7,He does not look in the glass.
36,baseline_textblob,peak,1637,He does not look in the glass.,0.06828842037747274,26,7,He does not look in the glass.
211,transformer_roberta15lg,peak,1659,"'The boot-boy made love to the scullery-maid in the kitchen garden,' said Susan, 'among the blown-out washing.'",0.6472140316490861,31,17,"'The boot-boy made love to the scullery-maid in the kitchen garden,' said Susan, 'among the blown-ou"
94,baseline_stanza,peak,1660,"'The breath of the wind was like a tiger panting,' said Rhoda.",0.20438711072823595,27,12,"'The breath of the wind was like a tiger panting,' said Rhoda."
196,syuzhetr_syuzhet,valley,1706,"'But since I wish above all things to have lodgment, I pretend, as I go upstairs lagging behind Jinny and Susan, to have an end in view.",-1.1013407585162152,14,27,"'But since I wish above all things to have lodgment, I pretend, as I go upstairs lagging behind Jinn"
226,transformer_roberta15lg,valley,1775,'But his slippers?' said Neville.,-0.6170238483437247,19,5,'But his slippers?' said Neville.
51,baseline_textblob,valley,1780,"'Horns and trumpets,' said Rhoda, 'ring out. Leaves unfold; the stags blare in the thicket. There is a dancing and a drumming, like the dancing and the drumming of naked men with assegais.'",-0.0866713349292358,24,33,"'Horns and trumpets,' said Rhoda, 'ring out. Leaves unfold; the stags blare in the thicket. There is"
7,baseline_vader,peak,1813,"'Happiness is in it,' said Neville, 'and the quiet of ordinary things. A table, a chair, a book with a paper-knife stuck between the pages. And the petal falling from the rose, and the light flickering as we sit silent, or, perhaps, bethinking us of some trifle, suddenly speak.'",-0.01534408246097084,25,49,"'Happiness is in it,' said Neville, 'and the quiet of ordinary things. A table, a chair, a book with"
126,sentimentr_jockers,peak,1829,"'Peaked clouds,' said Rhoda, 'voyage over a sky dark like polished whalebone.'",-1.424439519220572,11,12,"'Peaked clouds,' said Rhoda, 'voyage over a sky dark like polished whalebone.'"
154,sentimentr_jockers,peak,1829,"'Peaked clouds,' said Rhoda, 'voyage over a sky dark like polished whalebone.'",-1.1849442152144327,13,12,"'Peaked clouds,' said Rhoda, 'voyage over a sky dark like polished whalebone.'"
80,baseline_flair,valley,1832,The sun had risen to its full height.,-0.014834211089380305,25,8,The sun had risen to its full height.
256,transformer_huggingface,valley,1832,The sun had risen to its full height.,0.2013427998322442,27,8,The sun had risen to its full height.
65,baseline_flair,peak,1844,The trees' shadow was sunk to a dark pool at the root.,-0.002801793925087874,25,12,The trees' shadow was sunk to a dark pool at the root.
242,transformer_huggingface,peak,1844,The trees' shadow was sunk to a dark pool at the root.,0.34166568733283087,28,12,The trees' shadow was sunk to a dark pool at the root.
111,baseline_stanza,valley,1853,The waves broke and spread their waters swiftly over the shore.,0.12705636223606892,26,11,The waves broke and spread their waters swiftly over the shore.
95,baseline_stanza,peak,1861,The sails of the world have swung round and caught me on the head.,0.13246269253928714,26,14,The sails of the world have swung round and caught me on the head.
37,baseline_textblob,peak,1876,They came running.,-0.049808359225314486,24,3,They came running.
140,sentimentr_jockers,valley,1899,Percival fell; was killed; is buried; and I watch people passing; holding tight to the rails of omnibuses; determined to save their lives.,-2.326749864041858,2,23,Percival fell; was killed; is buried; and I watch people passing; holding tight to the rails of omni
22,baseline_vader,valley,1904,Women shuffle past with shopping-bags.,-0.06514513699380435,24,5,Women shuffle past with shopping-bags.
168,sentimentr_jockers,valley,1904,Women shuffle past with shopping-bags.,-2.199257614509594,3,5,Women shuffle past with shopping-bags.
197,syuzhetr_syuzhet,valley,1904,Women shuffle past with shopping-bags.,-2.541260145890263,0,5,Women shuffle past with shopping-bags.
212,transformer_roberta15lg,peak,1929,"He lies on a camp-bed, bandaged, in some hot Indian hospital while coolies squatted on the floor agitate those fans--I forget how they call them.",-0.12633703548337522,24,25,"He lies on a camp-bed, bandaged, in some hot Indian hospital while coolies squatted on the floor agi"
182,syuzhetr_syuzhet,peak,1944,Curiosity is knocked out for only a short time.,-1.3679229658266656,11,9,Curiosity is knocked out for only a short time.
81,baseline_flair,valley,2028,"What, then, can I touch?",-0.09091766363970344,24,5,"What, then, can I touch?"
52,baseline_textblob,valley,2028,"What, then, can I touch?",-0.0751719734434353,24,5,"What, then, can I touch?"
257,transformer_huggingface,valley,2030,and so draw myself across the enormous gulf into my body safely?,-1.1442894564725108,13,12,and so draw myself across the enormous gulf into my body safely?
227,transformer_roberta15lg,valley,2036,I will do the usual things under the lightning flash.,-1.0687849140338976,14,10,I will do the usual things under the lightning flash.
112,baseline_stanza,valley,2052,And I could believe that beauty is once more set flowing.,-0.1389144186753586,24,11,And I could believe that beauty is once more set flowing.
96,baseline_stanza,peak,2083,"Decorous, portly--we have white hair waved under our hats; slim shoes; little bags; clean-shaven cheeks; here and there a military moustache; not a speck of dust has been allowed to settle anywhere on our broadcloth.",-0.09887382893303948,24,35,"Decorous, portly--we have white hair waved under our hats; slim shoes; little bags; clean-shaven che"
141,sentimentr_jockers,valley,2096,"'""Like"" and ""like"" and ""like""--but what is the thing that lies beneath the semblance of the thing?",-1.046792619129326,14,17,"'""Like"" and ""like"" and ""like""--but what is the thing that lies beneath the semblance of the thing?"
38,baseline_textblob,peak,2100,They place it very accurately; they make a perfect dwelling-place.,-0.011833846525929451,25,10,They place it very accurately; they make a perfect dwelling-place.
155,sentimentr_jockers,peak,2117,A square stands upon an oblong.,-0.5454279290416447,19,6,A square stands upon an oblong.
8,baseline_vader,peak,2125,"I will pace this embankment, where an old man reads a newspaper in a glass shelter.",-0.0644485115754486,24,16,"I will pace this embankment, where an old man reads a newspaper in a glass shelter."
127,sentimentr_jockers,peak,2143,The river water held the reeds now fixed as if glass had hardened round them; and then the glass wavered and the reeds swept low.,-0.5397610992360365,20,25,The river water held the reeds now fixed as if glass had hardened round them; and then the glass wav
66,baseline_flair,peak,2145,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap dripped one, two, three separate drops in succession.",0.032153818853877095,25,28,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap "
183,syuzhetr_syuzhet,peak,2145,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap dripped one, two, three separate drops in succession.",-0.3522823027636131,21,28,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap "
243,transformer_huggingface,peak,2145,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap dripped one, two, three separate drops in succession.",0.030297145536464575,25,28,"In the bucket near the house the tap stopped dripping, as if the bucket were full, and then the tap "
