,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
23,23,When they were grown up he was going to marry Eileen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,He hid under the table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,His mother said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"O, Stephen will apologize.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Dante said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,"O, if not, the eagles will come and pull out his eyes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"Pull out his eyes, Apologize, Apologize, Pull out his eyes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,"Apologize, Pull out his eyes, Pull out his eyes, Apologize.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,The wide playgrounds were swarming with boys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,All were shouting and the prefects urged them on with strong cries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,The evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,"He kept on the fringe of his line, out of sight of his prefect, out of the reach of the rude feet, feigning to run now and then.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,Rody Kickham was not like that: he would be captain of the third line all the fellows said.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,Rody Kickham was a decent fellow but Nasty Roche was a stink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,Rody Kickham had greaves in his number and a hamper in the refectory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,Nasty Roche had big hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,He called the Friday pudding dog-in-the-blanket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,And one day he had asked:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,What is your name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,Stephen had answered: Stephen Dedalus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Then Nasty Roche had said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,What kind of a name is that?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,And when Stephen had not been able to answer Nasty Roche had asked:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,What is your father?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Stephen had answered:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,A gentleman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,Then Nasty Roche had asked:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,Is he a magistrate?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,"He crept about from point to point on the fringe of his line, making little runs now and then.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,But his hands were bluish with cold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,He kept his hands in the side pockets of his belted grey suit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,That was a belt round his pocket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,And belt was also to give a fellow a belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,One day a fellow said to Cantwell:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,I'd give you such a belt in a second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,Cantwell had answered:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,Go and fight your match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Give Cecil Thunder a belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,I'd like to see you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,He'd give you a toe in the rump for yourself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,That was not a nice expression.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,His mother had told him not to speak with the rough boys in the college.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Nice mother!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,But he had pretended not to see that she was going to cry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,She was a nice mother but she was not so nice when she cried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,And his father had given him two five-shilling pieces for pocket money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,"And his father had told him if he wanted anything to write home to him and, whatever he did, never to peach on a fellow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,"Then at the door of the castle the rector had shaken hands with his father and mother, his soutane fluttering in the breeze, and the car had driven off with his father and mother on it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"They had cried to him from the car, waving their hands:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,"Goodbye, Stephen, goodbye!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,"Goodbye, Stephen, goodbye!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,"He was caught in the whirl of a scrimmage and, fearful of the flashing eyes and muddy boots, bent down to look through the legs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,The fellows were struggling and groaning and their legs were rubbing and kicking and stamping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,Then Jack Lawton's yellow boots dodged out the ball and all the other boots and legs ran after.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,He ran after them a little way and then stopped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,It was useless to run on.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Soon they would be going home for the holidays.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,After supper in the study hall he would change the number pasted up inside his desk from seventy-seven to seventy-six.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,It would be better to be in the study hall than out there in the cold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,The sky was pale and cold but there were lights in the castle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,He wondered from which window Hamilton Rowan had thrown his hat on the ha-ha and had there been flowerbeds at that time under the windows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,One day when he had been called to the castle the butler had shown him the marks of the soldiers' slugs in the wood of the door and had given him a piece of shortbread that the community ate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,It was nice and warm to see the lights in the castle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,It was like something in a book.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,Perhaps Leicester Abbey was like that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,And there were nice sentences in Doctor Cornwell's Spelling Book.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,They were like poetry but they were only sentences to learn the spelling from.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,Wolsey died in Leicester Abbey Where the abbots buried him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,"Canker is a disease of plants, Cancer one of animals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,"It would be nice to lie on the hearthrug before the fire, leaning his head upon his hands, and think on those sentences.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,He shivered as if he had cold slimy water next his skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,"That was mean of Wells to shoulder him into the square ditch because he would not swop his little snuff box for Wells's seasoned hacking chestnut, the conqueror of forty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,How cold and slimy the water had been!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,A fellow had once seen a big rat jump into the scum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,Mother was sitting at the fire with Dante waiting for Brigid to bring in the tea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,She had her feet on the fender and her jewelly slippers were so hot and they had such a lovely warm smell!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,Dante knew a lot of things.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,She had taught him where the Mozambique Channel was and what was the longest river in America and what was the name of the highest mountain in the moon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,Father Arnall knew more than Dante because he was a priest but both his father and uncle Charles said that Dante was a clever woman and a well-read woman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,And when Dante made that noise after dinner and then put up her hand to her mouth: that was heartburn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,A voice cried far out on the playground:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,All in!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Then other voices cried from the lower and third lines:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,All in!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,All in!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,"The players closed around, flushed and muddy, and he went among them, glad to go in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,Rody Kickham held the ball by its greasy lace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,A fellow asked him to give it one last: but he walked on without even answering the fellow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,Simon Moonan told him not to because the prefect was looking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,The fellow turned to Simon Moonan and said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,We all know why you speak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,You are McGlade's suck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,Suck was a queer word.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,The fellow called Simon Moonan that name because Simon Moonan used to tie the prefect's false sleeves behind his back and the prefect used to let on to be angry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,But the sound was ugly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,Once he had washed his hands in the lavatory of the Wicklow Hotel and his father pulled the stopper up by the chain after and the dirty water went down through the hole in the basin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,And when it had all gone down slowly the hole in the basin had made a sound like that: suck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,Only louder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,To remember that and the white look of the lavatory made him feel cold and then hot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,There were two cocks that you turned and water came out: cold and hot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,He felt cold and then a little hot: and he could see the names printed on the cocks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,That was a very queer thing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,And the air in the corridor chilled him too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,It was queer and wettish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,But soon the gas would be lit and in burning it made a light noise like a little song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,Always the same: and when the fellows stopped talking in the playroom you could hear it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,It was the hour for sums.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,Father Arnall wrote a hard sum on the board and then said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,"Now then, who will win?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,"Go ahead, York!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,"Go ahead, Lancaster!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,"Stephen tried his best, but the sum was too hard and he felt confused.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,The little silk badge with the white rose on it that was pinned on the breast of his jacket began to flutter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,"He was no good at sums, but he tried his best so that York might not lose.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,"Father Arnall's face looked very black, but he was not in a wax: he was laughing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,Then Jack Lawton cracked his fingers and Father Arnall looked at his copybook and said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,Right.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,Bravo Lancaster!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,The red rose wins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,"Come on now, York!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,Forge ahead!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,Jack Lawton looked over from his side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,The little silk badge with the red rose on it looked very rich because he had a blue sailor top on.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,"Stephen felt his own face red too, thinking of all the bets about who would get first place in elements, Jack Lawton or he.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,Some weeks Jack Lawton got the card for first and some weeks he got the card for first.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,His white silk badge fluttered and fluttered as he worked at the next sum and heard Father Arnall's voice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,Then all his eagerness passed away and he felt his face quite cool.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,He thought his face must be white because it felt so cool.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,He could not get out the answer for the sum but it did not matter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,White roses and red roses: those were beautiful colours to think of.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,And the cards for first place and second place and third place were beautiful colours too: pink and cream and lavender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,Lavender and cream and pink roses were beautiful to think of.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,Perhaps a wild rose might be like those colours and he remembered the song about the wild rose blossoms on the little green place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,But you could not have a green rose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,But perhaps somewhere in the world you could.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,The bell rang and then the classes began to file out of the rooms and along the corridors towards the refectory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,He sat looking at the two prints of butter on his plate but could not eat the damp bread.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,The tablecloth was damp and limp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,"But he drank off the hot weak tea which the clumsy scullion, girt with a white apron, poured into his cup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,He wondered whether the scullion's apron was damp too or whether all white things were cold and damp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,Nasty Roche and Saurin drank cocoa that their people sent them in tins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,They said they could not drink the tea; that it was hogwash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,"Their fathers were magistrates, the fellows said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,All the boys seemed to him very strange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,They had all fathers and mothers and different clothes and voices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170,He longed to be at home and lay his head on his mother's lap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,But he could not: and so he longed for the play and study and prayers to be over and to be in bed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,He drank another cup of hot tea and Fleming said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,What's up?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,Have you a pain or what's up with you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,"I don't know, Stephen said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,"Sick in your breadbasket, Fleming said, because your face looks white.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,It will go away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,"O yes, Stephen said.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,But he was not sick there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,He thought that he was sick in his heart if you could be sick in that place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,Fleming was very decent to ask him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,He wanted to cry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,He leaned his elbows on the table and shut and opened the flaps of his ears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,Then he heard the noise of the refectory every time he opened the flaps of his ears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,It made a roar like a train at night.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,And when he closed the flaps the roar was shut off like a train going into a tunnel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,"That night at Dalkey the train had roared like that and then, when it went into the tunnel, the roar stopped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,"He closed his eyes and the train went on, roaring and then stopping; roaring again, stopping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,It was nice to hear it roar and stop and then roar out of the tunnel again and then stop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,"Then the higher line fellows began to come down along the matting in the middle of the refectory, Paddy Rath and Jimmy Magee and the Spaniard who was allowed to smoke cigars and the little Portuguese who wore the woolly cap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,And then the lower line tables and the tables of the third line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,And every single fellow had a different way of walking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,He sat in a corner of the playroom pretending to watch a game of dominoes and once or twice he was able to hear for an instant the little song of the gas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,The prefect was at the door with some boys and Simon Moonan was knotting his false sleeves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,He was telling them something about Tullabeg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,Then he went away from the door and Wells came over to Stephen and said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,"Tell us, Dedalus, do you kiss your mother before you go to bed?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,Stephen answered:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,I do.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,Wells turned to the other fellows and said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,"O, I say, here's a fellow says he kisses his mother every night before he goes to bed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,"The other fellows stopped their game and turned round, laughing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203,Stephen blushed under their eyes and said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,204,I do not.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,205,Wells said:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,206,"O, I say, here's a fellow says he doesn't kiss his mother before he goes to bed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,They all laughed again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,208,Stephen tried to laugh with them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,209,He felt his whole body hot and confused in a moment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,210,What was the right answer to the question?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,211,He had given two and still Wells laughed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,212,But Wells must know the right answer for he was in third of grammar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,213,He tried to think of Wells's mother but he did not dare to raise his eyes to Wells's face.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,214,He did not like Wells's face.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,215,"It was Wells who had shouldered him into the square ditch the day before because he would not swop his little snuff box for Wells's seasoned hacking chestnut, the conqueror of forty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,216,It was a mean thing to do; all the fellows said it was.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,217,And how cold and slimy the water had been!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,218,And a fellow had once seen a big rat jump plop into the scum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,219,"The cold slime of the ditch covered his whole body; and, when the bell rang for study and the lines filed out of the playrooms, he felt the cold air of the corridor and staircase inside his clothes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,220,He still tried to think what was the right answer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,221,Was it right to kiss his mother or wrong to kiss his mother?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,222,"What did that mean, to kiss?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,223,You put your face up like that to say good night and then his mother put her face down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,224,That was to kiss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
