,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.6314538929976181,0.6766570441309578,0.6884238467985608,-0.14577765673593096,1.1354480409725445,0.13829824912849087,1.2781552151271633,1.0824312832791736,0.46273497573835165,1.433077267215156,0.8658028332390524,3.024165855187343,0.2911937392651399,0.24499199511828465,0.31480056645529864,-0.3305817302194708,-0.770757779542974,-0.850189274681985,-0.7769177137673862,0.8239215343096913,0.7444235919409186,1.337851637016055,0.23493803180231604,0.18740107063667175,-0.9224604062056374,-0.007050097915187136,1.1133937499506505,0.9494748821628731,0.7109143195906084,0.8129623453639206,-0.8256746266220292
171,0.6103487177754185,0.6551380076960964,0.6648605104016327,-0.15641228882699618,1.1499939973872175,0.13829824912849087,1.247587564000393,1.049622039025008,0.41445831549829476,1.36974622347909,0.8353673654865207,3.0101934898761327,0.26018654190440826,0.21195765597140714,0.28825363075023613,-0.30789102829624476,-0.7842556708971121,-0.850189274681985,-0.7769177137673862,0.8013768709233219,0.7248968914383335,1.3101621630472406,0.23493803180231604,0.11521390860026184,-0.9245373142332453,-0.08140798600343206,1.162282688269971,0.8734112804656168,0.6478317936702936,0.742564656435605,-0.8515982471555643
172,0.6103487177754185,0.6551380076960964,0.6648605104016327,-0.1311550376107163,1.1194723537991638,0.13829824912849087,1.247587564000393,1.049622039025008,0.41445831549829476,1.2968315368765821,0.8353673654865207,2.9972905544109665,0.26018654190440826,0.21195765597140714,0.28825363075023613,-0.398274683344274,-0.7117943679207767,-0.850189274681985,-0.7769177137673862,0.8013768709233219,0.7248968914383335,1.3101621630472406,0.23493803180231604,0.04793076131348623,-0.9227614475158792,-0.10580984859352825,1.1510420876808776,0.856250311910941,0.6470426307250312,0.742564656435605,-0.920758031142721
173,0.5410031420453345,0.6049269226814197,0.6127653438633057,-0.07709565781446796,1.0751299795436056,0.06544073162768872,1.2191029473111177,0.9974769392229321,0.32562926065658976,1.2267470737376336,0.7468400628989333,2.9561095356121374,0.20709210228278227,0.17029855184309234,0.24473865941540768,-0.43158189471312974,-0.6713011276301488,-0.9229940165267622,-0.7769177137673862,0.7487726563551266,0.6663167899305779,1.2732428644221556,0.16142642788336967,0.04793220306072737,-0.9609050786971866,-0.21290819365424396,1.0985470305174583,0.8562384549693209,0.58517091263577,0.742564656435605,-0.9476930845463561
174,0.43748728262216535,0.49938117254852765,0.5699125418798996,-0.10634089606489729,0.9852434283657514,0.04455931479560544,1.1650101173447027,0.9392092218318436,0.32477100891898847,1.1642865729910363,0.7448175947908947,2.883582750818825,0.16528301933515613,0.12575613772407485,0.21832479189519333,-0.5009532712673295,-0.7258416798869582,-0.929170862355196,-0.807315423798107,0.6596675582089998,0.6077366884228224,1.1809446178594423,0.1369225599103874,0.04756333807238081,-1.0526945647318453,-0.2975405177618197,1.1007509531682722,0.8557396816448909,0.5231647049523899,0.6721669675072897,-0.949658385463799
175,0.42241215746345145,0.4840104322379124,0.5392294016630113,-0.09925114133752047,1.0101911940684103,0.01657321955231396,1.120343510447359,0.9037621699998022,0.23207982125807908,1.0897113352235945,0.6870443633738716,2.889493541751252,0.1324322293129083,0.09075767829503513,0.17894932301261124,-0.5962202832023741,-0.7201044441177512,-0.9873242579713872,-0.807315423798107,0.643564227218736,0.5882099879202372,1.1532551438906284,0.11241869193740535,-0.024625777229377914,-1.1134497640381937,-0.3689343627035193,0.9575281488868336,0.8424642328592372,0.4622268838411872,0.6017692785789741,-1.0395805480562434
176,0.42743719918302275,0.4891340123414508,0.5533904046407292,-0.1231790635424172,0.8615820781053927,0.060916568022608975,1.1256972776664158,0.9415687286102177,0.22844686994682703,1.0130997171592018,0.6433887966058786,2.7556614935933417,0.14055667674964756,0.09941327360356547,0.20128964555379736,-0.6661981536636066,-0.7159540319610143,-0.9619440353685387,-0.7479851689252096,0.6489320042154906,0.6077366884228224,1.1624849685468996,0.16142642788336967,-0.09680132974721149,-1.1923493648257417,-0.4413570730024964,0.9087609877337509,0.8397955740702344,0.40297188189501465,0.5313715896506584,-1.040149612158468
177,0.3601016401407671,0.4204780389540357,0.4617479544083023,-0.20825612027093926,0.8741595646348895,-0.08320327909244368,1.067890769428226,0.9234610265905386,0.24968860045245192,1.0128581127171907,0.647454933756645,2.7775138862466133,0.10908502139960402,0.06588411183341425,0.16224477967782525,-0.6466301191393593,-0.7751257512560293,-1.095748890629165,-0.5821032978807944,0.5770037924589786,0.5101031859098965,1.088646371296729,0.014403220045476724,-0.09721260325582372,-1.1018046445050762,-0.4610813376542231,0.8982900510454866,0.8421912313387885,0.4030287569074593,0.5313715896506584,-1.0399180772282133
178,0.405327015616909,0.46659025988588165,0.4617479544083023,-0.1934839073209768,0.8935541731877875,-0.15601593510688516,1.1036133076253207,0.9809059416178864,0.24196433481404328,1.0856232346651205,0.6253622418914387,2.7727114318790234,0.18361545350834432,0.10714231293303003,0.194431228676328,-0.6322755941454086,-0.7603670460467759,-1.1675336589044059,-0.5291876767951067,0.6253137854297702,0.5101031859098965,1.1347954945780858,-0.05910838387346963,-0.0974287164189734,-0.9771484345609814,-0.3713891171875368,1.0010973778784655,0.8462501360771987,0.4661609914453982,0.6017692785789741,-0.9570837403885627
179,0.38422184039470947,0.44507122345102024,0.4617479544083023,-0.29362669284517456,0.8202856519879506,-0.17870866113270842,1.0575208742256614,0.9584240770321439,0.2306675963178696,1.0808755156300447,0.5857346621524825,2.6737388051319044,0.17745183958363964,0.10057574355269094,0.20713960661227368,-0.6709761110059418,-0.7986629348938474,-1.163779873358624,-0.557267878505482,0.6027691220434008,0.5101031859098965,1.060956897327915,-0.08361225184645167,-0.09790206707450828,-0.998862323186474,-0.36275690536523914,0.8678991817778883,0.8432948441937651,0.4766552398641354,0.6017692785789741,-0.9556754226608746
180,0.3711567319238241,0.4215027549747436,0.4452400548701006,-0.3202132730728377,0.8783244324972104,-0.1317917842182205,0.989083927095407,0.8936828410439766,0.16597687159619323,1.004543851919093,0.5192439252227122,2.7275388709648944,0.16816572614379127,0.0906825365930443,0.19429674474139838,-0.6222037694009108,-0.8149879409261085,-1.1258447808547993,-0.5129282613536167,0.5780773478583295,0.49057648540731125,0.9871183000777443,-0.05910838387346963,-0.17023486069038446,-1.0847310160806876,-0.3524982724204597,0.7225889203054664,0.8433420608806272,0.41416944919817456,0.5313715896506584,-1.013104721569813
181,0.4415073159978225,0.4829857162172049,0.4769929540980553,-0.39961852601945824,0.9018424674411623,-0.062383185842742106,0.9916947401423839,0.9190142638159096,0.16597687159619323,1.0036694739384815,0.5329292095616719,2.7962762296455366,0.19994896952898222,0.13905556564725138,0.2053756517732202,-0.6044829288172208,-0.8361520863379441,-1.0741741329081023,-0.43240276032087666,0.642490671819385,0.5296298864124817,1.0240375987028298,-0.010100647927505318,-0.17016974680937816,-1.1790665264911342,-0.3455746424244655,0.7120030455366239,0.8433963344021937,0.4140802575525898,0.5313715896506584,-1.0370798424442895
182,0.42542718249519434,0.4665902598858819,0.5220922851879476,-0.3579662169961193,0.8942793989349578,-0.19066609458434763,1.019954640754068,0.8998054586329894,0.25833012263542215,1.0034317044876133,0.5767322318822148,2.681649571326494,0.20556514984599192,0.14503891213109305,0.2357177685656073,-0.6010524184419564,-0.8046436759492824,-1.0827272569536792,-0.4947775452098382,0.6253137854297702,0.5686832874176521,1.0240375987028298,-0.15712385576539803,-0.1701777066354628,-1.0622752166965854,-0.2603141934190875,0.8622958439543261,0.8430119558081499,0.4664623815118426,0.6017692785789741,-0.9435144245673116
183,0.4807026414104788,0.502455320610651,0.491498429566494,-0.36084642985411614,0.9305614070291074,-0.12379989955082277,0.9899748766044228,0.8959334475095033,0.24789891569069558,1.0096060402278981,0.5592282714635268,2.7274059766699956,0.23280548835232728,0.17004387802077833,0.17978249570925245,-0.5598566745952052,-0.8193360514476908,-1.0451350224395868,-0.6045611728269019,0.6682560014038073,0.5491565869150667,1.0055779493902868,-0.08361225184645167,-0.09807846312279589,-1.099685046906819,-0.23671838761899125,0.8692910275262199,0.9291743205513217,0.5271483100652771,0.6721669675072897,-1.02129492958382
184,0.49678277491310696,0.5188507769419738,0.5489476854387507,-0.4879302833423459,0.8687928941058287,-0.1460921313225314,1.0171975190313118,0.9513092565927379,0.26889926289512045,1.0182501102642971,0.589439432520561,2.623711884919803,0.22882768159435393,0.16580601621163443,0.1976619751045839,-0.5719462038830435,-0.8648192888919095,-1.111810416592142,-0.5983883331651947,0.6983155525856332,0.6272633889254076,1.0517270726716437,-0.08361225184645167,-0.09853111779884945,-1.1270993154571223,-0.2404558729578713,0.9712075212660036,1.010048533632434,0.527264495382673,0.6721669675072897,-0.9622054759622048
185,0.49175773319353566,0.5137271968384354,0.5280603144087427,-0.5583847209456531,0.8549928841739584,-0.1460921313225314,1.002793620199382,0.9294565938145624,0.22834686829347223,1.0185300646177387,0.5536903148593327,2.6040291055553406,0.2299254380324848,0.1669755401146173,0.18895848395221249,-0.5721071808620889,-0.8927675841302204,-1.0931264440320465,-0.5437924342552959,0.6929477755888785,0.6077366884228224,1.033267423359101,-0.08361225184645167,-0.09834399066181657,-1.156568422134784,-0.15633479441725212,0.8679780719710036,1.0942964505223551,0.5272593043644362,0.6721669675072897,-0.8997318924923163
186,0.5741684173945052,0.597753910536466,0.5778505769380284,-0.5081360843153697,0.8347280047244561,-0.036583054531210406,1.0663030925551318,0.9748377741852978,0.26946249059792077,1.0181465655034354,0.6296178607899511,2.5319583972747433,0.26672936317119816,0.20618557676592278,0.2104469864231523,-0.5261537855877078,-0.8611444774821218,-1.0376491782947816,-0.41410561600517004,0.7809793183356544,0.6858434904331631,1.144025319234357,0.038907088018459,-0.09826826008218974,-1.0786356638203005,-0.058583528722192274,1.0059234223495088,1.0945448651759493,0.5327502198256971,0.6721669675072897,-0.9016257375809296
187,0.5590932922357913,0.5823831702258505,0.5271296204028646,-0.5591823183524829,0.8614163122203248,-0.08658452090484907,1.0365253546235693,0.9529851114071222,0.2660831243811166,0.9438321071337201,0.6244976649195397,2.5532037101752145,0.23497359948302515,0.17235373265118425,0.15138378309927916,-0.5207218818005955,-0.9202052719314504,-1.0725412156644965,-0.41410561600517004,0.7648759873453906,0.6467900894279927,1.1255656699218144,-0.010100647927505318,-0.17050436598414334,-1.139352948453751,-0.13408565453931054,0.9999413465830103,1.0156608853494513,0.4695721388329397,0.6017692785789741,-0.8964978393557121
188,0.5761784340823338,0.5998033425778813,0.5271296204028646,-0.5671582924207819,0.8665757753930509,-0.061583787718029866,1.0529683767161426,0.9681101548582405,0.2467724602850938,0.9256427441423092,0.6104679986254905,2.567381109942455,0.24263878382154963,0.18052003985129356,0.15138378309927916,-0.5503264765803101,-0.932718152111393,-1.0434645178564008,-0.41410561600517004,0.7831264291343564,0.6467900894279927,1.144025319234357,0.014403220045476724,-0.24274186615064428,-1.2191977673179084,-0.04087893085130552,0.9043084824086711,1.0169262268881316,0.40741827363481553,0.5313715896506584,-0.9659652863710122
189,0.5560782672040486,0.5793090221637276,0.5271296204028646,-0.5551943313183334,0.8856181314401808,-0.061583787718029866,1.0338673780332905,0.939269722005648,0.2467724602850938,0.9264595972557754,0.6104679986254905,2.552918723606449,0.21547452367851408,0.15157987567587938,0.15138378309927916,-0.5197081663471915,-0.911274266389199,-1.0434645178564008,-0.41410561600517004,0.7616553211473379,0.6467900894279927,1.1255656699218144,0.014403220045476724,-0.24295632605273634,-1.1660634794468332,-0.08828798167297866,0.9181811607003098,1.001447229347387,0.3450564812022239,0.6017692785789741,-0.9686500293839752
190,0.5560782672040486,0.5793090221637276,0.5271296204028646,-0.611026149796426,0.8565469393464671,-0.061583787718029866,1.0338673780332905,0.9137688987470621,0.24202525536148833,0.912281634999978,0.6025071448291313,2.5018747564287014,0.21547452367851408,0.15157987567587938,0.15138378309927916,-0.5464262620072917,-0.9499128067749654,-1.0434645178564008,-0.41410561600517004,0.7616553211473379,0.6467900894279927,1.1255656699218144,0.014403220045476724,-0.1801247266120117,-1.1649782143134073,-0.1322210267256581,0.914360851420912,0.9230286931127196,0.34203610213194224,0.5665704341148161,-0.9402129324231426
191,0.55406825051622,0.5772595901223121,0.5480169914328726,-0.5445596992272682,0.8140487105622858,-0.08690112846721516,1.0598984853186957,0.9515754573574774,0.29995724764955656,0.91272649397257,0.6602803762461543,2.4857938734642513,0.2130990780387705,0.149049131733583,0.17273812932808608,-0.6110146051389531,-0.844592617102867,-1.0750026246932254,-0.34038033998543005,0.759508210348636,0.6663167899305779,1.1532551438906284,-0.010100647927505318,-0.10793377243502941,-1.1062517379234191,-0.10342690500292707,0.91336719133479,1.0096738751245977,0.4025257332920568,0.6369681230431318,-0.877164024443182
192,0.558088283891877,0.581358454205143,0.5607439765803001,-0.5314942940868166,0.824036105137603,-0.08873663261729256,1.061889999024151,0.9544976157522335,0.35257880731121843,0.9131905279008768,0.7156248726066611,2.459636588487071,0.22014967333272908,0.15656067021345138,0.17527573900796076,-0.58225281579115,-0.8335696530992499,-1.0498772306710396,-0.2503780170398337,0.7638024319460396,0.6858434904331631,1.1624849685468996,-0.010100647927505318,-0.10811955494851255,-1.13938871823457,-0.1432581119666265,0.9327284629284447,1.0241064936584554,0.40320365690098875,0.6369681230431318,-0.8797641586009717
193,0.5229129918548779,0.5454933934803738,0.5083394264325599,-0.518201003972985,0.7813928312039868,-0.06481773232271354,1.0480708236602596,0.9070352294026239,0.3743033044192446,0.9725715307596173,0.7314082471874666,2.498199158803355,0.19158321793104982,0.12612664017246752,0.13125262647427025,-0.6240827029129716,-0.8018593823323673,-1.028204739717666,-0.3010408670910346,0.7262279929687574,0.6272633889254076,1.144025319234357,0.014403220045476724,-0.10818267887299803,-1.0250020053786866,-0.14075925214212215,0.8874859273055694,1.111186512717255,0.4659586981809779,0.6017692785789741,-0.9341703383710424
