,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
10,10,3,0,It was always true.,it was always true ,19,4
11,11,3,0,"He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.",he was incapable of untruth  never tampered with a fact  never altered a disagreeable word to suit the pleasure or convenience of any mortal being  least of all of his own children  who  sprung from his loins  should be aware from childhood that life is difficult  facts uncompromising  and the passage to that fabled land where our brightest hopes are extinguished  our frail barks founder in darkness  here mr  ramsay would straighten his back and narrow his little blue eyes upon the horizon   one that needs  above all  courage  truth  and the power to endure ,564,95
12,12,4,0,"""But it may be fine - I expect it will be fine,"" said Mrs. Ramsay, making some little twist of the reddish brown stocking she was knitting, impatiently.", but it may be fine   i expect it will be fine   said mrs  ramsay  making some little twist of the reddish brown stocking she was knitting  impatiently ,152,28
13,13,4,0,"If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them.",if she finished it tonight  if they did go to the lighthouse after all  it was to be given to the lighthouse keeper for his little boy  who was threatened with a tuberculous hip  together with a pile of old magazines  and some tobacco  indeed  whatever she could find lying about  not really wanted  but only littering the room  to give those poor fellows  who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden  something to amuse them ,522,97
14,14,4,0,"For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn?",for how would you like to be shut up for a whole month at a time  and possibly more in stormy weather  upon a rock the size of a tennis lawn ,141,31
15,15,4,0,"she would ask; and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were, - if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea?",she would ask  and to have no letters or newspapers  and to see nobody  if you were married  not to see your wife  not to know how your children were    if they were ill  if they had fallen down and broken their legs or arms  to see the same dreary waves breaking week after week  and then a dreadful storm coming  and the windows covered with spray  and birds dashed against the lamp  and the whole place rocking  and not be able to put your nose out of doors for fear of being swept into the sea ,498,98
16,16,4,0,How would you like that?,how would you like that ,24,5
17,17,4,0,"she asked, addressing herself particularly to her daughters.",she asked  addressing herself particularly to her daughters ,60,8
18,18,4,0,"So she added, rather differently, one must take them whatever comforts one can.",so she added  rather differently  one must take them whatever comforts one can ,79,13
19,19,5,0,"""It's due west,"" said the atheist Tansley, holding his bony fingers spread so that the wind blew through them, for he was sharing Mr. Ramsay's evening walk up and down, up and down the terrace.", it is due west   said the atheist tansley  holding his bony fingers spread so that the wind blew through them  for he was sharing mr  ramsay own evening walk up and down  up and down the terrace ,193,35
20,20,5,0,"That is to say, the wind blew from the worst possible direction for landing at the Lighthouse.",that is to say  the wind blew from the worst possible direction for landing at the lighthouse ,94,17
21,21,5,0,"Yes, he did say disagreeable things, Mrs. Ramsay admitted; it was odious of him to rub this in, and make James still more disappointed; but at the same time, she would not let them laugh at him.",yes  he did say disagreeable things  mrs  ramsay admitted  it was odious of him to rub this in  and make james still more disappointed  but at the same time  she would not let them laugh at him ,194,37
22,22,5,0,"""The atheist,"" they called him; ""the little atheist.""", the atheist   they called him   the little atheist  ,53,8
23,23,5,0,"Rose mocked him; Prue mocked him; Andrew, Jasper, Roger mocked him; even old Badger without a tooth in his head had bit him, for being (as Nancy put it) the hundred and tenth young man to chase them all the way up to the Hebrides when it was ever so much nicer to be alone.",rose mocked him  prue mocked him  andrew  jasper  roger mocked him  even old badger without a tooth in his head had bit him  for being  as nancy put it  the hundred and tenth young man to chase them all the way up to the hebrides when it was ever so much nicer to be alone ,273,55
24,24,6,0,"""Nonsense,"" said Mrs. Ramsay, with great severity.", nonsense   said mrs  ramsay  with great severity ,50,7
25,25,6,0,"Apart from the habit of exaggeration which they had from her, and from the implication (which was true) that she asked too many people to stay, and had to lodge some in the town, she could not bear incivility to her guests, to young men in particular, who were poor as churchmice, ""exceptionally able,"" her husband said, his great admirers, and come there for a holiday.",apart from the habit of exaggeration which they had from her  and from the implication  which was true  that she asked too many people to stay  and had to lodge some in the town  she could not bear incivility to her guests  to young men in particular  who were poor as churchmice   exceptionally able   her husband said  his great admirers  and come there for a holiday ,370,66
26,26,6,0,"Indeed, she had the whole of the other sex under her protection; for reasons she could not explain, for their chivalry and valour, for the fact that they negotiated treaties, ruled India, controlled finance; finally for an attitude towards herself which no woman could fail to feel or to find agreeable, something trustful, childlike, reverential; which an old woman could take from a young man without loss of dignity, and woe betide the girl - pray Heaven it was none of her daughters!",indeed  she had the whole of the other sex under her protection  for reasons she could not explain  for their chivalry and valour  for the fact that they negotiated treaties  ruled india  controlled finance  finally for an attitude towards herself which no woman could fail to feel or to find agreeable  something trustful  childlike  reverential  which an old woman could take from a young man without loss of dignity  and woe betide the girl   pray heaven it was none of her daughters ,487,83
27,27,6,0,"- who did not feel the worth of it, and all that it implied, to the marrow of her bones!",  who did not feel the worth of it  and all that it implied  to the marrow of her bones ,88,20
28,28,7,0,She turned with severity upon Nancy.,she turned with severity upon nancy ,36,6
29,29,7,0,"He had not chased them, she said.",he had not chased them  she said ,33,7
30,30,7,0,He had been asked.,he had been asked ,18,4
31,31,8,0,They must find a way out of it all.,they must find a way out of it all ,35,9
32,32,8,0,"There might be some simpler way, some less laborious way, she sighed.",there might be some simpler way  some less laborious way  she sighed ,69,12
33,33,8,0,"When she looked in the glass and saw her hair grey, her cheek sunk, at fifty, she thought, possibly she might have managed things better - her husband; money; his books.",when she looked in the glass and saw her hair grey  her cheek sunk  at fifty  she thought  possibly she might have managed things better   her husband  money  his books ,169,31
34,34,8,0,"But for her own part she would never for a single second regret her decision, evade difficulties, or slur over duties.",but for her own part she would never for a single second regret her decision  evade difficulties  or slur over duties ,118,21
35,35,8,0,"She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Rose - could sport with infidel ideas which they had brewed for themselves of a life different from hers; in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased them - or, speaking accurately, been invited to stay with them - in the Isle of Skye.",she was now formidable to behold  and it was only in silence  looking up from their plates  after she had spoken so severely about charles tansley  that her daughters  prue  nancy  rose   could sport with infidel ideas which they had brewed for themselves of a life different from hers  in paris  perhaps  a wilder life  not always taking care of some man or other  for there was in all their minds a mute questioning of deference and chivalry  of the bank of england and the indian empire  of ringed fingers and lace  though to them all there was something in this of the essence of beauty  which called out the manliness in their girlish hearts  and made them  as they sat at table beneath their mother own eyes  honour her strange severity  her extreme courtesy  like a queen own raising from the mud to wash a beggar own dirty foot  when she admonished them so very severely about that wretched atheist who had chased them   or  speaking accurately  been invited to stay with them   in the isle of skye ,1001,179
36,36,9,0,"""There'll be no landing at the Lighthouse tomorrow,"" said Charles Tansley, clapping his hands together as he stood at the window with her husband.", there will be no landing at the lighthouse tomorrow   said charles tansley  clapping his hands together as he stood at the window with her husband ,146,24
37,37,9,0,"Surely, he had said enough.",surely  he had said enough ,27,5
38,38,9,0,She wished they would both leave her and James alone and go on talking.,she wished they would both leave her and james alone and go on talking ,71,14
39,39,9,0,She looked at him.,she looked at him ,18,4
40,40,9,0,"He was such a miserable specimen, the children said, all humps and hollows.",he was such a miserable specimen  the children said  all humps and hollows ,75,13
41,41,9,0,He couldn't play cricket; he poked; he shuffled.,he could not play cricket  he poked  he shuffled ,48,8
42,42,9,0,"He was a sarcastic brute, Andrew said.",he was a sarcastic brute  andrew said ,38,7
43,43,9,0,"They knew what he liked best - to be for ever walking up and down, up and down, with Mr. Ramsay, and saying who had won this, who had won that, who was a ""first rate man"" at Latin verses, who was ""brilliant but I think fundamentally unsound,"" who was undoubtedly the ""ablest fellow in Balliol,"" who had buried his light temporarily at Bristol or Bedford, but was bound to be heard of later when his Prolegomena, of which Mr. Tansley had the first pages in proof with him if Mr. Ramsay would like to see them, to some branch of mathematics or philosophy saw the light of day.",they knew what he liked best   to be for ever walking up and down  up and down  with mr  ramsay  and saying who had won this  who had won that  who was a  first rate man  at latin verses  who was  brilliant but i think fundamentally unsound   who was undoubtedly the  ablest fellow in balliol   who had buried his light temporarily at bristol or bedford  but was bound to be heard of later when his prolegomena  of which mr  tansley had the first pages in proof with him if mr  ramsay would like to see them  to some branch of mathematics or philosophy saw the light of day ,574,109
44,44,9,0,That was what they talked about.,that was what they talked about ,32,6
45,45,10,0,She could not help laughing herself sometimes.,she could not help laughing herself sometimes ,46,7
46,46,10,0,"She said, the other day, something about ""waves mountains high.""",she said  the other day  something about  waves mountains high  ,64,10
47,47,10,0,"Yes, said Charles Tansley, it was a little rough.",yes  said charles tansley  it was a little rough ,49,9
48,48,10,0,"""Aren't you drenched to the skin?"" she had said.", are not you drenched to the skin   she had said ,48,9
49,49,10,0,"""Damp, not wet through,"" said Mr. Tansley, pinching his sleeve, feeling his socks.", damp  not wet through   said mr  tansley  pinching his sleeve  feeling his socks ,82,13
50,50,11,0,"But it was not that they minded, the children said.",but it was not that they minded  the children said ,51,10
51,51,11,0,It was not his face; it was not his manners.,it was not his face  it was not his manners ,44,10
52,52,11,0,It was him - his point of view.,it was him   his point of view ,31,8
53,53,11,0,"When they talked about something interesting, people, music, history, anything, even said it was a fine evening so why not sit out of doors, then what they complained of about Charles Tansley was that until he had turned the whole thing round and made it somehow reflect himself and disparage them - he was not satisfied.",when they talked about something interesting  people  music  history  anything  even said it was a fine evening so why not sit out of doors  then what they complained of about charles tansley was that until he had turned the whole thing round and made it somehow reflect himself and disparage them   he was not satisfied ,321,56
54,54,11,0,"And he would go to picture galleries they said, and he would ask one, did one like his tie?",and he would go to picture galleries they said  and he would ask one  did one like his tie ,91,19
55,55,11,0,"God knows, said Rose, one did not.",god knows  said rose  one did not ,34,7
56,56,12,0,"Disappearing as stealthily as stags from the dinner-table directly the meal was over, the eight sons and daughters of Mr. and Mrs. Ramsay sought their bedrooms, their fastness in a house where there was no other privacy to debate anything, everything; Tansley's tie; the passing of the Reform Bill; sea birds and butterflies; people; while the sun poured into those attics, which a plank alone separated from each other so that every footstep could be plainly heard and the Swiss girl sobbing for her father who was dying of cancer in a valley of the Grisons, and lit up bats, flannels, straw hats, ink-pots, paint-pots, beetles, and the skulls of small birds, while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds, which was in the towels too, gritty with sand from bathing.",disappearing as stealthily as stags from the dinner table directly the meal was over  the eight sons and daughters of mr  and mrs  ramsay sought their bedrooms  their fastness in a house where there was no other privacy to debate anything  everything  tansley own tie  the passing of the reform bill  sea birds and butterflies  people  while the sun poured into those attics  which a plank alone separated from each other so that every footstep could be plainly heard and the swiss girl sobbing for her father who was dying of cancer in a valley of the grisons  and lit up bats  flannels  straw hats  ink pots  paint pots  beetles  and the skulls of small birds  while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds  which was in the towels too  gritty with sand from bathing ,820,143
57,57,13,0,"Strife, divisions, difference of opinion, prejudices twisted into the very fibre of being, oh, that they should begin so early, Mrs. Ramsay deplored.",strife  divisions  difference of opinion  prejudices twisted into the very fibre of being  oh  that they should begin so early  mrs  ramsay deplored ,149,23
58,58,13,0,"They were so critical, her children.",they were so critical  her children ,36,6
59,59,13,0,They talked such nonsense.,they talked such nonsense ,26,4
60,60,13,0,"She went from the dining-room, holding James by the hand, since he would not go with the others.",she went from the dining room  holding james by the hand  since he would not go with the others ,96,18
61,61,13,0,"It seemed to her such nonsense - inventing differences, when people, heaven knows, were different enough without that.",it seemed to her such nonsense   inventing differences  when people  heaven knows  were different enough without that ,118,18
62,62,13,0,"The real differences, she thought, standing by the drawing-room window, are enough, quite enough.",the real differences  she thought  standing by the drawing room window  are enough  quite enough ,97,14
63,63,13,0,"She had in mind at the moment, rich and poor, high and low; the great in birth receiving from her, half grudging, some respect, for had she not in her veins the blood of that very noble, if slightly mythical, Italian house, whose daughters, scattered about English drawing-rooms in the nineteenth century, had lisped so charmingly, had stormed so wildly, and all her wit and her bearing and her temper came from them, and not from the sluggish English, or the cold Scotch; but more profoundly, she ruminated the other problem, of rich and poor, and the things she saw with her own eyes, weekly, daily, here or in London, when she visited this widow, or that struggling wife in person with a bag on her arm, and a note-book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings, employment and unemployment, in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation, half a relief to her own curiosity, and become what with her untrained mind she greatly admired, an investigator, elucidating the social problem.",she had in mind at the moment  rich and poor  high and low  the great in birth receiving from her  half grudging  some respect  for had she not in her veins the blood of that very noble  if slightly mythical  italian house  whose daughters  scattered about english drawing rooms in the nineteenth century  had lisped so charmingly  had stormed so wildly  and all her wit and her bearing and her temper came from them  and not from the sluggish english  or the cold scotch  but more profoundly  she ruminated the other problem  of rich and poor  and the things she saw with her own eyes  weekly  daily  here or in london  when she visited this widow  or that struggling wife in person with a bag on her arm  and a note book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings  employment and unemployment  in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation  half a relief to her own curiosity  and become what with her untrained mind she greatly admired  an investigator  elucidating the social problem ,1111,196
64,64,14,0,"Insoluble questions they were, it seemed to her, standing there, holding James by the hand.",insoluble questions they were  it seemed to her  standing there  holding james by the hand ,91,15
65,65,14,0,"He had followed her into the drawing-room, that young man they laughed at; he was standing by the table, fidgeting with something, awkwardly, feeling himself out of things, as she knew without looking round.",he had followed her into the drawing room  that young man they laughed at  he was standing by the table  fidgeting with something  awkwardly  feeling himself out of things  as she knew without looking round ,207,34
66,66,14,0,They had all gone - the children; Minta Doyle and Paul Rayley; Augustus Carmichael; her husband - they had all gone.,they had all gone   the children  minta doyle and paul rayley  augustus carmichael  her husband   they had all gone ,116,21
67,67,14,0,"So she turned with a sigh and said, ""Would it bore you to come with me, Mr. Tansley?""",so she turned with a sigh and said   would it bore you to come with me  mr  tansley  ,85,18
68,68,15,0,She had a dull errand in the town; she had a letter or two to write; she would be ten minutes perhaps; she would put on her hat.,she had a dull errand in the town  she had a letter or two to write  she would be ten minutes perhaps  she would put on her hat ,128,28
69,69,15,0,"And, with her basket and her parasol, there she was again, ten minutes later, giving out a sense of being ready, of being equipped for a jaunt, which, however, she must interrupt for a moment, as they passed the tennis lawn, to ask Mr. Carmichael, who was basking with his yellow cat's eyes ajar, so that like a cat's they seemed to reflect the branches moving or the clouds passing, but to give no inkling of any inner thoughts or emotion whatsoever, if he wanted anything.",and  with her basket and her parasol  there she was again  ten minutes later  giving out a sense of being ready  of being equipped for a jaunt  which  however  she must interrupt for a moment  as they passed the tennis lawn  to ask mr  carmichael  who was basking with his yellow cat own eyes ajar  so that like a cat own they seemed to reflect the branches moving or the clouds passing  but to give no inkling of any inner thoughts or emotion whatsoever  if he wanted anything ,474,86
70,70,16,0,"For they were making the great expedition, she said, laughing.",for they were making the great expedition  she said  laughing ,62,10
71,71,16,0,They were going to the town.,they were going to the town ,28,6
72,72,16,0,"""Stamps, writing-paper, tobacco?"" she suggested, stopping by his side.", stamps  writing paper  tobacco   she suggested  stopping by his side ,70,9
73,73,16,0,"But no, he wanted nothing.",but no  he wanted nothing ,26,5
74,74,16,0,"His hands clasped themselves over his capacious paunch, his eyes blinked, as if he would have liked to reply kindly to these blandishments (she was seductive but a little nervous) but could not, sunk as he was in a grey-green somnolence which embraced them all, without need of words, in a vast and benevolent lethargy of well-wishing; all the house; all the world; all the people in it, for he had slipped into his glass at lunch a few drops of something, which accounted, the children thought, for the vivid streak of canary-yellow in moustache and beard that were otherwise milk white.",his hands clasped themselves over his capacious paunch  his eyes blinked  as if he would have liked to reply kindly to these blandishments  she was seductive but a little nervous  but could not  sunk as he was in a grey green somnolence which embraced them all  without need of words  in a vast and benevolent lethargy of well wishing  all the house  all the world  all the people in it  for he had slipped into his glass at lunch a few drops of something  which accounted  the children thought  for the vivid streak of canary yellow in moustache and beard that were otherwise milk white ,588,102
75,75,16,0,"No, nothing, he murmured.",no  nothing  he murmured ,25,4
76,76,17,0,"He should have been a great philosopher, said Mrs. Ramsay, as they went down the road to the fishing village, but he had made an unfortunate marriage.",he should have been a great philosopher  said mrs  ramsay  as they went down the road to the fishing village  but he had made an unfortunate marriage ,150,27
77,77,17,0,"Holding her black parasol very erect, and moving with an indescribable air of expectation, as if she were going to meet some one round the corner, she told the story; an affair at Oxford with some girl; an early marriage; poverty; going to India; translating a little poetry ""very beautifully, I believe,"" being willing to teach the boys Persian or Hindustanee, but what really was the use of that?",holding her black parasol very erect  and moving with an indescribable air of expectation  as if she were going to meet some one round the corner  she told the story  an affair at oxford with some girl  an early marriage  poverty  going to india  translating a little poetry  very beautifully  i believe   being willing to teach the boys persian or hindustanee  but what really was the use of that ,398,69
78,78,17,0,"- and then lying, as they saw him, on the lawn.",  and then lying  as they saw him  on the lawn ,47,11
79,79,18,0,"It flattered him; snubbed as he had been, it soothed him that Mrs. Ramsay should tell him this.",it flattered him  snubbed as he had been  it soothed him that mrs  ramsay should tell him this ,95,18
80,80,18,0,Charles Tansley revived.,charles tansley revived ,24,3
81,81,18,0,"Insinuating, too, as she did the greatness of man's intellect, even in its decay, the subjection of all wives - not that she blamed the girl, and the marriage had been happy enough, she believed - to their husband's labours, she made him feel better pleased with himself than he had done yet, and he would have liked, had they taken a cab, for example, to have paid the fare.",insinuating  too  as she did the greatness of man own intellect  even in its decay  the subjection of all wives   not that she blamed the girl  and the marriage had been happy enough  she believed   to their husband own labours  she made him feel better pleased with himself than he had done yet  and he would have liked  had they taken a cab  for example  to have paid the fare ,375,70
82,82,18,0,"As for her little bag, might he not carry that?",as for her little bag  might he not carry that ,47,10
83,83,18,0,"No, no, she said, she always carried THAT herself.",no  no  she said  she always carried that herself ,50,9
84,84,18,0,She did too.,she did too ,12,3
85,85,18,0,"Yes, he felt that in her.",yes  he felt that in her ,25,6
86,86,18,0,"He felt many things, something in particular that excited him and disturbed him for reasons which he could not give.",he felt many things  something in particular that excited him and disturbed him for reasons which he could not give ,116,20
87,87,18,0,"He would like her to see him, gowned and hooded, walking in a procession.",he would like her to see him  gowned and hooded  walking in a procession ,73,14
88,88,18,0,"A fellowship, a professorship, he felt capable of anything and saw himself - but what was she looking at?",a fellowship  a professorship  he felt capable of anything and saw himself   but what was she looking at ,105,19
89,89,18,0,At a man pasting a bill.,at a man pasting a bill ,24,6
90,90,18,0,"The vast flapping sheet flattened itself out, and each shove of the brush revealed fresh legs, hoops, horses, glistening reds and blues, beautifully smooth, until half the wall was covered with the advertisement of a circus; a hundred horsemen, twenty performing seals, lions, tigers...Craning forwards, for she was short-sighted, she read it out...""will visit this town,"" she read.",the vast flapping sheet flattened itself out  and each shove of the brush revealed fresh legs  hoops  horses  glistening reds and blues  beautifully smooth  until half the wall was covered with the advertisement of a circus  a hundred horsemen  twenty performing seals  lions  tigers   craning forwards  for she was short sighted  she read it out    will visit this town   she read ,382,58
91,91,18,0,"It was terribly dangerous work for a one-armed man, she exclaimed, to stand on top of a ladder like that - his left arm had been cut off in a reaping machine two years ago.",it was terribly dangerous work for a one armed man  she exclaimed  to stand on top of a ladder like that   his left arm had been cut off in a reaping machine two years ago ,172,35
92,92,19,0,"""Let us all go!"" she cried, moving on, as if all those riders and horses had filled her with childlike exultation and made her forget her pity.", let us all go   she cried  moving on  as if all those riders and horses had filled her with childlike exultation and made her forget her pity ,143,27
93,93,20,0,"""Let's go,"" he said, repeating her words, clicking them out, however, with a self-consciousness that made her wince.", let us go   he said  repeating her words  clicking them out  however  with a self consciousness that made her wince ,116,18
94,94,20,0,"""Let us all go to the circus.""", let us all go to the circus  ,30,7
95,95,20,0,He could not say it right.,he could not say it right ,26,6
96,96,20,0,He could not feel it right.,he could not feel it right ,27,6
97,97,20,0,But why not?,but why not ,12,3
98,98,20,0,she wondered.,she wondered ,13,2
99,99,20,0,What was wrong with him then?,what was wrong with him then ,29,6
100,100,20,0,"She liked him warmly, at the moment.",she liked him warmly  at the moment ,36,7
101,101,20,0,"Had they not been taken, she asked, to circuses when they were children?",had they not been taken  she asked  to circuses when they were children ,72,13
102,102,20,0,"Never, he answered, as if she asked the very thing he wanted; had been longing all these days to say, how they did not go to circuses.",never  he answered  as if she asked the very thing he wanted  had been longing all these days to say  how they did not go to circuses ,134,27
103,103,20,0,"It was a large family, nine brothers and sisters, and his father was a working man.",it was a large family  nine brothers and sisters  and his father was a working man ,83,16
104,104,20,0,"""My father is a chemist, Mrs. Ramsay. He keeps a shop.""", my father is a chemist  mrs  ramsay  he keeps a shop  ,55,11
105,105,20,0,He himself had paid his own way since he was thirteen.,he himself had paid his own way since he was thirteen ,54,11
106,106,20,0,Often he went without a greatcoat in winter.,often he went without a greatcoat in winter ,44,8
107,107,20,0,"He could never ""return hospitality"" (those were his parched stiff words) at college.",he could never  return hospitality   those were his parched stiff words  at college ,84,13
108,108,20,0,He had to make things last twice the time other people did; he smoked the cheapest tobacco; shag; the same the old men did in the quays.,he had to make things last twice the time other people did  he smoked the cheapest tobacco  shag  the same the old men did in the quays ,136,27
109,109,20,0,"He worked hard - seven hours a day; his subject was now the influence of something upon somebody - they were walking on and Mrs. Ramsay did not quite catch the meaning, only the words, here and there...dissertation...fellowship...readership...lectureship.",he worked hard   seven hours a day  his subject was now the influence of something upon somebody   they were walking on and mrs  ramsay did not quite catch the meaning  only the words  here and there   dissertation   fellowship   readership   lectureship ,255,38
110,110,20,0,"She could not follow the ugly academic jargon, that rattled itself off so glibly, but said to herself that she saw now why going to the circus had knocked him off his perch, poor little man, and why he came out, instantly, with all that about his father and mother and brothers and sisters, and she would see to it that they didn't laugh at him any more; she would tell Prue about it.",she could not follow the ugly academic jargon  that rattled itself off so glibly  but said to herself that she saw now why going to the circus had knocked him off his perch  poor little man  and why he came out  instantly  with all that about his father and mother and brothers and sisters  and she would see to it that they did not laugh at him any more  she would tell prue about it ,384,74
111,111,20,0,"What he would have liked, she supposed, would have been to say how he had gone not to the circus but to Ibsen with the Ramsays.",what he would have liked  she supposed  would have been to say how he had gone not to the circus but to ibsen with the ramsays ,127,26
112,112,20,0,"He was an awful prig - oh yes, an insufferable bore.",he was an awful prig   oh yes  an insufferable bore ,52,11
113,113,20,0,"For, though they had reached the town now and were in the main street, with carts grinding past on the cobbles, still he went on talking, about settlements, and teaching, and working men, and helping our own class, and lectures, till she gathered that he had got back entire self-confidence, had recovered from the circus, and was about (and now again she liked him warmly) to tell her - but here, the houses falling away on both sides, they came out on the quay, and the whole bay spread before them and Mrs. Ramsay could not help exclaiming, ""Oh, how beautiful!""",for  though they had reached the town now and were in the main street  with carts grinding past on the cobbles  still he went on talking  about settlements  and teaching  and working men  and helping our own class  and lectures  till she gathered that he had got back entire self confidence  had recovered from the circus  and was about  and now again she liked him warmly  to tell her   but here  the houses falling away on both sides  they came out on the quay  and the whole bay spread before them and mrs  ramsay could not help exclaiming   oh  how beautiful  ,564,101
114,114,20,0,"For the great plateful of blue water was before her; the hoary Lighthouse, distant, austere, in the midst; and on the right, as far as the eye could see, fading and falling, in soft low pleats, the green sand dunes with the wild flowing grasses on them, which always seemed to be running away into some moon country, uninhabited of men.",for the great plateful of blue water was before her  the hoary lighthouse  distant  austere  in the midst  and on the right  as far as the eye could see  fading and falling  in soft low pleats  the green sand dunes with the wild flowing grasses on them  which always seemed to be running away into some moon country  uninhabited of men ,336,61
115,115,21,0,"That was the view, she said, stopping, growing greyer-eyed, that her husband loved.",that was the view  she said  stopping  growing greyer eyed  that her husband loved ,83,13
116,116,22,0,She paused a moment.,she paused a moment ,20,4
