,sent_no,sent_raw,syuzhet,bing,afinn,nrc,sent_clean,char_len,token_len,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing_medianiqr,bing_lnorm_medianiqr,afinn_medianiqr,afinn_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
23,24,"I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.",0.0,0,0,0,i never saw my mother to know her as such more than four or five times in my life and each of these times was very short in duration and at night,150,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
24,25,"She was hired by a Mr. Stewart, who lived about twelve miles from my home.",0.0,0,0,0,she was hired by a mr stewart who lived about twelve miles from my home,74,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
25,26,"She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her day's work.",0.65,1,0,0,she made her journeys to see me in the night travelling the whole distance on foot after the performance of her day own work,125,23,0.5360824742268042,0.43146411694985765,0.5,0.6501208400373237,0.0,0.0,0.0,0.0,,,,,,,,,
26,27,"She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrarya permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.",1.35,0,-1,2,she was a field hand and a whipping is the penalty of not being in the field at sunrise unless a slave has special permission from his or her master to the contrarya permission which they seldom get and one that gives to him that gives it the proud name of being a kind master,281,55,1.1134020618556704,0.37483494181119253,0.0,0.0,-0.3333333333333333,-0.14062081536965285,1.0,0.4081262241513139,,,,,,,,,
27,28,I do not recollect of ever seeing my mother by the light of day.,0.0,0,0,0,i do not recollect of ever seeing my mother by the light of day,64,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
28,29,She was with me in the night.,0.0,0,0,0,she was with me in the night,29,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
29,30,"She would lie down with me, and get me to sleep, but long before I waked she was gone.",-0.5,-1,0,-1,she would lie down with me and get me to sleep but long before i waked she was gone,86,19,-0.4123711340206186,-0.4017314502899779,-0.5,-0.7869163876517001,0.0,0.0,-0.5,-0.590505617847548,,,,,,,,,
30,31,Very little communication ever took place between us.,0.0,0,0,0,very little communication ever took place between us,53,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
31,32,"Death soon ended what little we could have while she lived, and with it her hardships and suffering.",-2.55,-3,-4,-2,death soon ended what little we could have while she lived and with it her hardships and suffering,100,18,-2.1030927835051547,-2.1625911069996473,-1.5,-2.4918290720586596,-1.3333333333333333,-1.7180568691803668,-1.0,-1.246586540286717,,,,,,,,,
32,33,"She died when I was about seven years old, on one of my master's farms, near Lee's Mill.",-0.5,-1,-3,0,she died when i was about seven years old on one of my master own farms near lee own mill,88,18,-0.4123711340206186,-0.4240374719607151,-0.5,-0.8306096906862197,-1.0,-1.2885426518852752,0.0,0.0,,,,,,,,,
33,34,"I was not allowed to be present during her illness, at her death, or burial.",-1.75,-2,-4,-2,i was not allowed to be present during her illness at her death or burial,76,15,-1.4432989690721651,-1.7807596299163013,-1.0,-1.9932419092949794,-1.3333333333333333,-2.06143932138164,-1.0,-1.4957377475392257,,,,,,,,,
34,35,She was gone long before I knew any thing about it.,0.0,0,0,0,she was gone long before i knew any thing about it,51,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
35,36,"Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.",3.95,0,7,4,never having enjoyed to any considerable extent her soothing presence her tender and watchful care i received the tidings of her death with much the same emotions i should have probably felt at the death of a stranger,222,38,3.257731958762887,1.5872567080531073,0.0,0.0,2.3333333333333335,1.4245950374741443,2.0,1.1813219463595779,,,,,,,,,
36,37,"Called thus suddenly away, she left me without the slightest intimation of who my father was.",0.0,0,0,0,called thus suddenly away she left me without the slightest intimation of who my father was,93,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
37,38,"The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.",-0.5,0,2,2,the whisper that my master was my father may or may not be true and true or false it is of but little consequence to my purpose whilst the fact remains in all its glaring odiousness that slaveholders have ordained and by law established that the children of slave women shall in all cases follow the condition of their mothers and this is done too obviously to administer to their own lusts and make a gratification of their wicked desires profitable as well as pleasurable for by this cunning arrangement the slaveholder in cases not a few sustains to his slaves the double relation of master and father,619,108,-0.4123711340206186,-0.07070562790493917,0.0,0.0,0.6666666666666666,0.14323768268650314,1.0,0.2078606017087656,,,,,,,,,
38,39,"I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.",-1.8,-3,-1,2,i know of such cases and it is worthy of remark that such slaves invariably suffer greater hardships and have more to contend with than others,146,26,-1.4845360824742269,-1.0570124387560527,-1.5,-1.7254072121405788,-0.3333333333333333,-0.29740680713128037,1.0,0.8631689192834977,,,,,,,,,
39,40,"They are, in the first place, a constant offence to their mistress.",-1.3,-2,-2,0,they are in the first place a constant offence to their mistress,67,12,-1.0721649484536084,-1.6532871492116945,-1.0,-2.4911374736484295,-0.6666666666666666,-1.2881850213962702,0.0,0.0,,,,,,,,,
40,41,"She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.",0.3,0,4,-1,she is ever disposed to find fault with them they can seldom do any thing to please her she is never better pleased than when she sees them under the lash especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves,282,51,0.24742268041237114,0.08982844387389705,0.0,0.0,1.3333333333333333,0.6065909471464108,-0.5,-0.22006492443210918,,,,,,,,,
41,42,"The master is frequently compelled to sell this class of his slaves, out of deference to the feelings of his white wife; and, cruel as the deed may strike any one to be, for a man to sell his own children to human flesh-mongers, it is often the dictate of humanity for him to do so; for, unless he does this, he must not only whip them himself, but must stand by and see one white son tie up his brother, of but few shades darker complexion than himself, and ply the gory lash to his naked back; and if he lisp one word of disapproval, it is set down to his parental partiality, and only makes a bad matter worse, both for himself and the slave whom he would protect and defend.",-4.65,-6,-15,0,the master is frequently compelled to sell this class of his slaves out of deference to the feelings of his white wife and cruel as the deed may strike any one to be for a man to sell his own children to human flesh mongers it is often the dictate of humanity for him to do so for unless he does this he must not only whip them himself but must stand by and see one white son tie up his brother of but few shades darker complexion than himself and ply the gory lash to his naked back and if he lisp one word of disapproval it is set down to his parental partiality and only makes a bad matter worse both for himself and the slave whom he would protect and defend,678,133,-3.835051546391753,-0.5339696886784158,-3.0,-0.6748040235738134,-5.0,-0.8723649785900989,0.0,0.0,,,,,,,,,
42,43,Every year brings with it multitudes of this class of slaves.,-1.0,-1,-3,0,every year brings with it multitudes of this class of slaves,61,11,-0.8247422680412372,-1.3872688228905505,-0.5,-1.358699412285088,-1.0,-2.107779578606159,0.0,0.0,,,,,,,,,
43,44,"It was doubtless in consequence of a knowledge of this fact, that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population.",-0.5,0,0,1,it was doubtless in consequence of a knowledge of this fact that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population,170,29,-0.4123711340206186,-0.2632511158225605,0.0,0.0,0.0,0.0,0.5,0.3869531814988586,,,,,,,,,
44,45,"Whether this prophecy is ever fulfilled or not, it is nevertheless plain that a very different-looking class of people are springing up at the south, and are now held in slavery, from those originally brought to this country from Africa; and if their increase do no other good, it will do away the force of the argument, that God cursed Ham, and therefore American slavery is right.",0.2,1,3,-1,whether this prophecy is ever fulfilled or not it is nevertheless plain that a very different looking class of people are springing up at the south and are now held in slavery from those originally brought to this country from africa and if their increase do no other good it will do away the force of the argument that god cursed ham and therefore american slavery is right,382,67,0.16494845360824745,0.045586717624309686,0.5,0.22323952438828262,1.0,0.3463162686233966,-0.5,-0.16751994919089522,,,,,,,,,
45,46,"If the lineal descendants of Ham are alone to be scripturally enslaved, it is certain that slavery at the south must soon become unscriptural; for thousands are ushered into the world, annually, who, like myself, owe their existence to white fathers, and those fathers most frequently their own masters.",-0.0499999999999999,2,-4,0,if the lineal descendants of ham are alone to be scripturally enslaved it is certain that slavery at the south must soon become unscriptural for thousands are ushered into the world annually who like myself owe their existence to white fathers and those fathers most frequently their own masters,303,49,-0.04123711340206178,-0.015582360477479015,1.0,0.6104582954196621,-1.3333333333333333,-0.631344709527411,0.0,0.0,,,,,,,,,
46,47,I have had two masters.,0.1,1,0,0,i have had two masters,23,5,0.08247422680412372,0.3048668610783426,0.5,2.985884337177409,0.0,0.0,0.0,0.0,,,,,,,,,
47,48,My first master's name was Anthony.,0.0,0,0,0,my first master own name was anthony,35,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
48,49,I do not remember his first name.,0.0,0,0,0,i do not remember his first name,33,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
49,50,"He was generally called Captain Anthonya title which, I presume, he acquired by sailing a craft on the Chesapeake Bay.",1.3,0,0,3,he was generally called captain anthonya title which i presume he acquired by sailing a craft on the chesapeake bay,119,20,1.0721649484536084,0.9923027817107671,0.0,0.0,0.0,0.0,1.5,1.682985276653956,,,,,,,,,
50,51,He was not considered a rich slaveholder.,0.5,1,2,0,he was not considered a rich slaveholder,41,7,0.4123711340206186,1.0894315078477148,0.5,2.1339915162994036,0.6666666666666666,2.2070045801667915,0.0,0.0,,,,,,,,,
51,52,"He owned two or three farms, and about thirty slaves.",-1.0,-1,-3,0,he owned two or three farms and about thirty slaves,53,10,-0.8247422680412372,-1.5258571168856105,-0.5,-1.4944336193065755,-1.0,-2.3183469690763046,0.0,0.0,,,,,,,,,
52,53,His farms and slaves were under the care of an overseer.,0.0,-1,-1,0,his farms and slaves were under the care of an overseer,56,11,0.0,0.0,-0.5,-1.358699412285088,-0.3333333333333333,-0.7025931928687196,0.0,0.0,,,,,,,,,
53,54,The overseer's name was Plummer.,0.0,0,0,0,the overseer own name was plummer,32,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
54,55,"Mr. Plummer was a miserable drunkard, a profane swearer, and a savage monster.",-3.3,-5,-3,-4,mr plummer was a miserable drunkard a profane swearer and a savage monster,78,13,-2.7216494845360826,-3.8742227626504517,-2.5,-5.749147013550661,-1.0,-1.7837550469218917,-2.0,-3.4513487456669907,,,,,,,,,
55,56,He always went armed with a cowskin and a heavy cudgel.,-0.8,0,0,0,he always went armed with a cowskin and a heavy cudgel,55,11,-0.6597938144329898,-1.1098150583124404,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
56,57,"I have known him to cut and slash the women's heads so horribly, that even master would be enraged at his cruelty, and would threaten to whip him if he did not mind himself.",-3.9,-2,-10,-3,i have known him to cut and slash the women own heads so horribly that even master would be enraged at his cruelty and would threaten to whip him if he did not mind himself,173,34,-3.216494845360825,-1.7514829751866319,-1.0,-0.8796989432083987,-3.3333333333333335,-2.2744931059937086,-1.5,-0.9901951010245712,,,,,,,,,
57,58,"Master, however, was not a humane slaveholder.",0.5,2,2,2,master however was not a humane slaveholder,46,7,0.4123711340206186,1.0894315078477148,1.0,4.267983032598807,0.6666666666666666,2.2070045801667915,1.0,3.2027137789677287,,,,,,,,,
58,59,It required extraordinary barbarity on the part of an overseer to affect him.,-0.25,0,0,1,it required extraordinary barbarity on the part of an overseer to affect him,77,13,-0.2061855670103093,-0.293501724443216,0.0,0.0,0.0,0.0,0.5,0.8628371864167477,,,,,,,,,
59,60,"He was a cruel man, hardened by a long life of slaveholding.",-1.75,-2,-3,-2,he was a cruel man hardened by a long life of slaveholding,60,12,-1.4432989690721651,-2.22557885470805,-1.0,-2.4911374736484295,-1.0,-1.9322775320944054,-1.0,-1.86936083185377,,,,,,,,,
60,61,He would at times seem to take great pleasure in whipping a slave.,0.25,1,3,-1,he would at times seem to take great pleasure in whipping a slave,66,13,0.2061855670103093,0.293501724443216,0.5,1.1498294027101321,1.0,1.7837550469218917,-0.5,-0.8628371864167477,,,,,,,,,
61,62,"I have often been awakened at the dawn of day by the most heart-rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.",0.25,1,0,1,i have often been awakened at the dawn of day by the most heart rending shrieks of an own aunt of mine whom he used to tie up to a joist and whip upon her naked back till she was literally covered with blood,210,43,0.2061855670103093,0.08878068902595304,0.5,0.3478093589690495,0.0,0.0,0.5,0.26099771670034616,,,,,,,,,
62,63,"No words, no tears, no prayers, from his gory victim, seemed to move his iron heart from its bloody purpose.",-3.3,-1,-9,-3,no words no tears no prayers from his gory victim seemed to move his iron heart from its bloody purpose,108,20,-2.7216494845360826,-2.5189224458811776,-0.5,-0.7475902313472673,-3.0,-3.4792583448956234,-1.5,-1.682985276653956,,,,,,,,,
63,64,"The louder she screamed, the harder he whipped; and where the blood ran fastest, there he whipped longest.",-1.05,0,-2,0,the louder she screamed the harder he whipped and where the blood ran fastest there he whipped longest,106,18,-0.8659793814432991,-0.8904786911175019,0.0,0.0,-0.6666666666666666,-0.8590284345901834,0.0,0.0,,,,,,,,,
64,65,"He would whip her to make her scream, and whip her to make her hush; and not until overcome by fatigue, would he cease to swing the blood-clotted cowskin.",-2.15,-2,-4,-2,he would whip her to make her scream and whip her to make her hush and not until overcome by fatigue would he cease to swing the blood clotted cowskin,154,29,-1.77319587628866,-1.13197979803701,-1.0,-1.031318892055072,-1.3333333333333333,-1.0666047643549952,-1.0,-0.7739063629977172,,,,,,,,,
65,66,I remember the first time I ever witnessed this horrible exhibition.,-0.75,-1,-3,-1,i remember the first time i ever witnessed this horrible exhibition,68,11,-0.6185567010309279,-1.040451617167913,-0.5,-1.358699412285088,-1.0,-2.107779578606159,-0.5,-1.0195741866741042,,,,,,,,,
66,67,"I was quite a child, but I well remember it.",1.4,1,0,1,i was quite a child but i well remember it,44,10,1.154639175257732,2.1361999636398545,0.5,1.4944336193065755,0.0,0.0,0.5,1.1214297497784105,,,,,,,,,
67,68,I never shall forget it whilst I remember any thing.,-0.5,0,-1,-1,i never shall forget it whilst i remember any thing,52,10,-0.4123711340206186,-0.7629285584428053,0.0,0.0,-0.3333333333333333,-0.7727823230254349,-0.5,-1.1214297497784105,,,,,,,,,
68,69,"It was the first of a long series of such outrages, of which I was doomed to be a witness and a participant.",-2.0,-2,-2,-1,it was the first of a long series of such outrages of which i was doomed to be a witness and a participant,108,23,-1.6494845360824744,-1.3275818983072543,-1.0,-1.3002416800746475,-0.6666666666666666,-0.6723642810503784,-0.5,-0.4878536199600994,,,,,,,,,
69,70,It struck me with awful force.,-1.85,-2,-4,-2,it struck me with awful force,30,6,-1.5257731958762888,-4.701594845099198,-1.0,-4.978129959819907,-1.3333333333333333,-5.14845328018942,-1.0,-3.735611246350046,,,,,,,,,
70,71,"It was the blood-stained gate, the entrance to the hell of slavery, through which I was about to pass.",-1.55,-1,-7,-2,it was the blood stained gate the entrance to the hell of slavery through which i was about to pass,102,19,-1.2783505154639176,-1.2453674958989316,-0.5,-0.7869163876517001,-2.3333333333333335,-2.848440682503536,-1.0,-1.181011235695096,,,,,,,,,
71,72,It was a most terrible spectacle.,-0.35,-1,-3,-1,it was a most terrible spectacle,33,6,-0.288659793814433,-0.8894909166403887,-0.5,-2.4890649799099536,-1.0,-3.8613399601420646,-0.5,-1.867805623175023,,,,,,,,,
72,73,I wish I could commit to paper the feelings with which I beheld it.,0.55,0,2,0,i wish i could commit to paper the feelings with which i beheld it,67,14,0.45360824742268047,0.5996150147761405,0.0,0.0,0.6666666666666666,1.1042899433953752,0.0,0.0,,,,,,,,,
73,74,"This occurrence took place very soon after I went to live with my old master, and under the following circumstances.",0.0,1,0,1,this occurrence took place very soon after i went to live with my old master and under the following circumstances,116,20,0.0,0.0,0.5,0.7475902313472673,0.0,0.0,0.5,0.5609950922179854,,,,,,,,,
74,75,"Aunt Hester went out one night,where or for what I do not know,and happened to be absent when my master desired her presence.",0.85,1,2,2,aunt hester went out one nightwhere or for what i do not knowand happened to be absent when my master desired her presence,127,23,0.7010309278350516,0.564222306780583,0.5,0.6501208400373237,0.6666666666666666,0.6723642810503784,1.0,0.9757072399201988,,,,,,,,,
75,76,"He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd.",0.15,-1,-2,3,he had ordered her not to go out evenings and warned her that she must never let him catch her in company with a young man who was paying attention to her belonging to colonel lloyd,184,36,0.12371134020618557,0.06362328411562745,-0.5,-0.4154201757639217,-0.6666666666666666,-0.4296334936675703,1.5,0.9351995386238731,,,,,,,,,
76,77,"The young man's name was Ned Roberts, generally called Lloyd's Ned.",0.4,0,0,1,the young man own name was ned roberts generally called lloyd own ned,67,11,0.3298969072164949,0.5549075291562202,0.0,0.0,0.0,0.0,0.5,1.0195741866741042,,,,,,,,,
77,78,"Why master was so careful of her, may be safely left to conjecture.",0.75,2,3,2,why master was so careful of her may be safely left to conjecture,67,13,0.6185567010309279,0.8805051733296481,1.0,2.2996588054202642,1.0,1.7837550469218917,1.0,1.7256743728334953,,,,,,,,,
78,79,"She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.",1.9,2,4,3,she was a woman of noble form and of graceful proportions having very few equals and fewer superiors in personal appearance among the colored or white women of our neighborhood,182,30,1.5670103092783505,0.967020210131537,1.0,0.99695305093361,1.3333333333333333,1.0310631194248052,1.5,1.1221771204880262,,,,,,,,,
79,80,"Aunt Hester had not only disobeyed his orders in going out, but had been found in company with Lloyd's Ned; which circumstance, I found, from what he said while whipping her, was the chief offence.",-0.75,-1,-2,2,aunt hester had not only disobeyed his orders in going out but had been found in company with lloyd own ned which circumstance i found from what he said while whipping her was the chief offence,197,35,-0.6185567010309279,-0.3272028650390952,-0.5,-0.42728593342641585,-0.6666666666666666,-0.4419052301333678,1.0,0.6412745955602336,,,,,,,,,
80,81,"Had he been a man of pure morals himself, he might have been thought interested in protecting the innocence of my aunt; but those who knew him will not suspect him of any such virtue.",3.9,1,2,5,had he been a man of pure morals himself he might have been thought interested in protecting the innocence of my aunt but those who knew him will not suspect him of any such virtue,183,35,3.216494845360825,1.7014548982032947,0.5,0.42728593342641585,0.6666666666666666,0.4419052301333678,2.5,1.603186488900584,,,,,,,,,
81,82,"Before he commenced whipping Aunt Hester, he took her into the kitchen, and stripped her from neck to waist, leaving her neck, shoulders, and back, entirely naked.",0.25,0,0,0,before he commenced whipping aunt hester he took her into the kitchen and stripped her from neck to waist leaving her neck shoulders and back entirely naked,163,27,0.2061855670103093,0.14137198944858348,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
82,83,"He then told her to cross her hands, calling her at the same time a dd b-h.",0.0,0,0,-1,he then told her to cross her hands calling her at the same time a dd b h,78,17,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.659936025589764,,,,,,,,,
83,84,"After crossing her hands, he tied them with a strong rope, and led her to a stool under a large hook in the joist, put in for the purpose.",0.9,2,2,0,after crossing her hands he tied them with a strong rope and led her to a stool under a large hook in the joist put in for the purpose,138,29,0.7422680412371134,0.47385200848060893,1.0,1.031318892055072,0.6666666666666666,0.5333023821774976,0.0,0.0,,,,,,,,,
84,85,"He made her get upon the stool, and tied her hands to the hook.",0.0,0,0,0,he made her get upon the stool and tied her hands to the hook,63,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
85,86,She now stood fair for his infernal purpose.,-0.25,0,2,1,she now stood fair for his infernal purpose,44,8,-0.2061855670103093,-0.47671129026295134,0.0,0.0,0.6666666666666666,1.931473421594158,0.5,1.4014371779378136,,,,,,,,,
86,87,"Her arms were stretched up at their full length, so that she stood upon the ends of her toes.",0.0,0,0,1,her arms were stretched up at their full length so that she stood upon the ends of her toes,93,19,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.590505617847548,,,,,,,,,
87,88,"He then said to her, ""Now, you dd b-h, I'll learn you how to disobey my orders!""",0.3,-1,0,0,he then said to her now you dd b h I will learn you how to disobey my orders,83,17,0.24742268041237114,0.26937971322795345,-0.5,-0.8794403603326759,0.0,0.0,0.0,0.0,,,,,,,,,
