,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
10,10,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"I come to this, from hearing my master say, some time during , I was about seventeen years old.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,My mother was named Harriet Bailey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,My mother was of a darker complexion than either my grandmother or grandfather.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,My father was a white man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,He was admitted to be such by all I ever heard speak of my parentage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,My mother and I were separated when I was but an infant before I knew her as my mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,"It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,"For what this separation is done, I do not know, unless it be to hinder the development of the child s affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,This is the inevitable result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,"I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"She was hired by a Mr. Stewart, who lived about twelve miles from my home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her day s work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrary a permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,I do not recollect of ever seeing my mother by the light of day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,She was with me in the night.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"She would lie down with me, and get me to sleep, but long before I waked she was gone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Very little communication ever took place between us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,"Death soon ended what little we could have while she lived, and with it her hardships and suffering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,"She died when I was about seven years old, on one of my master s farms, near Lee s Mill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,"I was not allowed to be present during her illness, at her death, or burial.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,She was gone long before I knew any thing about it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,"Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,"Called thus suddenly away, she left me without the slightest intimation of who my father was.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,"The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,"I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,"They are, in the first place, a constant offence to their mistress.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,"She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,"The master is frequently compelled to sell this class of his slaves, out of deference to the feelings of his white wife; and, cruel as the deed may strike any one to be, for a man to sell his own children to human flesh-mongers, it is often the dictate of humanity for him to do so; for, unless he does this, he must not only whip them himself, but must stand by and see one white son tie up his brother, of but few shades darker complexion than himself, and ply the gory lash to his naked back; and if he lisp one word of disapproval, it is set down to his parental partiality, and only makes a bad matter worse, both for himself and the slave whom he would protect and defend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,Every year brings with it multitudes of this class of slaves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,"It was doubtless in consequence of a knowledge of this fact, that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,"Whether this prophecy is ever fulfilled or not, it is nevertheless plain that a very different-looking class of people are springing up at the south, and are now held in slavery, from those originally brought to this country from Africa; and if their increase do no other good, it will do away the force of the argument, that God cursed Ham, and therefore American slavery is right.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,"If the lineal descendants of Ham are alone to be scripturally enslaved, it is certain that slavery at the south must soon become unscriptural; for thousands are ushered into the world, annually, who, like myself, owe their existence to white fathers, and those fathers most frequently their own masters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,I have had two masters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,My first master s name was Anthony.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,I do not remember his first name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,"He was generally called Captain Anthony a title which, I presume, he acquired by sailing a craft on the Chesapeake Bay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,He was not considered a rich slaveholder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"He owned two or three farms, and about thirty slaves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,His farms and slaves were under the care of an overseer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,The overseer s name was Plummer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,"Mr. Plummer was a miserable drunkard, a profane swearer, and a savage monster.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,He always went armed with a cowskin and a heavy cudgel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,"I have known him to cut and slash the women s heads so horribly, that even master would be enraged at his cruelty, and would threaten to whip him if he did not mind himself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,"Master, however, was not a humane slaveholder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,It required extraordinary barbarity on the part of an overseer to affect him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"He was a cruel man, hardened by a long life of slaveholding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,He would at times seem to take great pleasure in whipping a slave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,"I have often been awakened at the dawn of day by the most heart-rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,"No words, no tears, no prayers, from his gory victim, seemed to move his iron heart from its bloody purpose.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,"The louder she screamed, the harder he whipped; and where the blood ran fastest, there he whipped longest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,"He would whip her to make her scream, and whip her to make her hush; and not until overcome by fatigue, would he cease to swing the blood-clotted cowskin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,I remember the first time I ever witnessed this horrible exhibition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,"I was quite a child, but I well remember it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,I never shall forget it whilst I remember any thing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,"It was the first of a long series of such outrages, of which I was doomed to be a witness and a participant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,It struck me with awful force.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,"It was the blood-stained gate, the entrance to the hell of slavery, through which I was about to pass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,It was a most terrible spectacle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,I wish I could commit to paper the feelings with which I beheld it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"This occurrence took place very soon after I went to live with my old master, and under the following circumstances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,"Aunt Hester went out one night, where or for what I do not know, and happened to be absent when my master desired her presence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,"He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,"The young man s name was Ned Roberts, generally called Lloyd s Ned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,"Why master was so careful of her, may be safely left to conjecture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,"She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,"Aunt Hester had not only disobeyed his orders in going out, but had been found in company with Lloyd s Ned; which circumstance, I found, from what he said while whipping her, was the chief offence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,"Had he been a man of pure morals himself, he might have been thought interested in protecting the innocence of my aunt; but those who knew him will not suspect him of any such virtue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,"Before he commenced whipping Aunt Hester, he took her into the kitchen, and stripped her from neck to waist, leaving her neck, shoulders, and back, entirely naked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"He then told her to cross her hands, calling her at the same time a d d b -h.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,"After crossing her hands, he tied them with a strong rope, and led her to a stool under a large hook in the joist, put in for the purpose.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,"He made her get upon the stool, and tied her hands to the hook.",-0.0862086082733165,-0.11059169846065695,-0.11757074792020433,-0.0464425000743491,-0.08314367376137191,0.05133023527662553,-0.11771914833828825,-0.09242150686271876,-0.01875055120067259,-0.1311029225487252,-0.053610250271557136,0.024550525540939845,-0.7119391695961422,-0.8055949573900009,-1.2606375826101173,-1.0433334757848038,0.14685165188252666,1.4897190627002073,0.8027186376554283,-0.6529776818406917,-1.2838387749217366,-0.9346248231521592,0.6041040720418324,0.16821735665406293,0.05774074179750172,-1.7095415463639188,0.6965941681986583,0.04891484320587156,-2.2376987434491147,1.2035080095528075,0.009959674421680168
85,85,She now stood fair for his infernal purpose.,-0.0862086082733165,-0.11059169846065695,-0.11757074792020433,-0.0464425000743491,-0.08608111981836417,0.05133023527662553,-0.11771914833828825,-0.09242150686271876,-0.020990650070459516,-0.1316696408991709,-0.05492127427303898,0.018170050034783065,-0.7119391695961422,-0.8055949573900009,-1.2606375826101173,-1.0774721696234146,0.21022852704249906,1.4897190627002073,0.8027186376554283,-0.6529776818406917,-1.2838387749217366,-0.9346248231521592,0.6041040720418324,0.1684638825619951,-0.029335178391890242,-1.784599163507112,0.7326604437849137,-0.05535857590779206,-2.21695269889813,1.2035080095528075,-0.0637207264201906
86,86,"Her arms were stretched up at their full length, so that she stood upon the ends of her toes.",-0.09151895524669187,-0.11613567739452157,-0.12633502749647788,-0.0548216809100966,-0.08577724608833048,0.043492700746591825,-0.11569774612053527,-0.0885617876467163,-0.014830378178545474,-0.11888885410036859,-0.05716488049489945,0.021903850969656996,-0.6262409013251012,-0.7255440266668404,-1.1647699109434246,-0.9553917852646491,0.26024925530127807,1.6653939816980214,0.8027186376554283,-0.6930849915480621,-1.3800555168116584,-0.9168592659523488,0.5305201612885987,0.28345401028393447,0.054365093385926565,-1.6761981832611492,0.7939518574562093,-0.0492815507392238,-2.08313441249555,1.2035080095528075,-0.12006805291600091
87,87,"He then said to her, Now, you d d b -h, I learn you how to disobey my orders! and after rolling up his sleeves, he commenced to lay on the heavy cowskin, and soon the warm, red blood (amid heart-rending shrieks from her, and horrid oaths from him) came dripping to the floor.",-0.08759391617941444,-0.11203795383470858,-0.11912135111988519,-0.0454369983740594,-0.08771798631081228,0.03625999184109528,-0.10935727472758391,-0.10006009982465876,-0.021471337952934627,-0.11697167168073569,-0.07139496324733988,0.022817428643710502,-0.6301175063535776,-0.729165171490842,-1.1008581298322966,-0.9704248204769503,0.3561557785192631,1.5559510305385598,0.9288679132896037,-0.6983163797707626,-1.3319471458666972,-0.8990937087525384,0.4569362505353653,0.2859952369938543,0.010609930602083947,-1.6935381678100085,0.615863575140373,-0.04862603819311786,-2.104240538849398,1.2035080095528075,-0.13478531388313678
88,88,"I was so terrified and horror-stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over.",-0.09128807059567556,-0.12071548607901846,-0.12336487844711394,-0.03973915540575111,-0.09890864287551934,0.028588974103019638,-0.11715043053967693,-0.10604266460946257,-0.025204836069246173,-0.11708630334707584,-0.07729457125400813,0.0219427231923955,-0.6641172831864842,-0.8322455858870224,-1.183131717742322,-0.9390564973908289,0.42139610345983664,1.4303712478116566,0.9288679132896037,-0.7610930384431684,-1.428163887756619,-0.9701559375517803,0.3833523397821317,0.2858488917258934,-0.02713877110859433,-1.837853418899856,0.511856115595649,-0.059950664645642915,-2.1065586600672157,1.2035080095528075,-0.15947885866897601
89,89,I expected it would be my turn next.,-0.09128807059567556,-0.12071548607901846,-0.11911541022844088,-0.040811690552726786,-0.09676532016634842,0.02477047262580424,-0.11715043053967693,-0.10604266460946257,-0.025204836069246173,-0.11692852380632673,-0.07729457125400813,0.022802501373723274,-0.6785453371461025,-0.845722861114318,-1.1379392639209327,-1.0605292439949807,0.12150657106626238,1.3867849578089364,0.9288679132896037,-0.7610930384431684,-1.3800555168116584,-0.9701559375517803,0.34656038440551507,0.1711928390201819,-0.0743096437281666,-1.9477443619070895,0.5134501459668479,-0.05967419753013279,-2.106172391297818,1.0575613735129574,-0.17137329325023393
90,90,It was all new to me. I had never seen any thing like it before.,-0.113222112442226,-0.13879367825466402,-0.13657743679672318,-0.055559048823642376,-0.11745709535677529,0.010041424901968358,-0.1294676441965834,-0.11188309784205548,-0.042005577592648106,-0.105638592668072,-0.0930018591100877,0.02750190232107294,-0.8253952538280204,-0.9552812311368034,-1.2858917420240663,-1.2443517602066156,-0.0216898923097907,1.2481629899916773,0.8568104289808727,-0.8918777440106807,-1.6205973715364625,-1.112280395150264,0.199392562899048,0.2858621100524389,0.10506211393497894,-1.975291753565051,0.4979998743808023,-0.04617466137635858,-1.9963382785890784,1.0575613735129574,-0.163293191905999
91,91,"I had always lived with my grandmother on the outskirts of the plantation, where she was put to raise the children of the younger women.",-0.11668538220747081,-0.14240931668979315,-0.13657743679672318,-0.048688120538329424,-0.11175237253160963,0.009774740930055764,-0.1335104486320894,-0.11934044047594672,-0.042005577592648106,-0.09386244294505984,-0.0930018591100877,0.03073618823868868,-0.8671400676967206,-0.9942751486391453,-1.2858917420240663,-1.165924902976536,0.13265902679542826,1.2244996758543154,0.750235972445897,-0.9180346851241833,-1.6205973715364625,-1.1478115095498846,0.199392562899048,0.2860261861338112,0.1630814100544735,-1.9641066302367363,0.49514918151622017,0.07911750075247445,-1.8919790520264432,1.0575613735129574,-0.22219337156374594
92,92,"I had therefore been, until now, out of the way of the bloody scenes that often occurred on the plantation.",-0.12014865197271563,-0.14602495512492225,-0.1497238561611335,-0.04583919905417527,-0.11772450423920493,0.0020673129888935473,-0.1355318508498424,-0.12608712534878347,-0.0364053304181808,-0.08198260952384114,-0.08630392185188099,0.033731337527821495,-0.8984233249023716,-1.023496904292878,-1.429693249524105,-1.3145713799977254,0.11394180972583721,1.132039192171255,0.7575944023496383,-0.9441916262376857,-1.7649224843713451,-1.1655770667496954,0.12580865214581438,0.28699620266407433,0.12901055206105014,-1.949097105929016,0.4990967172387802,0.08071080402850908,-1.8898529098270849,1.0575613735129574,-0.22196094169581024
93,93,"My master s family consisted of two sons, Andrew and Richard; one daughter, Lucretia, and her husband, Captain Thomas Auld.",-0.1256898835971073,-0.14698912537429001,-0.1543612323161134,-0.05730191843747785,-0.11791088012695893,-0.0018500847020213272,-0.14036552540377184,-0.12903798500615288,-0.034165231548393876,-0.07133925250359494,-0.08469208021773589,0.03306735723320746,-0.9579916055114065,-1.033829282656206,-1.4828710658092756,-1.3044567651693535,-0.021524871258505145,1.0807513437291818,0.7575944023496383,-0.9511668105346196,-1.8130308553163057,-1.2011081811493163,0.08901669676919757,0.4019875074073027,0.12361003854349345,-1.968525092191093,0.6400550075481051,0.08441031718139615,-1.8665447755613804,1.2035080095528075,-0.23895059162254959
94,94,"They lived in one house, upon the home plantation of Colonel Edward Lloyd.",-0.11229857383816072,-0.13300865675845744,-0.1378115638076188,-0.060234631729989475,-0.11674400500362958,0.0018321786536653227,-0.12743664720989187,-0.12602975114422124,-0.041507777843806576,-0.05857392165980476,-0.09192744596789902,0.03733862681017091,-0.8502155442455607,-0.9331554395544925,-1.3113777612561914,-1.2993216645065522,-0.05846823054778608,1.115090305300261,0.8529174941405591,-0.8500266382290769,-1.6205973715364625,-1.0767492807506431,0.12580865214581438,0.4020056431434898,0.15945207737217706,-1.8291455974896098,0.5876046727439049,0.08660927501407933,-1.7437154878368788,1.2035080095528075,-0.21747477696254572
95,95,My master was Colonel Lloyd s clerk and superintendent.,-0.1176089208115361,-0.13855263569232207,-0.13335315298591824,-0.05621262492883069,-0.12536996728685237,-0.0020411066120092627,-0.13777595170585233,-0.13708862907358504,-0.035907530669339265,-0.0485874427275752,-0.08849895802654352,0.034020899980560085,-0.9021467225699745,-0.9816644612919191,-1.2618719084822205,-1.397213366817407,0.021185823139850544,1.0673439168353578,0.8529174941405591,-0.8901339479364474,-1.5724890005915015,-1.1655770667496954,0.08901669676919757,0.40356293152906686,0.20155079229568776,-1.8278356918548593,0.5141842046149316,0.08783932454095211,-1.610912934556013,1.2035080095528075,-0.36182626391118344
96,96,He was what might be called the overseer of the overseers.,-0.1222266138318625,-0.13855263569232207,-0.1376026212045913,-0.0735742876204995,-0.12002584128799335,-0.0020411066120092627,-0.13777595170585233,-0.13708862907358504,-0.03814762953912619,-0.06102304653110603,-0.08978414532201455,0.028549733758560684,-0.9433697338831696,-0.9816644612919191,-1.3070643623036098,-1.5219583112402364,-0.18942642667237838,1.0673439168353578,0.8529174941405591,-0.8901339479364474,-1.6205973715364625,-1.1655770667496954,0.08901669676919757,0.39982161322660564,0.19538696693552107,-1.8269915558627188,0.3718011705500375,0.0881309935914688,-1.6081773717063568,1.0575613735129574,-0.4882403280118581
97,97,I spent two years of childhood on this plantation in my old master s family.,-0.12799873010727053,-0.14457869975087062,-0.14174003833171495,-0.07276031005359831,-0.13132589239551254,-0.01340373764270868,-0.14903013656563327,-0.148498272026295,-0.03814762953912619,-0.06070233546460378,-0.08978414532201455,0.03495898274582009,-0.9922542117933894,-1.0273275538325093,-1.3499376884418808,-1.645115939570274,-0.1770793764944468,0.9432951607866581,0.8529174941405591,-0.9337288497922848,-1.6687057424814233,-1.2721704099485582,-0.02135916936065267,0.40123078566496484,0.2081504956217676,-1.77631629640176,0.24076386946755507,0.10243891057576246,-1.6013098467411326,1.0575613735129574,-0.43708660071889005
98,98,"It was here that I witnessed the bloody transaction recorded in the first chapter; and as I received my first impressions of slavery on this plantation, I will give some description of it, and of slavery as it there existed.",-0.1219957291808462,-0.13831159312998015,-0.1340557330924572,-0.06991138856944416,-0.13388653502726303,-0.024200361689362775,-0.14903013656563327,-0.15737562622310067,-0.02358698688551118,-0.07034685139218937,-0.07115982368728935,0.05671348289530919,-0.9791580785071917,-1.0150944284778753,-1.280454320551423,-1.6018045451289784,-0.04301485666492812,0.8324239259527806,0.8529174941405591,-0.9058281126045489,-1.6205973715364625,-1.3254670815479894,-0.131735035490503,0.40161384604241723,0.24915188899490773,-1.8011534372055937,0.29367017956779135,0.10395333808424934,-1.61182589014154,0.9116147374731073,-0.5573550998908027
99,99,"The plantation is about twelve miles north of Easton, in Talbot county, and is situated on the border of Miles River.",-0.11991776732169931,-0.1361422100689027,-0.12566210387487106,-0.06035912241669203,-0.13063306029103572,-0.024444811195309037,-0.14571318148949808,-0.14642367294769368,-0.015746640841256945,-0.05863252548922583,-0.06351070707855655,0.0650183708886879,-0.9647890352405044,-1.0016722752616434,-1.1922705800613553,-1.5726418252859722,0.08175712149741209,0.8148978725714076,0.9307484726713056,-0.8901339479364474,-1.5243806296465408,-1.2899359671483686,-0.131735035490503,0.28701843223815576,0.2921751724086393,-1.639058909600198,0.334411599125299,0.11532962181629267,-1.4831457677053532,1.0575613735129574,-0.36807393385630893
100,100,"The principal products raised upon it were tobacco, corn, and wheat.",-0.1252281142950747,-0.14168618900276733,-0.13600358020480516,-0.058515702632827585,-0.13250492246804318,-0.03265457436769394,-0.1431854977483808,-0.14608725147548804,-0.017613389899412715,-0.07089746978949744,-0.06632534359362115,0.06647239364574184,-1.0370727815154157,-1.0691926730736816,-1.3200941422836123,-1.5952392561342081,0.02168081793947734,0.6777638813178916,0.7886491972913383,-0.9302412576438177,-1.6205973715364625,-1.2721704099485582,-0.20531894624373653,0.2864355012922604,0.12172135757045097,-1.6227831664204844,0.19518707386149572,0.2142624099641682,-1.5086339999740723,0.9116147374731073,-0.510086470622438
101,101,"These were raised in great abundance; so that, with the products of this and the other farms belonging to him, he was able to keep in almost constant employment a large sloop, in carrying them to market at Baltimore.",-0.1333090770806459,-0.15012267868473528,-0.14674059918713972,-0.06253770943398639,-0.13974927219204616,-0.03652785963336853,-0.15443907058067616,-0.15362543957944422,-0.01462659140636348,-0.06859260049830962,-0.059189425481465045,0.06232158965890472,-1.1179633391005686,-1.1447527112406959,-1.49634471218703,-1.7753401297677887,-0.22912460931783338,0.577713944849724,0.7886491972913383,-0.9912741202419902,-1.716814113426384,-1.3432326387478002,-0.24211090162035326,0.18889138557678917,-0.023108505356588937,-1.6367646272537415,0.05631010283112751,0.21295023918621842,-1.6287157707129485,0.9116147374731073,-0.6354056155182972
102,102,"This sloop was named Sally Lloyd, in honor of one of the colonel s daughters.",-0.14208269381926608,-0.15446144480689022,-0.158222769809123,-0.06605696538500033,-0.13719268121002945,-0.051296493975640324,-0.15956887284411062,-0.1583353401903229,-0.01462659140636348,-0.0561396087453901,-0.059189425481465045,0.06207887822039253,-1.165214483455389,-1.1585531960552398,-1.5762284524424943,-1.7476514533354581,-0.170422360541875,0.4663303535925112,0.7886491972913383,-1.057538371062863,-1.861139226261267,-1.4320604247468522,-0.3892787231268203,0.30361493341874757,0.06303533727488872,-1.4970723865082318,0.18796593886600754,0.2138600338643546,-1.4962185625078346,1.0575613735129574,-0.5263044041786668
