,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
10,10,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"The Dursleys knew that the Potters had a small son, too, but they had never even seen him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"None of them noticed a large, tawny owl flutter past the window.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"""Little tyke,"" chortled Mr. Dursley as he left the house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,He got into his car and backed out of number four's drive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,"It was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map. For a second, Mr. Dursley didn't realize what he had seen -- then he jerked his head around to look again.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"There was a tabby cat standing on the corner of Privet Drive, but there wasn't a map in sight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,What could he have been thinking of?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,It must have been a trick of the light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Mr. Dursley blinked and stared at the cat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,It stared back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"As Mr. Dursley drove around the corner and up the road, he watched the cat in his mirror.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"It was now reading the sign that said Privet Drive -- no, looking at the sign; cats couldn't read maps or signs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Mr. Dursley gave himself a little shake and put the cat out of his mind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,As he drove toward town he thought of nothing except a large order of drills he was hoping to get that day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"But on the edge of town, drills were driven out of his mind by something else.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,"As he sat in the usual morning traffic jam, he couldn't help noticing that there seemed to be a lot of strangely dressed people about.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,People in cloaks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,Mr. Dursley couldn't bear people who dressed in funny clothes -- the getups you saw on young people!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,He supposed this was some stupid new fashion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,He drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,They were whispering excitedly together.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,"Mr. Dursley was enraged to see that a couple of them weren't young at all; why, that man had to be older than he was, and wearing an emerald-green cloak!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,The nerve of him!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,But then it struck Mr. Dursley that this was probably some silly stunt -- these people were obviously collecting for something...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,"yes, that would be it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,"The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,Mr. Dursley always sat with his back to the window in his office on the ninth floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,"If he hadn't, he might have found it harder to concentrate on drills that morning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,"He didn't see the owls swoop ing past in broad daylight, though people down in the street did; they pointed and gazed open- mouthed as owl after owl sped overhead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,Most of them had never seen an owl even at nighttime.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,"Mr. Dursley, however, had a perfectly normal, owl-free morning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,He yelled at five different people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,He made several important telephone calls and shouted a bit more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,"He was in a very good mood until lunchtime, when he thought he'd stretch his legs and walk across the road to buy himself a bun from the bakery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,He'd forgotten all about the people in cloaks until he passed a group of them next to the baker's.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,He eyed them angrily as he passed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"He didn't know why, but they made him uneasy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,"This bunch were whispering excitedly, too, and he couldn't see a single collecting tin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,"It was on his way back past them, clutching a large doughnut in a bag, that he caught a few words of what they were saying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,"""The Potters, that's right, that's what I heard yes, their son, Harry""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,Mr. Dursley stopped dead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,Fear flooded him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,"He looked back at the whisperers as if he wanted to say something to them, but thought better of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,"He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"He put the receiver back down and stroked his mustache, thinking... no, he was being stupid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,Potter wasn't such an unusual name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,He was sure there were lots of people called Potter who had a son called Harry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,"Come to think of it, he wasn't even sure his nephew was called Harry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,He'd never even seen the boy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,It might have been Harvey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,Or Harold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,"He didn't blame her -- if he'd had a sister like that... but all the same, those people in cloaks...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,"He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,"""Sorry,"" he grunted, as the tiny old man stumbled and almost fell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,He didn't seem at all upset at being almost knocked to the ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,"On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, ""Don't be sorry, my dear sir, for nothing could upset me today! Rejoice, for You-Know-Who has gone at last! Even Muggles like yourself should be celebrating, this happy, happy day!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,And the old man hugged Mr. Dursley around the middle and walked off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,Mr. Dursley stood rooted to the spot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,He had been hugged by a complete stranger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,"He also thought he had been called a Muggle, whatever that was.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,He was rattled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,"He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn't approve of imagination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,It was now sitting on his garden wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,He was sure it was the same one; it had the same markings around its eyes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"""Shoo!"" said Mr. Dursley loudly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,The cat didn't move.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,It just gave him a stern look.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,Was this normal cat behavior?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,Mr. Dursley wondered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,"Trying to pull himself together, he let himself into the house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,He was still determined not to mention anything to his wife.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,"Mrs. Dursley had had a nice, normal day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,"She told him over dinner all about Mrs. Next Door's problems with her daughter and how Dudley had learned a new word (""Won't!"").",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,Mr. Dursley tried to act normally.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,"When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news: ""And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today. Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise. Experts are unable to explain why the owls have suddenly changed their sleeping pattern.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,The newscaster allowed himself a grin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,"""Most mysterious. And now, over to Jim McGuffin with the weather. Going to be any more showers of owls tonight, Jim?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,"""Well, Ted,"" said the weatherman, ""I don't know about that, but it's not only the owls that have been acting oddly today. Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars! Perhaps people have been celebrating Bonfire Night early -- it's not until next week, folks! But I can promise a wet night tonight.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,Mr. Dursley sat frozen in his armchair.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,Shooting stars all over Britain?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,Owls flying by daylight?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,Mysterious people in cloaks all over the place?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,"And a whisper, a whisper about the Potters...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,Mrs. Dursley came into the living room carrying two cups of tea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,It was no good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,He'd have to say something to her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,He cleared his throat nervously.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,"""Er -- Petunia, dear -- you haven't heard from your sister lately, have you?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,"As he had expected, Mrs. Dursley looked shocked and angry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,"After all, they normally pretended she didn't have a sister.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,"""No,"" she said sharply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,"""Why?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,"""Funny stuff on the news,"" Mr. Dursley mumbled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,"""Owls... shooting stars... and there were a lot of funny-looking people in town today...""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,"""So?"" snapped Mrs. Dursley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,"""Well, I just thought... maybe... it was something to do with... you know... her crowd.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,Mrs. Dursley sipped her tea through pursed lips.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,"Mr. Dursley wondered whether he dared tell her he'd heard the name ""Potter.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,He decided he didn't dare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,"Instead he said, as casually as he could, ""Their son -- he'd be about Dudley's age now, wouldn't he?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,"""I suppose so,"" said Mrs. Dursley stiffly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,"""What's his name again? Howard, isn't it?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,"""Harry. Nasty, common name, if you ask me.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,"""Oh, yes,"" said Mr. Dursley, his heart sinking horribly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,"""Yes, I quite agree.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,He didn't say another word on the subject as they went upstairs to bed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,"While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,The cat was still there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,It was staring down Privet Drive as though it were waiting for something.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,Was he imagining things?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,Could all this have anything to do with the Potters?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,"If it did... if it got out that they were related to a pair of -- well, he didn't think he could bear it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,The Dursleys got into bed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,"Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,"His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,The Potters knew very well what he and Petunia thought about them and their kind....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,He couldn't see how he and Petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it couldn't affect them....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,How very wrong he was.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,"It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,"It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,"In fact, it was nearly midnight before the cat moved at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,"A man appeared on the corner the cat had been watching, appeared so suddenly and silently you'd have thought he'd just popped out of the ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,The cat's tail twitched and its eyes narrowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,Nothing like this man had ever been seen on Privet Drive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,"He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,"He was wearing long robes, a purple cloak that swept the ground, and high-heeled, buckled boots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,This man's name was Albus Dumbledore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,"He was busy rummaging in his cloak, looking for something.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,"But he did seem to realize he was being watched, because he looked up suddenly at the cat, which was still staring at him from the other end of the street.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,"For some reason, the sight of the cat seemed to amuse him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,"He chuckled and muttered, ""I should have known.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,He found what he was looking for in his inside pocket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,It seemed to be a silver cigarette lighter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,"He flicked it open, held it up in the air, and clicked it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,The nearest street lamp went out with a little pop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,He clicked it again -- the next lamp flickered into darkness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,"Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,"If anyone looked out of their window now, even beady-eyed Mrs. Dursley, they wouldn't be able to see anything that was happening down on the pavement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,"Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,"He didn't look at it, but after a moment he spoke to it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,"""Fancy seeing you here, Professor McGonagall.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,"He turned to smile at the tabby, but it had gone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,Instead he was smiling at a rather severe-looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,"She, too, was wearing a cloak, an emerald one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,Her black hair was drawn into a tight bun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,She looked distinctly ruffled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,"""How did you know it was me?"" she asked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,"""My dear Professor, I 've never seen a cat sit so stiffly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,"""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170,"""All day? When you could have been celebrating? I must have passed a dozen feasts and parties on my way here.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,Professor McGonagall sniffed angrily.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,"""Oh yes, everyone's celebrating, all right,"" she said impatiently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,"""You'd think they'd be a bit more careful, but no -- even the Muggles have noticed something's going on. It was on their news.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,She jerked her head back at the Dursleys' dark living-room window.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,"""I heard it. Flocks of owls... shooting stars.... Well, they're not completely stupid. They were bound to notice something. Shooting stars down in Kent -- I' bet that was Dedalus Diggle. He never had much sense.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,"""You can't blame them,"" said Dumbledore gently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,"""We've had precious little to celebrate for eleven years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,"""I know that,"" said Professor McGonagall irritably.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,"""But that's no reason to lose our heads. People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,"She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn't, so she went on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,"""A fine thing it would be if, on the very day YouKnow-Who seems to have disappeared at last, the Muggles found out about us all. I suppose he really has gone, Dumbledore?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,"""It certainly seems so,"" said Dumbledore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,"""We have much to be thankful for. Would you care for a lemon drop?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,"""A what?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,"""A lemon drop. They're a kind of Muggle sweet I' rather fond of""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,"""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,"""As I say, even if You-Know-Who has gone -""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,"""My dear Professor, surely a sensible person like yourself can call him by his name? All this 'You- Know-Who' nonsense -- for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,"Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,"""It all gets so confusing if we keep saying 'You-Know-Who.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,I have never seen any reason to be frightened of saying Voldemort's name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
