,sent_clean
84,dorothy was an innocent harmless little girl who had been carried by a cyclone many miles from home and she had never killed anything in all her life
85,but the little woman evidently expected her to answer so dorothy said with hesitation you are very kind but there must be some mistake
86,i have not killed anything
87,your house did anyway replied the little old woman with a laugh and that is the same thing
88,see she continued pointing to the corner of the house
89,there are her two feet still sticking out from under a block of wood
90,dorothy looked and gave a little cry of fright
91,there indeed just under the corner of the great beam the house rested on two feet were sticking out shod in silver shoes with pointed toes
92,oh dear
93,oh dear cried dorothy clasping her hands together in dismay
94,the house must have fallen on her
95,whatever shall we do
96,there is nothing to be done said the little woman calmly
97,but who was she
98,asked dorothy
99,she was the wicked witch of the east as i said answered the little woman
100,she has held all the munchkins in bondage for many years making them slave for her night and day
101,now they are all set free and are grateful to you for the favor
102,who are the munchkins
103,inquired dorothy
104,they are the people who live in this land of the east where the wicked witch ruled
105,are you a munchkin
106,asked dorothy
107,no but i am their friend although i live in the land of the north
108,when they saw the witch of the east was dead the munchkins sent a swift messenger to me and i came at once
109,i am the witch of the north
110,oh gracious cried dorothy
111,are you a real witch
112,yes indeed answered the little woman
113,but i am a good witch and the people love me i am not as powerful as the wicked witch was who ruled here or i should have set the people free myself
114,but i thought all witches were wicked said the girl who was half frightened at facing a real witch
115,oh no that is a great mistake
116,there were only four witches in all the land of oz and two of them those who live in the north and the south are good witches
117,i know this is true for i am one of them myself and cannot be mistaken
118,those who dwelt in the east and the west were indeed wicked witches but now that you have killed one of them there is but one wicked witch in all the land of ozthe one who lives in the west
119,but said dorothy after a moments thought aunt them has told me that the witches were all deadyears and years ago
120,who is aunt them
121,inquired the little old woman
122,she is my aunt who lives in kansas where i came from
123,the witch of the north seemed to think for a time with her head bowed and her eyes upon the ground
124,then she looked up and said i do not know where kansas is for i have never heard that country mentioned before
125,but tell me is it a civilized country
126,oh yes replied dorothy
127,then that accounts for it
128,in the civilized countries i believe there are no witches left nor wizards nor sorceresses nor magicians
129,but you see the land of oz has never been civilized for we are cut off from all the rest of the world
130,therefore we still have witches and wizards amongst us
131,who are the wizards
132,asked dorothy
133,oz himself is the great wizard answered the witch sinking her voice to a whisper
134,he is more powerful than all the rest of us together
135,he lives in the city of emeralds
136,dorothy was going to ask another question but just then the munchkins who had been standing silently by gave a loud shout and pointed to the corner of the house where the wicked witch had been lying
137,what is it
138,asked the little old woman and looked and began to laugh
139,the feet of the dead witch had disappeared entirely and nothing was left but the silver shoes
140,she was so old explained the witch of the north that she dried up quickly in the sun
141,that is the end of her
142,but the silver shoes are yours and you shall have them to wear
143,she reached down and picked up the shoes and after shaking the dust out of them handed them to dorothy
144,the witch of the east was proud of those silver shoes said one of the munchkins and there is some charm connected with them but what it is we never knew
145,dorothy carried the shoes into the house and placed them on the table
146,then she came out again to the munchkins and said
147,i am anxious to get back to my aunt and uncle for i am sure they will worry about me
148,can you help me find my way
149,the munchkins and the witch first looked at one another and then at dorothy and then shook their heads
150,at the east not far from here said one there is a great desert and none could live to cross it
151,it is the same at the south said another for i have been there and seen it
152,the south is the country of the quadlings
153,i am told said the third man that it is the same at the west
154,and that country where the winkies live is ruled by the wicked witch of the west who would make you her slave if you passed her way
155,the north is my home said the old lady and at its edge is the same great desert that surrounds this land of oz
156,I am afraid my dear you will have to live with us
157,dorothy began to sob at this for she felt lonely among all these strange people
158,her tears seemed to grieve the kind hearted munchkins for they immediately took out their handkerchiefs and began to weep also
159,as for the little old woman she took off her cap and balanced the point on the end of her nose while she counted one two three in a solemn voice
160,at once the cap changed to a slate on which was written in big white chalk marks
161,let dorothy go to the city of emeralds
162,the little old woman took the slate from her nose and having read the words on it asked is your name dorothy my dear
163,yes answered the child looking up and drying her tears
164,then you must go to the city of emeralds
165,perhaps oz will help you
166,where is this city
167,asked dorothy
168,it is exactly in the center of the country and is ruled by oz the great wizard i told you of
169,is he a good man
170,inquired the girl anxiously
171,he is a good wizard
172,whether he is a man or not i cannot tell for i have never seen him
173,how can i get there
174,asked dorothy
175,you must walk
176,it is a long journey through a country that is sometimes pleasant and sometimes dark and terrible
177,however i will use all the magic arts i know of to keep you from harm
178,will not you go with me
179,pleaded the girl who had begun to look upon the little old woman as her only friend
180,no i cannot do that she replied but i will give you my kiss and no one will dare injure a person who has been kissed by the witch of the north
181,she came close to dorothy and kissed her gently on the forehead
182,where her lips touched the girl they left a round shining mark as dorothy found out soon after
183,the road to the city of emeralds is paved with yellow brick said the witch so you cannot miss it
184,when you get to oz do not be afraid of him but tell your story and ask him to help you
185,good bye my dear
186,the three munchkins bowed low to her and wished her a pleasant journey after which they walked away through the trees
187,the witch gave dorothy a friendly little nod whirled around on her left heel three times and straightway disappeared much to the surprise of little toto who barked after her loudly enough when she had gone because he had been afraid even to growl while she stood by
188,but dorothy knowing her to be a witch had expected her to disappear in just that way and was not surprised in the least
189,how dorothy saved the scarecrow
190,when dorothy was left alone she began to feel hungry
191,so she went to the cupboard and cut herself some bread which she spread with butter
192,she gave some to toto and taking a pail from the shelf she carried it down to the little brook and filled it with clear sparkling water
193,toto ran over to the trees and began to bark at the birds sitting there
194,dorothy went to get him and saw such delicious fruit hanging from the branches that she gathered some of it finding it just what she wanted to help out her breakfast
195,then she went back to the house and having helped herself and toto to a good drink of the cool clear water she set about making ready for the journey to the city of emeralds
196,dorothy had only one other dress but that happened to be clean and was hanging on a peg beside her bed
197,it was gingham with checks of white and blue and although the blue was somewhat faded with many washings it was still a pretty frock
198,the girl washed herself carefully dressed herself in the clean gingham and tied her pink sunbonnet on her head
199,she took a little basket and filled it with bread from the cupboard laying a white cloth over the top
200,then she looked down at her feet and noticed how old and worn her shoes were
201,they surely will never do for a long journey toto she said
202,and toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant
203,at that moment dorothy saw lying on the table the silver shoes that had belonged to the witch of the east
204,i wonder if they will fit me she said to toto
205,they would be just the thing to take a long walk in for they could not wear out
206,she took off her old leather shoes and tried on the silver ones which fitted her as well as if they had been made for her
207,finally she picked up her basket
208,come along toto she said
209,we will go to the emerald city and ask the great oz how to get back to kansas again
210,she closed the door locked it and put the key carefully in the pocket of her dress
211,and so with toto trotting along soberly behind her she started on her journey
212,there were several roads nearby but it did not take her long to find the one paved with yellow bricks
213,within a short time she was walking briskly toward the emerald city her silver shoes tinkling merrily on the hard yellow road bed
214,the sun shone bright and the birds sang sweetly and dorothy did not feel nearly so bad as you might think a little girl would who had been suddenly whisked away from her own country and set down in the midst of a strange land
215,she was surprised as she walked along to see how pretty the country was about her
216,there were neat fences at the sides of the road painted a dainty blue color and beyond them were fields of grain and vegetables in abundance
217,evidently the munchkins were good farmers and able to raise large crops
218,once in a while she would pass a house and the people came out to look at her and bow low as she went by for everyone knew she had been the means of destroying the wicked witch and setting them free from bondage
219,the houses of the munchkins were odd looking dwellings for each was round with a big dome for a roof
220,all were painted blue for in this country of the east blue was the favorite color
221,toward evening when dorothy was tired with her long walk and began to wonder where she should pass the night she came to a house rather larger than the rest
222,on the green lawn before it many men and women were dancing
223,five little fiddlers played as loudly as possible and the people were laughing and singing while a big table near by was loaded with delicious fruits and nuts pies and cakes and many other good things to eat
224,the people greeted dorothy kindly and invited her to supper and to pass the night with them for this was the home of one of the richest munchkins in the land and his friends were gathered with him to celebrate their freedom from the bondage of the wicked witch
225,dorothy ate a hearty supper and was waited upon by the rich munchkin himself whose name was boq
226,then she sat upon a settee and watched the people dance
227,when boq saw her silver shoes he said you must be a great sorceress
228,why
229,asked the girl
230,because you wear silver shoes and have killed the wicked witch
231,besides you have white in your frock and only witches and sorceresses wear white
232,my dress is blue and white checked said dorothy smoothing out the wrinkles in it
233,it is kind of you to wear that said boq
234,blue is the color of the munchkins and white is the witch color
235,so we know you are a friendly witch
236,dorothy did not know what to say to this for all the people seemed to think her a witch and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land
237,when she had tired watching the dancing boq led her into the house where he gave her a room with a pretty bed in it
238,the sheets were made of blue cloth and dorothy slept soundly in them till morning with toto curled up on the blue rug beside her
239,she ate a hearty breakfast and watched a wee munchkin baby who played with toto and pulled his tail and crowed and laughed in a way that greatly amused dorothy
240,toto was a fine curiosity to all the people for they had never seen a dog before
241,how far is it to the emerald city
242,the girl asked
243,i do not know answered boq gravely for i have never been there
244,it is better for people to keep away from oz unless they have business with him
245,but it is a long way to the emerald city and it will take you many days
246,the country here is rich and pleasant but you must pass through rough and dangerous places before you reach the end of your journey
247,this worried dorothy a little but she knew that only the great oz could help her get to kansas again so she bravely resolved not to turn back
248,she bade her friends good bye and again started along the road of yellow brick
249,when she had gone several miles she thought she would stop to rest and so climbed to the top of the fence beside the road and sat down
250,there was a great cornfield beyond the fence and not far away she saw a scarecrow placed high on a pole to keep the birds from the ripe corn
251,dorothy leaned her chin upon her hand and gazed thoughtfully at the scarecrow
252,its head was a small sack stuffed with straw with eyes nose and mouth painted on it to represent a face
253,an old pointed blue hat that had belonged to some munchkin was perched on his head and the rest of the figure was a blue suit of clothes worn and faded which had also been stuffed with straw
254,on the feet were some old boots with blue tops such as every man wore in this country and the figure was raised above the stalks of corn by means of the pole stuck up its back
255,while dorothy was looking earnestly into the queer painted face of the scarecrow she was surprised to see one of the eyes slowly wink at her
256,she thought she must have been mistaken at first for none of the scarecrows in kansas ever wink but presently the figure nodded its head to her in a friendly way
257,then she climbed down from the fence and walked up to it while toto ran around the pole and barked
258,good day said the scarecrow in a rather husky voice
259,did you speak
260,asked the girl in wonder
261,certainly answered the scarecrow
262,how do you do
263,I am pretty well thank you replied dorothy politely
264,how do you do
265,I am not feeling well said the scarecrow with a smile for it is very tedious being perched up here night and day to scare away crows
266,cannot you get down
267,asked dorothy
268,no for this pole is stuck up my back
269,if you will please take away the pole i shall be greatly obliged to you
270,dorothy reached up both arms and lifted the figure off the pole for being stuffed with straw it was quite light
271,thank you very much said the scarecrow when he had been set down on the ground
272,i feel like a new man
273,dorothy was puzzled at this for it sounded queer to hear a stuffed man speak and to see him bow and walk along beside her
274,who are you
275,asked the scarecrow when he had stretched himself and yawned
276,and where are you going
277,my name is dorothy said the girl and i am going to the emerald city to ask the great oz to send me back to kansas
278,where is the emerald city
279,he inquired
280,and who is oz
281,why do not you know
282,she returned in surprise
283,no indeed
284,i do not know anything
285,you see i am stuffed so i have no brains at all he answered sadly
286,oh said dorothy I am awfully sorry for you
287,do you think he asked if i go to the emerald city with you that oz would give me some brains
288,i cannot tell she returned but you may come with me if you like
289,if oz will not give you any brains you will be no worse off than you are now
290,that is true said the scarecrow
291,you see he continued confidentially i do not mind my legs and arms and body being stuffed because i cannot get hurt
292,if anyone treads on my toes or sticks a pin into me it does not matter for i cannot feel it
293,but i do not want people to call me a fool and if my head stays stuffed with straw instead of with brains as yours is how am i ever to know anything
294,i understand how you feel said the little girl who was truly sorry for him
295,if you will come with me ill ask oz to do all he can for you
296,thank you he answered gratefully
297,they walked back to the road
298,dorothy helped him over the fence and they started along the path of yellow brick for the emerald city
299,toto did not like this addition to the party at first
300,he smelled around the stuffed man as if he suspected there might be a nest of rats in the straw and he often growled in an unfriendly way at the scarecrow
301,do not mind toto said dorothy to her new friend
302,he never bites
303,oh I am not afraid replied the scarecrow
304,he cannot hurt the straw
305,do let me carry that basket for you
306,i shall not mind it for i cannot get tired
307,ill tell you a secret he continued as he walked along
308,there is only one thing in the world i am afraid of
309,what is that
310,asked dorothy the munchkin farmer who made you
311,no answered the scarecrow its a lighted match
312,the road through the forest
313,after a few hours the road began to be rough and the walking grew so difficult that the scarecrow often stumbled over the yellow bricks which were here very uneven
314,sometimes indeed they were broken or missing altogether leaving holes that toto jumped across and dorothy walked around
315,as for the scarecrow having no brains he walked straight ahead and so stepped into the holes and fell at full length on the hard bricks
316,it never hurt him however and dorothy would pick him up and set him upon his feet again while he joined her in laughing merrily at his own mishap
317,the farms were not nearly so well cared for here as they were farther back
318,there were fewer houses and fewer fruit trees and the farther they went the more dismal and lonesome the country became
319,at noon they sat down by the roadside near a little brook and dorothy opened her basket and got out some bread
320,she offered a piece to the scarecrow but he refused
321,i am never hungry he said and it is a lucky thing i am not for my mouth is only painted and if i should cut a hole in it so i could eat the straw i am stuffed with would come out and that would spoil the shape of my head
322,dorothy saw at once that this was true so she only nodded and went on eating her bread
323,tell me something about yourself and the country you came from said the scarecrow when she had finished her dinner
324,so she told him all about kansas and how gray everything was there and how the cyclone had carried her to this queer land of oz
325,the scarecrow listened carefully and said i cannot understand why you should wish to leave this beautiful country and go back to the dry gray place you call kansas
326,that is because you have no brains answered the girl
327,no matter how dreary and gray our homes are we people of flesh and blood would rather live there than in any other country be it ever so beautiful
328,there is no place like home
329,the scarecrow sighed
330,of course i cannot understand it he said
331,if your heads were stuffed with straw like mine you would probably all live in the beautiful places and then kansas would have no people at all
332,it is fortunate for kansas that you have brains
333,will not you tell me a story while we are resting
334,asked the child
335,the scarecrow looked at her reproachfully and answered
336,my life has been so short that i really know nothing whatever
337,i was only made day before yesterday
338,what happened in the world before that time is all unknown to me
339,luckily when the farmer made my head one of the first things he did was to paint my ears so that i heard what was going on
340,there was another munchkin with him and the first thing i heard was the farmer saying how do you like those ears
341,they are not straight answered the other
342,never mind said the farmer
343,they are ears just the same which was true enough
344,now ill make the eyes said the farmer
345,so he painted my right eye and as soon as it was finished i found myself looking at him and at everything around me with a great deal of curiosity for this was my first glimpse of the world
346,that is a rather pretty eye remarked the munchkin who was watching the farmer
347,blue paint is just the color for eyes
348,i think ill make the other a little bigger said the farmer
349,and when the second eye was done i could see much better than before
350,then he made my nose and my mouth
351,but i did not speak because at that time i did not know what a mouth was for
352,i had the fun of watching them make my body and my arms and legs and when they fastened on my head at last i felt very proud for i thought i was just as good a man as anyone
353,this fellow will scare the crows fast enough said the farmer
354,he looks just like a man
355,why he is a man said the other and i quite agreed with him
356,the farmer carried me under his arm to the cornfield and set me up on a tall stick where you found me
357,he and his friend soon after walked away and left me alone
358,i did not like to be deserted this way
359,so i tried to walk after them
360,but my feet would not touch the ground and i was forced to stay on that pole
361,it was a lonely life to lead for i had nothing to think of having been made such a little while before
362,many crows and other birds flew into the cornfield but as soon as they saw me they flew away again thinking i was a munchkin and this pleased me and made me feel that i was quite an important person
363,by and by an old crow flew near me and after looking at me carefully he perched upon my shoulder and said
364,i wonder if that farmer thought to fool me in this clumsy manner
365,any crow of sense could see that you are only stuffed with straw
366,then he hopped down at my feet and ate all the corn he wanted
367,the other birds seeing he was not harmed by me came to eat the corn too so in a short time there was a great flock of them about me
368,i felt sad at this for it showed i was not such a good scarecrow after all but the old crow comforted me saying if you only had brains in your head you would be as good a man as any of them and a better man than some of them
369,brains are the only things worth having in this world no matter whether one is a crow or a man
370,after the crows had gone i thought this over and decided i would try hard to get some brains
371,by good luck you came along and pulled me off the stake and from what you say i am sure the great oz will give me brains as soon as we get to the emerald city
372,i hope so said dorothy earnestly since you seem anxious to have them
373,oh yes i am anxious returned the scarecrow
374,it is such an uncomfortable feeling to know one is a fool
375,well said the girl let us go
376,and she handed the basket to the scarecrow
377,there were no fences at all by the roadside now and the land was rough and untilled
378,toward evening they came to a great forest where the trees grew so big and close together that their branches met over the road of yellow brick
379,it was almost dark under the trees for the branches shut out the daylight but the travelers did not stop and went on into the forest
380,if this road goes in it must come out said the scarecrow and as the emerald city is at the other end of the road we must go wherever it leads us
381,anyone would know that said dorothy
382,certainly that is why i know it returned the scarecrow
383,if it required brains to figure it out i never should have said it
384,after an hour or so the light faded away and they found themselves stumbling along in the darkness
385,dorothy could not see at all but toto could for some dogs see very well in the dark and the scarecrow declared he could see as well as by day
386,so she took hold of his arm and managed to get along fairly well
387,if you see any house or any place where we can pass the night she said you must tell me for it is very uncomfortable walking in the dark
388,soon after the scarecrow stopped
389,i see a little cottage at the right of us he said built of logs and branches
390,shall we go there
391,yes indeed answered the child
392,i am all tired out
393,so the scarecrow led her through the trees until they reached the cottage and dorothy entered and found a bed of dried leaves in one corner
394,she lay down at once and with toto beside her soon fell into a sound sleep
395,the scarecrow who was never tired stood up in another corner and waited patiently until morning came
396,the rescue of the tin woodman
397,when dorothy awoke the sun was shining through the trees and toto had long been out chasing birds around him and squirrels
398,she sat up and looked around her
399,there was the scarecrow still standing patiently in his corner waiting for her
400,we must go and search for water she said to him
401,why do you want water
402,he asked
403,to wash my face clean after the dust of the road and to drink so the dry bread will not stick in my throat
404,it must be inconvenient to be made of flesh said the scarecrow thoughtfully for you must sleep and eat and drink
405,however you have brains and it is worth a lot of bother to be able to think properly
406,they left the cottage and walked through the trees until they found a little spring of clear water where dorothy drank and bathed and ate her breakfast
407,she saw there was not much bread left in the basket and the girl was thankful the scarecrow did not have to eat anything for there was scarcely enough for herself and toto for the day
408,when she had finished her meal and was about to go back to the road of yellow brick she was startled to hear a deep groan near by
409,what was that
410,she asked timidly
411,i cannot imagine replied the scarecrow but we can go and see
412,just then another groan reached their ears and the sound seemed to come from behind them
413,they turned and walked through the forest a few steps when dorothy discovered something shining in a ray of sunshine that fell between the trees
414,she ran to the place and then stopped short with a little cry of surprise
415,one of the big trees had been partly chopped through and standing beside it with an uplifted axe in his hands was a man made entirely of tin
416,his head and arms and legs were jointed upon his body but he stood perfectly motionless as if he could not stir at all
417,dorothy looked at him in amazement and so did the scarecrow while toto barked sharply and made a snap at the tin legs which hurt his teeth
418,did you groan
419,asked dorothy
420,yes answered the tin man i did
421,I have been groaning for more than a year and no one has ever heard me before or come to help me
422,what can i do for you
423,she inquired softly for she was moved by the sad voice in which the man spoke
424,get an oil can and oil my joints he answered
425,they are rusted so badly that i cannot move them at all if i am well oiled i shall soon be all right again
426,you will find an oil can on a shelf in my cottage
427,dorothy at once ran back to the cottage and found the oil can and then she returned and asked anxiously where are your joints
428,oil my neck first replied the tin woodman
429,so she oiled it and as it was quite badly rusted the scarecrow took hold of the tin head and moved it gently from side to side until it worked freely and then the man could turn it himself
430,now oil the joints in my arms he said
431,and dorothy oiled them and the scarecrow bent them carefully until they were quite free from rust and as good as new
432,the tin woodman gave a sigh of satisfaction and lowered his axe which he leaned against the tree
433,this is a great comfort he said
434,i have been holding that axe in the air ever since i rusted and I am glad to be able to put it down at last
435,now if you will oil the joints of my legs i shall be all right once more
436,so they oiled his legs until he could move them freely and he thanked them again and again for his release for he seemed a very polite creature and very grateful
437,i might have stood there always if you had not come along he said so you have certainly saved my life
438,how did you happen to be here
439,we are on our way to the emerald city to see the great oz she answered and we stopped at your cottage to pass the night
440,why do you wish to see oz
441,he asked
442,i want him to send me back to kansas and the scarecrow wants him to put a few brains into his head she replied
443,the tin woodman appeared to think deeply for a moment
444,then he said
445,do you suppose oz could give me a heart
446,why i guess so dorothy answered
447,it would be as easy as to give the scarecrow brains
448,true the tin woodman returned
449,so if you will allow me to join your party i will also go to the emerald city and ask oz to help me
450,come along said the scarecrow heartily and dorothy added that she would be pleased to have his company
451,so the tin woodman shouldered his axe and they all passed through the forest until they came to the road that was paved with yellow brick
452,the tin woodman had asked dorothy to put the oil can in her basket
453,for he said if i should get caught in the rain and rust again i would need the oil can badly
454,it was a bit of good luck to have their new comrade join the party for soon after they had begun their journey again they came to a place where the trees and branches grew so thick over the road that the travelers could not pass
455,but the tin woodman set to work with his axe and chopped so well that soon he cleared a passage for the entire party
456,dorothy was thinking so earnestly as they walked along that she did not notice when the scarecrow stumbled into a hole and rolled over to the side of the road
457,indeed he was obliged to call to her to help him up again
458,why did not you walk around the hole
459,asked the tin woodman
460,i do not know enough replied the scarecrow cheerfully
461,my head is stuffed with straw you know and that is why i am going to oz to ask him for some brains
462,oh i see said the tin woodman
463,but after all brains are not the best things in the world
464,have you any
465,inquired the scarecrow
466,no my head is quite empty answered the woodman
467,but once i had brains and a heart also so having tried them both i should much rather have a heart
468,and why is that
469,asked the scarecrow
470,i will tell you my story and then you will know
471,so while they were walking through the forest the tin woodman told the following story
472,i was born the son of a woodman who chopped down trees in the forest and sold the wood for a living
473,when i grew up i too became a woodchopper and after my father died i took care of my old mother as long as she lived
474,then i made up my mind that instead of living alone i would marry so that i might not become lonely
475,there was one of the munchkin girls who was so beautiful that i soon grew to love her with all my heart
476,she on her part promised to marry me as soon as i could earn enough money to build a better house for her so i set to work harder than ever
477,but the girl lived with an old woman who did not want her to marry anyone for she was so lazy she wished the girl to remain with her and do the cooking and the housework
478,so the old woman went to the wicked witch of the east and promised her two sheep and a cow if she would prevent the marriage
479,thereupon the wicked witch enchanted my axe and when i was chopping away at my best one day for i was anxious to get the new house and my wife as soon as possible the axe slipped all at once and cut off my left leg
480,this at first seemed a great misfortune for i knew a one legged man could not do very well as a wood chopper
481,so i went to a tinsmith and had him make me a new leg out of tin
482,the leg worked very well once i was used to it
483,but my action angered the wicked witch of the east for she had promised the old woman i should not marry the pretty munchkin girl
484,when i began chopping again my axe slipped and cut off my right leg
485,again i went to the tinsmith and again he made me a leg out of tin
486,after this the enchanted axe cut off my arms one after the other but nothing daunted i had them replaced with tin ones
487,the wicked witch then made the axe slip and cut off my head and at first i thought that was the end of me
488,but the tinsmith happened to come along and he made me a new head out of tin
489,i thought i had beaten the wicked witch then and i worked harder than ever but i little knew how cruel my enemy could be
490,she thought of a new way to kill my love for the beautiful munchkin maiden and made my axe slip again so that it cut right through my body splitting me into two halves
491,once more the tinsmith came to my help and made me a body of tin fastening my tin arms and legs and head to it by means of joints so that i could move around as well as ever
492,but alas
493,i had now no heart so that i lost all my love for the munchkin girl and did not care whether i married her or not
494,i suppose she is still living with the old woman waiting for me to come after her
495,my body shone so brightly in the sun that i felt very proud of it and it did not matter now if my axe slipped for it could not cut me
496,there was only one dangerthat my joints would rust but i kept an oil can in my cottage and took care to oil myself whenever i needed it
497,however there came a day when i forgot to do this and being caught in a rainstorm before i thought of the danger my joints had rusted and i was left to stand in the woods until you came to help me
498,it was a terrible thing to undergo but during the year i stood there i had time to think that the greatest loss i had known was the loss of my heart
499,while i was in love i was the happiest man on earth but no one can love who has not a heart and so i am resolved to ask oz to give me one
500,if he does i will go back to the munchkin maiden and marry her
501,both dorothy and the scarecrow had been greatly interested in the story of the tin woodman and now they knew why he was so anxious to get a new heart
